,WGL_Open,WGL_High,WGL_Low,WGL_Close,WGL_Adj Close,WGL_Volume,WGL_Dividend Amount,WGL_Split Coefficient
2018-07-09,88.74,88.74,88.74,88.74,88.74,0,0.515,1.0
2018-07-06,88.72,88.78,88.72,88.74,88.2279715422105,878102,0.0,1.0
2018-07-05,88.76,88.77,88.7,88.74,88.2279715422105,778011,0.0,1.0
2018-07-03,88.71,88.77,88.71,88.71,88.1981446417568,282684,0.0,1.0
2018-07-02,88.7,88.76,88.65,88.73,88.2180292420593,342337,0.0,1.0
2018-06-29,88.72,88.75,88.72,88.75,88.2379138423618,538126,0.0,1.0
2018-06-28,88.56,88.75,88.54,88.72,88.208086941908,379488,0.0,1.0
2018-06-27,88.56,88.63,88.53,88.56,88.049010139488,284052,0.0,1.0
2018-06-26,88.51,88.67,88.51,88.66,88.1484331410005,287475,0.0,1.0
2018-06-25,88.63,88.66,88.5,88.5,87.9893563385805,272173,0.0,1.0
2018-06-22,88.62,88.71,88.52,88.65,88.1384908408493,474906,0.0,1.0
2018-06-21,88.57,88.65,88.52,88.6,88.088779340093,268365,0.0,1.0
2018-06-20,88.5,88.64,88.45,88.64,88.128548540698,214273,0.0,1.0
2018-06-19,88.46,88.68,88.43,88.57,88.0589524396392,283351,0.0,1.0
2018-06-18,88.47,88.53,88.44,88.47,87.9595294381267,367143,0.0,1.0
2018-06-15,88.5,88.58,88.38,88.52,88.009240938883,577544,0.0,1.0
2018-06-14,88.45,88.53,88.41,88.45,87.9396448378242,452986,0.0,1.0
2018-06-13,88.4,88.46,88.38,88.45,87.9396448378242,215206,0.0,1.0
2018-06-12,88.34,88.43,88.34,88.4,87.889933337068,206178,0.0,1.0
2018-06-11,88.35,88.43,88.32,88.33,87.8203372360092,147843,0.0,1.0
2018-06-08,88.36,88.44,88.32,88.33,87.8203372360092,260262,0.0,1.0
2018-06-07,88.37,88.45,88.3,88.31,87.8004526357067,179237,0.0,1.0
2018-06-06,88.31,88.46,88.25,88.4,87.889933337068,281389,0.0,1.0
2018-06-05,88.25,88.54,88.25,88.45,87.9396448378242,240955,0.0,1.0
2018-06-04,88.4,88.41,88.22,88.25,87.7407988347992,341624,0.0,1.0
2018-06-01,88.24,88.46,88.2,88.45,87.9396448378242,191780,0.0,1.0
2018-05-31,88.44,88.51,88.18,88.2,87.6910873340429,247561,0.0,1.0
2018-05-30,88.2,88.679,88.2,88.44,87.929702537673,432367,0.0,1.0
2018-05-29,88.2,88.24,88.1,88.23,87.7209142344967,290494,0.0,1.0
2018-05-25,88.2,88.3,88.06,88.14,87.6314335331354,231429,0.0,1.0
2018-05-24,88.2,88.3,88.15,88.22,87.7109719343454,196343,0.0,1.0
2018-05-23,88.18,88.28,88.15,88.23,87.7209142344967,364640,0.0,1.0
2018-05-22,88.0,88.26,87.96,88.19,87.6811450338917,196848,0.0,1.0
2018-05-21,88.0,88.12,87.95,88.0,87.4922413310179,193430,0.0,1.0
2018-05-18,88.14,88.14,87.89,87.89,87.3828760293541,511505,0.0,1.0
2018-05-17,88.1,88.15,87.91,87.95,87.4425298302616,377438,0.0,1.0
2018-05-16,88.05,88.15,87.8,88.11,87.6016066326817,263575,0.0,1.0
2018-05-15,87.98,88.14,87.74,88.06,87.5518951319254,212445,0.0,1.0
2018-05-14,87.99,88.14,87.96,88.01,87.5021836311691,171365,0.0,1.0
2018-05-11,88.0,88.12,87.91,87.96,87.4524721304129,159709,0.0,1.0
2018-05-10,88.05,88.09,87.9,88.04,87.5320105316229,222071,0.0,1.0
2018-05-09,87.86,88.2,87.688,88.05,87.5419528317741,490842,0.0,1.0
2018-05-08,87.45,87.9,87.07,87.65,87.1442608257241,348238,0.0,1.0
2018-05-07,88.0,88.0,87.51,87.66,87.1542031258753,358480,0.0,1.0
2018-05-04,85.4,88.34,84.41,87.91,87.4027606296566,3044202,0.0,1.0
2018-05-03,85.51,86.3,85.03,86.14,85.642973502885,453304,0.0,1.0
2018-05-02,85.5,86.19,85.11,85.84,85.3447044983474,517794,0.0,1.0
2018-05-01,85.24,85.72,84.69,85.55,85.0563777939611,557317,0.0,1.0
2018-04-30,85.7,85.7,84.88,85.1,84.6089742871548,633289,0.0,1.0
2018-04-27,85.9,85.91,85.47,85.48,84.9867816929024,199135,0.0,1.0
2018-04-26,85.12,85.79,84.91,85.6,85.1060892947174,304173,0.0,1.0
2018-04-25,85.25,85.51,84.81,85.0,84.5095512856423,291486,0.0,1.0
2018-04-24,84.1,85.615,84.1,85.49,84.9967239930536,332624,0.0,1.0
2018-04-23,85.48,85.63,85.29,85.4,84.9072432916924,176108,0.0,1.0
2018-04-20,85.5,85.62,85.11,85.33,84.8376471906336,253123,0.0,1.0
2018-04-19,84.98,85.54,84.86,85.45,84.9569547924486,197141,0.0,1.0
2018-04-18,85.13,85.55,84.86,84.98,84.4896666853398,205554,0.0,1.0
2018-04-17,85.22,85.28,84.94,85.05,84.5592627863985,136607,0.0,1.0
2018-04-16,84.75,85.28,84.75,85.14,84.6487434877598,141965,0.0,1.0
2018-04-13,84.73,84.86,84.36,84.69,84.2013399809534,161887,0.0,1.0
2018-04-12,84.79,84.89,84.35,84.61,84.1218015797434,187883,0.0,1.0
