,WTS_Open,WTS_High,WTS_Low,WTS_Close,WTS_Adj Close,WTS_Volume,WTS_Dividend Amount,WTS_Split Coefficient
2024-10-04,206.86,206.86,203.46,204.95,204.95,72968,0.0,1.0
2024-10-03,204.33,205.72,203.07,203.66,203.66,80814,0.0,1.0
2024-10-02,205.0,206.595,204.17,205.92,205.92,100319,0.0,1.0
2024-10-01,207.12,207.695,204.1,206.03,206.03,88829,0.0,1.0
2024-09-30,206.71,207.815,204.83,207.19,207.19,88327,0.0,1.0
2024-09-27,209.54,210.98,207.05,207.51,207.51,107263,0.0,1.0
2024-09-26,208.27,210.3,207.495,207.88,207.88,122295,0.0,1.0
2024-09-25,207.22,207.22,203.8601,205.75,205.75,112816,0.0,1.0
2024-09-24,206.79,207.66,204.79,206.93,206.93,108196,0.0,1.0
2024-09-23,206.63,206.87,203.55,206.16,206.16,91480,0.0,1.0
2024-09-20,208.94,208.94,203.92,205.04,205.04,516763,0.0,1.0
2024-09-19,204.85,207.49,201.83,206.8,206.8,150876,0.0,1.0
2024-09-18,199.72,204.05,198.675,200.05,200.05,177914,0.0,1.0
2024-09-17,196.85,199.525,194.66,198.91,198.91,149491,0.0,1.0
2024-09-16,195.46,196.425,194.17,195.14,195.14,97002,0.0,1.0
2024-09-13,195.15,196.96,193.405,194.51,194.51,76195,0.0,1.0
2024-09-12,191.75,192.76,190.34,192.44,192.44,88517,0.0,1.0
2024-09-11,191.52,191.52,186.86,191.03,191.03,114217,0.0,1.0
2024-09-10,191.44,191.96,189.88,191.7,191.7,114951,0.0,1.0
2024-09-09,189.3,191.5049,189.205,190.94,190.94,125269,0.0,1.0
2024-09-06,189.49,191.66,187.2,189.06,189.06,230705,0.0,1.0
2024-09-05,192.75,192.75,188.79,190.2,190.2,209827,0.0,1.0
2024-09-04,192.55,193.435,191.715,192.25,192.25,214763,0.0,1.0
2024-09-03,194.8,197.46,192.32,193.44,193.44,376358,0.0,1.0
2024-08-30,195.13,196.75,194.01,196.7,196.7,123307,0.43,1.0
2024-08-29,195.29,195.29,193.0111,194.5,194.075736823416,158713,0.0,1.0
2024-08-28,192.22,193.56,191.31,193.48,193.057961751129,179294,0.0,1.0
2024-08-27,191.87,193.108,189.9,192.05,191.63108101253,163256,0.0,1.0
2024-08-26,193.0,193.9899,190.946,192.74,192.319575914371,144561,0.0,1.0
2024-08-23,187.98,192.68,187.26,191.07,190.653218688175,156067,0.0,1.0
2024-08-22,185.84,187.85,184.175,186.61,186.202947293664,244362,0.0,1.0
2024-08-21,186.67,186.67,184.59,185.86,185.454583269923,106274,0.0,1.0
2024-08-20,186.55,188.62,183.2,185.36,184.955673920763,160651,0.0,1.0
2024-08-19,186.46,187.515,185.0,187.01,186.602074772992,111184,0.0,1.0
2024-08-16,185.26,186.145,184.85,185.67,185.264997717242,146224,0.0,1.0
2024-08-15,185.69,186.3699,183.435,185.5,185.095368538528,118167,0.0,1.0
2024-08-14,182.98,182.98,179.87,181.96,181.563090346472,95246,0.0,1.0
2024-08-13,180.21,182.56,179.02,182.3,181.902348703901,144051,0.0,1.0
2024-08-12,181.61,181.61,178.27,178.27,177.881139349668,144648,0.0,1.0
2024-08-09,182.3,185.14,180.55,182.51,182.111890630548,247511,0.0,1.0
2024-08-08,191.75,191.75,178.67,185.27,184.865870237914,329774,0.0,1.0
2024-08-07,198.26,200.63,193.3,193.68,193.257525490793,213815,0.0,1.0
2024-08-06,194.27,198.36,192.095,196.4,195.971592350226,216647,0.0,1.0
2024-08-05,191.65,196.0,190.0,193.98,193.556871100289,223624,0.0,1.0
2024-08-02,195.95,200.145,195.94,199.44,199.004961193121,171774,0.0,1.0
2024-08-01,207.26,209.2,200.04,203.17,202.726824937858,188473,0.0,1.0
2024-07-31,208.17,212.485,204.515,207.52,207.067336275554,175296,0.0,1.0
2024-07-30,205.91,209.29,204.38,207.45,206.997488966672,175885,0.0,1.0
2024-07-29,205.63,207.985,204.01,204.33,203.884294627911,111863,0.0,1.0
2024-07-26,204.94,207.03,203.45,205.74,205.291218992543,98654,0.0,1.0
2024-07-25,195.91,205.48,195.505,202.0,201.559377060823,196643,0.0,1.0
2024-07-24,198.07,201.16,195.02,195.03,194.604580733526,132480,0.0,1.0
2024-07-23,198.52,200.53,198.065,199.62,199.184568558819,110854,0.0,1.0
2024-07-22,197.66,199.7,194.53,199.43,198.994983006138,108460,0.0,1.0
2024-07-19,196.75,197.765,195.23,196.36,195.931679602293,168196,0.0,1.0
2024-07-18,195.01,200.33,195.01,196.68,196.250981585756,133017,0.0,1.0
2024-07-17,196.7,199.01,196.3,196.53,196.101308781007,184463,0.0,1.0
2024-07-16,194.38,198.55,194.05,198.03,197.598036828489,196817,0.0,1.0
2024-07-15,190.0,194.8,189.965,192.24,191.820666565211,208869,0.0,1.0
2024-07-12,187.96,189.7,185.025,188.88,188.467995738853,177340,0.0,1.0
2024-07-11,184.0,187.83,184.0,185.73,185.324866839142,145726,0.0,1.0
2024-07-10,176.85,180.467,175.37,179.91,179.517562014914,122560,0.0,1.0
2024-07-09,178.46,178.68,175.41,175.53,175.147116116268,156375,0.0,1.0
2024-07-08,179.5,180.625,178.41,178.46,178.070724902349,107812,0.0,1.0
2024-07-05,179.53,179.82,176.24,178.26,177.871161162685,170247,0.0,1.0
2024-07-03,181.67,182.19,179.41,180.23,179.836863998377,90267,0.0,1.0
2024-07-02,179.57,181.61,179.57,180.98,180.585228022117,103010,0.0,1.0
2024-07-01,183.94,184.0,177.9,179.44,179.048587226703,235314,0.0,1.0
2024-06-28,185.28,186.0,181.01,183.37,182.970014711104,398373,0.0,1.0
2024-06-27,182.43,183.87,181.14,183.85,183.448967686298,155827,0.0,1.0
2024-06-26,182.0,182.0,179.395,181.67,181.273722923959,246733,0.0,1.0
2024-06-25,186.84,187.29,181.895,182.97,182.570887231776,181244,0.0,1.0
2024-06-24,186.2,189.385,186.2,187.89,187.480155227515,171054,0.0,1.0
2024-06-21,186.99,186.99,183.7,185.66,185.255019530259,493165,0.0,1.0
