,XL_Open,XL_High,XL_Low,XL_Close,XL_Adj Close,XL_Volume,XL_Dividend Amount,XL_Split Coefficient
2018-09-13,57.59,57.59,57.59,57.59,57.59,0,0.22,1.0
2018-09-12,57.59,57.59,57.59,57.59,57.3708372253935,0,0.0,1.0
2018-09-11,57.58,57.6,57.57,57.59,57.3708372253935,8909000,0.0,1.0
2018-09-10,57.2,57.2,56.85,57.0,56.7830825116762,2555648,0.0,1.0
2018-09-07,57.17,57.27,57.17,57.18,56.9623975090815,1320565,0.0,1.0
2018-09-06,57.34,57.36,57.13,57.17,56.9524355647812,1967854,0.0,1.0
2018-09-05,57.31,57.38,57.31,57.37,57.1516744507871,1284656,0.0,1.0
2018-09-04,57.3,57.44,57.26,57.32,57.1018647292856,1823771,0.0,1.0
2018-08-31,57.12,57.39,57.12,57.39,57.1715983393876,3172030,0.0,1.0
2018-08-30,57.08,57.2,57.06,57.12,56.9026258432797,1221217,0.0,1.0
2018-08-29,57.16,57.24,57.045,57.06,56.8428541774779,1460857,0.0,1.0
2018-08-28,57.06,57.19,57.06,57.13,56.91258778758,1031534,0.0,1.0
2018-08-27,57.01,57.1,56.99,57.09,56.8727400103788,564286,0.0,1.0
2018-08-24,57.0,57.05,56.95,57.04,56.8229302888774,1509523,0.0,1.0
2018-08-23,56.96,57.04,56.92,56.95,56.7332727901747,908825,0.0,1.0
2018-08-22,57.0,57.055,56.9,57.0,56.7830825116762,1283007,0.0,1.0
2018-08-21,56.92,57.09,56.92,57.08,56.8627780660785,1253516,0.0,1.0
2018-08-20,56.97,56.99,56.83,56.96,56.743234734475,1463266,0.0,1.0
2018-08-17,56.84,56.96,56.835,56.94,56.7233108458744,1403532,0.0,1.0
2018-08-16,56.36,57.0,56.36,56.85,56.6336533471718,4677026,0.0,1.0
2018-08-15,56.35,56.45,56.32,56.39,56.1754039093582,1723197,0.0,1.0
2018-08-14,56.35,56.43,56.28,56.36,56.1455180764574,1148389,0.0,1.0
2018-08-13,56.14,56.45,56.14,56.34,56.1255941878568,1478945,0.0,1.0
2018-08-10,56.41,56.442,56.3,56.38,56.165441965058,814500,0.0,1.0
2018-08-09,56.2,56.45,56.2,56.42,56.2052897422591,524281,0.0,1.0
2018-08-08,56.33,56.45,56.25,56.34,56.1255941878568,777009,0.0,1.0
2018-08-07,56.11,56.44,56.1,56.38,56.165441965058,1123060,0.0,1.0
2018-08-06,56.26,56.26,56.2,56.21,55.996088911953,485554,0.0,1.0
2018-08-03,56.33,56.35,56.21,56.27,56.0558605777547,714583,0.0,1.0
2018-08-02,56.37,56.5,56.2,56.33,56.1156322435565,1097595,0.0,1.0
2018-08-01,56.21,56.4,56.21,56.38,56.165441965058,1404576,0.0,1.0
2018-07-31,56.24,56.3,56.2,56.23,56.0160128005535,1295567,0.0,1.0
2018-07-30,55.89,56.26,55.89,56.25,56.0359366891541,921443,0.0,1.0
2018-07-27,56.2,56.26,56.17,56.21,55.996088911953,723827,0.0,1.0
2018-07-26,56.17,56.26,56.13,56.19,55.9761650233524,1028030,0.0,1.0
2018-07-25,56.13,56.2,56.07,56.11,55.89646946895,1059948,0.0,1.0
2018-07-24,56.05,56.2,56.015,56.13,55.9163933575506,1922134,0.0,1.0
2018-07-23,56.25,56.25,55.99,55.99,55.7769261373465,1557950,0.0,1.0
2018-07-20,56.25,56.32,56.17,56.26,56.0458986334544,1935407,0.0,1.0
2018-07-19,56.43,56.47,56.2,56.29,56.0757844663553,1980591,0.0,1.0
2018-07-18,56.4,56.505,56.38,56.47,56.2550994637606,1622054,0.0,1.0
2018-07-17,56.42,56.501,56.36,56.49,56.2750233523612,1047422,0.0,1.0
2018-07-16,56.35,56.445,56.35,56.43,56.2152516865594,1106235,0.0,1.0
2018-07-13,56.36,56.37,56.29,56.36,56.1455180764574,1123789,0.0,1.0
2018-07-12,56.38,56.4,56.34,56.37,56.1554800207577,888733,0.0,1.0
2018-07-11,56.31,56.43,56.31,56.31,56.0957083549559,1077732,0.0,1.0
2018-07-10,56.37,56.42,56.27,56.34,56.1255941878568,515117,0.0,1.0
2018-07-09,56.41,56.45,56.31,56.36,56.1455180764574,865470,0.0,1.0
2018-07-06,56.12,56.47,56.12,56.41,56.1953277979588,1077965,0.0,1.0
2018-07-05,56.14,56.27,56.0,56.13,55.9163933575506,1155578,0.0,1.0
2018-07-03,56.01,56.06,55.98,56.0,55.7868880816468,603173,0.0,1.0
2018-07-02,56.0,56.12,55.92,56.01,55.7968500259471,3047990,0.0,1.0
2018-06-29,56.03,56.12,55.84,55.95,55.7370783601453,2905989,0.0,1.0
2018-06-28,56.0,56.175,55.97,56.07,55.8566216917488,949555,0.0,1.0
2018-06-27,56.1,56.115,55.92,55.94,55.727116415845,2029459,0.0,1.0
2018-06-26,56.12,56.24,56.08,56.09,55.8765455803494,620788,0.0,1.0
2018-06-25,56.21,56.28,56.08,56.11,55.89646946895,1255801,0.0,1.0
2018-06-22,56.23,56.27,56.14,56.15,55.9363172461512,1161163,0.0,1.0
2018-06-21,56.17,56.25,56.13,56.2,55.9861269676527,1497065,0.0,1.0
2018-06-20,56.17,56.25,56.12,56.21,55.996088911953,612597,0.0,1.0
2018-06-19,56.17,56.23,56.12,56.19,55.9761650233524,973844,0.0,1.0
2018-06-18,56.07,56.2,56.05,56.2,55.9861269676527,715524,0.0,1.0
2018-06-15,56.15,56.235,56.02,56.18,55.9662030790521,2485539,0.0,1.0
2018-06-14,56.19,56.29,56.14,56.2,55.9861269676527,1932559,0.22,1.0
2018-06-13,56.4,56.49,56.26,56.27,55.8372804762463,2854395,0.0,1.0
2018-06-12,56.35,56.49,56.25,56.31,55.8769728739546,2708850,0.0,1.0
2018-06-11,56.35,56.495,56.26,56.4,55.9662807687985,2019800,0.0,1.0
2018-06-08,56.3,56.351,56.2,56.3,55.8670497745275,2137207,0.0,1.0
2018-06-07,56.15,56.31,56.03,56.3,55.8670497745275,2645788,0.0,1.0
2018-06-06,56.0,56.19,55.94,56.18,55.7479725814024,1892315,0.0,1.0
2018-06-05,55.87,55.98,55.79,55.96,55.5296643940064,1133333,0.0,1.0
2018-06-04,56.0,56.055,55.75,55.94,55.5098181951522,991473,0.0,1.0
2018-06-01,55.6,56.0,55.555,55.94,55.5098181951522,1862336,0.0,1.0
2018-05-31,55.52,55.67,55.42,55.58,55.1525866157769,3526299,0.0,1.0
2018-05-30,55.32,55.79,55.32,55.59,55.162509715204,1632201,0.0,1.0
2018-05-29,55.63,55.7,55.3,55.32,54.8945860306725,2241958,0.0,1.0
2018-05-25,55.6,55.77,55.55,55.64,55.2121252123395,2565015,0.0,1.0
2018-05-24,55.78,55.78,55.6,55.67,55.2418945106208,2259891,0.0,1.0
2018-05-23,55.74,55.86,55.51,55.77,55.3411255048917,1198797,0.0,1.0
2018-05-22,55.72,55.845,55.7,55.74,55.3113562066104,3973439,0.0,1.0
2018-05-21,55.5,55.825,55.5,55.76,55.3312024054646,1735123,0.0,1.0
2018-05-18,55.33,55.51,55.26,55.46,55.0335094226518,1541769,0.0,1.0
2018-05-17,55.27,55.515,55.22,55.33,54.9045091300996,2005762,0.0,1.0
2018-05-16,55.28,55.46,55.13,55.3,54.8747398318183,1905029,0.0,1.0
2018-05-15,55.0,55.32,54.95,55.22,54.7953550364016,1994463,0.0,1.0
2018-05-14,54.99,55.07,54.845,54.99,54.5671237495785,3113811,0.0,1.0
2018-05-11,54.8,55.04,54.8,54.93,54.5075851530159,2593549,0.0,1.0
2018-05-10,55.07,55.16,54.53,54.83,54.408354158745,4823072,0.0,1.0
2018-05-09,55.2,55.23,55.07,55.08,54.6564316444223,2166598,0.0,1.0
2018-05-08,55.1,55.25,55.05,55.13,54.7060471415578,2807315,0.0,1.0
2018-05-07,55.55,55.59,52.78,55.05,54.626662346141,5097574,0.0,1.0
2018-05-04,55.5,55.62,55.5,55.54,55.1128942180686,1417662,0.0,1.0
2018-05-03,55.63,55.669,55.46,55.5,55.0732018203602,3219771,0.0,1.0
2018-05-02,55.71,55.75,55.625,55.65,55.2220483117666,2109077,0.0,1.0
2018-05-01,55.62,55.81,55.62,55.81,55.3808179026,2069155,0.0,1.0
2018-04-30,55.84,55.84,55.59,55.59,55.162509715204,2417404,0.0,1.0
2018-04-27,55.7,55.9,55.65,55.8,55.3708948031729,3425002,0.0,1.0
2018-04-26,55.41,55.79,55.35,55.71,55.2815869083291,2584197,0.0,1.0
2018-04-25,55.38,55.49,55.32,55.4,54.9739708260893,3125979,0.0,1.0
2018-04-24,55.45,55.55,55.285,55.38,54.9541246272351,3627957,0.0,1.0
2018-04-23,55.59,55.655,55.265,55.44,55.0136632237976,3621688,0.0,1.0
2018-04-20,55.7,55.7,55.5,55.55,55.1228173174956,2715847,0.0,1.0
2018-04-19,55.75,55.835,55.54,55.61,55.1823559140582,2258418,0.0,1.0
2018-04-18,55.7,55.84,55.7,55.78,55.3510486043188,1590573,0.0,1.0
2018-04-17,55.51,55.83,55.5,55.67,55.2418945106208,3103318,0.0,1.0
2018-04-16,55.54,55.61,55.44,55.5,55.0732018203602,2213717,0.0,1.0
2018-04-13,55.42,55.54,55.35,55.5,55.0732018203602,2220422,0.0,1.0
2018-04-12,55.35,55.5,55.34,55.39,54.9640477266622,2881531,0.0,1.0
2018-04-11,55.33,55.39,55.24,55.36,54.9342784283809,2929478,0.0,1.0
2018-04-10,55.3,55.41,55.275,55.39,54.9640477266622,3532615,0.0,1.0
2018-04-09,55.38,55.42,55.25,55.25,54.8251243346829,4679888,0.0,1.0
2018-04-06,55.47,55.57,55.33,55.35,54.9243553289538,3202203,0.0,1.0
2018-04-05,55.26,55.63,55.22,55.6,55.1724328146311,3586594,0.0,1.0
2018-04-04,55.41,55.45,55.17,55.26,54.83504743411,3495364,0.0,1.0
2018-04-03,55.12,55.49,55.09,55.49,55.0632787209331,4699116,0.0,1.0
2018-04-02,55.38,55.38,55.02,55.1,54.6762778432765,5288998,0.0,1.0
2018-03-29,55.38,55.41,55.26,55.26,54.83504743411,5155306,0.0,1.0
2018-03-28,55.43,55.5,55.31,55.35,54.9243553289538,8928998,0.0,1.0
2018-03-27,55.46,55.61,55.33,55.41,54.9838939255164,6661156,0.0,1.0
2018-03-26,55.37,55.46,55.37,55.4,54.9739708260893,3921205,0.0,1.0
2018-03-23,55.4,55.48,55.33,55.33,54.9045091300996,5400350,0.0,1.0
2018-03-22,55.45,55.49,55.35,55.35,54.9243553289538,5692829,0.0,1.0
2018-03-21,55.43,55.5,55.37,55.39,54.9640477266622,4743781,0.0,1.0
2018-03-20,55.51,55.54,55.31,55.36,54.9342784283809,6430082,0.0,1.0
2018-03-19,55.4,55.555,55.37,55.44,55.0136632237976,4097631,0.0,1.0
2018-03-16,55.5,55.54,55.33,55.33,54.9045091300996,5260989,0.0,1.0
2018-03-15,55.4,55.53,55.35,55.42,54.9938170249435,3893201,0.0,1.0
2018-03-14,55.56,55.58,55.2,55.45,55.0235863232247,9318889,0.22,1.0
2018-03-13,55.6,55.7175,55.52,55.6,54.9543991300754,7531244,0.0,1.0
2018-03-12,55.72,55.73,55.53,55.56,54.9148635911329,12036620,0.0,1.0
2018-03-09,55.83,55.89,55.65,55.67,55.0235863232247,13901933,0.0,1.0
2018-03-08,55.81,55.9,55.76,55.8,55.1520768247879,11019817,0.0,1.0
2018-03-07,55.92,55.98,55.74,55.75,55.1026574011097,14585305,0.0,1.0
2018-03-06,55.99,56.11,55.83,55.91,55.2607995568797,19886343,0.0,1.0
2018-03-05,56.36,56.39,55.66,55.92,55.2706834416154,82908034,0.0,1.0
2018-03-02,42.61,43.54,42.3,43.3,42.7972209052565,3607867,0.0,1.0
2018-03-01,42.33,42.86,41.36,42.73,42.2338394753259,4635868,0.0,1.0
2018-02-28,42.72,43.04,42.3,42.31,41.8187163164297,1887863,0.0,1.0
2018-02-27,43.12,43.37,42.49,42.69,42.1943039363834,2739526,0.0,1.0
2018-02-26,43.52,43.54,42.91,43.12,42.6193109800153,1903694,0.0,1.0
2018-02-23,43.23,43.515,42.98,43.45,42.9454791762909,1591890,0.0,1.0
2018-02-22,42.66,43.94,42.66,43.1,42.599543210544,2247173,0.0,1.0
2018-02-21,43.09,43.76,42.99,43.3,42.7972209052565,2494687,0.0,1.0
2018-02-20,43.66,43.76,42.6,43.0,42.5007043631878,3605604,0.0,1.0
2018-02-16,43.14,44.17,42.92,43.8,43.2914151420378,3241373,0.0,1.0
2018-02-15,43.65,43.79,42.75,43.12,42.6193109800153,3767316,0.0,1.0
2018-02-14,41.93,43.75,41.82,43.5,42.994898599969,4619620,0.0,1.0
2018-02-13,41.52,42.1,41.34,41.9,41.413477042269,3381553,0.0,1.0
2018-02-12,41.86,42.12,40.5,41.6,41.1169605002003,3913367,0.0,1.0
2018-02-09,41.63,42.27,40.66,41.86,41.3739415033265,5159346,0.0,1.0
2018-02-08,41.05,43.26,40.02,41.26,40.780908419189,12693765,0.0,1.0
2018-02-07,37.41,42.39,37.37,42.0,41.5123158896253,22030913,0.0,1.0
2018-02-06,37.32,38.23,36.58,37.34,36.906425602824,6216095,0.0,1.0
2018-02-05,37.6,39.08,37.4,37.68,37.2424776838352,8115291,0.0,1.0
2018-02-02,37.5,39.19,37.15,38.25,37.8058591137659,9156442,0.0,1.0
2018-02-01,36.73,37.17,36.63,36.79,36.3628119423646,3092299,0.0,1.0
2018-01-31,36.65,37.195,36.31,36.84,36.4122313660427,2653023,0.0,1.0
2018-01-30,36.61,37.47,36.61,36.62,36.194785901859,3323171,0.0,1.0
2018-01-29,36.53,36.76,35.99,36.61,36.1849020171234,1451319,0.0,1.0
2018-01-26,36.79,36.83,36.01,36.67,36.2442053255371,2295864,0.0,1.0
2018-01-25,37.02,37.1505,36.52,36.88,36.4517669049852,2711020,0.0,1.0
2018-01-24,36.88,37.39,36.59,36.86,36.431999135514,2726763,0.0,1.0
2018-01-23,35.99,36.81,35.71,36.78,36.352928057629,2361811,0.0,1.0
2018-01-22,36.3,37.79,35.9,35.99,35.5721011635146,3995590,0.0,1.0
2018-01-19,35.22,35.59,35.02,35.45,35.0383713877909,2452324,0.0,1.0
2018-01-18,35.33,35.34,34.655,35.13,34.7220870762509,2261818,0.0,1.0
2018-01-17,35.5,35.5,35.05,35.33,34.9197647709634,1564902,0.0,1.0
2018-01-16,35.55,35.76,34.96,35.24,34.8308098083427,2595959,0.0,1.0
2018-01-12,35.15,35.52,34.561,35.49,35.0779069267334,3094431,0.0,1.0
2018-01-11,34.35,35.33,34.35,35.27,34.8604614625496,2890191,0.0,1.0
2018-01-10,34.22,34.66,34.07,34.23,33.8325374500446,2032517,0.0,1.0
2018-01-09,34.38,34.82,34.21,34.21,33.8127696805733,1702446,0.0,1.0
2018-01-08,34.48,34.6,34.23,34.46,34.059866798964,2332506,0.0,1.0
2018-01-05,35.37,35.375,34.49,34.65,34.2476606089408,2033942,0.0,1.0
2018-01-04,34.5,35.35,34.42,35.24,34.8308098083427,3508706,0.0,1.0
2018-01-03,33.94,34.52,33.77,34.43,34.0302151447571,1975730,0.0,1.0
2018-01-02,35.21,35.21,33.86,34.02,33.6249758705965,2126356,0.0,1.0
2017-12-29,35.45,35.45,35.16,35.16,34.7517387304577,1016054,0.0,1.0
2017-12-28,35.3,35.39,35.02,35.37,34.9593003099058,1117434,0.0,1.0
2017-12-27,35.22,35.34,34.96,35.2,34.7912742694002,961831,0.0,1.0
2017-12-26,35.26,35.63,35.01,35.24,34.8308098083427,1102551,0.0,1.0
2017-12-22,35.15,35.27,34.92,35.17,34.7616226151934,1548575,0.0,1.0
2017-12-21,35.335,35.38,35.05,35.06,34.6528998831015,2092177,0.0,1.0
2017-12-20,35.44,35.61,35.07,35.19,34.7813903846646,2591380,0.0,1.0
2017-12-19,35.835,35.96,35.31,35.32,34.9098808862277,2763080,0.0,1.0
2017-12-18,36.49,36.52,35.37,35.51,35.0976746962046,2850790,0.0,1.0
2017-12-15,35.48,36.56,35.33,36.25,35.8290821666409,4028027,0.0,1.0
2017-12-14,35.81,36.05,35.04,35.11,34.7023193067796,2406998,0.22,1.0
2017-12-13,37.0,37.09,36.08,36.1,35.4586393143149,1915669,0.0,1.0
2017-12-12,36.97,37.22,36.88,37.03,36.3721167260133,1252605,0.0,1.0
2017-12-11,36.73,36.84,36.43,36.82,36.1658476330491,1387393,0.0,1.0
2017-12-08,36.68,36.87,36.27,36.87,36.2149593218501,2026113,0.0,1.0
2017-12-07,37.36,37.46,36.52,36.73,36.0774465932073,2034961,0.0,1.0
2017-12-06,37.37,37.68,37.11,37.45,36.7846549119416,1728960,0.0,1.0
2017-12-05,37.98,38.05,37.2,37.32,36.656964521059,1928653,0.0,1.0
2017-12-04,38.68,38.79,37.89,37.94,37.2659494621913,2497704,0.0,1.0
2017-12-01,38.96,39.04,37.98,38.45,37.7668886879614,1724501,0.0,1.0
2017-11-30,39.7,39.93,38.55,38.82,38.1303151850887,4318330,0.0,1.0
2017-11-29,39.17,39.94,39.0,39.54,38.837523503823,3180049,0.0,1.0
2017-11-28,38.82,39.185,38.48,39.03,38.3365842780529,1513632,0.0,1.0
2017-11-27,38.19,39.07,37.95,38.85,38.1597821983693,1940957,0.0,1.0
2017-11-24,38.31,38.42,37.98,38.08,37.4034621908341,511204,0.0,1.0
2017-11-22,38.28,38.6,37.97,38.25,37.5704419327574,1393349,0.0,1.0
2017-11-21,38.84,38.84,38.28,38.3,37.6195536215584,1231003,0.0,1.0
2017-11-20,38.61,38.75,38.23,38.72,38.0320918074867,2177282,0.0,1.0
2017-11-17,38.58,38.8,38.26,38.63,37.943690767645,2699625,0.0,1.0
2017-11-16,39.29,39.33,38.65,38.67,37.9829801186857,2301582,0.0,1.0
2017-11-15,38.76,39.35,38.63,39.23,38.5330310332568,2335235,0.0,1.0
2017-11-14,39.21,39.25,38.78,39.0,38.3071172647723,2183115,0.0,1.0
2017-11-13,39.64,39.66,39.12,39.4,38.7000107751802,1675481,0.0,1.0
2017-11-10,40.15,40.27,39.57,39.71,39.0045032457463,1740633,0.0,1.0
2017-11-09,39.14,40.51,39.14,40.14,39.4268637694349,4498821,0.0,1.0
2017-11-08,39.98,39.98,39.495,39.53,38.8277011660628,1816196,0.0,1.0
2017-11-07,39.8,40.57,39.74,39.91,39.2009500009503,2138585,0.0,1.0
2017-11-06,39.93,39.9836,39.33,39.69,38.9848585702259,2113378,0.0,1.0
2017-11-03,39.41,40.12,38.885,40.04,39.3286403918329,4284150,0.0,1.0
2017-11-02,40.435,40.71,38.48,39.48,38.7785894772618,5231810,0.0,1.0
2017-11-01,40.6,40.78,40.1,40.34,39.6233105246388,3093222,0.0,1.0
2017-10-31,41.28,41.67,40.325,40.47,39.7510009155214,2997247,0.0,1.0
2017-10-30,40.68,41.6,40.68,41.26,40.526965598577,3309033,0.0,1.0
2017-10-27,40.83,41.1,40.31,40.8,40.0751380616079,1917866,0.0,1.0
2017-10-26,41.71,41.95,40.75,40.85,40.1242497504089,2922401,0.0,1.0
2017-10-25,41.47,42.83,41.2,41.49,40.7528793670616,2948585,0.0,1.0
2017-10-24,42.24,42.81,42.06,42.32,41.568133401158,2577840,0.0,1.0
2017-10-23,42.39,42.58,41.9,42.21,41.4600876857958,2213262,0.0,1.0
2017-10-20,42.96,42.99,42.295,42.51,41.7547578186018,2830931,0.0,1.0
2017-10-19,41.18,42.49,41.155,42.46,41.7056461298008,3116210,0.0,1.0
2017-10-18,42.03,42.065,41.22,41.34,40.6055443006586,3887897,0.0,1.0
2017-10-17,41.77,42.08,41.315,42.02,41.2734632683521,4584020,0.0,1.0
2017-10-16,41.59,42.545,41.24,41.64,40.9002144334646,4517383,0.0,1.0
2017-10-13,39.4,41.63,38.97,41.51,40.772524042582,6365754,0.0,1.0
2017-10-12,40.63,40.94,40.03,40.67,39.9474476707253,5269168,0.0,1.0
2017-10-11,39.42,39.46,38.89,39.35,38.6508990863792,2376552,0.0,1.0
2017-10-10,39.39,39.84,39.11,39.67,38.9652138947055,2239461,0.0,1.0
2017-10-09,39.55,39.55,39.0,39.32,38.6214320730986,1268423,0.0,1.0
2017-10-06,39.55,39.99,39.42,39.57,38.8669905171036,2530135,0.0,1.0
2017-10-05,39.15,39.57,38.8,39.54,38.837523503823,2346555,0.0,1.0
2017-10-04,39.53,39.8,39.02,39.15,38.4544523311752,3416687,0.0,1.0
2017-10-03,39.66,39.83,39.0,39.8,39.0929042855881,3522152,0.0,1.0
2017-10-02,39.22,39.74,38.72,39.61,38.9062798681444,3408958,0.0,1.0
2017-09-29,39.11,39.7,39.1,39.45,38.7491224639812,3300083,0.0,1.0
2017-09-28,38.02,39.165,37.47,39.11,38.4151629801345,3768175,0.0,1.0
2017-09-27,38.54,38.84,37.965,37.99,37.3150611509923,4741698,0.0,1.0
