,XLNX_Open,XLNX_High,XLNX_Low,XLNX_Close,XLNX_Adj Close,XLNX_Volume,XLNX_Dividend Amount,XLNX_Split Coefficient
2022-02-14,194.92,194.92,194.92,194.92,194.92,353,0.0,1.0
2022-02-11,217.27,218.95,192.49,194.92,194.92,25521308,0.0,1.0
2022-02-10,221.639,226.8,214.627,216.55,216.55,9315981,0.0,1.0
2022-02-09,220.61,225.59,217.27,225.2,225.2,6882024,0.0,1.0
2022-02-08,208.5,219.3,207.52,218.14,218.14,4838333,0.0,1.0
2022-02-07,209.11,216.22,207.9,210.13,210.13,3259905,0.0,1.0
2022-02-04,202.8645,211.64,200.16,209.02,209.02,3193978,0.37,1.0
2022-02-03,203.21,212.1,201.4,202.85,202.491556425808,4842074,0.0,1.0
2022-02-02,220.175,220.175,204.0,207.97,207.602509193371,9680099,0.0,1.0
2022-02-01,197.25,198.98,191.24,198.32,197.96956110607,6007233,0.0,1.0
2022-01-31,181.82,193.78,180.65,193.55,193.207989875352,4238471,0.0,1.0
2022-01-28,171.73,178.1,168.04,177.95,177.635555661684,5800897,0.0,1.0
2022-01-27,189.39,190.67,172.45,173.42,173.113560341946,17929032,0.0,1.0
2022-01-26,179.99,184.89,171.27,175.38,175.070096948278,3741805,0.0,1.0
2022-01-25,179.11,180.4399,171.4,173.16,172.854019771718,3114786,0.0,1.0
2022-01-24,182.99,185.87,166.43,185.51,185.182196857539,6267345,0.0,1.0
2022-01-21,187.22,195.73,184.61,187.79,187.458168011844,6162795,0.0,1.0
2022-01-20,188.92,196.23,184.79,185.61,185.28202015378,4339763,0.0,1.0
2022-01-19,189.86,198.0,188.75,189.09,188.755870862983,4368810,0.0,1.0
2022-01-18,193.8,196.0,187.13,187.8,187.468150341468,2901597,0.0,1.0
2022-01-14,190.37,198.72,190.23,198.45,198.099331391184,1598894,0.0,1.0
2022-01-13,200.16,203.25,190.25,191.33,190.991912698792,2838048,0.0,1.0
2022-01-12,201.9,204.0,195.48,197.87,197.520356272983,1825595,0.0,1.0
2022-01-11,194.83,201.5,192.6701,200.52,200.165673623382,2471360,0.0,1.0
2022-01-10,190.0,193.79,184.01,193.5,193.158078227231,4017559,0.0,1.0
2022-01-07,203.1,203.45,192.15,193.07,192.728838053393,4207105,0.0,1.0
2022-01-06,202.45,207.0059,196.89,204.04,203.679453651082,2506197,0.0,1.0
2022-01-05,212.3,212.76,201.33,201.66,201.303659200535,3370684,0.0,1.0
2022-01-04,223.165,225.54,209.51,214.89,214.51028129328,2937572,0.0,1.0
2022-01-03,213.8832,222.0,213.0,221.27,220.879007593486,2915539,0.0,1.0
2021-12-31,209.95,215.25,209.49,212.03,211.655335020775,2519282,0.0,1.0
2021-12-30,215.65,219.59,213.38,213.89,213.512048330866,1513766,0.0,1.0
2021-12-29,220.17,222.18,215.5,217.62,217.235457280672,2413777,0.0,1.0
2021-12-28,223.9,224.25,217.74,220.27,219.880774631071,2846338,0.0,1.0
2021-12-27,216.88,223.42,216.31,222.78,222.386339366732,2913297,0.0,1.0
2021-12-23,215.2,222.15,215.05,216.11,215.728125507426,3179509,0.0,1.0
2021-12-22,208.2,215.6,207.08,215.0,214.620086919146,2670384,0.0,1.0
2021-12-21,198.8,206.89,195.11,206.43,206.065230431253,2847487,0.0,1.0
2021-12-20,196.66,199.58,193.1,196.15,195.80339557763,2037247,0.0,1.0
