,MCY_Open,MCY_High,MCY_Low,MCY_Close,MCY_Adj Close,MCY_Volume,MCY_Dividend Amount,MCY_Split Coefficient
2024-10-07,65.09,65.185,62.09,62.82,62.82,334155,0.0,1.0
2024-10-04,63.9,65.27,63.42,65.09,65.09,123206,0.0,1.0
2024-10-03,63.79,63.79,62.21,63.33,63.33,158853,0.0,1.0
2024-10-02,63.2,63.88,62.79,63.72,63.72,197028,0.0,1.0
2024-10-01,62.92,63.4999,62.21,63.38,63.38,171058,0.0,1.0
2024-09-30,63.22,63.55,61.995,62.98,62.98,202019,0.0,1.0
2024-09-27,63.95,64.51,63.06,63.23,63.23,218983,0.0,1.0
2024-09-26,63.94,64.4,62.872,63.92,63.92,184621,0.0,1.0
2024-09-25,64.59,64.73,63.34,63.55,63.55,326904,0.0,1.0
2024-09-24,62.44,64.9,61.155,64.73,64.73,432363,0.0,1.0
2024-09-23,60.25,62.51,59.58,62.44,62.44,197456,0.0,1.0
2024-09-20,59.75,60.705,58.8861,60.05,60.05,1010715,0.0,1.0
2024-09-19,60.1,60.25,59.07,60.05,60.05,308067,0.0,1.0
2024-09-18,59.5,60.145,59.03,59.57,59.57,271671,0.0,1.0
2024-09-17,59.28,60.15,59.18,59.35,59.35,228882,0.0,1.0
2024-09-16,58.6,60.0,58.6,59.14,59.14,345167,0.0,1.0
2024-09-13,58.35,58.7706,57.6201,58.41,58.41,489701,0.0,1.0
2024-09-12,57.68,58.93,57.28,57.87,57.87,305133,0.3175,1.0
2024-09-11,58.92,59.17,57.58,57.95,57.6337959183674,241356,0.0,1.0
2024-09-10,60.37,61.8,58.611,59.19,58.8670298603652,386228,0.0,1.0
2024-09-09,62.07,62.21,60.34,60.41,60.0803729323308,359009,0.0,1.0
2024-09-06,63.2,63.67,61.685,62.02,61.6815879699248,219119,0.0,1.0
2024-09-05,62.98,63.31,61.6926,63.22,62.8750401718582,293364,0.0,1.0
2024-09-04,64.24,64.4,62.735,62.83,62.4871682062299,298792,0.0,1.0
2024-09-03,66.02,66.48,62.9901,64.0,63.6507841031149,406387,0.0,1.0
2024-08-30,66.56,66.8375,65.15,66.23,65.8686161117079,200094,0.0,1.0
2024-08-29,64.79,67.105,64.58,66.16,65.7989980665951,365378,0.0,1.0
2024-08-28,63.25,64.83,63.04,64.79,64.4364734693878,304054,0.0,1.0
2024-08-27,62.74,63.79,62.6927,63.35,63.0043308270677,178828,0.0,1.0
2024-08-26,62.96,64.53,62.5,62.72,62.3777684210526,235691,0.0,1.0
2024-08-23,61.7,63.02,61.7,62.51,62.1689142857143,249621,0.0,1.0
2024-08-22,61.0,62.225,60.635,61.71,61.3732794844254,235421,0.0,1.0
2024-08-21,60.6,61.31,60.35,61.11,60.7765533834586,186962,0.0,1.0
2024-08-20,61.05,61.05,59.76,60.13,59.8019007518797,189387,0.0,1.0
2024-08-19,60.75,61.54,60.45,60.99,60.6572081632653,227649,0.0,1.0
2024-08-16,60.48,61.2099,60.25,60.78,60.448354027927,190490,0.0,1.0
2024-08-15,60.55,61.6086,59.93,60.35,60.0207003222342,208017,0.0,1.0
2024-08-14,60.35,61.23,59.95,60.13,59.8019007518797,203716,0.0,1.0
2024-08-13,59.95,60.0816,59.03,60.05,59.7223372717508,252204,0.0,1.0
2024-08-12,60.87,60.87,59.24,59.74,59.4140287862513,149279,0.0,1.0
2024-08-09,61.12,61.5,60.02,60.42,60.0903183673469,218405,0.0,1.0
2024-08-08,62.37,63.23,61.16,61.18,60.8461714285714,369311,0.0,1.0
2024-08-07,60.16,62.68,60.16,62.16,61.8208240601504,373750,0.0,1.0
2024-08-06,59.29,60.175,58.02,59.77,59.4438650912997,185437,0.0,1.0
2024-08-05,56.6,59.2,55.65,59.17,58.847138990333,300591,0.0,1.0
2024-08-02,59.18,60.61,57.67,59.01,58.6880120300752,206269,0.0,1.0
2024-08-01,60.27,61.17,58.87,60.36,60.0306457572503,486294,0.0,1.0
