,MDC_Open,MDC_High,MDC_Low,MDC_Close,MDC_Adj Close,MDC_Volume,MDC_Dividend Amount,MDC_Split Coefficient
2024-04-19,62.98,62.98,62.98,62.98,62.98,0,0.0,1.0
2024-04-18,62.98,62.99,62.97,62.98,62.98,6414210,0.0,1.0
2024-04-17,62.97,62.99,62.95,62.95,62.95,3151475,0.0,1.0
2024-04-16,62.86,62.98,62.81,62.96,62.96,4288366,0.0,1.0
2024-04-15,62.89,62.95,62.83,62.88,62.88,2740907,0.0,1.0
2024-04-12,62.88,62.93,62.88,62.91,62.91,1478483,0.0,1.0
2024-04-11,62.86,62.95,62.86,62.93,62.93,1979615,0.0,1.0
2024-04-10,62.89,62.92,62.81,62.91,62.91,4532980,0.0,1.0
2024-04-09,62.92,62.92,62.89,62.9,62.9,1770887,0.0,1.0
2024-04-08,62.91,62.935,62.87,62.91,62.91,2433121,0.0,1.0
2024-04-05,62.91,62.94,62.83,62.87,62.87,2458302,0.0,1.0
2024-04-04,62.94,62.96,62.91,62.91,62.91,1860834,0.0,1.0
2024-04-03,62.92,62.95,62.91,62.92,62.92,1778436,0.0,1.0
2024-04-02,62.91,62.98,62.86,62.98,62.98,3166905,0.0,1.0
2024-04-01,62.92,62.99,62.9,62.97,62.97,1383968,0.0,1.0
2024-03-28,62.9,62.96,62.87,62.91,62.91,1467274,0.0,1.0
2024-03-27,62.87,62.94,62.87,62.87,62.87,1019746,0.0,1.0
2024-03-26,62.86,62.89,62.83,62.83,62.83,958468,0.0,1.0
2024-03-25,62.87,62.89,62.81,62.81,62.81,994114,0.0,1.0
2024-03-22,62.86,62.94,62.84,62.85,62.85,1549541,0.0,1.0
2024-03-21,62.84,62.88,62.805,62.87,62.87,1512094,0.0,1.0
2024-03-20,62.82,62.88,62.76,62.8,62.8,1717632,0.0,1.0
2024-03-19,62.76,62.93,62.74,62.81,62.81,1837300,0.0,1.0
2024-03-18,62.75,62.81,62.72,62.76,62.76,1708326,0.0,1.0
2024-03-15,62.7,62.81,62.62,62.62,62.62,4608523,0.0,1.0
2024-03-14,62.79,62.84,62.7,62.74,62.74,1578075,0.0,1.0
2024-03-13,62.72,62.9,62.72,62.77,62.77,1626449,0.0,1.0
2024-03-12,62.71,62.76,62.685,62.7,62.7,1278476,0.0,1.0
2024-03-11,62.71,62.74,62.68,62.68,62.68,1533826,0.0,1.0
2024-03-08,62.75,62.8,62.68,62.68,62.68,1827947,0.0,1.0
2024-03-07,62.76,62.82,62.66,62.67,62.67,1546261,0.0,1.0
2024-03-06,62.71,62.78,62.68,62.7,62.7,1649367,0.0,1.0
2024-03-05,62.74,62.81,62.66,62.7,62.7,1396978,0.0,1.0
2024-03-04,62.75,62.84,62.7,62.75,62.75,1220564,0.0,1.0
2024-03-01,62.69,62.8,62.62,62.7,62.7,1122312,0.0,1.0
2024-02-29,62.64,62.74,62.6394,62.7,62.7,1529163,0.0,1.0
2024-02-28,62.6,62.68,62.54,62.54,62.54,1014956,0.0,1.0
2024-02-27,62.63,62.68,62.53,62.66,62.66,793338,0.0,1.0
2024-02-26,62.52,62.6801,62.49,62.57,62.57,1107853,0.0,1.0
2024-02-23,62.5,62.6,62.47,62.5,62.5,1094657,0.0,1.0
2024-02-22,62.49,62.66,62.42,62.5,62.5,1170370,0.0,1.0
2024-02-21,62.42,62.5,62.38,62.49,62.49,1406869,0.0,1.0
2024-02-20,62.25,62.46,62.21,62.38,62.38,996206,0.0,1.0
2024-02-16,62.38,62.44,62.21,62.22,62.22,1207845,0.0,1.0
2024-02-15,62.26,62.45,62.15,62.42,62.42,1415293,0.0,1.0
2024-02-14,62.29,62.425,62.11,62.21,62.21,1755056,0.0,1.0
2024-02-13,62.2,62.35,62.06,62.07,62.07,2022377,0.0,1.0
2024-02-12,62.47,62.51,62.28,62.28,62.28,1925537,0.0,1.0
2024-02-09,62.46,62.536,62.35,62.37,62.37,1584033,0.0,1.0
2024-02-08,62.39,62.45,62.18,62.4,62.4,1436726,0.0,1.0
2024-02-07,62.34,62.54,62.19,62.19,62.19,2382031,0.0,1.0
2024-02-06,62.52,62.6175,62.28,62.33,62.33,1794952,0.55,1.0
2024-02-05,62.7,62.965,62.67,62.84,62.2903498727735,3122458,0.0,1.0
2024-02-02,62.56,62.83,62.54,62.74,62.1912245547074,3480206,0.0,1.0
2024-02-01,62.68,62.73,62.62,62.66,62.1119243002545,3183231,0.0,1.0
2024-01-31,62.63,62.73,62.58,62.58,62.0326240458015,3537729,0.0,1.0
2024-01-30,62.71,62.82,62.645,62.7,62.1515744274809,2222963,0.0,1.0
2024-01-29,62.67,62.91,62.61,62.66,62.1119243002545,1352773,0.0,1.0
2024-01-26,62.65,62.78,62.58,62.64,62.0920992366412,2566975,0.0,1.0
2024-01-25,62.7,62.82,62.52,62.62,62.072274173028,3621725,0.0,1.0
2024-01-24,62.85,62.88,62.56,62.62,62.072274173028,4026634,0.0,1.0
2024-01-23,62.86,62.875,62.56,62.8,62.2506997455471,3604498,0.0,1.0
2024-01-22,62.7,63.0,62.64,63.0,62.4489503816794,3179508,0.0,1.0
2024-01-19,62.85,62.92,62.605,62.64,62.0920992366412,4054500,0.0,1.0
2024-01-18,62.64,63.0,62.55,62.84,62.2903498727735,8975573,0.0,1.0
2024-01-17,52.47,53.2,52.37,53.09,52.6256313613232,343710,0.0,1.0
2024-01-16,53.38,53.86,52.99,53.23,52.7644068066158,394071,0.0,1.0
2024-01-12,55.47,55.47,53.68,53.94,53.4681965648855,335675,0.0,1.0
2024-01-11,54.45,55.1,53.85,54.97,54.4891873409669,359142,0.0,1.0
2024-01-10,54.59,55.21,54.55,54.98,54.4990998727735,339997,0.0,1.0
2024-01-09,53.55,54.32,53.41,54.19,53.7160098600509,313889,0.0,1.0
2024-01-08,53.71,54.71,53.705,54.4,53.9241730279898,438595,0.0,1.0
2024-01-05,52.74,54.04,52.48,53.44,52.9725699745547,329240,0.0,1.0
2024-01-04,52.92,53.81,52.92,53.17,52.7049316157761,325880,0.0,1.0
2024-01-03,53.62,53.985,53.03,53.14,52.6751940203562,387763,0.0,1.0
2024-01-02,54.62,55.06,53.74,54.8,54.3206743002545,383981,0.0,1.0
2023-12-29,55.8,55.96,55.22,55.25,54.7667382315522,324824,0.0,1.0
2023-12-28,55.6,56.14,55.43,55.84,55.3515776081425,343403,0.0,1.0
2023-12-27,55.81,56.37,55.56,56.01,55.520090648855,267384,0.0,1.0
2023-12-26,54.86,55.75,54.49,55.6,55.1136768447837,291708,0.0,1.0
2023-12-22,54.19,55.0,53.965,54.61,54.1323361959288,335009,0.0,1.0
2023-12-21,54.24,54.33,53.37,53.99,53.5177592239186,340035,0.0,1.0
2023-12-20,53.83,54.5,52.97,52.99,52.526506043257,475568,0.0,1.0
2023-12-19,53.04,54.255,52.94,53.89,53.4186339058524,406211,0.0,1.0
2023-12-18,53.03,53.03,51.79,52.64,52.1795674300255,575932,0.0,1.0
2023-12-15,54.3,54.92,52.82,53.17,52.7049316157761,1585347,0.0,1.0
2023-12-14,51.31,55.06,51.31,54.85,54.3702369592875,828478,0.0,1.0
2023-12-13,49.26,50.92,48.085,50.7,50.256536259542,618136,0.0,1.0
2023-12-12,49.49,49.49,48.91,48.98,48.5515807888041,408951,0.0,1.0
2023-12-11,49.05,49.655,48.78,49.33,48.8985194020356,401690,0.0,1.0
2023-12-08,48.16,49.3999,48.16,49.27,48.8390442111959,453088,0.0,1.0
2023-12-07,47.73,48.41,47.28,48.39,47.9667414122137,424457,0.0,1.0
2023-12-06,47.63,48.8003,47.32,47.39,46.9754882315522,376350,0.0,1.0
2023-12-05,47.37,47.58,46.82,47.09,46.6781122773537,439911,0.0,1.0
2023-12-04,46.02,47.53,45.93,47.47,47.0547884860051,589370,0.0,1.0
2023-12-01,44.37,46.21,44.14,46.2,45.7958969465649,576894,0.0,1.0
2023-11-30,44.25,44.47,43.45,44.26,43.8728657760814,339175,0.0,1.0
2023-11-29,44.43,44.83,44.22,44.44,44.0512913486005,383854,0.0,1.0
2023-11-28,43.75,44.18,43.36,43.76,43.3772391857506,465848,0.0,1.0
2023-11-27,44.0,44.14,43.73,43.81,43.4268018447837,378776,0.0,1.0
2023-11-24,44.02,44.32,43.945,44.24,43.8530407124682,177347,0.0,1.0
2023-11-22,44.48,45.0,43.91,44.11,43.7241777989822,348164,0.0,1.0
2023-11-21,44.31,44.48,43.97,44.0,43.6151399491094,301322,0.0,1.0
2023-11-20,44.37,44.63,44.08,44.55,44.1603291984733,341030,0.0,1.0
2023-11-17,44.44,44.7,44.265,44.61,44.219804389313,327026,0.0,1.0
2023-11-16,44.62,44.91,43.94,44.07,43.6845276717557,378021,0.0,1.0
2023-11-15,44.76,45.48,44.32,44.32,43.9323409669211,452952,0.0,1.0
2023-11-14,43.64,45.31,43.43,45.06,44.6658683206107,585178,0.0,1.0
2023-11-13,41.73,42.07,41.4,41.63,41.2658699109415,285396,0.0,1.0
2023-11-10,41.58,42.27,41.18,42.1,41.7317589058524,296010,0.0,1.0
2023-11-09,42.12,42.29,41.07,41.32,40.9585814249364,364251,0.0,1.0
