,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2024-10-07,5.73,5.76,5.6,5.61,5.61,355230,0.0,1.0
2024-10-04,5.82,5.86,5.69,5.76,5.76,410048,0.0,1.0
2024-10-03,5.75,5.81,5.66,5.72,5.72,381945,0.0,1.0
2024-10-02,5.86,5.87,5.76,5.8,5.8,533016,0.0,1.0
2024-10-01,5.87,5.915,5.775,5.9,5.9,534356,0.0,1.0
2024-09-30,5.82,5.96,5.78,5.91,5.91,414131,0.0,1.0
2024-09-27,5.72,5.865,5.695,5.83,5.83,391591,0.0,1.0
2024-09-26,5.95,5.95,5.64,5.65,5.65,678255,0.0,1.0
2024-09-25,5.91,5.98,5.85,5.86,5.86,429761,0.0,1.0
2024-09-24,6.13,6.16,5.92,5.93,5.93,516561,0.0,1.0
2024-09-23,6.12,6.22,6.04,6.13,6.13,468690,0.0,1.0
2024-09-20,6.17,6.26,6.125,6.13,6.13,1419866,0.0,1.0
2024-09-19,6.35,6.35,6.2,6.23,6.23,452788,0.0,1.0
2024-09-18,6.12,6.33,6.06,6.18,6.18,530821,0.0,1.0
2024-09-17,6.3,6.32,6.12,6.15,6.15,448337,0.0,1.0
2024-09-16,6.22,6.35,6.145,6.22,6.22,660746,0.0,1.0
2024-09-13,6.23,6.3,6.17,6.22,6.22,304194,0.0,1.0
2024-09-12,6.21,6.27,6.06,6.15,6.15,518638,0.0,1.0
2024-09-11,6.24,6.26,6.085,6.19,6.19,742402,0.0,1.0
2024-09-10,6.15,6.255,6.085,6.23,6.23,412569,0.0,1.0
2024-09-09,6.2,6.3,6.13,6.15,6.15,505668,0.0,1.0
2024-09-06,6.42,6.48,6.13,6.15,6.15,461505,0.0,1.0
2024-09-05,6.63,6.64,6.17,6.38,6.38,1212422,0.0,1.0
2024-09-04,6.38,6.835,6.34,6.58,6.58,768274,0.0,1.0
2024-09-03,6.81,6.875,6.37,6.38,6.38,792792,0.0,1.0
2024-08-30,6.73,6.865,6.64,6.84,6.84,2245789,0.0,1.0
2024-08-29,6.62,6.829,6.58,6.69,6.69,486689,0.0,1.0
2024-08-28,6.56,6.65,6.52,6.61,6.61,433289,0.0,1.0
2024-08-27,6.7,6.76,6.55,6.57,6.57,576020,0.0,1.0
2024-08-26,6.93,6.975,6.69,6.72,6.72,652522,0.0,1.0
2024-08-23,6.65,6.93,6.61,6.9,6.9,509108,0.0,1.0
2024-08-22,6.6,6.67,6.51,6.58,6.58,447033,0.0,1.0
2024-08-21,6.54,6.585,6.4001,6.57,6.57,692118,0.0,1.0
2024-08-20,6.51,6.63,6.37,6.46,6.46,433818,0.0,1.0
2024-08-19,6.26,6.56,6.2,6.55,6.55,736624,0.0,1.0
2024-08-16,6.26,6.305,6.21,6.26,6.26,311774,0.0,1.0
2024-08-15,6.3,6.325,6.18,6.27,6.27,454260,0.0,1.0
2024-08-14,6.31,6.31,6.07,6.15,6.15,633226,0.0,1.0
2024-08-13,6.32,6.37,6.17,6.28,6.28,566622,0.0,1.0
2024-08-12,6.43,6.46,6.225,6.26,6.26,745344,0.0,1.0
2024-08-09,6.4,6.46,6.305,6.4,6.4,753442,0.0,1.0
2024-08-08,6.38,6.47,6.25,6.38,6.38,742187,0.0,1.0
2024-08-07,6.51,6.68,6.255,6.27,6.27,1047171,0.0,1.0
2024-08-06,6.31,6.49,6.22,6.38,6.38,817008,0.0,1.0
2024-08-05,6.09,6.285,6.0,6.25,6.25,1180614,0.0,1.0
2024-08-02,6.6,6.65,6.35,6.46,6.46,1176019,0.0,1.0
2024-08-01,6.5,6.82,6.5,6.68,6.68,2020838,0.0,1.0
2024-07-31,7.56,7.67,7.44,7.45,7.45,967289,0.0,1.0
2024-07-30,7.66,7.92,7.5437,7.59,7.59,798064,0.0,1.0
2024-07-29,7.73,7.73,7.565,7.62,7.62,510333,0.0,1.0
2024-07-26,7.82,7.85,7.63,7.76,7.76,628757,0.0,1.0
2024-07-25,7.43,7.83,7.38,7.71,7.71,659349,0.0,1.0
2024-07-24,7.46,7.57,7.36,7.38,7.38,746006,0.0,1.0
2024-07-23,7.34,7.66,7.34,7.55,7.55,518882,0.0,1.0
2024-07-22,7.18,7.425,7.18,7.4,7.4,476264,0.0,1.0
2024-07-19,7.32,7.355,7.14,7.16,7.16,374818,0.0,1.0
2024-07-18,7.45,7.57,7.29,7.29,7.29,515505,0.0,1.0
2024-07-17,7.36,7.5,7.29,7.46,7.46,499272,0.0,1.0
2024-07-16,7.19,7.49,7.18,7.48,7.48,583480,0.0,1.0
2024-07-15,7.22,7.25,7.09,7.13,7.13,480468,0.0,1.0
2024-07-12,7.18,7.24,7.005,7.13,7.13,450426,0.0,1.0
2024-07-11,7.04,7.16,6.94,7.11,7.11,625478,0.0,1.0
2024-07-10,6.87,6.89,6.75,6.85,6.85,490163,0.0,1.0
2024-07-09,6.81,6.83,6.75,6.83,6.83,252408,0.0,1.0
2024-07-08,6.88,6.98,6.79,6.81,6.81,423624,0.0,1.0
2024-07-05,6.82,6.87,6.7,6.79,6.79,502981,0.0,1.0
2024-07-03,6.77,6.83,6.74,6.82,6.82,314851,0.0,1.0
2024-07-02,6.93,7.01,6.71,6.78,6.78,575687,0.0,1.0
2024-07-01,6.95,6.99,6.665,6.7,6.7,607558,0.0,1.0
2024-06-28,6.8,6.935,6.7,6.93,6.93,3483163,0.0,1.0
2024-06-27,6.73,6.77,6.645,6.76,6.76,415057,0.0,1.0
2024-06-26,6.74,6.75,6.59,6.67,6.67,487835,0.0,1.0
2024-06-25,6.77,6.865,6.75,6.79,6.79,604877,0.0,1.0
2024-06-24,6.87,6.92,6.74,6.8,6.8,714359,0.0,1.0
2024-06-21,6.84,6.95,6.74,6.87,6.87,2351267,0.0,1.0
2024-06-20,6.85,6.9485,6.755,6.78,6.78,654567,0.0,1.0
2024-06-18,6.9,6.94,6.79,6.91,6.91,702404,0.0,1.0
2024-06-17,6.83,6.88,6.71,6.87,6.87,725043,0.0,1.0
2024-06-14,6.84,6.97,6.76,6.83,6.83,447465,0.0,1.0
2024-06-13,7.16,7.19,6.87,6.91,6.91,454465,0.0,1.0
2024-06-12,7.21,7.32,7.0203,7.16,7.16,562144,0.0,1.0
2024-06-11,6.93,7.04,6.912,6.98,6.98,473358,0.0,1.0
2024-06-10,6.92,7.01,6.66,6.99,6.99,1046701,0.0,1.0
2024-06-07,7.1,7.21,7.03,7.03,7.03,485259,0.0,1.0
2024-06-06,7.36,7.42,7.13,7.15,7.15,571431,0.0,1.0
2024-06-05,7.31,7.435,7.226,7.39,7.39,515228,0.0,1.0
2024-06-04,7.11,7.31,7.06,7.26,7.26,683069,0.0,1.0
2024-06-03,7.23,7.28,7.01,7.1,7.1,643422,0.0,1.0
2024-05-31,7.16,7.19,7.005,7.15,7.15,604101,0.0,1.0
2024-05-30,7.2,7.286,7.055,7.12,7.12,644434,0.0,1.0
2024-05-29,7.36,7.46,7.14,7.15,7.15,596049,0.0,1.0
2024-05-28,7.78,7.81,7.49,7.51,7.51,906310,0.0,1.0
2024-05-24,7.82,8.0,7.72,7.75,7.75,677127,0.0,1.0
2024-05-23,7.8,7.935,7.735,7.77,7.77,802424,0.0,1.0
2024-05-22,7.91,7.975,7.82,7.85,7.85,494455,0.0,1.0
2024-05-21,7.98,7.995,7.89,7.95,7.95,580476,0.0,1.0
2024-05-20,7.77,8.0,7.55,8.0,8.0,576592,0.0,1.0
2024-05-17,7.9,7.935,7.785,7.8,7.8,563864,0.0,1.0
2024-05-16,8.1,8.24,7.87,7.89,7.89,709087,0.0,1.0
2024-05-15,8.0,8.09,7.87,8.08,8.08,693667,0.0,1.0
2024-05-14,7.9,7.99,7.7725,7.88,7.88,842809,0.0,1.0
2024-05-13,7.47,7.92,7.44,7.9,7.9,1031594,0.0,1.0
2024-05-10,7.25,7.46,7.25,7.45,7.45,717136,0.0,1.0
2024-05-09,7.2,7.27,7.175,7.24,7.24,511962,0.0,1.0
2024-05-08,7.2,7.31,7.19,7.2,7.2,668479,0.0,1.0
2024-05-07,7.13,7.425,7.13,7.29,7.29,708154,0.0,1.0
2024-05-06,7.41,7.425,7.085,7.13,7.13,581620,0.0,1.0
2024-05-03,7.65,7.7505,7.36,7.37,7.37,832074,0.0,1.0
2024-05-02,7.32,7.58,7.21,7.5,7.5,1066184,0.0,1.0
2024-05-01,6.46,7.4,6.33,7.31,7.31,2337260,0.0,1.0
2024-04-30,6.2,6.28,6.12,6.16,6.16,1014662,0.0,1.0
2024-04-29,6.3,6.39,6.235,6.26,6.26,1003507,0.0,1.0
2024-04-26,6.25,6.315,6.18,6.27,6.27,604808,0.0,1.0
2024-04-25,6.1,6.3,5.6501,6.245,6.245,1588525,0.0,1.0
2024-04-24,6.49,6.51,6.365,6.43,6.43,648231,0.0,1.0
2024-04-23,6.35,6.575,6.29,6.51,6.51,747532,0.0,1.0
2024-04-22,6.34,6.4,6.25,6.36,6.36,623570,0.0,1.0
2024-04-19,6.11,6.3,6.1,6.29,6.29,691192,0.0,1.0
2024-04-18,6.34,6.39,6.155,6.16,6.16,542394,0.0,1.0
2024-04-17,6.27,6.405,6.2,6.33,6.33,875032,0.0,1.0
2024-04-16,6.31,6.35,6.19,6.23,6.23,487711,0.0,1.0
2024-04-15,6.44,6.47,6.34,6.35,6.35,503722,0.0,1.0
2024-04-12,6.58,6.62,6.39,6.44,6.44,514312,0.0,1.0
2024-04-11,6.61,6.635,6.465,6.61,6.61,888776,0.0,1.0
2024-04-10,6.79,6.95,6.45,6.55,6.55,1132250,0.0,1.0
2024-04-09,6.9,7.02,6.84,7.02,7.02,496727,0.0,1.0
2024-04-08,7.04,7.04,6.875,6.9,6.9,620254,0.0,1.0
2024-04-05,6.97,7.09,6.9196,7.0,7.0,499664,0.0,1.0
2024-04-04,7.06,7.17,7.0,7.02,7.02,834920,0.0,1.0
2024-04-03,6.88,7.115,6.8016,7.01,7.01,884381,0.0,1.0
2024-04-02,7.37,7.405,6.835,6.88,6.88,1370343,0.0,1.0
2024-04-01,7.67,7.73,7.3,7.45,7.45,1095622,0.0,1.0
2024-03-28,7.61,7.71,7.595,7.7,7.7,943504,0.0,1.0
2024-03-27,7.64,7.82,7.24,7.61,7.61,1821742,0.0,1.0
2024-03-26,7.92,7.92,7.61,7.62,7.62,739261,0.0,1.0
2024-03-25,8.05,8.12,7.78,7.83,7.83,746715,0.0,1.0
2024-03-22,8.17,8.17,8.02,8.04,8.04,576860,0.0,1.0
2024-03-21,8.27,8.43,8.15,8.16,8.16,799196,0.0,1.0
2024-03-20,8.0,8.22,8.0,8.2,8.2,650972,0.0,1.0
2024-03-19,7.86,8.095,7.85,8.05,8.05,941379,0.0,1.0
2024-03-18,7.86,7.97,7.75,7.88,7.88,868926,0.0,1.0
2024-03-15,7.72,7.96,7.72,7.88,7.88,1836671,0.0,1.0
2024-03-14,7.9,7.91,7.71,7.8,7.8,1009007,0.0,1.0
2024-03-13,8.0,8.1,7.9,7.95,7.95,1197997,0.0,1.0
2024-03-12,8.03,8.1,7.965,7.99,7.99,903673,0.0,1.0
2024-03-11,8.14,8.16,7.96,8.0,8.0,963073,0.0,1.0
2024-03-08,8.28,8.36,8.1,8.16,8.16,570220,0.0,1.0
2024-03-07,8.07,8.24,8.06,8.15,8.15,565218,0.0,1.0
