,MED_Open,MED_High,MED_Low,MED_Close,MED_Adj Close,MED_Volume,MED_Dividend Amount,MED_Split Coefficient
2024-10-07,18.34,18.68,18.135,18.57,18.57,116696,0.0,1.0
2024-10-04,18.52,18.74,18.01,18.44,18.44,165815,0.0,1.0
2024-10-03,18.24,18.51,17.865,18.28,18.28,176808,0.0,1.0
2024-10-02,19.1,19.165,18.275,18.35,18.35,154487,0.0,1.0
2024-10-01,19.08,19.38,18.76,19.22,19.22,187181,0.0,1.0
2024-09-30,19.23,19.73,19.09,19.14,19.14,133468,0.0,1.0
2024-09-27,19.36,19.96,19.2,19.25,19.25,118711,0.0,1.0
2024-09-26,18.69,19.6915,18.5,19.09,19.09,196492,0.0,1.0
2024-09-25,19.16,19.16,18.0478,18.4,18.4,211874,0.0,1.0
2024-09-24,18.88,19.19,18.84,19.15,19.15,109719,0.0,1.0
2024-09-23,18.61,19.1,18.41,18.8,18.8,205863,0.0,1.0
2024-09-20,18.95,18.95,18.42,18.68,18.68,534923,0.0,1.0
2024-09-19,19.15,19.2196,18.8478,18.99,18.99,117188,0.0,1.0
2024-09-18,19.2,19.73,18.8,18.82,18.82,149122,0.0,1.0
2024-09-17,18.77,19.2,18.57,19.18,19.18,168018,0.0,1.0
2024-09-16,18.89,19.125,18.57,18.62,18.62,214560,0.0,1.0
2024-09-13,19.04,19.35,18.72,18.9,18.9,169770,0.0,1.0
2024-09-12,18.26,18.84,17.74,18.77,18.77,171271,0.0,1.0
2024-09-11,18.76,18.76,17.9136,18.26,18.26,174037,0.0,1.0
2024-09-10,18.17,18.89,17.97,18.89,18.89,214622,0.0,1.0
2024-09-09,18.42,18.5,17.93,18.12,18.12,176401,0.0,1.0
2024-09-06,19.26,19.95,18.465,18.51,18.51,230085,0.0,1.0
2024-09-05,18.94,19.64,18.845,19.19,19.19,148122,0.0,1.0
2024-09-04,17.87,19.07,17.74,18.94,18.94,254280,0.0,1.0
2024-09-03,18.27,18.8,17.73,17.94,17.94,223317,0.0,1.0
2024-08-30,18.64,18.99,18.07,18.3,18.3,229903,0.0,1.0
2024-08-29,18.92,19.255,18.51,18.6,18.6,319160,0.0,1.0
2024-08-28,19.12,19.45,18.64,18.83,18.83,167524,0.0,1.0
2024-08-27,19.25,19.8,18.9,19.15,19.15,223094,0.0,1.0
2024-08-26,20.06,20.3399,19.23,19.34,19.34,365104,0.0,1.0
2024-08-23,19.26,20.47,19.26,19.98,19.98,181783,0.0,1.0
2024-08-22,19.53,19.53,18.85,19.01,19.01,245434,0.0,1.0
2024-08-21,19.58,19.58,19.085,19.45,19.45,139997,0.0,1.0
2024-08-20,19.41,19.5,18.93,19.42,19.42,146927,0.0,1.0
2024-08-19,18.47,19.7,18.2115,19.41,19.41,403699,0.0,1.0
2024-08-16,18.46,18.72,18.13,18.33,18.33,256160,0.0,1.0
2024-08-15,19.05,19.41,18.45,18.45,18.45,244955,0.0,1.0
2024-08-14,19.18,19.18,18.4613,18.7,18.7,335812,0.0,1.0
2024-08-13,19.36,19.665,18.9001,19.09,19.09,297535,0.0,1.0
2024-08-12,19.51,19.51,18.88,19.32,19.32,349035,0.0,1.0
2024-08-09,19.75,20.3,19.18,19.53,19.53,302454,0.0,1.0
2024-08-08,19.86,19.86,18.87,19.75,19.75,445131,0.0,1.0
2024-08-07,20.49,21.66,19.88,19.91,19.91,463821,0.0,1.0
2024-08-06,19.5,21.1366,19.02,20.27,20.27,615303,0.0,1.0
2024-08-05,21.0,21.3,20.26,20.86,20.86,450378,0.0,1.0
2024-08-02,21.26,21.82,20.57,21.47,21.47,317149,0.0,1.0
