,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,META_Dividend Amount,META_Split Coefficient
2024-11-01,567.605,573.67,562.56,567.16,567.16,15237189,0.0,1.0
2024-10-31,585.0,589.9,563.01,567.58,567.58,26838395,0.0,1.0
2024-10-30,600.98,601.2,589.38,591.8,591.8,26864925,0.0,1.0
2024-10-29,580.145,593.67,575.398,593.28,593.28,13019092,0.0,1.0
2024-10-28,582.0,583.7499,574.12,578.16,578.16,10925131,0.0,1.0
2024-10-25,573.935,581.29,571.72,573.25,573.25,11337874,0.0,1.0
2024-10-24,567.125,568.8799,561.52,567.78,567.78,7184651,0.0,1.0
2024-10-23,579.97,585.0,562.5,563.69,563.69,14248419,0.0,1.0
2024-10-22,574.29,583.53,572.12,582.01,582.01,8544463,0.0,1.0
2024-10-21,576.03,577.2399,569.11,575.16,575.16,8171879,0.0,1.0
2024-10-18,581.1,583.9675,575.25,576.47,576.47,7694274,0.0,1.0
2024-10-17,583.33,584.97,575.2,576.93,576.93,8701158,0.0,1.0
2024-10-16,581.395,582.08,574.03,576.79,576.79,11268384,0.0,1.0
2024-10-15,590.16,590.61,580.143,586.27,586.27,9564236,0.0,1.0
2024-10-14,594.22,600.1,589.96,590.42,590.42,8251971,0.0,1.0
2024-10-11,584.83,591.21,582.71,589.95,589.95,8587051,0.0,1.0
2024-10-10,587.57,590.23,582.52,583.83,583.83,7740449,0.0,1.0
2024-10-09,593.99,594.39,581.61,590.51,590.51,9529707,0.0,1.0
2024-10-08,589.69,593.56,585.97,592.89,592.89,7857377,0.0,1.0
2024-10-07,598.22,602.95,584.04,584.78,584.78,12014198,0.0,1.0
2024-10-04,583.73,596.85,581.43,595.94,595.94,14199788,0.0,1.0
2024-10-03,570.15,583.36,568.73,582.77,582.77,11580980,0.0,1.0
2024-10-02,574.86,576.0,569.34,572.81,572.81,6524650,0.0,1.0
2024-10-01,577.98,583.04,570.1,576.47,576.47,15259274,0.0,1.0
2024-09-30,567.7,574.68,564.8,572.44,572.44,12807206,0.0,1.0
2024-09-27,570.1,570.8399,564.51,567.36,567.36,9398367,0.0,1.0
2024-09-26,575.73,577.4,562.3501,567.84,567.84,14400787,0.0,1.0
2024-09-25,564.05,576.88,563.72,568.31,568.31,16543350,0.0,1.0
2024-09-24,566.68,567.745,554.19,563.33,563.33,12992956,0.0,1.0
2024-09-23,569.5,573.9799,562.41,564.41,564.41,12830669,0.0,1.0
2024-09-20,560.0,564.5,556.3001,561.35,561.35,22066817,0.0,1.0
2024-09-19,550.0,562.07,546.52,559.1,559.1,15646951,0.0,1.0
2024-09-18,537.065,544.2,533.9026,537.95,537.95,10323537,0.0,1.0
2024-09-17,537.6,542.1,530.57,536.315,536.315,11690779,0.0,1.0
2024-09-16,524.54,534.1,517.4,533.28,533.28,9527646,0.5,1.0
2024-09-13,520.34,527.581,517.11,524.62,524.128580313987,10321422,0.0,1.0
2024-09-12,517.05,526.71,515.22,525.6,525.107662332796,11993342,0.0,1.0
2024-09-11,507.01,513.12,495.6,511.83,511.350560905242,10782532,0.0,1.0
2024-09-10,508.16,514.18,500.0278,504.79,504.317155382367,9899022,0.0,1.0
2024-09-09,506.16,511.33,502.08,504.79,504.317155382367,11047828,0.0,1.0
2024-09-06,521.88,524.5849,498.25,500.27,499.801389336431,14744521,0.0,1.0
2024-09-05,511.72,521.6295,511.15,516.86,516.375849226273,8640888,0.0,1.0
2024-09-04,506.07,516.59,504.07,512.74,512.259708494136,8255543,0.0,1.0
2024-09-03,519.64,525.49,508.6176,511.76,511.280626475327,12459113,0.0,1.0
2024-08-30,521.35,523.54,515.2,521.31,520.821680842295,9157541,0.0,1.0
2024-08-29,519.05,527.2,515.6789,518.22,517.734575293192,8317424,0.0,1.0
2024-08-28,517.675,521.085,512.45,516.78,516.295924163513,9106077,0.0,1.0
2024-08-27,518.98,524.01,515.31,519.1,518.613750983551,6282720,0.0,1.0
2024-08-26,527.6,528.0,514.95,521.12,520.63185881824,9584002,0.0,1.0
2024-08-23,536.92,539.87,525.06,528.0,527.505414215594,11323936,0.0,1.0
2024-08-22,537.0,544.23,528.59,531.93,531.431732923676,15708292,0.0,1.0
2024-08-21,527.15,539.4,526.935,535.16,534.658707332609,13423292,0.0,1.0
2024-08-20,528.35,531.09,525.88,526.73,526.23660384428,7944391,0.0,1.0
2024-08-19,526.87,531.66,522.76,529.28,528.784215219753,9879713,0.0,1.0
2024-08-16,531.9,533.66,524.66,527.42,526.925957510585,14776684,0.0,1.0
2024-08-15,531.79,539.77,526.7,537.33,536.826674659972,13482141,0.0,1.0
2024-08-14,528.06,534.0,523.13,526.76,526.266575742815,11444189,0.0,1.0
2024-08-13,520.01,531.4999,518.15,528.54,528.044908389224,13743839,0.0,1.0
2024-08-12,516.86,518.02,509.1,515.95,515.466701637379,9767422,0.0,1.0
2024-08-09,507.71,518.34,505.7,517.77,517.284996815167,13696640,0.0,1.0
2024-08-08,497.5,509.96,494.72,509.63,509.152621679344,16156843,0.0,1.0
2024-08-07,503.13,510.15,486.86,488.92,488.462021057364,20105307,0.0,1.0
2024-08-06,479.0,502.56,478.65,494.09,493.627178238225,20954959,0.0,1.0
2024-08-05,451.345,483.48,450.8,475.73,475.28437633482,21396191,0.0,1.0
2024-08-02,489.0,501.145,476.15,488.14,487.682751695455,24044658,0.0,1.0
2024-08-01,521.0,527.1709,492.1,497.74,497.273759226648,43083082,0.0,1.0
2024-07-31,471.02,476.5,466.75,474.83,474.38521937877,24285777,0.0,1.0
2024-07-30,467.0,472.73,456.7,463.19,462.756122747199,11390439,0.0,1.0
2024-07-29,469.88,473.96,465.02,465.71,465.273762224137,11339630,0.0,1.0
2024-07-26,464.195,469.77,459.42,465.7,465.263771591292,14222388,0.0,1.0
2024-07-25,463.26,463.548,442.65,453.41,452.985283824797,18240489,0.0,1.0
2024-07-24,472.305,476.3,460.58,461.27,460.837921240961,17649738,0.0,1.0
2024-07-23,489.84,495.22,487.72,488.69,488.23223650193,9455527,0.0,1.0
2024-07-22,486.575,492.06,483.9,487.4,486.943444864926,12023088,0.0,1.0
2024-07-19,476.06,486.71,475.71,476.79,476.343383416389,15149416,0.0,1.0
2024-07-18,475.0,479.2393,464.54,475.85,475.40426392896,19267160,0.0,1.0
2024-07-17,479.17,479.17,459.12,461.99,461.5572468058,28076595,0.0,1.0
2024-07-16,501.5,503.9499,485.79,489.79,489.331206114879,14075833,0.0,1.0
2024-07-15,498.63,506.6799,493.37,496.16,495.695239237139,12539163,0.0,1.0
2024-07-12,497.755,508.09,494.23,498.87,498.402700738132,19750544,0.0,1.0
2024-07-11,530.89,535.46,508.3733,512.7,512.219745962756,16458253,0.0,1.0
2024-07-10,530.79,538.88,528.36,534.69,534.189147588894,10983276,0.0,1.0
2024-07-09,533.75,537.48,528.1901,530.0,529.503540784593,8769088,0.0,1.0
2024-07-08,542.35,542.81,526.65,529.32,528.824177751134,14917495,0.0,1.0
2024-07-05,511.6,540.87,511.6,539.91,539.40425793398,21354093,0.0,1.0
2024-07-03,506.37,511.28,506.02,509.96,509.482312563228,6005615,0.0,1.0
2024-07-02,500.76,510.5,499.45,509.5,509.022743452359,7739479,0.0,1.0
2024-07-01,504.95,506.58,493.17,504.68,504.207258421072,10328150,0.0,1.0
2024-06-28,517.15,521.88,503.84,504.22,503.747689310203,15855137,0.0,1.0
2024-06-27,514.25,522.8799,513.9,519.56,519.073320094421,10121199,0.0,1.0
2024-06-26,506.645,513.81,504.6765,513.12,512.639352542246,8882337,0.0,1.0
2024-06-25,497.05,510.71,495.5,510.6,510.121713065308,12109769,0.0,1.0
2024-06-24,499.2,507.8,494.29,498.91,498.442663269512,13525278,0.0,1.0
2024-06-21,503.45,503.45,492.39,494.78,494.31653190453,23130732,0.0,1.0
2024-06-20,502.0,503.67,496.77,501.7,501.230049833265,11801182,0.0,1.0
2024-06-18,504.56,506.0,495.02,499.49,499.022119974521,13060425,0.0,1.0
2024-06-17,501.67,510.75,496.01,506.63,506.155431825846,11266601,0.0,1.0
2024-06-14,502.65,507.15,500.75,504.16,503.687745513133,10243347,0.5,1.0
2024-06-13,505.71,509.36,501.36,504.1,503.12882438309,9954621,0.0,1.0
2024-06-12,513.99,514.01,504.47,508.84,507.859692519523,11983227,0.0,1.0
2024-06-11,500.16,507.6,498.27,507.47,506.492331897811,9673715,0.0,1.0
2024-06-10,493.86,502.66,493.41,502.6,501.631714213333,11236919,0.0,1.0
2024-06-07,495.91,498.91,490.1701,492.96,492.010286189026,9380745,0.0,1.0
2024-06-06,492.98,502.82,490.89,493.76,492.80874494623,10667339,0.0,1.0
2024-06-05,484.45,496.65,483.91,495.06,494.106240426686,15690484,0.0,1.0
2024-06-04,477.0,478.89,473.2322,476.99,476.071053248344,7088718,0.0,1.0
2024-06-03,470.86,479.6,468.24,477.49,476.570089971596,11279390,0.0,1.0
2024-05-31,465.8,469.12,454.4601,466.83,465.930627031855,16919805,0.0,1.0
2024-05-30,471.67,471.73,464.71,467.05,466.150203190086,10735226,0.0,1.0
2024-05-29,474.66,479.85,473.7,474.36,473.446120084036,9226218,0.0,1.0
2024-05-28,476.575,480.86,474.84,479.92,478.995408446603,10175770,0.0,1.0
2024-05-24,467.62,479.8499,466.3,478.22,477.298683587545,12024254,0.0,1.0
