,MMSI_Open,MMSI_High,MMSI_Low,MMSI_Close,MMSI_Adj Close,MMSI_Volume,MMSI_Dividend Amount,MMSI_Split Coefficient
2024-10-07,95.18,95.66,94.35,94.69,94.69,308305,0.0,1.0
2024-10-04,96.41,96.61,95.44,95.63,95.63,200904,0.0,1.0
2024-10-03,96.26,96.6,95.7,95.9,95.9,281234,0.0,1.0
2024-10-02,97.09,97.825,96.32,96.62,96.62,332779,0.0,1.0
2024-10-01,98.41,98.71,97.425,97.61,97.61,317353,0.0,1.0
2024-09-30,97.55,99.353,97.52,98.83,98.83,541120,0.0,1.0
2024-09-27,98.13,98.94,97.46,97.68,97.68,210787,0.0,1.0
2024-09-26,98.2,98.405,97.3,97.55,97.55,344722,0.0,1.0
2024-09-25,99.92,100.88,97.92,98.18,98.18,330895,0.0,1.0
2024-09-24,99.85,100.025,99.135,99.6,99.6,271249,0.0,1.0
2024-09-23,99.93,101.6,99.32,100.0,100.0,353681,0.0,1.0
2024-09-20,100.2,100.2975,98.9,99.56,99.56,938253,0.0,1.0
2024-09-19,99.22,101.255,99.005,100.23,100.23,555851,0.0,1.0
2024-09-18,98.01,100.29,97.27,98.71,98.71,429543,0.0,1.0
2024-09-17,99.65,100.325,98.385,98.51,98.51,589964,0.0,1.0
2024-09-16,97.99,100.1,97.87,99.64,99.64,765652,0.0,1.0
2024-09-13,96.34,97.1575,95.91,96.16,96.16,475731,0.0,1.0
2024-09-12,97.3,97.565,95.92,95.98,95.98,486401,0.0,1.0
2024-09-11,96.3,97.4,95.295,97.15,97.15,283652,0.0,1.0
2024-09-10,97.43,98.03,95.45,96.76,96.76,530947,0.0,1.0
2024-09-09,96.85,98.04,96.575,97.46,97.46,477516,0.0,1.0
2024-09-06,97.35,98.0236,95.79,96.58,96.58,595337,0.0,1.0
2024-09-05,96.26,97.44,95.27,97.41,97.41,404743,0.0,1.0
2024-09-04,95.58,96.6703,93.2664,96.26,96.26,319346,0.0,1.0
2024-09-03,95.16,96.7,95.16,95.57,95.57,603098,0.0,1.0
2024-08-30,96.28,96.985,95.61,96.68,96.68,472852,0.0,1.0
2024-08-29,96.0,96.85,95.2,96.0,96.0,303178,0.0,1.0
2024-08-28,94.27,96.23,94.12,95.81,95.81,470306,0.0,1.0
2024-08-27,93.15,94.37,93.14,93.83,93.83,362918,0.0,1.0
2024-08-26,93.83,93.94,92.63,93.07,93.07,182431,0.0,1.0
2024-08-23,92.63,93.5,92.35,93.29,93.29,277782,0.0,1.0
2024-08-22,92.34,92.985,91.915,92.17,92.17,268904,0.0,1.0
2024-08-21,90.82,92.0,90.37,91.95,91.95,408365,0.0,1.0
2024-08-20,91.34,91.36,90.15,90.92,90.92,820785,0.0,1.0
2024-08-19,91.05,91.25,90.605,91.02,91.02,320592,0.0,1.0
2024-08-16,90.57,91.75,90.23,90.87,90.87,368096,0.0,1.0
2024-08-15,91.5,91.5,90.43,90.56,90.56,505011,0.0,1.0
2024-08-14,90.84,91.12,90.07,90.36,90.36,236969,0.0,1.0
2024-08-13,91.03,91.85,90.56,91.03,91.03,325198,0.0,1.0
2024-08-12,90.54,91.565,89.84,90.21,90.21,750397,0.0,1.0
2024-08-09,90.72,90.96,89.35,90.49,90.49,548032,0.0,1.0
2024-08-08,89.5,91.215,89.26,90.82,90.82,387156,0.0,1.0
2024-08-07,90.0,90.57,88.31,88.66,88.66,342120,0.0,1.0
2024-08-06,87.4,89.87,87.3,89.58,89.58,465607,0.0,1.0
2024-08-05,86.36,89.47,86.195,87.44,87.44,494852,0.0,1.0
2024-08-02,87.06,90.6,82.62,88.74,88.74,1093252,0.0,1.0
2024-08-01,84.81,85.98,83.1,84.12,84.12,519009,0.0,1.0
2024-07-31,85.26,86.1,83.995,85.29,85.29,702065,0.0,1.0
2024-07-30,86.05,86.73,84.735,85.0,85.0,381369,0.0,1.0
2024-07-29,85.79,85.88,83.42,85.64,85.64,441179,0.0,1.0
2024-07-26,85.56,85.94,84.68,85.52,85.52,293389,0.0,1.0
2024-07-25,87.06,87.87,84.99,85.0,85.0,306991,0.0,1.0
2024-07-24,86.26,87.835,85.15,87.0,87.0,388836,0.0,1.0
2024-07-23,85.81,87.09,85.78,86.53,86.53,409823,0.0,1.0
2024-07-22,85.68,86.1,85.2,85.78,85.78,450439,0.0,1.0
2024-07-19,85.84,86.16,84.34,85.49,85.49,379426,0.0,1.0
2024-07-18,86.49,87.92,84.96,85.4,85.4,472142,0.0,1.0
2024-07-17,86.76,88.85,86.56,86.64,86.64,421429,0.0,1.0
2024-07-16,86.59,87.78,86.13,87.06,87.06,625653,0.0,1.0
2024-07-15,86.64,87.69,85.23,85.65,85.65,345059,0.0,1.0
2024-07-12,88.12,88.29,86.21,86.34,86.34,354059,0.0,1.0
2024-07-11,88.06,88.3638,86.97,87.33,87.33,311083,0.0,1.0
2024-07-10,86.25,87.44,85.67,87.19,87.19,443650,0.0,1.0
2024-07-09,84.51,86.64,84.51,85.95,85.95,623980,0.0,1.0
2024-07-08,86.01,86.29,84.26,84.39,84.39,429637,0.0,1.0
2024-07-05,85.58,86.38,85.46,85.53,85.53,305262,0.0,1.0
2024-07-03,86.89,86.89,85.59,85.85,85.85,170273,0.0,1.0
2024-07-02,86.86,87.44,85.98,86.5,86.5,409003,0.0,1.0
2024-07-01,85.73,86.39,85.085,85.64,85.64,626377,0.0,1.0
2024-06-28,84.49,86.44,84.3,85.95,85.95,1366570,0.0,1.0
2024-06-27,83.39,83.83,82.35,83.44,83.44,588563,0.0,1.0
2024-06-26,82.46,83.21,82.04,82.96,82.96,445224,0.0,1.0
2024-06-25,83.35,83.98,82.575,82.76,82.76,315193,0.0,1.0
2024-06-24,82.52,83.89,82.24,83.44,83.44,309059,0.0,1.0
2024-06-21,81.65,82.26,80.98,82.21,82.21,626533,0.0,1.0
2024-06-20,81.07,82.51,80.84,81.51,81.51,260503,0.0,1.0
2024-06-18,80.95,81.95,80.02,81.34,81.34,356880,0.0,1.0
2024-06-17,81.08,81.71,80.7,80.71,80.71,428606,0.0,1.0
2024-06-14,81.68,82.69,81.05,81.8,81.8,251988,0.0,1.0
2024-06-13,82.8,83.225,82.1,82.73,82.73,279021,0.0,1.0
2024-06-12,84.0,84.31,82.1083,83.25,83.25,457268,0.0,1.0
2024-06-11,82.01,82.57,81.27,82.41,82.41,530874,0.0,1.0
2024-06-10,81.7,82.4,81.325,82.22,82.22,365633,0.0,1.0
2024-06-07,82.74,83.15,82.135,82.38,82.38,160203,0.0,1.0
2024-06-06,82.93,83.94,82.87,83.56,83.56,163641,0.0,1.0
2024-06-05,83.0,83.575,82.56,83.33,83.33,191684,0.0,1.0
2024-06-04,81.01,82.85,81.0,82.79,82.79,207622,0.0,1.0
2024-06-03,81.82,82.47,81.565,82.18,82.18,209529,0.0,1.0
2024-05-31,80.91,82.0,80.89,81.15,81.15,396253,0.0,1.0
2024-05-30,80.39,81.39,80.38,80.91,80.91,210705,0.0,1.0
2024-05-29,80.57,81.3,80.28,80.43,80.43,276328,0.0,1.0
2024-05-28,82.01,82.17,81.06,81.5,81.5,156969,0.0,1.0
2024-05-24,81.42,82.06,80.795,81.92,81.92,213820,0.0,1.0
2024-05-23,82.08,82.08,80.62,80.9,80.9,368905,0.0,1.0
2024-05-22,81.91,82.68,81.45,82.14,82.14,253234,0.0,1.0
2024-05-21,82.75,83.04,82.11,82.31,82.31,520756,0.0,1.0
2024-05-20,81.84,83.235,81.79,83.06,83.06,250877,0.0,1.0
2024-05-17,82.4,82.83,81.29,81.89,81.89,287535,0.0,1.0
2024-05-16,83.42,83.79,82.16,82.26,82.26,391482,0.0,1.0
2024-05-15,82.68,84.04,82.216,83.75,83.75,463142,0.0,1.0
2024-05-14,81.83,82.615,81.02,82.4,82.4,401719,0.0,1.0
2024-05-13,81.04,81.87,80.58,80.83,80.83,480489,0.0,1.0
2024-05-10,80.35,81.02,80.07,80.83,80.83,345024,0.0,1.0
2024-05-09,79.43,80.61,79.4,80.11,80.11,218229,0.0,1.0
2024-05-08,79.81,80.42,78.89,79.11,79.11,325879,0.0,1.0
2024-05-07,79.79,81.54,79.55,80.44,80.44,321675,0.0,1.0
2024-05-06,79.31,79.73,78.73,79.51,79.51,307417,0.0,1.0
2024-05-03,77.22,79.11,76.95,78.97,78.97,263069,0.0,1.0
2024-05-02,76.66,78.12,76.515,77.02,77.02,493142,0.0,1.0
2024-05-01,74.66,78.57,74.07,76.63,76.63,830343,0.0,1.0
2024-04-30,74.54,75.12,73.67,74.1,74.1,592592,0.0,1.0
2024-04-29,73.68,75.195,73.68,75.09,75.09,260143,0.0,1.0
2024-04-26,73.4,74.21,73.4,73.78,73.78,283441,0.0,1.0
2024-04-25,73.58,74.2296,72.81,73.38,73.38,341471,0.0,1.0
2024-04-24,73.69,74.64,73.37,74.03,74.03,248079,0.0,1.0
2024-04-23,73.44,75.04,73.44,74.18,74.18,381140,0.0,1.0
2024-04-22,72.12,73.385,71.57,73.25,73.25,289012,0.0,1.0
2024-04-19,70.7,72.63,70.7,72.03,72.03,533932,0.0,1.0
2024-04-18,71.51,72.06,70.82,70.99,70.99,269998,0.0,1.0
2024-04-17,72.88,72.97,71.28,71.51,71.51,287571,0.0,1.0
2024-04-16,71.94,72.91,71.29,72.75,72.75,174911,0.0,1.0
2024-04-15,73.0,73.634,71.7,71.96,71.96,381615,0.0,1.0
2024-04-12,73.06,73.81,71.72,72.63,72.63,243934,0.0,1.0
2024-04-11,73.07,74.09,72.2,73.57,73.57,264701,0.0,1.0
2024-04-10,71.54,72.57,71.41,71.95,71.95,345002,0.0,1.0
2024-04-09,72.94,73.52,71.96,72.51,72.51,222512,0.0,1.0
2024-04-08,72.58,73.16,72.11,73.08,73.08,397600,0.0,1.0
2024-04-05,71.75,72.8,71.52,72.35,72.35,253176,0.0,1.0
2024-04-04,73.43,73.93,71.82,71.94,71.94,433992,0.0,1.0
2024-04-03,72.4,73.36,72.03,72.85,72.85,213945,0.0,1.0
2024-04-02,74.44,74.44,71.96,72.29,72.29,405697,0.0,1.0
2024-04-01,75.93,76.36,74.73,75.13,75.13,307685,0.0,1.0
2024-03-28,75.49,76.37,75.13,75.75,75.75,314270,0.0,1.0
2024-03-27,73.58,75.52,73.58,75.46,75.46,488304,0.0,1.0
2024-03-26,73.19,73.47,72.46,72.91,72.91,453152,0.0,1.0
2024-03-25,72.45,73.01,72.195,72.79,72.79,312970,0.0,1.0
2024-03-22,72.62,73.11,72.09,72.31,72.31,304600,0.0,1.0
2024-03-21,73.33,73.68,72.49,73.07,73.07,316667,0.0,1.0
2024-03-20,72.91,73.29,72.335,72.89,72.89,419505,0.0,1.0
2024-03-19,72.47,73.48,71.7,73.1,73.1,345466,0.0,1.0
2024-03-18,71.7,72.92,70.95,72.2,72.2,325206,0.0,1.0
2024-03-15,71.45,72.12,70.86,71.86,71.86,734100,0.0,1.0
2024-03-14,72.74,72.74,71.365,71.93,71.93,604342,0.0,1.0
2024-03-13,73.8,74.05,72.58,73.01,73.01,379514,0.0,1.0
2024-03-12,74.32,74.61,73.22,73.91,73.91,687417,0.0,1.0
2024-03-11,74.95,75.64,74.13,74.61,74.61,553137,0.0,1.0
2024-03-08,75.75,76.99,75.19,75.2,75.2,305220,0.0,1.0
2024-03-07,75.25,76.27,75.11,75.37,75.37,371794,0.0,1.0
2024-03-06,75.49,75.49,74.49,74.85,74.85,333503,0.0,1.0
2024-03-05,76.61,76.85,75.0,75.11,75.11,655997,0.0,1.0
2024-03-04,75.9,76.78,75.78,76.51,76.51,517044,0.0,1.0
2024-03-01,76.72,76.94,75.63,76.26,76.26,441198,0.0,1.0
2024-02-29,81.15,81.15,75.01,76.2,76.2,938057,0.0,1.0
2024-02-28,80.29,80.93,79.34,80.13,80.13,540131,0.0,1.0
2024-02-27,80.32,80.985,79.645,80.48,80.48,280315,0.0,1.0
2024-02-26,79.48,80.88,79.1,79.78,79.78,169386,0.0,1.0
2024-02-23,79.64,80.73,79.41,79.81,79.81,301130,0.0,1.0
2024-02-22,79.13,79.91,78.82,79.8,79.8,321828,0.0,1.0
2024-02-21,79.37,79.72,78.61,79.31,79.31,706465,0.0,1.0
2024-02-20,78.61,80.175,78.61,79.95,79.95,538401,0.0,1.0
2024-02-16,79.2,81.1,78.715,79.45,79.45,306988,0.0,1.0
2024-02-15,80.09,80.295,79.23,79.57,79.57,289580,0.0,1.0
2024-02-14,79.3,79.56,78.28,79.37,79.37,411580,0.0,1.0
2024-02-13,78.27,79.955,77.37,78.56,78.56,631691,0.0,1.0
2024-02-12,79.77,80.66,79.25,79.97,79.97,305614,0.0,1.0
2024-02-09,79.5,80.52,79.32,79.98,79.98,512536,0.0,1.0
2024-02-08,77.46,79.42,77.09,79.2,79.2,452699,0.0,1.0
2024-02-07,78.61,78.646,77.395,77.8,77.8,292547,0.0,1.0
2024-02-06,78.28,79.28,77.8,78.62,78.62,310778,0.0,1.0
2024-02-05,78.65,79.93,78.34,78.36,78.36,313784,0.0,1.0
2024-02-02,79.27,79.965,78.23,79.31,79.31,291273,0.0,1.0
2024-02-01,78.57,80.08,77.35,80.03,80.03,466497,0.0,1.0
2024-01-31,79.4,80.005,78.29,78.3,78.3,338598,0.0,1.0
2024-01-30,80.24,80.43,78.895,79.01,79.01,273081,0.0,1.0
2024-01-29,78.18,80.32,77.91,80.26,80.26,430481,0.0,1.0
2024-01-26,78.5,78.5,77.36,78.12,78.12,288418,0.0,1.0
2024-01-25,80.69,81.4,77.99,78.23,78.23,915555,0.0,1.0
2024-01-24,81.52,81.99,79.84,79.88,79.88,804158,0.0,1.0
2024-01-23,81.53,81.88,79.98,81.0,81.0,695885,0.0,1.0
2024-01-22,79.67,81.3795,79.58,81.25,81.25,727058,0.0,1.0
2024-01-19,78.83,79.02,76.99,79.0,79.0,901838,0.0,1.0
2024-01-18,78.33,78.83,77.51,78.51,78.51,771170,0.0,1.0
2024-01-17,77.41,78.32,77.0,77.96,77.96,706143,0.0,1.0
2024-01-16,78.43,78.7316,77.87,78.0,78.0,444237,0.0,1.0
2024-01-12,79.47,79.87,78.5,79.0,79.0,463371,0.0,1.0
