,MON_Open,MON_High,MON_Low,MON_Close,MON_Adj Close,MON_Volume,MON_Dividend Amount,MON_Split Coefficient
2022-12-23,10.05,10.07,10.05,10.07,10.07,26349,0.0,1.0
2022-12-22,10.12,11.01,10.05,10.05,10.05,69372,0.0,1.0
2022-12-21,10.42,10.6,10.13,10.2,10.2,11575,0.0,1.0
2022-12-20,10.55,10.55,9.94,10.1956,10.1956,21380,0.0,1.0
2022-12-19,11.13,11.13,9.74,10.5672,10.5672,45006,0.0,1.0
2022-12-16,9.91,10.6,9.91,10.18,10.18,37378,0.0,1.0
2022-12-15,10.06,10.36,10.06,10.16,10.16,45346,0.0,1.0
2022-12-14,10.02,10.513,10.01,10.04,10.04,37184,0.0,1.0
2022-12-13,10.006,10.03,9.95,10.02,10.02,20188,0.0,1.0
2022-12-12,10.04,10.04,9.555,10.04,10.04,31768,0.0,1.0
2022-12-09,10.04,10.04,10.04,10.04,10.04,7044,0.0,1.0
2022-12-08,10.03,10.06,10.02,10.04,10.04,30916,0.0,1.0
2022-12-07,10.05,10.06,10.045,10.06,10.06,863566,0.0,1.0
2022-12-06,10.03,10.045,10.03,10.045,10.045,565811,0.0,1.0
2022-12-05,10.035,10.035,10.02,10.02,10.02,59767,0.0,1.0
2022-12-02,10.03,10.03,10.025,10.03,10.03,23149,0.0,1.0
2022-12-01,10.025,10.03,10.02,10.03,10.03,30914,0.0,1.0
2022-11-30,10.025,10.03,10.025,10.03,10.03,81502,0.0,1.0
2022-11-29,10.02,10.025,10.02,10.025,10.025,1303,0.0,1.0
2022-11-28,10.015,10.02,10.01,10.01,10.01,7174,0.0,1.0
2022-11-25,10.01,10.01,10.01,10.01,10.01,2801,0.0,1.0
2022-11-23,10.01,10.0161,10.01,10.01,10.01,1459,0.0,1.0
2022-11-22,10.01,10.01,10.01,10.01,10.01,24716,0.0,1.0
2022-11-21,9.995,9.995,9.995,9.995,9.995,6,0.0,1.0
2022-11-18,9.995,9.995,9.995,9.995,9.995,100,0.0,1.0
2022-11-17,9.995,9.995,9.995,9.995,9.995,4,0.0,1.0
2022-11-16,9.995,9.995,9.995,9.995,9.995,27,0.0,1.0
2022-11-15,9.995,9.995,9.995,9.995,9.995,3,0.0,1.0
2022-11-14,9.99,9.9992,9.99,9.995,9.995,3403,0.0,1.0
2022-11-11,10.0,10.0,10.0,10.0,10.0,127,0.0,1.0
