,MS_Open,MS_High,MS_Low,MS_Close,MS_Adj Close,MS_Volume,MS_Dividend Amount,MS_Split Coefficient
2024-10-07,107.69,108.92,107.27,107.64,107.64,4439928,0.0,1.0
2024-10-04,107.612,108.08,106.62,107.88,107.88,5609161,0.0,1.0
2024-10-03,103.58,104.7,103.16,104.57,104.57,4587217,0.0,1.0
2024-10-02,104.83,105.395,103.91,104.52,104.52,3293681,0.0,1.0
2024-10-01,104.18,105.19,103.06,104.42,104.42,5437427,0.0,1.0
2024-09-30,103.74,104.4,103.12,104.24,104.24,3378660,0.0,1.0
2024-09-27,104.93,105.14,104.015,104.11,104.11,3113293,0.0,1.0
2024-09-26,103.07,104.79,102.97,104.6,104.6,5183019,0.0,1.0
2024-09-25,102.75,102.805,101.7201,102.34,102.34,3825147,0.0,1.0
2024-09-24,102.77,102.88,101.95,102.58,102.58,4749752,0.0,1.0
2024-09-23,101.69,102.53,101.3071,102.47,102.47,3962451,0.0,1.0
2024-09-20,100.87,102.53,100.19,102.47,102.47,14513376,0.0,1.0
2024-09-19,101.22,101.43,99.52,100.73,100.73,9091873,0.0,1.0
2024-09-18,100.12,101.01,99.24,99.3,99.3,5195894,0.0,1.0
2024-09-17,100.68,100.82,99.44,99.84,99.84,4748588,0.0,1.0
2024-09-16,99.145,100.19,98.76,100.09,100.09,4467201,0.0,1.0
2024-09-13,96.87,98.74,96.85,98.25,98.25,5354881,0.0,1.0
2024-09-12,97.37,97.69,95.68,96.64,96.64,4752899,0.0,1.0
2024-09-11,95.49,97.14,94.09,97.03,97.03,6764081,0.0,1.0
2024-09-10,98.4,98.43,94.89,96.62,96.62,7798604,0.0,1.0
2024-09-09,97.755,99.02,97.595,98.18,98.18,5281476,0.0,1.0
2024-09-06,99.7,100.8,96.14,96.59,96.59,9246905,0.0,1.0
2024-09-05,101.0,101.3,99.12,99.56,99.56,4462452,0.0,1.0
2024-09-04,99.74,101.32,99.675,100.15,100.15,4209682,0.0,1.0
2024-09-03,102.85,103.255,98.46,99.27,99.27,6634120,0.0,1.0
2024-08-30,102.905,103.81,102.1,103.61,103.61,4951396,0.0,1.0
2024-08-29,102.92,102.92,101.282,102.6,102.6,3325667,0.0,1.0
2024-08-28,101.89,102.7,101.42,102.2,102.2,2836756,0.0,1.0
2024-08-27,102.46,102.852,102.04,102.08,102.08,2537170,0.0,1.0
2024-08-26,103.04,103.05,101.98,102.33,102.33,2678963,0.0,1.0
2024-08-23,100.94,102.58,100.82,101.89,101.89,3814813,0.0,1.0
2024-08-22,100.755,100.98,99.9,100.56,100.56,2777316,0.0,1.0
2024-08-21,101.1,101.23,99.96,100.69,100.69,3576018,0.0,1.0
2024-08-20,101.25,101.63,100.6,100.78,100.78,3396882,0.0,1.0
2024-08-19,101.52,102.04,101.3,101.75,101.75,4070505,0.0,1.0
2024-08-16,100.63,101.5,100.46,101.44,101.44,4159725,0.0,1.0
2024-08-15,100.8,101.205,100.15,100.64,100.64,5885080,0.0,1.0
2024-08-14,97.76,100.59,97.51,99.44,99.44,10161752,0.0,1.0
2024-08-13,95.77,96.795,94.95,96.71,96.71,5941612,0.0,1.0
2024-08-12,94.9,95.22,93.54,94.84,94.84,4196403,0.0,1.0
2024-08-09,94.29,95.12,94.02,94.72,94.72,3542800,0.0,1.0
2024-08-08,93.49,95.04,92.775,94.63,94.63,6592349,0.0,1.0
2024-08-07,94.61,95.33,92.01,92.11,92.11,7215738,0.0,1.0
2024-08-06,92.2,93.84,91.52,92.97,92.97,6068264,0.0,1.0
2024-08-05,92.65,93.37,90.94,92.07,92.07,9659510,0.0,1.0
2024-08-02,99.0,99.02,95.04,95.85,95.85,11120672,0.0,1.0
2024-08-01,103.745,103.9899,101.19,101.76,101.76,5678126,0.0,1.0
2024-07-31,103.08,104.32,102.25,103.21,103.21,5444595,0.925,1.0
2024-07-30,103.56,104.12,102.78,103.76,102.838331012628,6225723,0.0,1.0
2024-07-29,104.47,104.57,102.33,102.48,101.569700869064,5183399,0.0,1.0
2024-07-26,104.86,105.89,104.035,104.19,103.264511451481,6599639,0.0,1.0
2024-07-25,102.08,104.185,101.85,103.56,102.640107552696,5582494,0.0,1.0
2024-07-24,102.86,104.0,101.745,101.97,101.064231046238,7967609,0.0,1.0
2024-07-23,102.45,104.1699,102.18,103.5,102.580640514716,7400632,0.0,1.0
2024-07-22,102.47,103.225,101.95,102.44,101.530056177078,8931224,0.0,1.0
2024-07-19,104.71,104.715,101.73,102.09,101.183165122197,12555898,0.0,1.0
2024-07-18,106.53,107.63,104.33,104.81,103.87900417727,9130735,0.0,1.0
2024-07-17,105.09,107.71,104.53,106.96,106.009906371537,11411981,0.0,1.0
2024-07-16,104.13,109.11,102.81,106.22,105.276479569789,16716422,0.0,1.0
2024-07-15,103.94,106.53,103.24,105.26,104.325006962116,10093880,0.0,1.0
2024-07-12,105.0,105.82,103.97,104.09,103.165399721515,7060573,0.0,1.0
2024-07-11,104.25,105.29,103.94,104.64,103.710514236328,7766147,0.0,1.0
2024-07-10,102.51,103.51,102.06,103.46,102.54099582273,5618976,0.0,1.0
2024-07-09,100.6,102.895,99.98,102.61,101.69854611802,7114091,0.0,1.0
2024-07-08,99.83,101.27,99.83,100.59,99.6964891727085,3884437,0.0,1.0
2024-07-05,100.1,100.106,98.91,99.59,98.7053718730494,3633345,0.0,1.0
2024-07-03,99.925,100.6,99.5,100.2,99.3099534258415,3111960,0.0,1.0
2024-07-02,98.97,99.795,98.62,99.65,98.764838911029,5571071,0.0,1.0
2024-07-01,97.52,99.38,97.44,99.16,98.279191434196,7420618,0.0,1.0
2024-06-28,96.74,97.32,96.16,97.19,96.3266903538676,9058849,0.0,1.0
2024-06-27,96.08,96.34,95.17,95.77,94.9193037883517,5437808,0.0,1.0
2024-06-26,97.38,97.68,96.08,96.89,96.0293551639698,6514227,0.0,1.0
2024-06-25,96.79,98.34,96.68,97.8,96.9312719066596,7468726,0.0,1.0
2024-06-24,96.73,97.66,96.1816,97.1,96.2374897968982,8418206,0.0,1.0
2024-06-21,97.32,97.36,95.89,96.16,95.3058395352187,10983279,0.0,1.0
2024-06-20,97.64,98.03,97.11,97.44,96.5744696787824,3956843,0.0,1.0
2024-06-18,97.02,97.6899,96.81,97.57,96.703314927738,4558350,0.0,1.0
2024-06-17,95.01,97.19,94.68,97.04,96.1780227589187,4874345,0.0,1.0
2024-06-14,94.39,95.52,93.99,95.5,94.6517021174437,3406646,0.0,1.0
2024-06-13,95.5,95.55,94.61,95.21,94.3642781005425,3955894,0.0,1.0
2024-06-12,97.32,97.89,95.6,95.65,94.8003697123926,5435711,0.0,1.0
2024-06-11,96.46,96.46,94.725,95.43,94.5823239064676,5329972,0.0,1.0
2024-06-10,96.62,96.83,95.41,96.39,95.5337965141403,4566071,0.0,1.0
