,MTH_Open,MTH_High,MTH_Low,MTH_Close,MTH_Adj Close,MTH_Volume,MTH_Dividend Amount,MTH_Split Coefficient
2024-10-07,194.97,196.24,192.37,195.23,195.23,217224,0.0,1.0
2024-10-04,204.7,204.7,194.67,198.04,198.04,218755,0.0,1.0
2024-10-03,201.3,202.735,198.82,202.43,202.43,143975,0.0,1.0
2024-10-02,202.82,205.0,199.95,202.32,202.32,216947,0.0,1.0
2024-10-01,205.96,207.53,201.19,205.4,205.4,181829,0.0,1.0
2024-09-30,201.83,206.06,200.775,205.07,205.07,309206,0.0,1.0
2024-09-27,203.6,206.93,201.45,203.74,203.74,278068,0.0,1.0
2024-09-26,204.07,204.07,200.22,200.67,200.67,236987,0.0,1.0
2024-09-25,203.93,204.72,199.73,200.45,200.45,416248,0.0,1.0
2024-09-24,205.9,207.05,203.69,205.4,205.4,335713,0.0,1.0
2024-09-23,205.7,207.04,203.595,205.88,205.88,347371,0.0,1.0
2024-09-20,205.16,209.895,202.665,203.33,203.33,1112023,0.0,1.0
2024-09-19,208.55,213.98,204.45,213.69,213.69,590964,0.0,1.0
2024-09-18,205.29,211.0099,201.72,202.56,202.56,363074,0.0,1.0
2024-09-17,204.44,206.16,201.83,204.35,204.35,322735,0.0,1.0
2024-09-16,204.19,205.84,198.85,201.6,201.6,537635,0.75,1.0
2024-09-13,199.94,205.96,199.22,203.56,202.805515196442,407838,0.0,1.0
2024-09-12,192.57,197.46,191.47,195.56,194.835166790215,328992,0.0,1.0
2024-09-11,188.27,192.07,184.955,191.78,191.069177168273,426063,0.0,1.0
2024-09-10,190.92,191.75,187.85,190.65,189.943365455893,245630,0.0,1.0
2024-09-09,189.48,193.27,188.27,189.77,189.066627131208,329201,0.0,1.0
2024-09-06,189.9,195.53,189.58,189.65,188.947071905115,368336,0.0,1.0
2024-09-05,191.86,192.65,188.66,189.27,188.568480355819,281986,0.0,1.0
2024-09-04,189.55,191.85,186.29,190.26,189.55481097109,290627,0.0,1.0
2024-09-03,196.85,199.53,190.0,190.68,189.973254262417,329941,0.0,1.0
2024-08-30,199.01,199.83,194.049,198.07,197.335863602669,310127,0.0,1.0
2024-08-29,198.76,198.76,194.89,197.1,196.369458858414,216108,0.0,1.0
2024-08-28,197.35,200.005,195.61,197.79,197.056901408451,298037,0.0,1.0
2024-08-27,199.77,200.765,198.165,198.95,198.212601927354,320629,0.0,1.0
2024-08-26,208.05,208.05,201.82,201.83,201.081927353595,507832,0.0,1.0
