,MU_Open,MU_High,MU_Low,MU_Close,MU_Adj Close,MU_Volume,MU_Dividend Amount,MU_Split Coefficient
2024-11-01,100.0,100.61,99.37,99.73,99.73,13445938,0.0,1.0
2024-10-31,102.2,102.49,99.0707,99.65,99.65,19830324,0.0,1.0
2024-10-30,106.26,106.8,103.64,104.08,104.08,14321780,0.0,1.0
2024-10-29,106.585,108.75,105.6037,108.18,108.18,15164581,0.0,1.0
2024-10-28,106.78,108.18,106.32,106.39,106.39,12381045,0.0,1.0
2024-10-25,108.34,109.88,107.72,107.91,107.91,12264950,0.0,1.0
2024-10-24,106.775,107.53,105.545,106.85,106.85,13206263,0.0,1.0
2024-10-23,106.564,107.1,103.54,105.05,105.05,15174706,0.0,1.0
2024-10-22,108.24,108.515,106.37,107.82,107.82,13758061,0.0,1.0
2024-10-21,111.1,111.14,107.69,109.08,109.08,14829420,0.0,1.0
2024-10-18,111.75,112.9,109.86,111.15,111.15,16700370,0.0,1.0
2024-10-17,111.34,114.14,111.01,112.05,112.05,26584811,0.0,1.0
2024-10-16,106.02,109.63,105.61,109.24,109.24,20450884,0.0,1.0
2024-10-15,107.86,109.49,102.71,104.32,104.32,23419132,0.0,1.0
2024-10-14,107.805,108.71,106.8,108.34,108.34,15021917,0.0,1.0
2024-10-11,105.04,107.65,104.9915,106.92,106.92,19133928,0.0,1.0
2024-10-10,101.37,106.58,100.845,105.69,105.69,27605588,0.0,1.0
2024-10-09,102.25,102.29,100.322,101.7,101.7,18442718,0.0,1.0
2024-10-08,102.18,102.94,101.26,102.54,102.54,18858267,0.0,1.0
2024-10-07,102.16,104.5932,100.81,102.91,102.91,21749278,0.115,1.0
2024-10-04,103.65,104.2399,101.4,102.25,102.135865081291,21945805,0.0,1.0
2024-10-03,99.47,102.53,99.4,101.82,101.706345061878,22176651,0.0,1.0
2024-10-02,100.59,102.12,99.33,99.85,99.7385440427081,26334893,0.0,1.0
2024-10-01,103.4,104.2,98.94,100.31,100.198030575103,34309766,0.0,1.0
2024-09-30,106.08,106.7483,102.26,103.71,103.594235379762,39627713,0.0,1.0
2024-09-27,110.5,110.97,107.03,107.5,107.380004853191,42960180,0.0,1.0
2024-09-26,113.1,114.8,107.53,109.88,109.757348216452,107965892,0.0,1.0
2024-09-25,94.16,96.175,93.93,95.77,95.6630982771172,54762883,0.0,1.0
2024-09-24,94.73,95.0,92.76,94.0,93.8950740111623,23043237,0.0,1.0
2024-09-23,92.675,94.8,92.58,93.57,93.4655539917496,23394101,0.0,1.0
2024-09-20,88.4,90.97,88.33,90.9,90.7985343363261,28711000,0.0,1.0
2024-09-19,89.35,90.39,87.58,89.25,89.1503761223004,25208917,0.0,1.0
2024-09-18,87.99,89.2,86.71,87.35,87.2524969667556,20130596,0.0,1.0
2024-09-17,88.06,89.57,87.5401,88.73,88.6309565639408,17744764,0.0,1.0
2024-09-16,87.24,88.24,85.92,87.18,87.0826867265227,26494332,0.0,1.0
2024-09-13,88.09,91.47,87.87,91.22,91.1181771414705,21267222,0.0,1.0
2024-09-12,87.1,88.03,84.12,87.21,87.112653239505,30982533,0.0,1.0
2024-09-11,88.2,90.83,86.08,90.65,90.5488133948071,20879599,0.0,1.0
2024-09-10,86.97,87.19,84.87,86.85,86.7530550837175,17019016,0.0,1.0
2024-09-09,87.85,87.96,85.01,86.27,86.1737024993933,20526393,0.0,1.0
2024-09-06,89.37,89.65,85.26,86.38,86.2835797136617,23587097,0.0,1.0
2024-09-05,88.1,90.7,87.76,89.39,89.2902198495511,13890660,0.0,1.0
2024-09-04,88.36,90.73,87.81,89.29,89.1903314729435,15906464,0.0,1.0
2024-09-03,93.63,93.8799,88.31,88.58,88.4811239990294,28897236,0.0,1.0
2024-08-30,96.92,98.4129,94.99,96.24,96.132573647173,18819367,0.0,1.0
2024-08-29,96.56,97.98,94.99,95.57,95.463321523902,18984288,0.0,1.0
2024-08-28,97.36,97.6847,92.7,94.86,94.7541140499879,25564297,0.0,1.0
2024-08-27,97.09,98.49,96.668,97.86,97.7507653482164,17234616,0.0,1.0
2024-08-26,100.67,102.19,97.61,98.91,98.7995933025964,26752251,0.0,1.0
2024-08-23,103.04,104.41,100.31,102.85,102.735195340937,25465076,0.0,1.0
2024-08-22,108.95,111.0,103.96,104.26,104.143621451104,17967028,0.0,1.0
2024-08-21,108.16,108.4,106.21,108.33,108.209078379034,13658899,0.0,1.0
2024-08-20,108.33,109.19,106.16,107.99,107.869457898568,16075515,0.0,1.0
