,NAVG_Open,NAVG_High,NAVG_Low,NAVG_Close,NAVG_Adj Close,NAVG_Volume,NAVG_Dividend Amount,NAVG_Split Coefficient
2019-05-23,69.96,69.96,69.96,69.96,69.96,0,0.0,1.0
2019-05-22,69.99,70.01,69.95,69.96,69.96,1328909,0.0,1.0
2019-05-21,69.99,70.03,69.98,70.0,70.0,181532,0.0,1.0
2019-05-20,69.99,70.04,69.97,69.99,69.99,138540,0.0,1.0
2019-05-17,69.93,70.01,69.93,70.0,70.0,168217,0.0,1.0
2019-05-16,69.8,70.02,69.8,70.01,70.01,487866,0.0,1.0
2019-05-15,69.86,70.06,69.79,69.8,69.8,162871,0.0,1.0
2019-05-14,69.86,69.9,69.81,69.9,69.9,120593,0.0,1.0
2019-05-13,69.85,69.9,69.84,69.88,69.88,61560,0.0,1.0
2019-05-10,69.87,69.92,69.83,69.9,69.9,69235,0.0,1.0
2019-05-09,69.86,69.92,69.855,69.87,69.87,71842,0.0,1.0
2019-05-08,69.92,69.94,69.85,69.85,69.85,84303,0.0,1.0
2019-05-07,69.91,69.96,69.9,69.92,69.92,99239,0.0,1.0
2019-05-06,69.86,69.95,69.86,69.95,69.95,129630,0.0,1.0
2019-05-03,69.86,69.94,69.85,69.93,69.93,139877,0.0,1.0
2019-05-02,69.84,69.95,69.82,69.85,69.85,85762,0.0,1.0
2019-05-01,69.89,69.91,69.82,69.87,69.87,203841,0.0,1.0
2019-04-30,69.95,69.96,69.88,69.94,69.94,119971,0.0,1.0
2019-04-29,69.45,69.96,66.93,69.95,69.95,271131,0.0,1.0
2019-04-26,69.96,69.995,69.6,69.93,69.93,78226,0.0,1.0
2019-04-25,69.93,69.98,69.85,69.96,69.96,131651,0.0,1.0
2019-04-24,69.95,69.98,69.93,69.93,69.93,63040,0.0,1.0
2019-04-23,69.91,69.98,69.91,69.97,69.97,137389,0.0,1.0
2019-04-22,69.93,69.96,69.88,69.95,69.95,148010,0.0,1.0
2019-04-18,69.88,69.99,69.875,69.97,69.97,119231,0.0,1.0
2019-04-17,69.9,69.95,69.88,69.88,69.88,136992,0.0,1.0
2019-04-16,69.96,69.98,69.9,69.92,69.92,94748,0.0,1.0
2019-04-15,69.95,70.0,69.94,69.95,69.95,76876,0.0,1.0
2019-04-12,69.97,69.99,69.9,69.98,69.98,117975,0.0,1.0
2019-04-11,69.95,69.98,69.9,69.94,69.94,127205,0.0,1.0
2019-04-10,69.91,69.98,69.91,69.95,69.95,169921,0.0,1.0
2019-04-09,69.87,70.59,69.85,69.96,69.96,285046,0.0,1.0
2019-04-08,69.88,69.91,69.84,69.89,69.89,74131,0.0,1.0
2019-04-05,69.85,69.9,69.83,69.9,69.9,155946,0.0,1.0
2019-04-04,69.84,69.87,69.81,69.85,69.85,107746,0.0,1.0
2019-04-03,69.87,69.89,69.8,69.85,69.85,122129,0.0,1.0
2019-04-02,69.84,69.88,69.84,69.87,69.87,153070,0.0,1.0
2019-04-01,69.8,69.88,69.8,69.84,69.84,180936,0.0,1.0
2019-03-29,69.9,69.93,69.86,69.87,69.87,145108,0.0,1.0
2019-03-28,69.87,69.88,69.84,69.875,69.875,345965,0.0,1.0
2019-03-27,69.86,69.89,69.85,69.85,69.85,210421,0.0,1.0
2019-03-26,69.87,69.9,69.82,69.82,69.82,131825,0.0,1.0
2019-03-25,69.82,69.89,69.8,69.86,69.86,281851,0.0,1.0
2019-03-22,69.83,69.89,69.81,69.82,69.82,180956,0.0,1.0
2019-03-21,69.86,69.89,69.83,69.84,69.84,195382,0.0,1.0
2019-03-20,69.9,69.9,69.85,69.86,69.86,136948,0.0,1.0
