,NDSN_Open,NDSN_High,NDSN_Low,NDSN_Close,NDSN_Adj Close,NDSN_Volume,NDSN_Dividend Amount,NDSN_Split Coefficient
2024-10-07,251.62,253.74,250.57,252.79,252.79,297706,0.0,1.0
2024-10-04,257.98,257.98,250.73,252.0,252.0,260078,0.0,1.0
2024-10-03,258.77,259.325,253.585,255.31,255.31,227999,0.0,1.0
2024-10-02,259.79,261.2999,258.57,260.59,260.59,139221,0.0,1.0
2024-10-01,261.57,262.5999,257.61,260.83,260.83,154386,0.0,1.0
2024-09-30,261.8,263.2775,260.4201,262.63,262.63,161146,0.0,1.0
2024-09-27,262.0,265.86,260.56,261.66,261.66,162687,0.0,1.0
2024-09-26,257.66,261.68,257.66,260.96,260.96,168785,0.0,1.0
2024-09-25,259.39,259.39,255.25,255.59,255.59,142235,0.0,1.0
2024-09-24,256.49,258.1697,254.88,257.92,257.92,142134,0.0,1.0
2024-09-23,255.75,257.05,253.12,255.39,255.39,145044,0.0,1.0
2024-09-20,258.63,258.83,254.005,255.58,255.58,452675,0.0,1.0
2024-09-19,259.74,261.3,257.54,260.03,260.03,189611,0.0,1.0
2024-09-18,256.16,259.22,254.36,255.61,255.61,148120,0.0,1.0
2024-09-17,254.18,257.795,254.18,255.18,255.18,154935,0.0,1.0
2024-09-16,252.63,254.68,252.04,253.37,253.37,142865,0.0,1.0
2024-09-13,249.26,252.0099,248.55,251.81,251.81,144707,0.0,1.0
2024-09-12,247.93,248.43,245.35,248.24,248.24,144332,0.0,1.0
2024-09-11,247.16,248.205,241.61,247.93,247.93,151789,0.0,1.0
2024-09-10,247.53,248.9,245.78,248.85,248.85,147708,0.0,1.0
2024-09-09,245.47,248.595,244.22,247.36,247.36,161789,0.0,1.0
2024-09-06,246.84,248.66,242.62,244.27,244.27,170894,0.0,1.0
2024-09-05,249.76,249.76,244.925,246.6,246.6,161200,0.0,1.0
2024-09-04,250.01,250.935,247.91,250.14,250.14,216613,0.0,1.0
2024-09-03,254.97,256.15,248.89,250.18,250.18,198875,0.0,1.0
2024-08-30,255.74,256.87,253.28,256.56,256.56,252504,0.0,1.0
2024-08-29,257.91,258.11,254.51,255.16,255.16,210449,0.0,1.0
2024-08-28,255.67,257.45,253.495,256.3,256.3,326225,0.0,1.0
2024-08-27,255.81,257.48,254.47,255.9,255.9,210732,0.78,1.0
2024-08-26,258.0,259.4,256.15,257.18,256.39848059841,257335,0.0,1.0
2024-08-23,257.57,262.2,256.155,257.4,256.617812061711,371734,0.0,1.0
2024-08-22,253.92,256.28,241.665,256.03,255.251975222066,455671,0.0,1.0
2024-08-21,242.1,248.24,240.11,247.78,247.027045348294,439111,0.0,1.0
2024-08-20,238.86,240.225,237.9,239.47,238.742297802712,270896,0.0,1.0
2024-08-19,239.64,241.23,238.87,239.65,238.921750818139,368732,0.0,1.0
2024-08-16,239.21,241.42,238.61,239.66,238.931720430108,999768,0.0,1.0
2024-08-15,239.39,241.815,237.0005,240.42,239.689410939691,189729,0.0,1.0
2024-08-14,238.98,240.14,235.4955,236.49,235.771353436185,171602,0.0,1.0
2024-08-13,233.64,237.46,232.83,237.41,236.68855773726,143521,0.0,1.0
2024-08-12,234.64,235.045,232.16,233.04,232.331837307153,147443,0.0,1.0
2024-08-09,235.7,236.28,233.34,234.44,233.727582982702,171046,0.0,1.0
2024-08-08,234.88,237.24,233.56,235.45,234.734513791491,195110,0.0,1.0
2024-08-07,238.07,240.415,232.13,232.7,231.992870500234,251174,0.0,1.0
2024-08-06,236.23,239.89,234.82,235.8,235.083450210379,286852,0.0,1.0
2024-08-05,237.96,238.89,233.37,234.8,234.086489013558,374240,0.0,1.0
2024-08-02,241.11,242.08,236.37,241.38,240.64649368864,305302,0.0,1.0
2024-08-01,249.18,251.37,239.46,243.34,242.600537634409,333030,0.0,1.0
2024-07-31,249.92,252.84,247.13,250.33,249.569296400187,774584,0.0,1.0
2024-07-30,245.78,249.795,245.025,248.61,247.854523141655,190836,0.0,1.0
2024-07-29,246.21,246.89,244.29,245.22,244.474824684432,153432,0.0,1.0
2024-07-26,242.8,247.38,241.64,245.95,245.202606358111,234406,0.0,1.0
2024-07-25,237.69,243.75,237.18,240.55,239.819015895278,324429,0.0,1.0
