,NFG_Open,NFG_High,NFG_Low,NFG_Close,NFG_Adj Close,NFG_Volume,NFG_Dividend Amount,NFG_Split Coefficient
2024-10-07,61.03,61.115,59.9,60.32,60.32,353274,0.0,1.0
2024-10-04,60.77,61.465,60.63,61.11,61.11,538361,0.0,1.0
2024-10-03,60.35,61.16,60.17,60.81,60.81,611805,0.0,1.0
2024-10-02,60.39,61.1,60.28,60.32,60.32,647554,0.0,1.0
2024-10-01,60.36,60.73,60.0,60.26,60.26,750342,0.0,1.0
2024-09-30,60.37,60.77,59.86,60.61,60.61,414050,0.515,1.0
2024-09-27,59.68,60.84,59.47,60.61,60.0993390593047,590517,0.0,1.0
2024-09-26,59.9,60.215,58.83,58.95,58.4533251533742,585793,0.0,1.0
2024-09-25,60.76,60.85,60.05,60.07,59.5638887525562,371322,0.0,1.0
2024-09-24,61.15,61.56,60.65,60.67,60.1588335378323,389179,0.0,1.0
2024-09-23,60.6,61.27,60.07,61.22,60.704199591002,331278,0.0,1.0
2024-09-20,60.38,60.58,59.93,60.3,59.7919509202454,1222318,0.0,1.0
2024-09-19,60.45,60.78,60.2,60.36,59.851445398773,578621,0.0,1.0
2024-09-18,60.88,61.16,60.11,60.3,59.7919509202454,450722,0.0,1.0
2024-09-17,61.07,61.42,60.675,60.84,60.3274012269939,446409,0.0,1.0
2024-09-16,60.6,61.135,60.33,60.95,60.4364744376278,341929,0.0,1.0
2024-09-13,59.4,60.26,59.22,60.25,59.7423721881391,542120,0.0,1.0
2024-09-12,59.87,60.25,58.85,59.18,58.6813873210634,586876,0.0,1.0
2024-09-11,60.09,60.55,59.515,60.51,60.000181595092,470261,0.0,1.0
2024-09-10,59.53,60.61,59.45,60.49,59.9803501022495,372976,0.0,1.0
2024-09-09,58.87,59.48,58.5,59.44,58.9391967280164,690231,0.0,1.0
2024-09-06,59.35,59.66,58.93,58.96,58.4632408997955,534422,0.0,1.0
2024-09-05,59.96,60.26,59.2904,59.33,58.8301235173824,546237,0.0,1.0
2024-09-04,60.25,60.75,59.39,59.6,59.0978486707566,330210,0.0,1.0
2024-09-03,59.47,60.16,59.15,60.05,59.5440572597137,408823,0.0,1.0
2024-08-30,59.32,59.79,59.22,59.76,59.2565006134969,350077,0.0,1.0
2024-08-29,59.15,59.52,58.72,59.37,58.8697865030675,241059,0.0,1.0
2024-08-28,58.91,59.35,58.75,58.94,58.443409406953,282866,0.0,1.0
2024-08-27,59.13,59.47,58.83,58.86,58.3640834355828,241362,0.0,1.0
2024-08-26,59.36,59.96,59.26,59.32,58.8202077709611,280167,0.0,1.0
2024-08-23,59.09,59.54,58.81,58.93,58.4334936605317,312001,0.0,1.0
2024-08-22,58.73,58.995,58.47,58.82,58.3244204498978,348141,0.0,1.0
2024-08-21,59.01,59.055,58.615,58.71,58.2153472392638,307441,0.0,1.0
2024-08-20,59.22,59.22,58.32,58.64,58.1459370143149,376774,0.0,1.0
2024-08-19,59.09,59.46,59.09,59.14,58.6417243353783,347355,0.0,1.0
2024-08-16,58.88,59.5,58.53,59.07,58.5723141104294,608294,0.0,1.0
2024-08-15,58.89,59.31,58.66,58.9,58.4037464212679,384077,0.0,1.0
2024-08-14,58.64,59.0,58.3,58.79,58.2946732106339,437713,0.0,1.0
2024-08-13,58.94,58.99,58.305,58.78,58.2847574642127,508985,0.0,1.0
2024-08-12,59.34,59.62,58.785,58.94,58.443409406953,524821,0.0,1.0
2024-08-09,59.45,59.555,58.89,59.2,58.7012188139059,457390,0.0,1.0
2024-08-08,58.83,59.6,58.53,59.45,58.9491124744376,494874,0.0,1.0
2024-08-07,58.45,59.3606,58.31,58.81,58.3145047034765,458916,0.0,1.0
2024-08-06,57.28,58.62,56.8572,57.9,57.4121717791411,583383,0.0,1.0
2024-08-05,58.19,58.19,56.29,57.28,56.7973955010225,759015,0.0,1.0
2024-08-02,59.02,59.52,58.3,58.95,58.4533251533742,767679,0.0,1.0
2024-08-01,57.76,59.305,56.81,59.19,58.6913030674847,789964,0.0,1.0
2024-07-31,58.7,59.1099,58.37,58.59,58.0963582822086,831084,0.0,1.0
2024-07-30,58.06,58.6,58.045,58.48,57.9872850715746,429456,0.0,1.0
2024-07-29,58.05,58.365,57.565,58.05,57.5609079754601,489449,0.0,1.0
2024-07-26,57.45,58.14,57.27,57.92,57.4320032719836,573306,0.0,1.0
2024-07-25,57.2,57.73,56.96,57.41,56.926300204499,772043,0.0,1.0
2024-07-24,57.48,58.035,56.93,57.14,56.6585750511247,642807,0.0,1.0
2024-07-23,58.08,58.215,57.19,57.33,56.8469742331288,541043,0.0,1.0
2024-07-22,57.48,58.365,57.3176,58.29,57.7988858895705,708475,0.0,1.0
2024-07-19,57.83,57.83,56.795,57.46,56.9758789366053,509400,0.0,1.0
2024-07-18,57.64,58.6,57.33,57.7,57.2138568507158,567849,0.0,1.0
2024-07-17,57.24,58.51,57.08,57.87,57.3824245398773,667226,0.0,1.0
2024-07-16,57.0,57.72,56.78,57.17,56.6883222903885,706303,0.0,1.0
2024-07-15,57.0,57.47,56.52,56.69,56.2123664621677,793604,0.0,1.0
2024-07-12,56.08,56.86,55.93,56.82,56.3412711656442,593866,0.0,1.0
2024-07-11,55.48,55.8,55.13,55.69,55.2207918200409,449542,0.0,1.0
2024-07-10,54.42,54.885,54.29,54.51,54.0507337423313,438142,0.0,1.0
2024-07-09,54.33,54.8,54.05,54.14,53.6838511247444,401336,0.0,1.0
2024-07-08,54.42,55.14,54.39,54.52,54.0606494887526,484098,0.0,1.0
2024-07-05,54.8,55.569,54.0645,54.22,53.7631770961145,1088200,0.0,1.0
2024-07-03,54.65,55.24,54.65,54.94,54.4771108384458,264098,0.0,1.0
2024-07-02,54.35,55.15,54.25,54.59,54.1300597137014,368585,0.0,1.0
2024-07-01,54.46,54.619,53.98,54.21,53.7532613496933,384807,0.0,1.0
2024-06-28,54.65,54.79,53.88,54.19,53.7334298568507,670588,0.515,1.0
2024-06-27,54.97,54.989,54.38,54.8,53.8267426406255,420234,0.0,1.0
2024-06-26,54.81,55.06,54.29,54.94,53.9642562167147,337486,0.0,1.0
2024-06-25,56.06,56.09,54.9,55.08,54.1017697928039,498699,0.0,1.0
2024-06-24,54.84,56.35,54.75,56.0,55.0054304356757,409947,0.0,1.0
2024-06-21,54.8,55.23,54.53,54.63,53.6597618696601,878486,0.0,1.0
2024-06-20,54.31,55.23,54.31,54.59,53.6204722764917,491718,0.0,1.0
2024-06-18,54.05,55.05,54.02,54.38,53.414201912358,474415,0.0,1.0
2024-06-17,54.27,54.65,53.03,54.05,53.0900627687192,586748,0.0,1.0
2024-06-14,54.65,54.879,54.2,54.44,53.4731363021105,424536,0.0,1.0
2024-06-13,55.3,55.59,54.75,54.94,53.9642562167147,403162,0.0,1.0
2024-06-12,56.83,56.83,55.155,55.31,54.3276849535219,425400,0.0,1.0
2024-06-11,55.85,56.29,55.37,56.03,55.034897630552,370357,0.0,1.0
2024-06-10,55.88,56.61,55.77,56.28,55.2804575878541,375028,0.0,1.0
2024-06-07,55.74,56.305,55.5,56.1,55.1036544185966,242753,0.0,1.0
2024-06-06,56.11,56.4,55.99,56.09,55.0938320203045,301500,0.0,1.0
2024-06-05,56.63,56.89,56.2401,56.3,55.3001023844383,303929,0.0,1.0
2024-06-04,56.78,57.13,56.36,56.61,55.6045967314929,629149,0.0,1.0
2024-06-03,57.34,57.345,56.71,57.19,56.1742958324338,468192,0.0,1.0
2024-05-31,55.56,57.229,55.47,57.16,56.1448286375576,688531,0.0,1.0
2024-05-30,54.73,55.43,54.73,55.37,54.3866193432744,564898,0.0,1.0
2024-05-29,54.88,54.92,54.045,54.49,53.5222482935709,319278,0.0,1.0
2024-05-28,55.58,55.71,55.05,55.26,54.2785729620614,424651,0.0,1.0
2024-05-24,55.42,55.58,55.12,55.41,54.4259089364427,243546,0.0,1.0
2024-05-23,56.0,56.0,55.04,55.18,54.1999937757247,601399,0.0,1.0
2024-05-22,56.29,56.54,55.81,55.86,54.8679168595865,421428,0.0,1.0
2024-05-21,57.1,57.48,56.23,56.42,55.4179711639433,624968,0.0,1.0
2024-05-20,56.6,57.395,56.4,57.29,56.2725198153547,358959,0.0,1.0
2024-05-17,56.63,56.76,56.33,56.61,55.6045967314929,640535,0.0,1.0
2024-05-16,56.89,57.07,56.51,56.59,55.5849519349087,376354,0.0,1.0
2024-05-15,56.88,57.195,56.5,56.88,55.8698014853792,564741,0.0,1.0
2024-05-14,56.45,56.61,56.0401,56.48,55.4769055536958,493063,0.0,1.0
2024-05-13,57.38,57.6,56.08,56.12,55.1232992151807,442330,0.0,1.0
2024-05-10,56.5,57.17,56.22,57.11,56.0957166460971,532742,0.0,1.0
2024-05-09,55.86,56.45,55.7,56.42,55.4179711639433,344220,0.0,1.0
2024-05-08,55.68,56.15,55.515,55.86,54.8679168595865,487081,0.0,1.0
2024-05-07,55.76,56.3,55.62,55.78,54.7893376732498,528501,0.0,1.0
