,NGVT_Open,NGVT_High,NGVT_Low,NGVT_Close,NGVT_Adj Close,NGVT_Volume,NGVT_Dividend Amount,NGVT_Split Coefficient
2024-10-07,36.75,36.97,35.61,35.89,35.89,265026,0.0,1.0
2024-10-04,33.98,37.925,33.84,37.04,37.04,899341,0.0,1.0
2024-10-03,36.04,36.04,30.8995,33.06,33.06,1623317,0.0,1.0
2024-10-02,37.61,38.41,37.43,37.46,37.46,171826,0.0,1.0
2024-10-01,38.97,38.97,37.8001,37.89,37.89,250822,0.0,1.0
2024-09-30,39.28,40.33,38.92,39.0,39.0,348731,0.0,1.0
2024-09-27,41.44,41.44,40.22,40.42,40.42,220997,0.0,1.0
2024-09-26,40.09,40.84,39.75,40.45,40.45,386897,0.0,1.0
2024-09-25,40.18,40.275,39.08,39.09,39.09,173395,0.0,1.0
2024-09-24,39.82,40.54,39.68,40.25,40.25,170185,0.0,1.0
2024-09-23,40.3,40.31,39.35,39.37,39.37,208824,0.0,1.0
2024-09-20,41.15,41.26,40.03,40.04,40.04,926671,0.0,1.0
2024-09-19,40.83,41.49,40.33,41.27,41.27,286943,0.0,1.0
2024-09-18,38.97,40.94,38.67,39.35,39.35,296095,0.0,1.0
2024-09-17,38.42,39.73,37.96,38.82,38.82,282802,0.0,1.0
2024-09-16,38.96,39.02,37.51,37.71,37.71,382589,0.0,1.0
2024-09-13,36.4,38.725,36.27,38.56,38.56,321320,0.0,1.0
2024-09-12,33.7,35.64,33.32,35.61,35.61,273722,0.0,1.0
2024-09-11,32.86,33.78,32.21,33.53,33.53,282296,0.0,1.0
2024-09-10,33.85,34.26,32.9,32.91,32.91,291681,0.0,1.0
2024-09-09,35.37,35.37,33.8,33.84,33.84,339647,0.0,1.0
2024-09-06,36.49,36.9,35.12,35.36,35.36,230822,0.0,1.0
2024-09-05,37.78,37.78,36.54,36.57,36.57,179906,0.0,1.0
2024-09-04,38.1,38.38,37.01,37.4,37.4,193605,0.0,1.0
2024-09-03,38.79,39.13,38.01,38.11,38.11,290571,0.0,1.0
2024-08-30,39.83,40.16,39.4,39.53,39.53,220060,0.0,1.0
2024-08-29,39.2,40.2,38.372,39.47,39.47,159838,0.0,1.0
2024-08-28,38.57,39.02,38.39,38.71,38.71,250935,0.0,1.0
2024-08-27,38.54,38.7199,37.81,38.6,38.6,115874,0.0,1.0
2024-08-26,39.15,39.84,38.62,38.7,38.7,213191,0.0,1.0
2024-08-23,36.97,38.55,36.75,38.44,38.44,187026,0.0,1.0
2024-08-22,37.19,37.295,36.395,36.5,36.5,262282,0.0,1.0
2024-08-21,36.87,37.33,36.47,37.05,37.05,160096,0.0,1.0
2024-08-20,36.51,36.89,36.18,36.33,36.33,235922,0.0,1.0
2024-08-19,35.93,36.88,35.93,36.77,36.77,216247,0.0,1.0
2024-08-16,35.26,36.11,34.98,35.97,35.97,229844,0.0,1.0
2024-08-15,36.09,36.24,35.39,35.45,35.45,232887,0.0,1.0
2024-08-14,35.95,35.95,34.18,34.96,34.96,291267,0.0,1.0
2024-08-13,34.98,35.98,34.5301,35.72,35.72,362086,0.0,1.0
2024-08-12,35.62,35.855,33.49,34.57,34.57,289360,0.0,1.0
2024-08-09,36.11,36.34,35.31,35.61,35.61,204925,0.0,1.0
2024-08-08,35.27,36.42,34.54,36.14,36.14,295017,0.0,1.0
2024-08-07,35.88,37.15,34.73,34.84,34.84,355798,0.0,1.0
2024-08-06,35.63,36.555,34.65,34.69,34.69,505965,0.0,1.0
2024-08-05,38.34,38.34,34.3701,35.41,35.41,981719,0.0,1.0
2024-08-02,40.52,41.91,39.66,41.2,41.2,375493,0.0,1.0
2024-08-01,39.55,44.33,38.865,42.64,42.64,546958,0.0,1.0
2024-07-31,46.38,47.63,44.8301,45.89,45.89,467766,0.0,1.0
2024-07-30,45.66,46.49,45.27,46.11,46.11,168142,0.0,1.0
2024-07-29,46.2,46.26,45.22,45.71,45.71,177569,0.0,1.0
2024-07-26,46.5,46.5,45.28,46.2,46.2,129256,0.0,1.0
2024-07-25,45.15,46.63,44.88,45.84,45.84,223368,0.0,1.0
2024-07-24,45.72,46.525,45.0,45.05,45.05,190514,0.0,1.0
2024-07-23,44.89,46.32,44.485,45.87,45.87,195354,0.0,1.0
2024-07-22,44.79,45.37,43.71,45.15,45.15,151093,0.0,1.0
2024-07-19,44.97,45.26,44.17,44.44,44.44,145546,0.0,1.0
2024-07-18,45.75,46.97,45.06,45.09,45.09,207048,0.0,1.0
2024-07-17,46.62,48.52,46.49,46.5,46.5,254092,0.0,1.0
2024-07-16,45.42,47.56,45.165,47.24,47.24,204748,0.0,1.0
2024-07-15,44.25,45.57,44.13,44.81,44.81,207469,0.0,1.0
2024-07-12,44.0,44.46,43.35,44.22,44.22,202220,0.0,1.0
2024-07-11,42.94,44.4,42.71,43.5,43.5,201920,0.0,1.0
2024-07-10,40.73,42.14,40.6,41.57,41.57,167123,0.0,1.0
2024-07-09,41.65,42.06,40.51,40.62,40.62,325061,0.0,1.0
2024-07-08,41.69,42.65,41.585,41.94,41.94,132789,0.0,1.0
2024-07-05,42.39,42.39,41.27,41.29,41.29,128082,0.0,1.0
2024-07-03,42.67,42.87,41.96,42.75,42.75,67912,0.0,1.0
2024-07-02,42.21,42.74,42.0,42.36,42.36,150979,0.0,1.0
2024-07-01,43.7,43.83,42.15,42.18,42.18,227640,0.0,1.0
