,NI_Open,NI_High,NI_Low,NI_Close,NI_Adj Close,NI_Volume,NI_Dividend Amount,NI_Split Coefficient
2024-11-01,35.27,35.45,34.43,34.49,34.49,3135337,0.0,1.0
2024-10-31,34.86,35.45,34.84,35.16,35.16,3307382,0.265,1.0
2024-10-30,34.73,35.435,34.73,35.13,34.8672067748765,6105191,0.0,1.0
2024-10-29,34.98,34.98,34.38,34.42,34.1625179957657,4162420,0.0,1.0
2024-10-28,34.79,35.2,34.79,35.14,34.8771319689485,2866056,0.0,1.0
2024-10-25,35.44,35.47,34.77,34.82,34.559525758645,2653350,0.0,1.0
2024-10-24,35.34,35.48,35.19,35.26,34.9962342978123,1895093,0.0,1.0
2024-10-23,34.77,35.32,34.72,35.31,35.0458602681722,3259881,0.0,1.0
2024-10-22,34.59,34.89,34.57,34.77,34.5098997882851,3212263,0.0,1.0
2024-10-21,35.1,35.19,34.845,34.93,34.6687028934368,2194623,0.0,1.0
2024-10-18,34.95,35.17,34.7745,35.14,34.8771319689485,2192749,0.0,1.0
2024-10-17,35.07,35.075,34.82,34.96,34.6984784756528,3125911,0.0,1.0
2024-10-16,34.62,35.13,34.58,35.1,34.8374311926606,2589634,0.0,1.0
2024-10-15,34.4,34.8155,34.36,34.49,34.2319943542696,1728156,0.0,1.0
2024-10-14,33.97,34.29,33.86,34.22,33.964014114326,1695789,0.0,1.0
2024-10-11,33.74,34.0,33.74,33.93,33.6761834862385,1706088,0.0,1.0
2024-10-10,34.06,34.22,33.65,33.74,33.4876047988709,1786684,0.0,1.0
2024-10-09,34.07,34.31,33.8819,33.99,33.7357346506704,2020519,0.0,1.0
2024-10-08,34.17,34.41,34.115,34.12,33.8647621736062,1832504,0.0,1.0
2024-10-07,34.48,34.52,33.96,34.02,33.7655102328864,3501120,0.0,1.0
2024-10-04,34.46,34.68,34.345,34.64,34.3808722653493,2435858,0.0,1.0
2024-10-03,34.78,34.87,34.5647,34.69,34.4304982357092,2389732,0.0,1.0
2024-10-02,34.55,34.765,34.44,34.68,34.4205730416373,1983871,0.0,1.0
2024-10-01,34.65,35.095,34.53,34.83,34.569450952717,2663419,0.0,1.0
2024-09-30,34.57,34.695,34.28,34.65,34.3907974594213,2720429,0.0,1.0
2024-09-27,34.33,34.51,34.15,34.38,34.1228172194778,2830051,0.0,1.0
2024-09-26,34.12,34.39,33.95,34.12,33.8647621736062,2262423,0.0,1.0
2024-09-25,34.46,34.46,33.92,34.18,33.9243133380381,4066837,0.0,1.0
2024-09-24,34.05,34.565,33.94,34.25,33.993789696542,3322709,0.0,1.0
2024-09-23,34.18,34.35,34.03,34.27,34.013640084686,3316405,0.0,1.0
2024-09-20,33.88,34.14,33.73,34.08,33.8250613973183,6689025,0.0,1.0
2024-09-19,33.78,33.89,33.32,33.83,33.5769315455187,4097882,0.0,1.0
2024-09-18,34.19,34.37,33.85,34.07,33.8151362032463,2452846,0.0,1.0
2024-09-17,34.34,34.415,34.13,34.18,33.9243133380381,2387885,0.0,1.0
2024-09-16,34.18,34.49,34.14,34.38,34.1228172194778,3613610,0.0,1.0
2024-09-13,33.72,34.14,33.66,34.06,33.8052110091743,3956205,0.0,1.0
2024-09-12,33.66,33.76,33.35,33.63,33.378427664079,4370830,0.0,1.0
2024-09-11,33.44,33.59,33.03,33.56,33.3089513055752,5306562,0.0,1.0
2024-09-10,33.5,33.84,33.245,33.51,33.2593253352152,6661576,0.0,1.0
2024-09-09,33.22,33.53,33.19,33.45,33.1997741707833,4744720,0.0,1.0
2024-09-06,33.45,33.49,33.16,33.2,32.9516443189838,3197307,0.0,1.0
2024-09-05,33.49,33.5,33.245,33.4,33.1501482004234,2650625,0.0,1.0
2024-09-04,33.31,33.56,33.08,33.22,32.9714947071277,2550061,0.0,1.0
2024-09-03,33.12,33.34,32.92,33.19,32.9417191249118,2869910,0.0,1.0
2024-08-30,32.95,33.125,32.81,33.06,32.812691601976,9601737,0.0,1.0
2024-08-29,32.84,32.875,32.53,32.82,32.5744869442484,3213513,0.0,1.0
2024-08-28,32.81,33.095,32.77,32.86,32.6141877205363,5831435,0.0,1.0
2024-08-27,32.74,32.96,32.64,32.72,32.4752350035286,5433695,0.0,1.0
2024-08-26,32.74,33.01,32.69,32.81,32.5645617501764,5225592,0.0,1.0
2024-08-23,32.62,32.745,32.51,32.62,32.3759830628087,3158252,0.0,1.0
2024-08-22,32.27,32.59,32.27,32.57,32.3263570924488,2171254,0.0,1.0
2024-08-21,32.1,32.445,32.1,32.32,32.0782272406493,4591337,0.0,1.0
2024-08-20,32.09,32.255,32.02,32.15,31.9094989414255,3384859,0.0,1.0
