,NOC_Open,NOC_High,NOC_Low,NOC_Close,NOC_Adj Close,NOC_Volume,NOC_Dividend Amount,NOC_Split Coefficient
2024-10-07,536.26,539.3,531.46,533.97,533.97,436202,0.0,1.0
2024-10-04,535.82,538.56,534.06,536.74,536.74,393951,0.0,1.0
2024-10-03,539.85,543.6,535.0,537.58,537.58,443737,0.0,1.0
2024-10-02,544.49,547.2299,538.29,538.87,538.87,691043,0.0,1.0
2024-10-01,528.18,555.5657,525.7801,543.88,543.88,1200760,0.0,1.0
2024-09-30,526.72,528.94,521.895,528.07,528.07,957185,0.0,1.0
2024-09-27,523.49,528.93,521.97,526.79,526.79,528782,0.0,1.0
2024-09-26,524.33,530.6,523.205,524.31,524.31,426076,0.0,1.0
2024-09-25,532.18,533.0,525.09,528.11,528.11,437258,0.0,1.0
2024-09-24,531.03,533.77,526.52,529.86,529.86,528096,0.0,1.0
2024-09-23,525.24,534.61,523.55,533.14,533.14,524045,0.0,1.0
2024-09-20,521.09,526.82,518.23,525.13,525.13,1330363,0.0,1.0
2024-09-19,522.73,523.17,517.44,522.26,522.26,468507,0.0,1.0
2024-09-18,520.75,526.715,516.9401,521.63,521.63,532791,0.0,1.0
2024-09-17,515.0,521.9072,513.22,520.75,520.75,423048,0.0,1.0
2024-09-16,524.16,527.5,519.545,521.27,521.27,338525,0.0,1.0
2024-09-13,517.34,521.525,516.09,519.78,519.78,292828,0.0,1.0
2024-09-12,512.59,519.05,512.59,518.54,518.54,473592,0.0,1.0
2024-09-11,517.47,518.45,508.13,515.93,515.93,650279,0.0,1.0
2024-09-10,525.52,527.01,519.32,519.97,519.97,561552,0.0,1.0
2024-09-09,517.0,525.0987,517.0,524.21,524.21,642061,0.0,1.0
2024-09-06,519.39,522.89,514.73,515.0,515.0,535692,0.0,1.0
2024-09-05,524.74,525.802,516.33,519.39,519.39,384348,0.0,1.0
2024-09-04,524.01,528.76,520.2,523.68,523.68,563855,0.0,1.0
2024-09-03,522.65,526.66,520.51,522.69,522.69,810744,2.06,1.0
2024-08-30,516.5,523.62,516.17,523.21,521.156045545498,712851,0.0,1.0
2024-08-29,514.0,521.52,512.195,519.35,517.311198666031,509560,0.0,1.0
2024-08-28,515.56,517.475,510.14,513.56,511.543928346832,638763,0.0,1.0
2024-08-27,512.05,513.9085,508.0,512.44,510.428325107194,433961,0.0,1.0
2024-08-26,510.36,512.335,508.81,512.0,509.990052405908,515215,0.0,1.0
2024-08-23,510.0,510.4,505.241,509.34,507.340494711768,555059,0.0,1.0
2024-08-22,506.21,511.87,506.21,509.63,507.629356264888,500873,0.0,1.0
2024-08-21,508.91,509.42,504.87,506.86,504.870230395426,527255,0.0,1.0
2024-08-20,504.5,508.06,500.52,508.04,506.045598094331,452948,0.0,1.0
2024-08-19,506.75,508.47,503.52,504.87,502.888042496427,344265,0.0,1.0
2024-08-16,504.42,507.73,502.12,506.66,504.671015531205,580332,0.0,1.0
2024-08-15,504.63,505.235,501.32,503.7,501.722635540734,611761,0.0,1.0
2024-08-14,501.47,507.5299,500.825,505.0,503.017532158171,720133,0.0,1.0
2024-08-13,501.49,502.51,496.45,502.38,500.407817436875,780962,0.0,1.0
2024-08-12,495.49,502.69,492.0,501.66,499.690643925679,922796,0.0,1.0
2024-08-09,492.47,495.8582,487.0,494.34,492.399379895188,519172,0.0,1.0
2024-08-08,487.67,495.3199,484.86,491.32,489.39123544545,544388,0.0,1.0
2024-08-07,483.36,495.045,480.68,489.75,487.827398761315,739967,0.0,1.0
2024-08-06,493.23,495.5,485.955,486.53,484.620039447356,741621,0.0,1.0
2024-08-05,497.48,506.83,486.2881,492.63,490.696092806098,967467,0.0,1.0
2024-08-02,495.98,505.0,485.7,494.55,492.60855550262,1045802,0.0,1.0
2024-08-01,485.8,494.65,483.405,493.36,491.423227060505,997831,0.0,1.0
2024-07-31,486.54,489.38,482.85,484.32,482.418715197713,1454434,0.0,1.0
2024-07-30,476.58,489.06,475.02,486.73,484.819254311577,745118,0.0,1.0
2024-07-29,481.05,482.54,475.24,477.29,475.416312720343,877422,0.0,1.0
2024-07-26,477.56,484.445,472.1101,480.3,478.41449642687,1164624,0.0,1.0
2024-07-25,460.93,472.83,458.93,470.57,468.722693282516,2050784,0.0,1.0
2024-07-24,444.44,445.9533,437.02,442.12,440.38437884707,1301242,0.0,1.0
2024-07-23,439.44,443.64,437.0,442.3,440.563672224869,681265,0.0,1.0
2024-07-22,437.6,438.87,435.105,438.1,436.380160076227,790727,0.0,1.0
2024-07-19,442.55,442.55,434.8,437.94,436.22078818485,720019,0.0,1.0
2024-07-18,437.44,445.86,437.44,439.61,437.884232301096,891221,0.0,1.0
2024-07-17,434.71,441.83,433.94,440.17,438.442033920915,1140202,0.0,1.0
2024-07-16,431.21,436.05,431.2,435.16,433.451701572177,641320,0.0,1.0
2024-07-15,434.01,436.45,431.065,431.92,430.224420771796,624407,0.0,1.0
