,NRG_Open,NRG_High,NRG_Low,NRG_Close,NRG_Adj Close,NRG_Volume,NRG_Dividend Amount,NRG_Split Coefficient
2024-10-07,95.58,96.4,92.83,94.29,94.29,2307777,0.0,1.0
2024-10-04,94.49,96.2,93.91,95.35,95.35,2490450,0.0,1.0
2024-10-03,93.17,94.6,92.81,94.05,94.05,3029493,0.0,1.0
2024-10-02,92.0,93.46,91.87,92.49,92.49,2229240,0.0,1.0
2024-10-01,90.81,92.905,89.9,92.65,92.65,3493851,0.0,1.0
2024-09-30,91.2,92.12,89.58,91.1,91.1,2715748,0.0,1.0
2024-09-27,90.47,91.9899,90.22,91.22,91.22,2077303,0.0,1.0
2024-09-26,91.12,93.17,89.945,90.58,90.58,4386051,0.0,1.0
2024-09-25,88.11,89.7096,87.33,89.24,89.24,2437525,0.0,1.0
2024-09-24,88.56,88.92,87.28,87.92,87.92,2103885,0.0,1.0
2024-09-23,87.83,90.57,86.52,88.0,88.0,4285323,0.0,1.0
2024-09-20,83.5,87.16,82.47,87.09,87.09,6333965,0.0,1.0
2024-09-19,83.0,83.46,81.25,81.83,81.83,1968386,0.0,1.0
2024-09-18,81.3,84.07,81.235,81.95,81.95,2735251,0.0,1.0
2024-09-17,81.34,82.83,80.77,81.32,81.32,2140313,0.0,1.0
2024-09-16,80.89,82.02,80.27,80.78,80.78,2381691,0.0,1.0
2024-09-13,78.75,81.39,77.49,81.04,81.04,2250662,0.0,1.0
2024-09-12,80.07,81.085,79.56,79.8,79.8,1794571,0.0,1.0
2024-09-11,78.19,80.12,77.305,80.07,80.07,2340757,0.0,1.0
2024-09-10,78.3,78.45,77.38,77.94,77.94,1239438,0.0,1.0
2024-09-09,77.38,78.07,76.13,77.92,77.92,2483605,0.0,1.0
2024-09-06,78.54,79.6,76.36,76.51,76.51,3207661,0.0,1.0
2024-09-05,79.25,79.57,78.06,78.53,78.53,1526768,0.0,1.0
2024-09-04,79.66,81.35,78.965,79.13,79.13,1555984,0.0,1.0
2024-09-03,84.8,84.8,79.5,79.75,79.75,2872998,0.0,1.0
2024-08-30,83.0,85.17,82.96,85.01,85.01,2503766,0.0,1.0
2024-08-29,80.52,82.98,80.04,82.62,82.62,1883860,0.0,1.0
2024-08-28,83.59,84.0,79.94,80.27,80.27,2885489,0.0,1.0
2024-08-27,83.2,84.09,82.76,83.6,83.6,1812199,0.0,1.0
2024-08-26,83.54,85.38,83.28,83.75,83.75,3480602,0.0,1.0
2024-08-23,82.36,83.67,82.005,83.5,83.5,3005542,0.0,1.0
2024-08-22,82.85,83.2114,81.68,81.85,81.85,2093251,0.0,1.0
2024-08-21,81.92,83.557,81.5285,82.75,82.75,3486061,0.0,1.0
2024-08-20,82.27,82.76,81.53,81.92,81.92,1344773,0.0,1.0
2024-08-19,82.78,82.88,80.65,82.34,82.34,1564205,0.0,1.0
2024-08-16,82.69,83.85,81.77,82.78,82.78,2529103,0.0,1.0
2024-08-15,82.21,83.34,81.6,82.75,82.75,2973168,0.0,1.0
2024-08-14,82.19,82.73,80.765,82.38,82.38,2534504,0.0,1.0
2024-08-13,80.61,82.88,80.0,81.86,81.86,3057450,0.0,1.0
2024-08-12,80.37,80.63,77.98,79.87,79.87,3414238,0.0,1.0
2024-08-09,77.69,80.46,76.32,80.29,80.29,3767165,0.0,1.0
2024-08-08,73.81,78.65,72.95,77.97,77.97,4501735,0.0,1.0
2024-08-07,72.57,73.43,71.905,72.07,72.07,4235423,0.0,1.0
2024-08-06,69.45,72.5,69.38,71.19,71.19,3804907,0.0,1.0
2024-08-05,66.44,69.94,65.111,68.89,68.89,3751730,0.0,1.0
2024-08-02,72.63,73.33,69.18,70.0,70.0,4472316,0.0,1.0
2024-08-01,75.0,76.6,73.09,73.5,73.5,2337766,0.4075,1.0
2024-07-31,77.11,78.47,74.63,75.17,74.7555390183676,4500190,0.0,1.0
2024-07-30,74.74,75.25,72.96,73.33,72.9256841321923,1632426,0.0,1.0
2024-07-29,74.34,74.96,73.69,74.33,73.9201704833745,1418278,0.0,1.0
2024-07-26,74.45,75.13,73.09,73.71,73.3035889456415,2006142,0.0,1.0
2024-07-25,74.48,75.0,72.54,73.09,72.6870074079085,2921372,0.0,1.0
2024-07-24,76.12,76.76,74.04,74.19,73.780942394209,2496018,0.0,1.0
2024-07-23,76.54,77.46,76.06,76.61,76.18759936407,3089288,0.0,1.0
2024-07-22,75.36,77.12,75.2277,76.85,76.4262760883537,1704347,0.0,1.0
2024-07-19,74.01,75.37,73.61,74.91,74.4969725670602,3455927,0.0,1.0
2024-07-18,73.33,74.4,71.83,73.63,73.2240300375469,2779326,0.0,1.0
2024-07-17,75.28,75.34,72.33,72.54,72.1400399147583,4824953,0.0,1.0
2024-07-16,75.85,77.395,75.6,76.43,76.0085918208572,2484134,0.0,1.0
2024-07-15,79.64,79.64,74.65,75.39,74.9743260156276,3501915,0.0,1.0
2024-07-12,79.67,80.505,78.625,79.93,79.4892940499949,1870681,0.0,1.0
2024-07-11,79.16,79.87,78.75,79.63,79.1909481446403,2276810,0.0,1.0
2024-07-10,79.75,79.98,77.7739,79.16,78.7235395595846,1726316,0.0,1.0
2024-07-09,78.63,80.88,78.22,79.26,78.8229881947028,2542089,0.0,1.0
2024-07-08,77.66,78.78,77.18,78.57,78.1367926123871,1884879,0.0,1.0
2024-07-05,79.87,79.99,76.9,77.16,76.7345668572202,2091753,0.0,1.0
2024-07-03,77.91,79.65,77.44,79.42,78.982106010892,1289838,0.0,1.0
2024-07-02,77.48,78.68,77.32,77.89,77.4605418935832,2016344,0.0,1.0
2024-07-01,78.83,79.27,77.27,77.85,77.4207624395359,2607813,0.0,1.0
2024-06-28,78.62,79.37,77.62,77.86,77.4307073030477,6940870,0.0,1.0
2024-06-27,79.52,80.04,78.33,78.66,78.2262963839935,2733290,0.0,1.0
2024-06-26,81.98,82.31,79.35,79.52,79.0815546460102,3751322,0.0,1.0
2024-06-25,81.93,83.7413,81.2,82.27,81.8163921117613,2999497,0.0,1.0
2024-06-24,79.77,82.66,79.44,81.56,81.1103068024219,4374907,0.0,1.0
2024-06-21,80.11,80.61,78.88,80.02,79.5787978216013,9244910,0.0,1.0
2024-06-20,80.13,81.7,79.37,80.72,80.2749382674289,2806342,0.0,1.0
2024-06-18,78.13,80.26,77.7746,79.92,79.4793491864831,3623423,0.0,1.0
2024-06-17,78.2,78.87,77.07,78.55,78.1169028853635,3680366,0.0,1.0
2024-06-14,78.83,78.97,78.02,78.64,78.2064066569699,2393084,0.0,1.0
2024-06-13,81.0,81.03,77.77,79.38,78.9423265568447,2802493,0.0,1.0
2024-06-12,81.7,82.41,78.93,80.3,79.8572539999324,2910395,0.0,1.0
2024-06-11,79.17,81.07,78.805,81.05,80.603118763319,2851776,0.0,1.0
2024-06-10,77.7,80.21,77.5,79.97,79.5290735040422,3880034,0.0,1.0
2024-06-07,77.51,79.25,77.33,77.89,77.4605418935832,2966422,0.0,1.0
2024-06-06,81.37,82.65,77.185,77.83,77.4008727125123,4747599,0.0,1.0
2024-06-05,78.28,81.99,78.28,81.55,81.1003619389101,4141544,0.0,1.0
2024-06-04,77.99,79.775,75.91,77.83,77.4008727125123,4322749,0.0,1.0
2024-06-03,80.63,80.8,75.88,78.34,77.9080607516152,4984951,0.0,1.0
2024-05-31,84.68,84.825,77.67,81.0,80.5533944457599,7793445,0.0,1.0
2024-05-30,83.52,84.75,82.56,84.64,84.1733247640632,2085247,0.0,1.0
2024-05-29,83.47,84.29,82.23,83.53,83.0694449142509,2596696,0.0,1.0
2024-05-28,86.46,87.58,83.405,83.85,83.3876805466292,3167112,0.0,1.0
2024-05-24,81.46,86.46,79.44,86.0,85.525826201671,3639863,0.0,1.0
2024-05-23,82.38,82.82,80.2201,81.09,80.6428982173663,3333817,0.0,1.0
2024-05-22,82.27,82.5,80.15,81.07,80.6230084903427,3748029,0.0,1.0
2024-05-21,81.29,83.05,81.29,83.03,82.5722017386598,2508645,0.0,1.0
2024-05-20,82.74,83.3,80.66,81.48,81.0307478943274,3271281,0.0,1.0
2024-05-17,82.95,84.3,82.01,82.3,81.8462267022968,2913502,0.0,1.0
2024-05-16,85.0,85.57,82.78,82.93,82.4727531035416,3194103,0.0,1.0
2024-05-15,83.01,86.0,83.01,84.49,84.0241518113858,3448124,0.0,1.0
2024-05-14,81.9,83.24,81.44,82.08,81.6274397050367,4112961,0.0,1.0
2024-05-13,84.09,84.44,81.44,82.46,82.0053445184859,3775635,0.0,1.0
2024-05-10,82.82,84.4627,82.6,83.65,83.1887832763928,5319880,0.0,1.0
2024-05-09,75.97,82.45,75.95,81.76,81.3092040726584,5891289,0.0,1.0
2024-05-08,74.08,78.15,73.87,75.82,75.401955146636,5877362,0.0,1.0
2024-05-07,77.85,83.025,72.98,73.4,72.995298176775,8170327,0.0,1.0
2024-05-06,77.77,78.39,76.36,77.89,77.4605418935832,4249096,0.0,1.0
2024-05-03,75.5,77.68,74.95,76.65,76.2273788181172,4253129,0.0,1.0
2024-05-02,74.3,75.75,73.22,75.13,74.7157595643203,2097949,0.0,1.0
2024-05-01,72.94,74.71,71.5,73.66,73.2538646280824,2253303,0.0,1.0
2024-04-30,73.29,74.0,72.54,72.67,72.269323140412,2963449,0.4075,1.0
2024-04-29,73.0,74.11,72.67,73.95,73.1321740102421,2158609,0.0,1.0
2024-04-26,73.0,73.2,71.775,72.81,72.0047814697191,1681813,0.0,1.0
2024-04-25,71.57,72.99,71.21,72.86,72.0542285109701,1809408,0.0,1.0
2024-04-24,71.82,73.38,71.355,72.61,71.8069933047151,3193347,0.0,1.0
2024-04-23,70.85,72.18,70.61,71.49,70.6993795806925,2800264,0.0,1.0
2024-04-22,70.51,71.58,70.05,70.39,69.6115446731703,2871616,0.0,1.0
2024-04-19,70.28,71.45,69.11,69.97,69.1961895266618,3987098,0.0,1.0
2024-04-18,73.65,74.07,70.45,70.52,69.7401069804229,4119426,0.0,1.0
2024-04-17,74.33,74.5599,70.35,73.42,72.6080353729814,4217048,0.0,1.0
2024-04-16,73.08,74.905,72.52,74.52,73.6958702805036,3125774,0.0,1.0
2024-04-15,74.6,76.54,72.64,72.95,72.1432331852219,3903023,0.0,1.0
2024-04-12,74.32,76.11,73.54,73.93,73.1123951937417,4281596,0.0,1.0
2024-04-11,73.68,74.84,72.72,74.59,73.765096138255,3657391,0.0,1.0
2024-04-10,71.94,74.715,71.63,73.18,72.3706895749766,5151153,0.0,1.0
2024-04-09,74.19,74.74,71.39,72.77,71.9652238367183,3177905,0.0,1.0
2024-04-08,72.3,73.84,72.13,73.81,72.9937222947393,3314486,0.0,1.0
2024-04-05,71.0,73.08,70.74,72.77,71.9652238367183,3236188,0.0,1.0
2024-04-04,72.43,73.1307,70.48,70.7,69.9181163289265,4455854,0.0,1.0
2024-04-03,69.17,73.02,69.17,72.01,71.213628809703,5364666,0.0,1.0
2024-04-02,69.5,69.56,67.91,68.6,67.8413405963842,3155464,0.0,1.0
2024-04-01,67.6,70.195,66.9,70.15,69.3741988751654,3717303,0.0,1.0
2024-03-28,66.4,67.85,66.39,67.69,66.9414044456158,2571824,0.0,1.0
2024-03-27,66.43,66.9,66.0,66.62,65.8832377628442,2595578,0.0,1.0
2024-03-26,68.05,68.5,65.86,65.88,65.1514215523293,3471965,0.0,1.0
2024-03-25,67.75,68.57,67.47,68.13,67.3765384086247,3696782,0.0,1.0
2024-03-22,67.27,67.71,66.98,67.17,66.4271552166053,2197688,0.0,1.0
2024-03-21,67.64,67.95,66.55,67.04,66.2985929093527,3171410,0.0,1.0
2024-03-20,66.59,67.96,66.33,67.14,66.3974869918547,3538121,0.0,1.0
2024-03-19,64.71,66.95,63.8401,66.66,65.922795395845,5480197,0.0,1.0
2024-03-18,64.55,66.15,63.84,65.0,64.2811536263115,6886654,0.0,1.0
2024-03-15,63.04,64.81,62.559,63.93,63.2229869435399,17146530,0.0,1.0
2024-03-14,62.59,64.49,62.4,63.39,62.688958898029,4787577,0.0,1.0
2024-03-13,62.49,63.67,62.14,62.44,61.7494651142599,5279961,0.0,1.0
2024-03-12,60.4,62.33,60.23,62.3,61.611013398757,2889369,0.0,1.0
2024-03-11,60.66,60.8,59.5,60.45,59.7814728724697,2574533,0.0,1.0
2024-03-08,60.65,60.98,60.03,60.73,60.0583763034754,3058657,0.0,1.0
2024-03-07,61.87,61.89,60.26,60.62,59.9495928127232,3659293,0.0,1.0
2024-03-06,60.51,61.5,59.645,61.46,60.7803031057401,4651242,0.0,1.0
2024-03-05,57.73,60.36,57.65,60.01,59.3463389094608,7916059,0.0,1.0
2024-03-04,56.44,58.01,55.96,57.69,57.051996195414,5358909,0.0,1.0
2024-03-01,55.78,56.76,55.5,56.71,56.0828341868943,4567803,0.0,1.0
2024-02-29,54.7,55.4,54.12,55.32,54.7082064401162,4440762,0.0,1.0
2024-02-28,53.49,56.09,52.96,54.7,54.0950631286037,4725103,0.0,1.0
2024-02-27,52.82,54.07,52.57,54.04,53.4423621840904,3572290,0.0,1.0
2024-02-26,51.6,53.07,51.58,52.77,52.1864073363148,3759852,0.0,1.0
2024-02-23,52.33,52.33,51.485,51.55,50.9798995297901,3043763,0.0,1.0
2024-02-22,52.05,52.17,51.71,51.88,51.3062500020468,2815363,0.0,1.0
2024-02-21,51.8,52.155,51.49,51.87,51.2963605937966,1994117,0.0,1.0
2024-02-20,51.55,52.3,51.42,51.7,51.1282406535432,2388225,0.0,1.0
2024-02-16,51.84,52.68,51.8,51.9,51.3260288185472,1862299,0.0,1.0
2024-02-15,52.21,52.49,51.79,52.02,51.4447017175496,2125373,0.0,1.0
2024-02-14,52.49,52.72,51.8908,52.06,51.4842593505504,2055475,0.0,1.0
2024-02-13,51.55,52.34,51.31,51.92,51.3458076350476,2265266,0.0,1.0
2024-02-12,52.42,52.6,51.26,51.76,51.1875771030444,2521572,0.0,1.0
2024-02-09,52.28,52.565,51.98,52.37,51.7908310063067,1875321,0.0,1.0
2024-02-08,52.92,53.19,51.935,52.35,51.7710521898063,2834674,0.0,1.0
2024-02-07,53.64,53.84,52.29,52.99,52.4039743178192,3920284,0.0,1.0
2024-02-06,53.68,53.94,53.13,53.52,52.9281129550799,2250911,0.0,1.0
2024-02-05,54.28,54.48,53.44,53.68,53.0863434870831,3277026,0.0,1.0
2024-02-02,53.93,55.36,53.7,54.73,54.1247313533543,2890924,0.0,1.0
2024-02-01,53.08,54.61,52.87,54.25,53.6500397573446,2907595,0.0,1.0
2024-01-31,53.78,54.12,52.62,53.04,52.4534213590702,7182357,0.4075,1.0
2024-01-30,54.39,54.639,53.695,54.03,53.0250873479688,2397413,0.0,1.0
2024-01-29,54.31,54.685,53.45,54.45,53.4372757004794,2840901,0.0,1.0
2024-01-26,53.74,54.27,53.53,54.25,53.2409955326172,2463202,0.0,1.0
2024-01-25,52.75,53.71,52.59,53.69,52.6914110626031,3403357,0.0,1.0
2024-01-24,52.9,52.91,51.83,52.03,51.062285669347,2814402,0.0,1.0
2024-01-23,52.7,52.8,52.285,52.59,51.6118701393611,2159991,0.0,1.0
2024-01-22,52.71,53.08,52.2,52.69,51.7100102232922,2904102,0.0,1.0
2024-01-19,51.09,52.54,50.935,52.52,51.5431720806093,3050893,0.0,1.0
2024-01-18,51.05,51.19,50.43,50.96,50.0121867712843,2982690,0.0,1.0
2024-01-17,50.65,52.03,50.51,51.23,50.2771649978982,3126693,0.0,1.0
2024-01-16,50.45,51.27,50.24,50.94,49.9925587544981,3341749,0.0,1.0
2024-01-12,50.88,51.0,50.45,50.72,49.7766505698497,2655777,0.0,1.0
2024-01-11,50.88,50.88,50.23,50.51,49.5705563935944,2933812,0.0,1.0
2024-01-10,51.83,52.02,50.91,50.94,49.9925587544981,3257281,0.0,1.0
2024-01-09,51.94,52.09,51.52,51.72,50.7580514091606,3163337,0.0,1.0
2024-01-08,51.89,52.42,51.51,52.24,51.2683798456023,2855169,0.0,1.0
2024-01-05,51.39,51.85,51.3,51.73,50.7678654175537,2500497,0.0,1.0
2024-01-04,51.87,52.11,51.275,51.29,50.3360490482569,2048908,0.0,1.0
2024-01-03,51.35,51.76,51.0,51.67,50.708981367195,3400818,0.0,1.0
2024-01-02,51.5,51.89,50.94,51.25,50.2967930146845,4995787,0.0,1.0
2023-12-29,51.71,52.16,51.51,51.7,50.7384233923744,2387731,0.0,1.0
2023-12-28,51.24,51.915,51.12,51.86,50.8954475266641,1753705,0.0,1.0
2023-12-27,50.7,51.26,50.7,51.22,50.2673509895051,1602958,0.0,1.0
2023-12-26,50.0,51.005,50.0,50.81,49.8649766453877,1786666,0.0,1.0
2023-12-22,50.2,50.23,49.7499,50.0,49.0700419655458,2251729,0.0,1.0
2023-12-21,49.63,50.13,49.53,50.09,49.1583680410838,3503965,0.0,1.0
2023-12-20,49.87,50.34,49.35,49.38,48.4615734451731,2517701,0.0,1.0
2023-12-19,49.41,50.2,49.38,50.04,49.1092979991183,3534504,0.0,1.0
2023-12-18,48.64,49.46,48.64,49.29,48.3732473696351,4394926,0.0,1.0
2023-12-15,48.15,49.11,48.0,48.76,47.8531049248003,6301703,0.0,1.0
2023-12-14,48.97,49.165,47.88,48.21,47.3133344631793,3478473,0.0,1.0
2023-12-13,48.7,49.17,48.46,48.75,47.8432909164072,3431569,0.0,1.0
2023-12-12,47.71,48.805,47.595,48.7,47.7942208744416,3459655,0.0,1.0
2023-12-11,47.72,47.97,47.61,47.88,46.9894721862067,2127606,0.0,1.0
2023-12-08,47.34,47.83,47.34,47.81,46.9207741274549,3289649,0.0,1.0
2023-12-07,47.51,47.865,47.22,47.47,46.5870978420892,2156754,0.0,1.0
2023-12-06,48.39,48.73,47.52,47.53,46.6459818924478,2799281,0.0,1.0
2023-12-05,48.04,48.68,47.82,48.26,47.3624045051448,3773055,0.0,1.0
2023-12-04,47.95,48.54,47.59,48.08,47.1857523540689,2762780,0.0,1.0
2023-12-01,47.72,48.39,47.71,48.37,47.470358597469,3010212,0.0,1.0
2023-11-30,46.9,47.98,46.74,47.84,46.9502161526342,4998735,0.0,1.0
2023-11-29,46.66,47.29,46.5242,46.85,45.9786293217164,2005355,0.0,1.0
2023-11-28,46.23,47.24,46.23,46.78,45.9099312629647,4800156,0.0,1.0
