,NTAP_Open,NTAP_High,NTAP_Low,NTAP_Close,NTAP_Adj Close,NTAP_Volume,NTAP_Dividend Amount,NTAP_Split Coefficient
2024-10-01,123.51,123.73,120.92,121.31,121.31,1366233,0.0,1.0
2024-09-30,121.26,123.68,121.12,123.51,123.51,1673211,0.0,1.0
2024-09-27,124.45,124.685,121.1,121.24,121.24,1302133,0.0,1.0
2024-09-26,123.5,125.04,123.13,124.45,124.45,1619919,0.0,1.0
2024-09-25,122.85,123.4,121.15,121.68,121.68,1511396,0.0,1.0
2024-09-24,123.6,123.74,121.64,122.95,122.95,1693461,0.0,1.0
2024-09-23,122.72,123.16,121.775,122.92,122.92,1321116,0.0,1.0
2024-09-20,119.78,122.27,119.66,122.22,122.22,3193702,0.0,1.0
2024-09-19,122.0,122.01,119.895,120.08,120.08,1219431,0.0,1.0
2024-09-18,119.72,121.27,118.96,119.35,119.35,1204067,0.0,1.0
2024-09-17,118.77,120.32,118.29,119.04,119.04,1218651,0.0,1.0
2024-09-16,116.49,118.07,116.01,117.86,117.86,1444363,0.0,1.0
2024-09-13,116.42,118.12,116.13,117.32,117.32,1529280,0.0,1.0
2024-09-12,115.83,117.28,114.98,116.46,116.46,1588043,0.0,1.0
2024-09-11,115.15,115.85,112.87,115.65,115.65,1717463,0.0,1.0
2024-09-10,114.69,115.3,113.53,114.97,114.97,1388266,0.0,1.0
2024-09-09,115.65,116.23,114.1,114.6,114.6,2272199,0.0,1.0
2024-09-06,116.64,117.57,113.68,114.18,114.18,1730682,0.0,1.0
2024-09-05,117.89,118.53,115.95,116.82,116.82,2455646,0.0,1.0
2024-09-04,118.35,119.25,116.69,119.08,119.08,1519417,0.0,1.0
2024-09-03,122.7,122.74,118.03,118.95,118.95,2571811,0.0,1.0
2024-08-30,119.7,121.11,118.29,120.72,120.72,3020439,0.0,1.0
2024-08-29,125.08,126.11,119.15,119.2,119.2,4074405,0.0,1.0
2024-08-28,131.24,133.65,130.99,131.91,131.91,1916310,0.0,1.0
2024-08-27,131.55,133.3,130.825,133.12,133.12,1878692,0.0,1.0
2024-08-26,132.67,133.7545,131.75,132.5,132.5,980957,0.0,1.0
2024-08-23,133.01,133.55,132.24,133.12,133.12,1223764,0.0,1.0
2024-08-22,133.42,134.37,131.24,131.63,131.63,1177626,0.0,1.0
2024-08-21,131.91,133.86,131.605,133.41,133.41,1074031,0.0,1.0
2024-08-20,131.75,132.1,131.11,131.39,131.39,1404822,0.0,1.0
2024-08-19,129.94,131.95,129.59,131.7,131.7,1459000,0.0,1.0
2024-08-16,130.66,131.44,129.375,130.5,130.5,1374949,0.0,1.0
2024-08-15,128.83,131.58,128.79,131.43,131.43,1888635,0.0,1.0
2024-08-14,126.28,127.739,126.18,127.11,127.11,1163090,0.0,1.0
2024-08-13,123.84,126.54,123.73,125.87,125.87,1492216,0.0,1.0
2024-08-12,122.49,124.03,122.385,122.93,122.93,1169561,0.0,1.0
2024-08-09,118.81,122.81,118.005,122.49,122.49,1300121,0.0,1.0
2024-08-08,117.95,119.38,116.23,119.22,119.22,1186051,0.0,1.0
2024-08-07,118.17,119.875,115.92,116.23,116.23,1859247,0.0,1.0
2024-08-06,116.29,118.86,115.81,117.08,117.08,1561394,0.0,1.0
2024-08-05,113.82,116.03,113.18,115.61,115.61,2204692,0.0,1.0
2024-08-02,120.205,120.58,117.61,119.05,119.05,2385889,0.0,1.0
2024-08-01,126.43,128.12,121.37,122.51,122.51,1801247,0.0,1.0
2024-07-31,125.06,127.21,123.72,126.98,126.98,2086315,0.0,1.0
2024-07-30,125.8,126.5,121.81,122.57,122.57,1691197,0.0,1.0
2024-07-29,126.94,126.94,124.56,124.99,124.99,1032126,0.0,1.0
2024-07-26,126.9,126.9,125.21,126.15,126.15,1194967,0.0,1.0
2024-07-25,125.57,127.4692,123.52,125.56,125.56,1466333,0.0,1.0
2024-07-24,128.64,129.04,125.47,125.7,125.7,1529980,0.0,1.0
2024-07-23,128.27,129.34,127.76,129.2,129.2,1045888,0.0,1.0
2024-07-22,127.5,128.89,127.155,128.34,128.34,1129825,0.0,1.0
2024-07-19,126.45,126.91,125.8001,126.22,126.22,1220643,0.0,1.0
2024-07-18,128.32,128.56,125.09,126.09,126.09,1776698,0.0,1.0
2024-07-17,129.56,129.78,126.8,127.42,127.42,1834314,0.0,1.0
2024-07-16,130.74,131.64,128.8,131.59,131.59,1818404,0.0,1.0
2024-07-15,130.41,131.4,129.67,130.38,130.38,1537240,0.0,1.0
2024-07-12,131.87,132.04,130.04,130.17,130.17,1557051,0.0,1.0
2024-07-11,134.61,134.97,131.44,131.46,131.46,2266264,0.0,1.0
2024-07-10,133.07,135.01,132.88,134.62,134.62,1920265,0.0,1.0
2024-07-09,130.02,132.935,129.79,132.09,132.09,2165028,0.0,1.0
2024-07-08,129.73,131.05,129.2505,130.12,130.12,1688261,0.0,1.0
2024-07-05,129.72,130.05,128.12,129.09,129.09,1435116,0.52,1.0
2024-07-03,130.02,130.565,128.715,130.26,129.73739217653,904044,0.0,1.0
2024-07-02,128.76,130.65,128.7404,129.88,129.358916750251,1751492,0.0,1.0
2024-07-01,129.46,131.02,128.6,130.24,129.717472417252,2468426,0.0,1.0
2024-06-28,129.47,130.18,128.31,128.8,128.283249749248,3197238,0.0,1.0
2024-06-27,128.27,129.36,128.08,129.03,128.512326980943,1575156,0.0,1.0
2024-06-26,127.15,128.51,126.43,128.43,127.914734202608,2023923,0.0,1.0
2024-06-25,126.7,128.07,126.36,127.73,127.217542627884,1980964,0.0,1.0
2024-06-24,126.74,128.34,126.37,126.38,125.87295887663,1797148,0.0,1.0
2024-06-21,126.9,128.51,125.67,127.64,127.127903711133,4282859,0.0,1.0
2024-06-20,129.0,130.87,126.6,127.47,126.958585757272,3039833,0.0,1.0
2024-06-18,126.21,129.65,126.165,128.71,128.193610832497,2575785,0.0,1.0
2024-06-17,126.33,127.3,123.57,126.04,125.534322968907,1934225,0.0,1.0
2024-06-14,126.04,127.16,125.81,126.17,125.663801404213,1398446,0.0,1.0
2024-06-13,125.42,127.63,125.28,127.3,126.78926780341,1604400,0.0,1.0
2024-06-12,126.28,127.97,125.24,125.73,125.2255667001,2239441,0.0,1.0
2024-06-11,122.81,125.78,122.35,125.47,124.966609829488,2850513,0.0,1.0
2024-06-10,120.42,122.91,120.275,122.905,122.411900702106,1651999,0.0,1.0
2024-06-07,120.96,121.53,120.01,120.98,120.494623871615,1383621,0.0,1.0
2024-06-06,121.99,122.22,120.41,121.47,120.982657973922,2398368,0.0,1.0
2024-06-05,120.0,122.3,119.64,122.26,121.769488465396,2370753,0.0,1.0
2024-06-04,119.0,119.72,117.92,119.0,118.522567703109,2622188,0.0,1.0
2024-06-03,117.93,119.16,115.02,118.96,118.482728184554,3727950,0.0,1.0
2024-05-31,119.5,121.4758,116.51,120.43,119.946830491474,6128462,0.0,1.0
2024-05-30,118.68,118.68,116.3196,116.5,116.03259779338,3669586,0.0,1.0
2024-05-29,116.48,118.06,116.38,117.5,117.028585757272,2708741,0.0,1.0
2024-05-28,115.94,118.36,115.7201,118.01,117.536539618857,3239012,0.0,1.0
2024-05-24,114.71,116.01,114.41,115.67,115.20592778335,1351211,0.0,1.0
2024-05-23,115.53,115.95,113.83,114.04,113.582467402207,1548875,0.0,1.0
2024-05-22,113.44,114.22,113.1,114.11,113.652186559679,1746036,0.0,1.0
2024-05-21,111.53,113.12,111.5,112.95,112.496840521565,1693745,0.0,1.0
2024-05-20,110.82,112.475,110.35,112.28,111.829528585757,2097607,0.0,1.0
2024-05-17,110.56,110.815,109.87,110.47,110.026790371113,2257826,0.0,1.0
2024-05-16,110.06,110.81,109.7,109.75,109.309679037111,1545236,0.0,1.0
2024-05-15,109.5,110.9,109.22,110.62,110.176188565697,2873087,0.0,1.0
2024-05-14,108.63,109.47,108.06,109.04,108.602527582748,2814791,0.0,1.0
2024-05-13,109.02,109.29,107.89,108.15,107.716098294885,1841819,0.0,1.0
2024-05-10,108.84,109.11,107.715,108.5,108.064694082247,1703412,0.0,1.0
2024-05-09,109.46,109.73,107.2,108.18,107.745977933801,1852006,0.0,1.0
2024-05-08,107.0,109.52,106.84,109.48,109.040762286861,1703726,0.0,1.0
2024-05-07,108.28,108.81,106.85,107.36,106.92926780341,1325137,0.0,1.0
2024-05-06,105.25,108.1,105.14,107.95,107.516900702106,3382081,0.0,1.0
2024-05-03,103.25,104.73,103.0423,104.64,104.220180541625,2463599,0.0,1.0
2024-05-02,102.0,102.4,100.24,102.12,101.710290872618,1196608,0.0,1.0
2024-05-01,101.36,102.63,100.88,100.99,100.58482447342,1012389,0.0,1.0
2024-04-30,101.82,103.23,101.82,102.21,101.799929789368,1274697,0.0,1.0
2024-04-29,101.51,102.745,101.45,102.48,102.068846539619,1378485,0.0,1.0
2024-04-26,101.18,102.045,100.24,101.33,100.923460381143,2124805,0.0,1.0
2024-04-25,99.39,101.48,98.85,100.94,100.535025075226,1581500,0.0,1.0
2024-04-24,100.28,101.33,99.29,100.06,99.658555667001,1292603,0.0,1.0
2024-04-23,98.35,99.85,97.89,99.42,99.0211233701103,1746595,0.0,1.0
2024-04-22,98.74,98.7648,97.31,97.91,97.5171815446339,1830552,0.0,1.0
2024-04-19,99.84,100.74,97.75,97.95,97.5570210631896,1692490,0.0,1.0
