,OFIX_Open,OFIX_High,OFIX_Low,OFIX_Close,OFIX_Adj Close,OFIX_Volume,OFIX_Dividend Amount,OFIX_Split Coefficient
2024-10-07,15.14,15.225,15.0381,15.09,15.09,171255,0.0,1.0
2024-10-04,15.41,15.59,15.07,15.29,15.29,159578,0.0,1.0
2024-10-03,15.45,15.45,15.21,15.25,15.25,188019,0.0,1.0
2024-10-02,15.21,15.6,14.95,15.55,15.55,211374,0.0,1.0
2024-10-01,15.59,15.59,15.21,15.29,15.29,268390,0.0,1.0
2024-09-30,15.25,15.91,15.25,15.62,15.62,328891,0.0,1.0
2024-09-27,15.56,15.96,15.3,15.32,15.32,231861,0.0,1.0
2024-09-26,15.71,15.71,15.3,15.38,15.38,154388,0.0,1.0
2024-09-25,15.69,15.69,15.2,15.39,15.39,252803,0.0,1.0
2024-09-24,15.88,15.88,15.535,15.61,15.61,115973,0.0,1.0
2024-09-23,16.13,16.22,15.75,15.91,15.91,128942,0.0,1.0
2024-09-20,16.08,16.2865,15.96,16.21,16.21,337758,0.0,1.0
2024-09-19,16.61,16.675,16.23,16.3,16.3,142086,0.0,1.0
2024-09-18,16.17,16.65,15.7775,16.14,16.14,200285,0.0,1.0
2024-09-17,16.5,16.935,16.2,16.22,16.22,184126,0.0,1.0
2024-09-16,16.69,16.91,16.45,16.53,16.53,230000,0.0,1.0
2024-09-13,17.28,17.32,16.49,16.76,16.76,233933,0.0,1.0
2024-09-12,17.23,17.37,16.96,17.01,17.01,177250,0.0,1.0
2024-09-11,16.16,17.55,15.91,17.4,17.4,417170,0.0,1.0
2024-09-10,15.93,16.405,15.73,16.34,16.34,203646,0.0,1.0
2024-09-09,16.11,16.46,15.97,16.02,16.02,217229,0.0,1.0
2024-09-06,17.14,17.14,15.93,16.24,16.24,249807,0.0,1.0
2024-09-05,16.57,17.16,16.29,17.03,17.03,275195,0.0,1.0
2024-09-04,16.7,17.13,16.56,16.6,16.6,183524,0.0,1.0
2024-09-03,17.21,17.375,16.72,16.73,16.73,235866,0.0,1.0
2024-08-30,17.44,17.63,17.09,17.44,17.44,411810,0.0,1.0
2024-08-29,17.45,17.67,17.19,17.37,17.37,257845,0.0,1.0
2024-08-28,17.5,17.6,17.15,17.25,17.25,232266,0.0,1.0
2024-08-27,17.25,17.6,17.07,17.49,17.49,149016,0.0,1.0
2024-08-26,17.42,17.55,17.255,17.32,17.32,270847,0.0,1.0
2024-08-23,16.77,17.34,16.71,17.29,17.29,248450,0.0,1.0
2024-08-22,16.65,17.12,16.45,16.66,16.66,238063,0.0,1.0
2024-08-21,16.51,16.71,16.32,16.62,16.62,198014,0.0,1.0
2024-08-20,16.5,16.61,16.14,16.36,16.36,168777,0.0,1.0
2024-08-19,16.13,16.47,15.92,16.43,16.43,188422,0.0,1.0
2024-08-16,16.3,16.565,16.05,16.14,16.14,163214,0.0,1.0
2024-08-15,16.0,16.41,15.78,16.32,16.32,211348,0.0,1.0
2024-08-14,15.64,15.69,15.18,15.65,15.65,163946,0.0,1.0
2024-08-13,16.25,16.44,15.47,15.54,15.54,188893,0.0,1.0
2024-08-12,16.1,16.23,15.89,16.04,16.04,156724,0.0,1.0
2024-08-09,16.8,16.84,15.77,16.17,16.17,410230,0.0,1.0
2024-08-08,16.87,17.48,16.76,16.92,16.92,474045,0.0,1.0
2024-08-07,17.45,17.51,16.135,16.61,16.61,565389,0.0,1.0
2024-08-06,16.42,17.62,15.5842,17.44,17.44,1176742,0.0,1.0
2024-08-05,14.52,14.71,14.1401,14.59,14.59,377607,0.0,1.0
2024-08-02,15.09,15.76,15.06,15.24,15.24,248798,0.0,1.0
2024-08-01,16.0,16.23,15.27,15.77,15.77,430119,0.0,1.0
2024-07-31,16.26,16.46,15.81,16.08,16.08,262375,0.0,1.0
2024-07-30,16.08,16.2598,15.99,16.2,16.2,156892,0.0,1.0
2024-07-29,16.53,16.56,15.76,15.97,15.97,273294,0.0,1.0
2024-07-26,16.75,16.92,16.21,16.51,16.51,242940,0.0,1.0
2024-07-25,16.84,17.17,16.5,16.51,16.51,273407,0.0,1.0
