,OGS_Open,OGS_High,OGS_Low,OGS_Close,OGS_Adj Close,OGS_Volume,OGS_Dividend Amount,OGS_Split Coefficient
2024-10-07,73.01,73.01,71.71,72.05,72.05,240563,0.0,1.0
2024-10-04,72.79,73.52,72.55,73.43,73.43,369069,0.0,1.0
2024-10-03,72.76,73.0,72.3,72.73,72.73,192745,0.0,1.0
2024-10-02,73.37,73.87,72.91,72.94,72.94,264340,0.0,1.0
2024-10-01,74.18,74.47,73.55,73.93,73.93,294240,0.0,1.0
2024-09-30,73.94,74.58,73.69,74.42,74.42,365978,0.0,1.0
2024-09-27,74.23,74.585,73.695,74.2,74.2,335275,0.0,1.0
2024-09-26,74.13,74.31,73.42,73.7,73.7,299811,0.0,1.0
2024-09-25,74.52,74.77,73.76,73.97,73.97,610421,0.0,1.0
2024-09-24,74.23,74.99,73.8,74.24,74.24,431468,0.0,1.0
2024-09-23,73.96,74.48,73.4049,74.29,74.29,293628,0.0,1.0
2024-09-20,73.54,74.27,73.2,73.54,73.54,883363,0.0,1.0
2024-09-19,73.78,74.1075,72.63,73.64,73.64,385009,0.0,1.0
2024-09-18,73.39,74.0799,73.0,73.31,73.31,238166,0.0,1.0
2024-09-17,74.19,74.56,73.42,73.52,73.52,298254,0.0,1.0
2024-09-16,72.98,73.94,72.815,73.81,73.81,300918,0.0,1.0
2024-09-13,71.72,72.71,71.51,72.66,72.66,456356,0.0,1.0
2024-09-12,70.78,71.18,70.25,71.16,71.16,511727,0.0,1.0
2024-09-11,71.13,71.31,70.27,70.7,70.7,760028,0.0,1.0
2024-09-10,68.87,70.13,68.66,69.99,69.99,296208,0.0,1.0
2024-09-09,68.54,69.09,68.29,68.74,68.74,309198,0.0,1.0
2024-09-06,69.74,69.86,68.49,68.58,68.58,234702,0.0,1.0
2024-09-05,70.57,70.90627,69.54,69.74,69.74,256927,0.0,1.0
2024-09-04,69.87,70.175,69.52,70.08,70.08,320825,0.0,1.0
2024-09-03,68.73,69.54,68.5753,69.52,69.52,364942,0.0,1.0
2024-08-30,68.39,69.08,67.68,68.94,68.94,498843,0.0,1.0
2024-08-29,68.71,68.75,67.87,68.19,68.19,267540,0.0,1.0
2024-08-28,68.56,69.155,68.33,68.35,68.35,399801,0.0,1.0
2024-08-27,68.69,69.16,68.34,68.64,68.64,465830,0.0,1.0
2024-08-26,68.43,69.52,68.43,68.92,68.92,406901,0.0,1.0
2024-08-23,67.91,68.99,67.48,68.08,68.08,266700,0.0,1.0
2024-08-22,67.49,67.66,67.02,67.36,67.36,199904,0.0,1.0
2024-08-21,67.38,68.13,67.26,67.49,67.49,284949,0.0,1.0
2024-08-20,66.92,67.56,66.9,67.36,67.36,221560,0.0,1.0
2024-08-19,66.86,67.59,66.86,66.95,66.95,147144,0.0,1.0
2024-08-16,66.93,67.24,66.74,66.86,66.86,285334,0.0,1.0
2024-08-15,67.26,67.41,66.32,66.79,66.79,295272,0.0,1.0
2024-08-14,66.77,67.07,66.355,66.54,66.54,215978,0.66,1.0
2024-08-13,67.53,67.57,66.72,67.36,66.6984285714286,319664,0.0,1.0
2024-08-12,67.49,67.76,66.61,66.89,66.2330446428571,237831,0.0,1.0
2024-08-09,67.6,68.0,66.76,67.7,67.0350892857143,272260,0.0,1.0
2024-08-08,67.18,68.08,67.13,67.31,66.6489196428571,377597,0.0,1.0
2024-08-07,66.84,67.57,66.28,67.18,66.5201964285714,439464,0.0,1.0
2024-08-06,66.84,67.63,65.745,66.12,65.4706071428571,585277,0.0,1.0
2024-08-05,68.02,68.02,66.56,66.6,65.9458928571429,522903,0.0,1.0
2024-08-02,69.1,69.9,68.26,69.07,68.3916339285714,501700,0.0,1.0
2024-08-01,69.89,70.595,68.35,69.67,68.9857410714286,810264,0.0,1.0
2024-07-31,71.78,71.78,69.48,69.63,68.9461339285714,882806,0.0,1.0
2024-07-30,70.43,70.9,69.525,70.54,69.8471964285714,317237,0.0,1.0
