,OIS_Open,OIS_High,OIS_Low,OIS_Close,OIS_Adj Close,OIS_Volume,OIS_Dividend Amount,OIS_Split Coefficient
2024-10-07,5.11,5.215,5.105,5.16,5.16,526266,0.0,1.0
2024-10-04,5.06,5.23,5.025,5.11,5.11,721388,0.0,1.0
2024-10-03,4.75,5.01,4.74,5.0,5.0,574959,0.0,1.0
2024-10-02,4.74,4.77,4.62,4.75,4.75,881069,0.0,1.0
2024-10-01,4.55,4.6999,4.55,4.64,4.64,710536,0.0,1.0
2024-09-30,4.57,4.675,4.54,4.6,4.6,509761,0.0,1.0
2024-09-27,4.52,4.63,4.5028,4.58,4.58,710311,0.0,1.0
2024-09-26,4.51,4.525,4.405,4.46,4.46,641348,0.0,1.0
2024-09-25,4.79,4.79,4.58,4.6,4.6,435057,0.0,1.0
2024-09-24,4.92,4.935,4.79,4.81,4.81,496450,0.0,1.0
2024-09-23,4.89,4.96,4.79,4.82,4.82,413096,0.0,1.0
2024-09-20,4.86,4.895,4.7964,4.82,4.82,1195810,0.0,1.0
2024-09-19,4.98,4.98,4.84,4.93,4.93,429783,0.0,1.0
2024-09-18,4.93,5.02,4.82,4.82,4.82,518763,0.0,1.0
2024-09-17,4.73,4.94,4.69,4.93,4.93,599523,0.0,1.0
2024-09-16,4.64,4.68,4.55,4.67,4.67,472588,0.0,1.0
2024-09-13,4.56,4.615,4.49,4.58,4.58,555756,0.0,1.0
2024-09-12,4.52,4.58,4.44,4.48,4.48,622461,0.0,1.0
2024-09-11,4.47,4.475,4.33,4.45,4.45,606357,0.0,1.0
2024-09-10,4.63,4.68,4.42,4.48,4.48,829264,0.0,1.0
2024-09-09,4.64,4.69,4.6,4.61,4.61,638435,0.0,1.0
2024-09-06,4.82,4.895,4.63,4.65,4.65,1036102,0.0,1.0
2024-09-05,4.89,4.9,4.79,4.82,4.82,677217,0.0,1.0
2024-09-04,4.89,4.995,4.85,4.86,4.86,604670,0.0,1.0
2024-09-03,5.17,5.23,4.86,4.89,4.89,848153,0.0,1.0
2024-08-30,5.29,5.31,5.2,5.29,5.29,396571,0.0,1.0
2024-08-29,5.28,5.345,5.205,5.31,5.31,483482,0.0,1.0
2024-08-28,5.19,5.27,5.14,5.21,5.21,425522,0.0,1.0
2024-08-27,5.27,5.289,5.18,5.27,5.27,453117,0.0,1.0
2024-08-26,5.42,5.47,5.26,5.31,5.31,671094,0.0,1.0
2024-08-23,5.12,5.31,5.12,5.29,5.29,765492,0.0,1.0
2024-08-22,5.17,5.175,5.06,5.06,5.06,575307,0.0,1.0
2024-08-21,5.07,5.165,5.04,5.15,5.15,552298,0.0,1.0
2024-08-20,5.12,5.12,4.955,5.02,5.02,723390,0.0,1.0
2024-08-19,5.1,5.235,5.1,5.15,5.15,746647,0.0,1.0
2024-08-16,5.02,5.13,5.015,5.07,5.07,489523,0.0,1.0
2024-08-15,4.99,5.15,4.9625,5.06,5.06,789657,0.0,1.0
2024-08-14,4.86,4.95,4.76,4.91,4.91,773413,0.0,1.0
2024-08-13,4.87,4.89,4.795,4.83,4.83,595480,0.0,1.0
2024-08-12,4.86,4.94,4.73,4.89,4.89,705608,0.0,1.0
2024-08-09,4.92,4.99,4.785,4.8,4.8,654528,0.0,1.0
2024-08-08,5.01,5.05,4.865,4.91,4.91,889977,0.0,1.0
2024-08-07,5.15,5.2,4.85,4.94,4.94,1218609,0.0,1.0
2024-08-06,5.06,5.13,4.97,5.04,5.04,1103475,0.0,1.0
2024-08-05,5.03,5.1,4.89,5.05,5.05,1272534,0.0,1.0
2024-08-02,5.38,5.44,5.2434,5.33,5.33,1533243,0.0,1.0
2024-08-01,5.69,5.74,5.4,5.6,5.6,1610243,0.0,1.0
2024-07-31,5.72,5.83,5.57,5.72,5.72,1601191,0.0,1.0
2024-07-30,5.45,5.63,5.42,5.55,5.55,1469498,0.0,1.0
2024-07-29,5.26,5.75,5.22,5.39,5.39,2449227,0.0,1.0
2024-07-26,4.79,4.845,4.71,4.74,4.74,646631,0.0,1.0
2024-07-25,4.49,4.775,4.47,4.73,4.73,683788,0.0,1.0
2024-07-24,4.59,4.7,4.47,4.48,4.48,831931,0.0,1.0
2024-07-23,4.47,4.6099,4.47,4.6,4.6,620783,0.0,1.0
2024-07-22,4.47,4.55,4.405,4.5,4.5,694401,0.0,1.0
2024-07-19,4.49,4.535,4.4,4.47,4.47,645490,0.0,1.0
2024-07-18,4.47,4.545,4.45,4.52,4.52,632563,0.0,1.0
2024-07-17,4.56,4.67,4.475,4.53,4.53,997214,0.0,1.0
2024-07-16,4.34,4.58,4.32,4.56,4.56,1765196,0.0,1.0
2024-07-15,4.33,4.3999,4.23,4.32,4.32,963029,0.0,1.0
2024-07-12,4.37,4.4,4.23,4.3,4.3,660326,0.0,1.0
2024-07-11,4.15,4.3399,4.08,4.3,4.3,576653,0.0,1.0
