,OPB_Open,OPB_High,OPB_Low,OPB_Close,OPB_Adj Close,OPB_Volume,OPB_Dividend Amount,OPB_Split Coefficient
2020-06-01,19.49,19.49,19.49,19.49,19.49,120,0.0,1.0
2020-05-29,19.51,19.56,18.39,19.49,19.49,1229856,0.0,1.0
2020-05-28,21.05,21.05,19.85,19.96,19.96,383011,0.0,1.0
2020-05-27,19.49,20.72,19.47,20.66,20.66,242565,0.0,1.0
2020-05-26,18.42,19.33,18.38,19.21,19.21,114872,0.0,1.0
2020-05-22,17.7,17.82,17.205,17.6,17.6,100358,0.0,1.0
2020-05-21,17.74,18.04,17.435,17.49,17.49,139541,0.0,1.0
2020-05-20,17.07,17.8,17.07,17.75,17.75,143270,0.0,1.0
2020-05-19,17.41,17.57,16.58,16.58,16.58,168713,0.0,1.0
2020-05-18,16.0,17.73,16.0,17.57,17.57,230322,0.0,1.0
2020-05-15,15.2,15.51,14.84,15.17,15.17,809575,0.0,1.0
2020-05-14,14.82,15.37,14.14,15.3,15.3,243790,0.0,1.0
2020-05-13,16.08,16.08,14.72,15.28,15.28,168132,0.0,1.0
2020-05-12,17.24,18.28,15.99,16.04,16.04,150281,0.0,1.0
2020-05-11,18.17,18.27,17.21,17.25,17.25,159024,0.0,1.0
2020-05-08,17.82,18.73,17.82,18.59,18.59,231639,0.0,1.0
2020-05-07,16.95,17.69,16.88,17.32,17.32,139598,0.11,1.0
2020-05-06,17.97,17.98,16.61,16.7,16.5946069994263,149453,0.0,1.0
2020-05-05,18.05,18.43,17.82,17.85,17.7373493975904,233256,0.0,1.0
2020-05-04,17.66,17.9,17.17,17.64,17.5286746987952,82720,0.0,1.0
2020-05-01,18.88,18.88,17.43,17.89,17.7770969592656,120347,0.0,1.0
2020-04-30,18.75,19.4,18.0935,19.22,19.0987033849684,381909,0.0,1.0
2020-04-29,20.21,21.49,19.11,19.28,19.1583247274814,352068,0.0,1.0
2020-04-28,18.45,19.95,18.45,18.94,18.8204704532415,194032,0.0,1.0
2020-04-27,16.76,18.135,16.69,17.76,17.647917383821,151738,0.0,1.0
2020-04-24,16.35,16.73,15.86,16.5,16.3958691910499,84266,0.0,1.0
2020-04-23,15.82,16.505,15.82,16.27,16.1673207114171,111643,0.0,1.0
2020-04-22,16.39,16.39,15.4,15.69,15.5909810671256,79535,0.0,1.0
2020-04-21,15.49,16.02,15.25,15.87,15.7698450946644,201764,0.0,1.0
2020-04-20,16.09,16.89,15.76,16.11,16.008330464716,158705,0.0,1.0
2020-04-17,15.99,16.91,15.74,16.7,16.5946069994263,194692,0.0,1.0
2020-04-16,15.9,16.21,14.72,15.27,15.1736316695353,234527,0.0,1.0
2020-04-15,16.17,17.06,15.84,15.94,15.8394033275961,102639,0.0,1.0
2020-04-14,17.33,17.81,16.21,17.03,16.9225243832473,126038,0.0,1.0
2020-04-13,17.91,17.91,16.51,16.84,16.7337234652897,93272,0.0,1.0
2020-04-09,16.72,18.02,16.55,18.0,17.8864027538726,116089,0.0,1.0
2020-04-08,16.18,16.38,15.84,16.23,16.1275731497418,173053,0.0,1.0
2020-04-07,15.46,16.35,15.4,15.9,15.7996557659208,188837,0.0,1.0
2020-04-06,14.95,15.3,14.57,15.01,14.915272518646,134760,0.0,1.0
2020-04-03,16.01,16.105,13.975,14.25,14.1600688468158,147960,0.0,1.0
2020-04-02,15.46,16.49,15.29,16.03,15.9288353413655,213538,0.0,1.0
2020-04-01,16.47,16.92,15.49,15.64,15.5412966150316,295464,0.0,1.0
2020-03-31,16.49,17.475,15.97,17.33,17.2206310958118,274995,0.0,1.0
2020-03-30,15.9,16.63,15.29,16.55,16.445553643144,366368,0.0,1.0
2020-03-27,15.77,16.635,15.2559,15.83,15.7300975329891,168544,0.0,1.0
2020-03-26,15.16,16.76,15.16,16.66,16.554859437751,238819,0.0,1.0
2020-03-25,15.36,15.76,14.2,15.01,14.915272518646,252980,0.0,1.0
2020-03-24,14.99,15.37,14.41,15.04,14.9450831899025,199756,0.0,1.0
2020-03-23,14.78,14.78,13.07,14.06,13.9712679288583,198875,0.0,1.0
2020-03-20,16.46,16.46,14.5,14.53,14.4383017785427,276480,0.0,1.0
2020-03-19,14.34,16.62,13.85,16.41,16.3064371772806,398644,0.0,1.0
2020-03-18,15.46,15.97,14.24,14.48,14.3886173264487,225376,0.0,1.0
2020-03-17,15.2,16.72,14.37,16.72,16.6144807802639,340844,0.0,1.0
2020-03-16,15.24,16.6,14.91,15.08,14.9848307515777,392544,0.0,1.0
2020-03-13,17.56,18.4,16.44,18.27,18.1546987951807,359357,0.0,1.0
2020-03-12,15.45,18.4,15.01,16.49,16.3859323006311,458770,0.0,1.0
2020-03-11,18.4,18.54,16.53,16.85,16.7436603557085,434758,0.0,1.0
2020-03-10,18.56,19.37,17.9767,19.04,18.9198393574297,331471,0.0,1.0
2020-03-09,20.32,20.61,17.79,17.83,17.7174756167527,269577,0.0,1.0
2020-03-06,22.41,22.92,21.8,22.15,22.0102122776822,180773,0.0,1.0
2020-03-05,23.81,23.87,22.98,23.29,23.1430177854274,357557,0.0,1.0
2020-03-04,24.34,24.47,23.59,24.4,24.2460126219162,288342,0.0,1.0
2020-03-03,25.13,25.37,23.8,24.02,23.8684107860011,509520,0.0,1.0
2020-03-02,23.67,25.14,23.44,25.13,24.97140562249,655594,0.0,1.0
2020-02-28,23.87,24.3,23.17,23.67,23.5206196213425,560199,0.0,1.0
2020-02-27,25.54,25.98,24.5,24.54,24.3851290877797,356742,0.0,1.0
2020-02-26,26.1,26.65,25.8,25.95,25.786230636833,298741,0.0,1.0
2020-02-25,27.33,27.63,25.83,25.97,25.8061044176707,515008,0.0,1.0
2020-02-24,27.29,27.3,26.9,27.0,26.8296041308089,455102,0.0,1.0
2020-02-21,27.7,28.13,27.51,27.79,27.6146184738956,618285,0.0,1.0
2020-02-20,27.73,28.02,27.61,27.74,27.5649340218015,676441,0.0,1.0
2020-02-19,27.92,28.16,27.73,27.855,27.6792082616179,734762,0.0,1.0
2020-02-18,27.97,28.37,27.82,27.875,27.6990820424555,599973,0.0,1.0
2020-02-14,27.94,28.25,27.74,28.12,27.9425358577166,464798,0.0,1.0
2020-02-13,27.45,28.04,27.43,27.93,27.753734939759,511825,0.0,1.0
2020-02-12,27.55,27.96,27.39,27.49,27.316511761331,940747,0.0,1.0
2020-02-11,27.32,28.01,27.29,27.44,27.2668273092369,692935,0.0,1.0
2020-02-10,26.85,27.52,26.68,27.2,27.0283419391853,561452,0.0,1.0
2020-02-07,27.33,27.66,26.86,26.9,26.7302352266208,404270,0.0,1.0
2020-02-06,27.41,28.0,27.38,27.43,27.2568904188181,537796,0.0,1.0
2020-02-05,27.83,27.93,26.9,27.53,27.3562593230063,1088137,0.11,1.0
2020-02-04,26.79,27.02,26.535,26.785,26.5100363953229,1432374,0.0,1.0
