,PAY_Open,PAY_High,PAY_Low,PAY_Close,PAY_Adj Close,PAY_Volume,PAY_Dividend Amount,PAY_Split Coefficient
2024-10-07,20.6,20.7699,20.26,20.58,20.58,112938,0.0,1.0
2024-10-04,20.21,21.07,20.05,20.8,20.8,259960,0.0,1.0
2024-10-03,19.9,20.085,19.53,19.82,19.82,118277,0.0,1.0
2024-10-02,20.73,20.8,19.59,19.89,19.89,198866,0.0,1.0
2024-10-01,20.2,21.3799,19.97,20.82,20.82,382515,0.0,1.0
2024-09-30,19.82,20.109,19.718578,20.02,20.02,352198,0.0,1.0
2024-09-27,20.25,20.485,19.94,20.01,20.01,154973,0.0,1.0
2024-09-26,21.44,21.445,19.91,20.09,20.09,226122,0.0,1.0
2024-09-25,21.67,21.9,21.09,21.18,21.18,147054,0.0,1.0
2024-09-24,22.5,22.5491,21.76,21.82,21.82,148476,0.0,1.0
2024-09-23,21.99,22.21,21.84,22.05,22.05,107175,0.0,1.0
2024-09-20,22.12,22.12,21.76,21.92,21.92,245575,0.0,1.0
2024-09-19,22.2,22.65,21.71,22.21,22.21,226573,0.0,1.0
2024-09-18,21.9,22.1156,21.35,21.47,21.47,271089,0.0,1.0
2024-09-17,21.74,22.19,21.55,21.82,21.82,186098,0.0,1.0
2024-09-16,21.33,21.83,21.08,21.58,21.58,208132,0.0,1.0
2024-09-13,20.89,21.55,20.7101,21.35,21.35,257924,0.0,1.0
2024-09-12,20.9,20.99,20.31,20.72,20.72,242607,0.0,1.0
2024-09-11,20.84,21.0,20.68,20.82,20.82,152530,0.0,1.0
2024-09-10,20.63,21.11,20.48,21.08,21.08,147722,0.0,1.0
2024-09-09,20.31,20.65,20.23,20.54,20.54,242635,0.0,1.0
2024-09-06,21.25,21.29,20.1,20.13,20.13,144642,0.0,1.0
2024-09-05,21.535,21.63,21.21,21.23,21.23,96279,0.0,1.0
2024-09-04,21.35,22.02,21.26,21.54,21.54,109347,0.0,1.0
2024-09-03,22.49,22.72,21.29,21.41,21.41,132321,0.0,1.0
2024-08-30,22.39,22.77,22.25,22.73,22.73,94888,0.0,1.0
2024-08-29,22.42,22.775,22.2381,22.26,22.26,76520,0.0,1.0
2024-08-28,22.61,22.77,22.2,22.24,22.24,98905,0.0,1.0
2024-08-27,22.7,23.02,22.15,22.77,22.77,160915,0.0,1.0
2024-08-26,23.09,23.569,22.75,22.97,22.97,262412,0.0,1.0
2024-08-23,22.51,23.08,22.51,23.06,23.06,203949,0.0,1.0
2024-08-22,22.72,22.96,22.42,22.5,22.5,72029,0.0,1.0
2024-08-21,23.19,23.225,22.68,22.81,22.81,94980,0.0,1.0
2024-08-20,22.91,23.465,22.91,23.19,23.19,143794,0.0,1.0
2024-08-19,23.53,23.68,22.9,22.91,22.91,112493,0.0,1.0
2024-08-16,23.05,23.77,23.05,23.64,23.64,176530,0.0,1.0
2024-08-15,23.05,23.4,22.99,23.17,23.17,118223,0.0,1.0
2024-08-14,22.73,22.76,22.16,22.43,22.43,189698,0.0,1.0
