,PBI_Open,PBI_High,PBI_Low,PBI_Close,PBI_Adj Close,PBI_Volume,PBI_Dividend Amount,PBI_Split Coefficient
2024-10-07,6.88,6.9,6.72,6.74,6.74,2167260,0.0,1.0
2024-10-04,6.96,7.0,6.85,6.92,6.92,841145,0.0,1.0
2024-10-03,6.75,6.925,6.735,6.81,6.81,962106,0.0,1.0
2024-10-02,6.77,6.91,6.77,6.79,6.79,925430,0.0,1.0
2024-10-01,7.11,7.11,6.7002,6.86,6.86,1519493,0.0,1.0
2024-09-30,7.07,7.23,7.04,7.13,7.13,1809652,0.0,1.0
2024-09-27,7.2,7.265,7.0108,7.11,7.11,1587370,0.0,1.0
2024-09-26,7.17,7.225,7.0943,7.12,7.12,1017897,0.0,1.0
2024-09-25,7.13,7.175,7.01,7.01,7.01,1145360,0.0,1.0
2024-09-24,7.11,7.2,7.005,7.16,7.16,1293422,0.0,1.0
2024-09-23,7.06,7.075,6.92,7.06,7.06,1303135,0.0,1.0
2024-09-20,7.04,7.1,6.91,7.01,7.01,4738881,0.0,1.0
2024-09-19,7.23,7.28,7.06,7.1,7.1,1449884,0.0,1.0
2024-09-18,6.95,7.23,6.79,7.01,7.01,1578247,0.0,1.0
2024-09-17,6.71,6.94,6.645,6.91,6.91,2828893,0.0,1.0
2024-09-16,6.8,6.88,6.615,6.64,6.64,1562069,0.0,1.0
2024-09-13,6.77,6.8,6.675,6.79,6.79,1122762,0.0,1.0
2024-09-12,6.54,6.74,6.47,6.66,6.66,1158086,0.0,1.0
2024-09-11,6.38,6.565,6.215,6.52,6.52,1491931,0.0,1.0
2024-09-10,6.48,6.535,6.35,6.44,6.44,1623960,0.0,1.0
2024-09-09,6.47,6.68,6.44,6.48,6.48,1548305,0.0,1.0
2024-09-06,6.65,6.76,6.4,6.44,6.44,1757400,0.0,1.0
2024-09-05,6.84,6.93,6.655,6.69,6.69,764085,0.0,1.0
2024-09-04,6.74,6.9,6.685,6.75,6.75,1035094,0.0,1.0
2024-09-03,6.97,7.03,6.72,6.78,6.78,2119619,0.0,1.0
2024-08-30,7.11,7.17,6.955,7.07,7.07,1431162,0.0,1.0
2024-08-29,7.16,7.18,7.02,7.04,7.04,1365475,0.0,1.0
2024-08-28,7.16,7.265,7.055,7.13,7.13,1040651,0.0,1.0
2024-08-27,7.17,7.295,7.1003,7.21,7.21,1042138,0.0,1.0
2024-08-26,7.41,7.41,7.19,7.24,7.24,981921,0.0,1.0
2024-08-23,7.24,7.515,7.18,7.38,7.38,1676964,0.0,1.0
2024-08-22,7.27,7.35,7.17,7.17,7.17,1498485,0.05,1.0
2024-08-21,7.36,7.43,7.13,7.27,7.21965373961219,1275447,0.0,1.0
2024-08-20,7.44,7.505,7.25,7.27,7.21965373961219,1499379,0.0,1.0
2024-08-19,7.2,7.52,7.2,7.49,7.43813019390582,2321193,0.0,1.0
2024-08-16,7.23,7.34,7.01,7.19,7.14020775623269,2278672,0.0,1.0
2024-08-15,7.26,7.29,7.05,7.22,7.17,2174573,0.0,1.0
2024-08-14,7.25,7.39,6.975,7.09,7.04090027700831,2152169,0.0,1.0
2024-08-13,7.01,7.4,7.0,7.23,7.17993074792244,4424666,0.0,1.0
2024-08-12,6.32,7.19,6.3,6.92,6.87207756232687,5315130,0.0,1.0
