,PG_Open,PG_High,PG_Low,PG_Close,PG_Adj Close,PG_Volume,PG_Dividend Amount,PG_Split Coefficient
2024-10-07,169.16,169.58,166.87,167.12,167.12,6325281,0.0,1.0
2024-10-04,168.85,170.09,168.26,168.88,168.88,6003668,0.0,1.0
2024-10-03,171.37,171.37,169.77,170.12,170.12,4794348,0.0,1.0
2024-10-02,172.01,172.45,171.08,171.92,171.92,6212890,0.0,1.0
2024-10-01,173.24,174.0,172.2,173.04,173.04,7130825,0.0,1.0
2024-09-30,173.73,174.0,172.71,173.2,173.2,6296653,0.0,1.0
2024-09-27,173.01,174.445,172.58,173.55,173.55,4599709,0.0,1.0
2024-09-26,171.5,174.61,171.36,173.21,173.21,4957367,0.0,1.0
2024-09-25,174.07,174.68,172.06,172.26,172.26,8916483,0.0,1.0
2024-09-24,172.88,174.5,172.615,173.24,173.24,5422351,0.0,1.0
2024-09-23,174.01,175.185,172.5901,173.77,173.77,10265199,0.0,1.0
2024-09-20,171.51,174.54,171.5,174.22,174.22,28647462,0.0,1.0
2024-09-19,172.88,173.16,170.38,171.54,171.54,8692016,0.0,1.0
2024-09-18,175.05,175.9,172.57,173.92,173.92,5102884,0.0,1.0
2024-09-17,176.625,176.97,175.36,175.88,175.88,4757247,0.0,1.0
2024-09-16,174.71,177.31,174.32,177.24,177.24,6892335,0.0,1.0
2024-09-13,173.37,174.54,172.8,174.08,174.08,3917986,0.0,1.0
2024-09-12,173.9,174.6111,172.44,173.47,173.47,4839752,0.0,1.0
2024-09-11,176.6,177.0,173.63,173.92,173.92,6828173,0.0,1.0
2024-09-10,175.91,177.94,175.91,177.79,177.79,6396311,0.0,1.0
2024-09-09,175.54,176.84,174.66,176.06,176.06,6450204,0.0,1.0
2024-09-06,175.76,177.04,175.34,175.59,175.59,5785684,0.0,1.0
2024-09-05,175.99,176.55,174.67,175.47,175.47,6061865,0.0,1.0
2024-09-04,173.63,176.0,173.63,175.9,175.9,6726882,0.0,1.0
2024-09-03,171.03,175.0,170.99,174.52,174.52,10101418,0.0,1.0
2024-08-30,170.16,171.88,169.69,171.54,171.54,7301617,0.0,1.0
2024-08-29,169.75,170.6,168.94,170.03,170.03,4413165,0.0,1.0
2024-08-28,169.42,171.2,168.58,169.06,169.06,5645040,0.0,1.0
2024-08-27,170.83,171.1,169.08,169.25,169.25,4456635,0.0,1.0
2024-08-26,168.695,170.97,168.695,170.35,170.35,6472417,0.0,1.0
2024-08-23,170.05,170.11,168.25,169.17,169.17,4771267,0.0,1.0
2024-08-22,170.88,171.24,169.14,170.15,170.15,4097382,0.0,1.0
2024-08-21,170.19,171.89,169.6,170.16,170.16,4082026,0.0,1.0
2024-08-20,168.77,170.56,168.11,170.41,170.41,4513600,0.0,1.0
2024-08-19,168.18,169.235,168.17,168.42,168.42,3885315,0.0,1.0
2024-08-16,167.82,168.35,166.8,167.89,167.89,5640925,0.0,1.0
2024-08-15,169.46,169.68,166.75,167.92,167.92,9491625,0.0,1.0
2024-08-14,166.5,169.47,165.82,168.8,168.8,5476675,0.0,1.0
2024-08-13,167.34,167.8,166.46,167.29,167.29,3770007,0.0,1.0
2024-08-12,169.4,169.65,166.2,166.81,166.81,7208103,0.0,1.0
2024-08-09,170.12,171.26,169.65,170.54,170.54,5377378,0.0,1.0
2024-08-08,169.42,171.56,169.0,170.87,170.87,6386941,0.0,1.0
2024-08-07,168.57,171.72,168.01,170.02,170.02,8385546,0.0,1.0
2024-08-06,167.9,170.33,167.85,168.09,168.09,7454869,0.0,1.0
2024-08-05,170.88,170.88,166.67,168.06,168.06,10338767,0.0,1.0
2024-08-02,167.44,170.35,165.15,170.08,170.08,11899038,0.0,1.0
2024-08-01,160.88,166.305,160.68,165.69,165.69,12532700,0.0,1.0
2024-07-31,160.81,162.86,159.21,160.76,160.76,9660902,0.0,1.0
2024-07-30,161.79,162.38,158.04,161.7,161.7,15746254,0.0,1.0
2024-07-29,168.85,170.5399,168.11,169.93,169.93,6797832,0.0,1.0
2024-07-26,167.25,169.32,167.03,169.11,169.11,5581557,0.0,1.0
2024-07-25,168.32,170.085,166.87,166.9,166.9,7338521,0.0,1.0
2024-07-24,166.32,168.28,165.575,168.0,168.0,5906992,0.0,1.0
2024-07-23,168.11,168.4199,166.32,166.62,166.62,4863398,0.0,1.0
