,PLXS_Open,PLXS_High,PLXS_Low,PLXS_Close,PLXS_Adj Close,PLXS_Volume,PLXS_Dividend Amount,PLXS_Split Coefficient
2024-10-07,135.05,137.2713,134.495,135.02,135.02,142201,0.0,1.0
2024-10-04,136.82,136.935,134.99,136.02,136.02,94273,0.0,1.0
2024-10-03,134.15,135.32,133.495,134.49,134.49,79468,0.0,1.0
2024-10-02,134.41,135.73,133.16,135.02,135.02,103778,0.0,1.0
2024-10-01,136.7,136.7,132.51,134.72,134.72,138553,0.0,1.0
2024-09-30,135.51,137.17,134.48,136.71,136.71,156220,0.0,1.0
2024-09-27,137.05,138.2,135.86,136.44,136.44,125420,0.0,1.0
2024-09-26,134.46,136.22,134.12,136.0,136.0,136165,0.0,1.0
2024-09-25,131.86,132.66,130.93,132.0,132.0,167439,0.0,1.0
2024-09-24,131.31,132.12,130.0444,131.55,131.55,109230,0.0,1.0
2024-09-23,132.03,132.35,129.45,130.77,130.77,120438,0.0,1.0
2024-09-20,131.81,132.68,130.6,131.03,131.03,568030,0.0,1.0
2024-09-19,131.02,132.5,128.95,132.39,132.39,152039,0.0,1.0
2024-09-18,128.34,130.23,127.24,128.0,128.0,182131,0.0,1.0
2024-09-17,127.71,129.34,127.11,127.84,127.84,95994,0.0,1.0
2024-09-16,126.51,127.31,124.87,126.63,126.63,161810,0.0,1.0
2024-09-13,125.78,126.38,124.19,126.21,126.21,138759,0.0,1.0
2024-09-12,124.54,124.58,122.54,124.23,124.23,90743,0.0,1.0
2024-09-11,119.16,124.05,117.99,123.94,123.94,164057,0.0,1.0
2024-09-10,119.27,120.68,118.892064,119.89,119.89,181100,0.0,1.0
2024-09-09,119.79,120.975,118.13,119.54,119.54,142696,0.0,1.0
2024-09-06,121.94,121.94,119.3,119.79,119.79,90882,0.0,1.0
2024-09-05,123.2,123.2,121.1,122.12,122.12,89096,0.0,1.0
2024-09-04,121.84,123.42,121.27,123.0,123.0,93508,0.0,1.0
2024-09-03,127.2,127.97,121.915,122.29,122.29,141385,0.0,1.0
2024-08-30,128.02,128.85,127.11,128.11,128.11,244534,0.0,1.0
2024-08-29,128.39,130.56,127.32,127.78,127.78,117265,0.0,1.0
2024-08-28,126.43,128.185,125.66,127.25,127.25,95911,0.0,1.0
2024-08-27,126.11,127.91,124.55,126.69,126.69,77396,0.0,1.0
2024-08-26,129.29,129.29,126.34,127.06,127.06,111082,0.0,1.0
2024-08-23,124.58,128.2,124.2,128.04,128.04,122080,0.0,1.0
2024-08-22,125.56,125.765,123.56,124.09,124.09,89758,0.0,1.0
2024-08-21,123.04,126.0,123.04,125.61,125.61,143408,0.0,1.0
2024-08-20,126.38,126.73,122.18,122.54,122.54,135503,0.0,1.0
2024-08-19,124.05,126.76,123.95,126.76,126.76,120733,0.0,1.0
2024-08-16,124.51,125.33,123.1536,124.29,124.29,104651,0.0,1.0
2024-08-15,122.78,124.53,121.44,123.51,123.51,142960,0.0,1.0
2024-08-14,120.11,121.06,118.84,119.81,119.81,73420,0.0,1.0
2024-08-13,119.43,120.07,118.3665,119.32,119.32,84290,0.0,1.0
2024-08-12,119.21,119.64,117.405,118.51,118.51,79873,0.0,1.0
2024-08-09,118.55,118.905,117.19,118.78,118.78,132446,0.0,1.0
2024-08-08,117.89,119.41,117.805,119.05,119.05,105223,0.0,1.0
2024-08-07,118.58,120.11,115.95,116.88,116.88,106675,0.0,1.0
2024-08-06,114.81,117.98,114.81,116.91,116.91,92433,0.0,1.0
2024-08-05,110.57,116.28,110.35,114.81,114.81,123635,0.0,1.0
2024-08-02,119.39,121.805,116.49,117.71,117.71,170180,0.0,1.0
2024-08-01,127.8,129.63,122.822,124.53,124.53,155293,0.0,1.0
2024-07-31,126.39,129.85,125.54,128.17,128.17,125376,0.0,1.0
2024-07-30,126.32,126.57,123.45,125.13,125.13,146252,0.0,1.0
2024-07-29,129.0,129.48,125.29,126.37,126.37,134918,0.0,1.0
2024-07-26,132.08,132.08,128.325,129.85,129.85,152848,0.0,1.0
2024-07-25,122.06,132.46,120.25,129.59,129.59,510437,0.0,1.0
2024-07-24,118.81,120.43,115.53,116.15,116.15,165030,0.0,1.0
2024-07-23,117.25,120.47,117.25,118.84,118.84,140528,0.0,1.0
2024-07-22,115.7,118.47,114.53,118.37,118.37,137273,0.0,1.0
2024-07-19,117.19,117.58,114.77,115.33,115.33,122521,0.0,1.0
2024-07-18,118.47,120.255355,116.12,116.82,116.82,174529,0.0,1.0
2024-07-17,117.54,120.2,117.54,119.37,119.37,139445,0.0,1.0
2024-07-16,114.13,119.38,114.13,118.9,118.9,176338,0.0,1.0
2024-07-15,111.66,114.41,111.355,112.79,112.79,142740,0.0,1.0
2024-07-12,109.46,111.56,109.04,110.6,110.6,113891,0.0,1.0
2024-07-11,106.99,108.79,106.505,108.19,108.19,107722,0.0,1.0
2024-07-10,102.6,104.795,102.4316,104.78,104.78,108112,0.0,1.0
2024-07-09,103.63,104.41,102.0,102.17,102.17,243863,0.0,1.0
2024-07-08,103.66,104.8767,103.29,103.43,103.43,74422,0.0,1.0
2024-07-05,103.73,103.73,102.385,102.8,102.8,92958,0.0,1.0
2024-07-03,104.26,104.41,103.535,104.21,104.21,48712,0.0,1.0
2024-07-02,102.94,104.56,102.94,103.97,103.97,113157,0.0,1.0
2024-07-01,102.89,103.47,101.64,102.75,102.75,92319,0.0,1.0
2024-06-28,103.58,104.145,102.04,103.18,103.18,842480,0.0,1.0
2024-06-27,102.64,102.7,101.64,102.39,102.39,88699,0.0,1.0
2024-06-26,102.43,103.21,100.955,101.97,101.97,99691,0.0,1.0
2024-06-25,102.43,103.285,101.385,103.09,103.09,83480,0.0,1.0
2024-06-24,103.72,104.44,102.29,102.43,102.43,98513,0.0,1.0
2024-06-21,102.42,103.73,102.42,103.72,103.72,439719,0.0,1.0
2024-06-20,102.63,104.47,101.45,102.65,102.65,98532,0.0,1.0
2024-06-18,103.38,104.285,103.1,103.1,103.1,99646,0.0,1.0
2024-06-17,102.19,103.765,101.2,103.38,103.38,89801,0.0,1.0
2024-06-14,102.54,102.54,101.32,102.13,102.13,106026,0.0,1.0
2024-06-13,103.6,104.27,102.1,103.86,103.86,92205,0.0,1.0
2024-06-12,103.91,105.77,103.66,104.13,104.13,92103,0.0,1.0
2024-06-11,101.83,102.685,100.98,101.72,101.72,117626,0.0,1.0
2024-06-10,103.01,103.6,102.14,102.42,102.42,147387,0.0,1.0
2024-06-07,104.23,104.92,103.2,104.06,104.06,77650,0.0,1.0
2024-06-06,107.01,107.56,104.6,105.06,105.06,113174,0.0,1.0
2024-06-05,108.58,108.92,107.02,107.8,107.8,79768,0.0,1.0
2024-06-04,108.82,109.02,106.83,107.77,107.77,75440,0.0,1.0
2024-06-03,110.33,110.525,108.19,109.32,109.32,82047,0.0,1.0
2024-05-31,110.39,111.57,108.86,110.14,110.14,111206,0.0,1.0
2024-05-30,110.8,111.91,108.5629,110.49,110.49,121322,0.0,1.0
2024-05-29,111.13,111.44,109.77,110.15,110.15,83196,0.0,1.0
2024-05-28,113.34,113.51,111.84,112.66,112.66,86081,0.0,1.0
2024-05-24,112.3,114.27,111.845,113.33,113.33,110075,0.0,1.0
2024-05-23,113.69,114.195,111.4,111.42,111.42,217559,0.0,1.0
2024-05-22,110.82,114.13,110.1,113.69,113.69,149449,0.0,1.0
2024-05-21,109.7,110.8634,108.51,110.7,110.7,81361,0.0,1.0
2024-05-20,109.18,111.785,109.18,110.3,110.3,108680,0.0,1.0
2024-05-17,109.3,109.67,108.6,109.52,109.52,61938,0.0,1.0
2024-05-16,108.58,109.57,108.35,108.88,108.88,60598,0.0,1.0
2024-05-15,109.0,109.0,107.805,108.38,108.38,63184,0.0,1.0
2024-05-14,107.95,108.41,106.85,108.12,108.12,73236,0.0,1.0
2024-05-13,108.5,108.5,107.12,107.21,107.21,66808,0.0,1.0
2024-05-10,107.3,108.19,107.04,107.95,107.95,76043,0.0,1.0
2024-05-09,106.84,107.6075,106.15,107.43,107.43,83997,0.0,1.0
2024-05-08,106.0,108.39,105.915,107.04,107.04,78819,0.0,1.0
2024-05-07,105.85,107.55,105.79,106.42,106.42,85680,0.0,1.0
2024-05-06,104.58,106.4,104.58,105.99,105.99,140353,0.0,1.0
2024-05-03,105.17,105.17,102.34,104.07,104.07,83686,0.0,1.0
2024-05-02,102.94,104.045,100.935,103.39,103.39,148453,0.0,1.0
2024-05-01,100.41,103.13,99.79,102.25,102.25,179297,0.0,1.0
2024-04-30,101.7,102.92,100.53,101.01,101.01,283914,0.0,1.0
2024-04-29,100.26,102.61,100.25,102.25,102.25,159994,0.0,1.0
2024-04-26,100.0,101.15,99.05,100.28,100.28,127248,0.0,1.0
2024-04-25,95.62,99.84,94.94,99.09,99.09,172017,0.0,1.0
2024-04-24,95.7,96.84,95.01,95.67,95.67,114744,0.0,1.0
