,PSA_Open,PSA_High,PSA_Low,PSA_Close,PSA_Adj Close,PSA_Volume,PSA_Dividend Amount,PSA_Split Coefficient
2024-10-07,343.77,347.08,341.01,346.71,346.71,574970,0.0,1.0
2024-10-04,348.71,349.32,343.42,345.4,345.4,823083,0.0,1.0
2024-10-03,355.3,356.16,350.755,353.0,353.0,628989,0.0,1.0
2024-10-02,356.43,356.92,352.11,355.3,355.3,903247,0.0,1.0
2024-10-01,367.3,369.988,359.55,360.06,360.06,995655,0.0,1.0
2024-09-30,356.0,364.15,355.06,363.87,363.87,943456,0.0,1.0
2024-09-27,358.28,359.14,354.83,356.64,356.64,790705,0.0,1.0
2024-09-26,359.5,360.24,355.577,356.5,356.5,724937,0.0,1.0
2024-09-25,362.66,363.12,358.09,359.58,359.58,651973,0.0,1.0
2024-09-24,361.89,366.8,361.18,361.99,361.99,479405,0.0,1.0
2024-09-23,363.79,366.2,362.335,365.01,365.01,595096,0.0,1.0
2024-09-20,357.5,361.72,355.79,361.72,361.72,2196302,0.0,1.0
2024-09-19,363.59,363.59,354.695,358.62,358.62,582461,0.0,1.0
2024-09-18,359.95,366.29,358.875,360.72,360.72,552705,0.0,1.0
2024-09-17,362.28,363.895,357.405,357.57,357.57,594057,0.0,1.0
2024-09-16,360.28,364.61,357.855,362.99,362.99,596480,0.0,1.0
2024-09-13,357.29,359.66,354.64,359.16,359.16,548863,3.0,1.0
2024-09-12,358.69,359.535,354.8801,359.12,356.145182239894,633931,0.0,1.0
2024-09-11,354.69,359.93,351.57,359.4,356.422862823062,597522,0.0,1.0
2024-09-10,352.47,361.23,351.3001,359.14,356.165016567263,845039,0.0,1.0
2024-09-09,345.72,353.23,343.5,351.5,348.58830351226,700738,0.0,1.0
2024-09-06,341.75,346.715,339.91,345.63,342.766928429423,860113,0.0,1.0
2024-09-05,346.6,347.77,340.72,341.17,338.34387342611,723996,0.0,1.0
2024-09-04,343.27,346.55,339.97,343.95,341.100844930417,805464,0.0,1.0
2024-09-03,342.6,345.075,339.81,341.68,338.849648774023,646308,0.0,1.0
2024-08-30,343.63,344.32,338.65,343.72,340.872750165673,942084,0.0,1.0
2024-08-29,340.77,342.275,336.88,341.72,338.889317428761,730319,0.0,1.0
2024-08-28,341.37,343.04,337.13,340.77,337.947186878728,540682,0.0,1.0
2024-08-27,337.1,343.47,337.08,342.59,339.752110669317,575999,0.0,1.0
2024-08-26,342.54,342.99,338.72,339.66,336.846381709742,420934,0.0,1.0
2024-08-23,334.48,341.71,333.93,340.94,338.115778661365,548286,0.0,1.0
2024-08-22,329.21,333.73,326.51,333.24,330.479562624254,845867,0.0,1.0
2024-08-21,326.13,329.05,322.1054,327.79,325.07470841617,572317,0.0,1.0
2024-08-20,323.5,325.82,323.0,325.55,322.853263750828,544467,0.0,1.0
2024-08-19,320.4,323.24,319.555,323.08,320.403724320742,484997,0.0,1.0
2024-08-16,316.57,320.0,315.93,319.41,316.764125248509,554949,0.0,1.0
2024-08-15,319.91,320.53,315.21,317.23,314.602183565275,676947,0.0,1.0
2024-08-14,316.14,322.72,316.14,320.88,318.221948310139,607821,0.0,1.0
2024-08-13,316.2,317.12,313.44,316.45,313.828644797879,469138,0.0,1.0
2024-08-12,316.41,316.41,311.27,314.34,311.736123260437,575923,0.0,1.0
2024-08-09,314.18,318.5025,311.32,317.04,314.413757455268,558213,0.0,1.0
2024-08-08,309.02,313.34,307.8201,313.17,310.575815109344,561452,0.0,1.0
2024-08-07,313.01,316.98,309.6,310.15,307.580831676607,906277,0.0,1.0
2024-08-06,303.64,315.26,301.59,312.64,310.050205434062,1029996,0.0,1.0
2024-08-05,305.87,314.57,302.86,303.66,301.144592445328,1395916,0.0,1.0
2024-08-02,299.67,312.39,298.14,311.9,309.316335321405,1217011,0.0,1.0
2024-08-01,298.29,300.4,295.78,300.08,297.594247846256,763784,0.0,1.0
2024-07-31,289.784,303.19,287.03,295.92,293.468707753479,1623004,0.0,1.0
2024-07-30,303.89,305.84,300.87,304.37,301.848711066932,537689,0.0,1.0
2024-07-29,300.51,303.44,297.03,302.8,300.291716368456,457198,0.0,1.0
2024-07-26,296.25,301.94,295.44,300.74,298.248780649437,368091,0.0,1.0
2024-07-25,297.5,301.215,293.44,294.92,292.476991385023,544948,0.0,1.0
2024-07-24,302.34,303.295,295.455,295.55,293.10177269715,704427,0.0,1.0
2024-07-23,303.97,305.26,301.31,301.97,299.468591782638,969369,0.0,1.0
