,PWR_Open,PWR_High,PWR_Low,PWR_Close,PWR_Adj Close,PWR_Volume,PWR_Dividend Amount,PWR_Split Coefficient
2024-11-01,305.52,309.5699,301.69,303.5,303.5,902808,0.0,1.0
2024-10-31,299.14,307.32,293.26,301.63,301.63,1423207,0.0,1.0
2024-10-30,311.34,315.88,310.96,311.63,311.63,923038,0.0,1.0
2024-10-29,312.0,314.03,309.77,313.43,313.43,578349,0.0,1.0
2024-10-28,310.72,315.3,309.9,313.36,313.36,767805,0.0,1.0
2024-10-25,310.94,311.13,306.38,308.17,308.17,671361,0.0,1.0
2024-10-24,308.83,310.97,306.925,309.87,309.87,562739,0.0,1.0
2024-10-23,313.16,314.99,305.29,306.63,306.63,940216,0.0,1.0
2024-10-22,314.86,315.9,310.67,312.97,312.97,497449,0.0,1.0
2024-10-21,314.57,317.91,313.76,317.64,317.64,515343,0.0,1.0
2024-10-18,314.1,314.71,310.63,314.27,314.27,449202,0.0,1.0
2024-10-17,316.2,316.2843,311.6501,313.14,313.14,625065,0.0,1.0
2024-10-16,307.36,313.7559,306.3673,312.22,312.22,491281,0.0,1.0
2024-10-15,311.06,312.34,304.0749,305.54,305.54,618512,0.0,1.0
2024-10-14,310.43,313.56,309.42,310.98,310.98,387373,0.0,1.0
2024-10-11,306.35,310.06,303.45,309.42,309.42,375099,0.0,1.0
2024-10-10,305.18,308.0,301.865,306.99,306.99,594558,0.0,1.0
2024-10-09,309.1,311.34,305.33,307.61,307.61,582220,0.0,1.0
2024-10-08,309.61,312.52,308.25,308.67,308.67,788282,0.0,1.0
2024-10-07,301.35,308.31,301.35,307.51,307.51,812662,0.0,1.0
2024-10-04,305.0,306.46,301.0032,305.72,305.72,619574,0.0,1.0
2024-10-03,298.96,300.5652,295.175,298.4,298.4,785456,0.0,1.0
2024-10-02,295.04,299.6,293.41,299.09,299.09,545158,0.0,1.0
2024-10-01,298.0,298.7,292.6071,296.05,296.05,603579,0.09,1.0
2024-09-30,296.74,299.3,295.0,298.15,298.059389140272,677246,0.0,1.0
2024-09-27,298.0,301.3,295.201,296.74,296.649817653812,818744,0.0,1.0
2024-09-26,301.4,306.5,294.85,296.36,296.269933139731,754372,0.0,1.0
2024-09-25,299.02,302.24,296.83,297.94,297.849452961437,997255,0.0,1.0
2024-09-24,296.05,298.49,294.46,298.24,298.149361788343,686660,0.0,1.0
2024-09-23,293.41,298.185,291.16,296.13,296.040003039103,858946,0.0,1.0
2024-09-20,286.97,293.8,281.6,290.89,290.801595529142,1349793,0.0,1.0
2024-09-19,281.48,291.71,277.53,289.73,289.641948065104,1043606,0.0,1.0
2024-09-18,274.05,279.47,271.955,272.06,271.97731816033,632386,0.0,1.0
2024-09-17,274.08,275.77,270.393,273.92,273.836752887148,366021,0.0,1.0
2024-09-16,270.65,272.75,267.401,271.54,271.457476193692,401423,0.0,1.0
2024-09-13,270.45,272.7,268.16,269.54,269.458084014318,476639,0.0,1.0
2024-09-12,264.93,270.37,263.37,268.5,268.418400081043,674050,0.0,1.0
2024-09-11,251.96,264.215,250.5,263.09,263.010044235834,867701,0.0,1.0
2024-09-10,250.41,251.41,246.9092,250.03,249.954013304518,682718,0.0,1.0
2024-09-09,251.49,252.52,248.06,250.06,249.984004187209,682983,0.0,1.0
2024-09-06,252.12,254.86,247.075,247.92,247.844654555278,594450,0.0,1.0
2024-09-05,254.92,255.13,250.15,251.39,251.313599986493,808040,0.0,1.0
2024-09-04,255.91,257.67,253.65,255.67,255.592299250355,681166,0.0,1.0
2024-09-03,270.89,272.59,255.76,257.6,257.521712703451,1250049,0.0,1.0
2024-08-30,271.91,275.665,270.465,275.13,275.04638515567,682714,0.0,1.0
2024-08-29,269.0,276.32,266.47,271.05,270.967625109745,593377,0.0,1.0
2024-08-28,270.36,271.47,266.96,267.5,267.418703991355,649910,0.0,1.0
2024-08-27,269.86,272.04,266.0,270.36,270.277834807861,448646,0.0,1.0
2024-08-26,273.28,276.31,270.37,271.01,270.927637266158,391834,0.0,1.0
2024-08-23,269.54,274.41,266.925,273.17,273.086980819883,504110,0.0,1.0
2024-08-22,269.66,271.0,265.88,267.8,267.718612818262,534296,0.0,1.0
2024-08-21,266.63,272.54,265.27,269.36,269.278138718174,900479,0.0,1.0
2024-08-20,268.06,269.53,264.23,266.86,266.778898493956,456499,0.0,1.0
2024-08-19,265.94,268.33,262.9,268.1,268.018521645168,514427,0.0,1.0
2024-08-16,267.92,269.99,263.63,265.89,265.809193286959,544061,0.0,1.0
2024-08-15,266.91,270.67,265.2,267.94,267.858570270818,584584,0.0,1.0
2024-08-14,263.04,264.37,260.24,263.47,263.389928749916,776458,0.0,1.0
2024-08-13,262.73,264.23,256.38,262.0,261.920375498075,699424,0.0,1.0
2024-08-12,260.84,262.56,257.55,260.04,259.960971162288,652174,0.0,1.0
2024-08-09,262.85,265.0,256.42,259.62,259.541098804619,802331,0.0,1.0
2024-08-08,253.49,263.27,249.365,262.8,262.720132369825,1195401,0.0,1.0
2024-08-07,254.96,257.32,248.05,248.5,248.424478287297,1349476,0.0,1.0
2024-08-06,243.02,252.25,240.01,248.03,247.954621125144,1035523,0.0,1.0
2024-08-05,230.0,242.57,227.11,239.58,239.507189167286,1641915,0.0,1.0
2024-08-02,247.68,248.42,240.04,240.92,240.846781927467,1787626,0.0,1.0
2024-08-01,261.01,266.1,249.85,254.88,254.802539339502,1718114,0.0,1.0
2024-07-31,259.9,270.79,258.05,265.38,265.299348281218,1427007,0.0,1.0
2024-07-30,257.0,261.24,249.81,251.6,251.523536165327,908939,0.0,1.0
2024-07-29,257.6,261.6299,254.16,256.22,256.142132099683,722802,0.0,1.0
2024-07-26,254.35,259.15,253.745,256.73,256.651977105423,642343,0.0,1.0
2024-07-25,253.5,254.44,246.175,248.81,248.7343840751,1074741,0.0,1.0
2024-07-24,261.11,262.2058,250.74,251.92,251.843438914027,841954,0.0,1.0
2024-07-23,267.5,270.2,262.85,264.46,264.379627878706,958276,0.0,1.0
2024-07-22,261.94,267.81,260.91,267.71,267.62864017019,796929,0.0,1.0
2024-07-19,266.83,266.83,257.25,258.56,258.481420949551,1122240,0.0,1.0
2024-07-18,262.92,265.6299,255.0,264.71,264.629551901128,2218206,0.0,1.0
2024-07-17,256.78,259.27,244.21,244.94,244.86556020801,1764792,0.0,1.0
2024-07-16,259.58,261.92,253.28,259.37,259.291174782198,1317171,0.0,1.0
2024-07-15,266.78,266.905,256.87,257.24,257.161822111164,1263457,0.0,1.0
2024-07-12,267.59,271.38,265.0,268.81,268.728305868846,751393,0.0,1.0
2024-07-11,260.55,265.2599,260.55,264.14,264.059725130006,838457,0.0,1.0
2024-07-10,254.79,258.33,251.92,257.87,257.791630647667,562239,0.0,1.0
2024-07-09,254.66,256.98,254.0,254.79,254.71256669143,648474,0.0,1.0
2024-07-08,254.21,256.9899,252.6483,254.66,254.58260619977,553468,0.0,1.0
2024-07-05,253.63,254.79,248.68,252.53,252.453253528736,637919,0.0,1.0
2024-07-03,249.03,255.09,248.03,254.6,254.522624434389,601443,0.0,1.0
2024-07-02,247.61,249.6999,245.17,247.78,247.704697102722,1011657,0.0,1.0
2024-07-01,255.96,256.28,246.15,247.61,247.534748767475,1352078,0.09,1.0
2024-06-28,266.39,267.63,251.57,254.09,253.92048572599,2163579,0.0,1.0
2024-06-27,267.48,267.935,264.86,267.06,266.881832885918,652553,0.0,1.0
2024-06-26,270.93,271.175,264.8,266.57,266.392159785813,948100,0.0,1.0
2024-06-25,273.36,273.61,268.75,272.97,272.787890072901,701980,0.0,1.0
2024-06-24,273.65,277.07,271.0,274.23,274.047049473172,826946,0.0,1.0
2024-06-21,273.09,274.505,266.1101,274.0,273.817202915979,1388326,0.0,1.0
2024-06-20,281.2,282.97,272.06,273.97,273.787222930259,948169,0.0,1.0
2024-06-18,276.58,282.68,276.36,281.2,281.012399488954,740007,0.0,1.0
2024-06-17,272.9,278.82,272.12,276.58,276.395481687962,642688,0.0,1.0
2024-06-14,273.63,274.615,269.1101,273.29,273.107676587256,762135,0.0,1.0
2024-06-13,276.24,278.0,273.01,276.7,276.515401630845,481700,0.0,1.0
2024-06-12,275.53,281.6,275.04,276.79,276.605341588007,683122,0.0,1.0
2024-06-11,270.23,272.0,267.01,271.56,271.378830744027,667674,0.0,1.0
2024-06-10,269.0,272.3,267.0,271.57,271.388824072601,594532,0.0,1.0
2024-06-07,266.98,271.08,265.42,269.32,269.140325143546,502372,0.0,1.0
2024-06-06,275.67,278.42,266.5457,267.28,267.101686114536,809237,0.0,1.0
2024-06-05,270.45,276.47,270.12,275.93,275.74591533068,772455,0.0,1.0
2024-06-04,270.99,271.97,265.4,270.02,269.839858143696,1258844,0.0,1.0
2024-06-03,278.27,279.4,265.02,271.97,271.788557215544,1046613,0.0,1.0
2024-05-31,281.1,284.315,269.61,275.94,275.755908659253,1867899,0.0,1.0
2024-05-30,278.13,281.37,277.009,279.76,279.573360174359,632060,0.0,1.0
2024-05-29,276.25,281.8,276.25,277.97,277.784554359689,877550,0.0,1.0
2024-05-28,286.87,286.87,278.74,279.64,279.453440231476,1251315,0.0,1.0
2024-05-24,278.0,285.97,278.0,283.43,283.240911760862,1165810,0.0,1.0
2024-05-23,275.79,281.08,273.118,276.55,276.365501702241,2084216,0.0,1.0
2024-05-22,272.96,274.13,268.45,271.1,270.919137629642,588444,0.0,1.0
2024-05-21,266.28,272.68,266.28,272.05,271.868503844132,751227,0.0,1.0
2024-05-20,264.4,268.57,264.4,267.66,267.481432600332,657249,0.0,1.0
2024-05-17,266.84,266.84,262.73,264.4,264.223607485347,795648,0.0,1.0
