,PX_Open,PX_High,PX_Low,PX_Close,PX_Adj Close,PX_Volume,PX_Dividend Amount,PX_Split Coefficient
2024-10-07,11.11,11.16,10.92,10.98,10.98,224985,0.0,1.0
2024-10-04,10.94,11.1365,10.88,11.05,11.05,881896,0.0,1.0
2024-10-03,10.74,10.96,10.74,10.94,10.94,205259,0.0,1.0
2024-10-02,10.72,10.86,10.69,10.75,10.75,545172,0.0,1.0
2024-10-01,10.69,10.81,10.57,10.79,10.79,338574,0.0,1.0
2024-09-30,10.8,10.875,10.61,10.71,10.71,259775,0.0,1.0
2024-09-27,10.85,10.97,10.8,10.82,10.82,185757,0.0,1.0
2024-09-26,11.0,11.0,10.77,10.77,10.77,396905,0.0,1.0
2024-09-25,10.94,10.95,10.84,10.89,10.89,509383,0.0,1.0
2024-09-24,10.79,10.945,10.72,10.9,10.9,440649,0.0,1.0
2024-09-23,10.9,10.97,10.74,10.76,10.76,342902,0.0,1.0
2024-09-20,10.94,10.94,10.72,10.84,10.84,1085915,0.0,1.0
2024-09-19,10.75,10.95,10.5,10.94,10.94,778045,0.0,1.0
2024-09-18,10.67,10.77,10.5,10.51,10.51,430860,0.0,1.0
2024-09-17,10.58,10.76,10.58,10.74,10.74,435531,0.0,1.0
2024-09-16,10.53,10.57,10.475,10.54,10.54,403516,0.0,1.0
2024-09-13,10.29,10.64,10.29,10.5,10.5,299985,0.0,1.0
2024-09-12,10.23,10.23,9.975,10.16,10.16,464567,0.0,1.0
2024-09-11,10.09,10.17,9.9343,10.13,10.13,259328,0.0,1.0
2024-09-10,10.02,10.17,9.95,10.11,10.11,383366,0.0,1.0
2024-09-09,9.97,10.125,9.97,10.02,10.02,275410,0.0,1.0
2024-09-06,10.08,10.12,9.95,9.98,9.98,382717,0.0,1.0
2024-09-05,10.13,10.179,10.0,10.07,10.07,199197,0.0,1.0
2024-09-04,10.0,10.2453,10.0,10.07,10.07,311419,0.0,1.0
2024-09-03,9.99,9.99,9.6,9.96,9.96,673330,0.0,1.0
2024-08-30,9.95,10.06,9.81,10.05,10.05,255952,0.035,1.0
2024-08-29,9.87,10.03,9.75,9.96,9.92543381259296,360890,0.0,1.0
2024-08-28,9.91,10.0,9.695,9.76,9.7261279127417,241132,0.0,1.0
2024-08-27,10.01,10.045,9.88,9.91,9.87560733763014,279299,0.0,1.0
2024-08-26,10.44,10.44,10.065,10.09,10.0549826474963,237622,0.0,1.0
2024-08-23,10.14,10.35,10.08,10.35,10.3140803173029,598546,0.0,1.0
2024-08-22,10.06,10.14,9.99,10.0,9.96529499256321,574391,0.0,1.0
2024-08-21,9.83,10.15,9.7901,10.1,10.0649479424888,486695,0.0,1.0
2024-08-20,10.34,10.34,10.04,10.1,10.0649479424888,567222,0.0,1.0
2024-08-19,9.97,10.35,9.97,10.32,10.2841844323252,782580,0.0,1.0
2024-08-16,9.83,10.03,9.75,10.01,9.97526028755578,368019,0.0,1.0
2024-08-15,9.89,9.9,9.72,9.89,9.85567674764502,489846,0.0,1.0
2024-08-14,9.89,9.89,9.65,9.7,9.66633614278632,283842,0.0,1.0
2024-08-13,9.8,9.88,9.71,9.83,9.79588497768964,550273,0.0,1.0
2024-08-12,9.4,9.845,9.35,9.73,9.69623202776401,659023,0.0,1.0
2024-08-09,10.07,10.07,9.07,9.3,9.26772434308379,526642,0.0,1.0
2024-08-08,8.64,8.79,8.61,8.78,8.7495290034705,356662,0.0,1.0
2024-08-07,8.83,8.93,8.57,8.59,8.5601883986118,443708,0.0,1.0
2024-08-06,8.9,8.9,8.68,8.72,8.68973723351512,565805,0.0,1.0
2024-08-05,9.1,9.11,8.695,8.9,8.86911254338126,713368,0.0,1.0
2024-08-02,9.39,9.48,9.29,9.34,9.30758552305404,426994,0.0,1.0
2024-08-01,9.96,9.96,9.555,9.65,9.6165096678235,533424,0.0,1.0
2024-07-31,9.93,10.035,9.795,9.97,9.93539910758552,684531,0.0,1.0
2024-07-30,10.04,10.07,9.825,9.89,9.85567674764502,426381,0.0,1.0
2024-07-29,10.17,10.21,9.905,9.96,9.92543381259296,526517,0.0,1.0
2024-07-26,10.14,10.24,10.01,10.17,10.1347050074368,411977,0.0,1.0
2024-07-25,9.79,10.12,9.79,10.05,10.015121467526,544334,0.0,1.0
2024-07-24,9.92,10.15,9.78,9.78,9.74605850272682,877756,0.0,1.0
2024-07-23,9.82,10.0098,9.775,9.92,9.88557263262271,407287,0.0,1.0
2024-07-22,9.72,9.87,9.6,9.82,9.78591968269708,322149,0.0,1.0
2024-07-19,9.82,9.96,9.66,9.74,9.70619732275657,547669,0.0,1.0
2024-07-18,9.9,10.16,9.78,9.82,9.78591968269708,1203494,0.0,1.0
2024-07-17,10.12,10.31,9.865,9.96,9.92543381259296,615735,0.0,1.0
2024-07-16,9.72,10.15,9.7,10.13,10.0948438274665,703141,0.0,1.0
2024-07-15,9.52,9.69,9.47,9.62,9.58661378284581,468342,0.0,1.0
2024-07-12,9.37,9.545,9.31,9.45,9.41720376797224,614135,0.0,1.0
