,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2024-10-07,126.25,126.9,119.99,121.04,121.04,463734,0.0,1.0
2024-10-04,127.58,127.58,125.935,127.13,127.13,253004,0.0,1.0
2024-10-03,125.25,127.4,124.998,125.85,125.85,220257,0.0,1.0
2024-10-02,126.94,128.52,125.915,126.1,126.1,241512,0.0,1.0
2024-10-01,128.04,129.17,126.35,126.94,126.94,327068,0.0,1.0
2024-09-30,130.07,130.955,127.12,128.46,128.46,316690,0.0,1.0
2024-09-27,128.07,132.0,127.845,130.0,130.0,466489,0.0,1.0
2024-09-26,125.22,127.03,124.15,126.87,126.87,286527,0.0,1.0
2024-09-25,124.97,124.97,122.34,122.97,122.97,315074,0.0,1.0
2024-09-24,127.02,127.3,124.43,124.62,124.62,385115,0.0,1.0
2024-09-23,124.91,127.37,124.0,127.01,127.01,224165,0.0,1.0
2024-09-20,123.81,124.54,121.79,124.41,124.41,746544,0.0,1.0
2024-09-19,126.09,126.09,122.88,123.32,123.32,283510,0.0,1.0
2024-09-18,123.78,125.215,122.55,123.17,123.17,240320,0.0,1.0
2024-09-17,127.0,127.01,123.785,124.32,124.32,326471,0.0,1.0
2024-09-16,126.22,127.17,125.16,126.46,126.46,291054,0.0,1.0
2024-09-13,124.99,126.41,124.12,126.22,126.22,319714,0.0,1.0
2024-09-12,124.87,124.97,122.6948,124.21,124.21,169308,0.0,1.0
2024-09-11,120.9,124.34,120.11,123.99,123.99,293423,0.0,1.0
2024-09-10,121.6,122.0,120.31,121.32,121.32,196962,0.0,1.0
2024-09-09,122.35,122.7099,120.69,120.9,120.9,288041,0.0,1.0
2024-09-06,124.21,124.21,121.84,122.23,122.23,269236,0.0,1.0
2024-09-05,123.44,124.53,122.52,123.72,123.72,383957,0.0,1.0
2024-09-04,120.83,124.08,119.32,123.86,123.86,354901,0.0,1.0
2024-09-03,124.91,126.4064,121.77,121.97,121.97,403572,0.0,1.0
2024-08-30,126.27,126.96,124.11,125.17,125.17,588580,0.0,1.0
2024-08-29,125.79,127.48,125.61,125.71,125.71,309464,0.0,1.0
2024-08-28,125.57,125.57,123.64,124.45,124.45,247114,0.0,1.0
2024-08-27,124.0,126.66,124.0,125.77,125.77,319661,0.0,1.0
2024-08-26,125.59,127.0,124.84,125.14,125.14,196290,0.0,1.0
2024-08-23,123.95,125.27,122.795,125.06,125.06,342776,0.0,1.0
2024-08-22,124.15,126.25,122.45,122.69,122.69,326268,0.0,1.0
2024-08-21,123.06,124.75,122.955,123.67,123.67,348933,0.0,1.0
2024-08-20,123.63,124.39,122.4,122.46,122.46,210661,0.0,1.0
2024-08-19,122.39,124.22,122.39,123.63,123.63,264752,0.0,1.0
2024-08-16,124.28,124.525,121.86,122.28,122.28,520747,0.0,1.0
2024-08-15,125.19,126.99,124.275,124.94,124.94,294704,0.0,1.0
2024-08-14,125.59,126.03,123.06,123.11,123.11,262870,0.0,1.0
2024-08-13,123.59,126.82,123.42,125.0,125.0,290070,0.0,1.0
2024-08-12,126.0,126.0,121.75,122.16,122.16,347534,0.0,1.0
2024-08-09,127.86,127.92,125.18,125.93,125.93,431568,0.0,1.0
2024-08-08,126.37,128.56,123.27,127.13,127.13,548916,0.0,1.0
2024-08-07,129.41,132.42,121.645,125.34,125.34,1479923,0.0,1.0
2024-08-06,135.0,138.56,134.01,137.1,137.1,785301,0.0,1.0
2024-08-05,132.0,137.37,131.0,133.03,133.03,496004,0.0,1.0
2024-08-02,139.01,139.02,135.015,137.76,137.76,446418,0.0,1.0
2024-08-01,146.54,148.05,136.0,138.42,138.42,883907,0.0,1.0
2024-07-31,150.6,151.055,148.18,149.14,149.14,499153,0.0,1.0
2024-07-30,146.83,149.59,144.58,148.65,148.65,397685,0.0,1.0
