,SAFM_Open,SAFM_High,SAFM_Low,SAFM_Close,SAFM_Adj Close,SAFM_Volume,SAFM_Dividend Amount,SAFM_Split Coefficient
2022-09-08,204.0,204.0,204.0,204.0,204.0,1172,0.0,1.0
2022-09-07,204.0,204.0,204.0,204.0,204.0,257,0.0,1.0
2022-08-26,204.0,204.0,204.0,204.0,204.0,157,0.0,1.0
2022-08-25,204.0,204.0,204.0,204.0,204.0,798,0.0,1.0
2022-08-09,204.0,204.0,204.0,204.0,204.0,2538,0.0,1.0
2022-08-05,204.0,204.0,204.0,204.0,204.0,1185,0.0,1.0
2022-08-04,204.0,204.0,204.0,204.0,204.0,6419,0.0,1.0
2022-08-03,204.0,204.0,204.0,204.0,204.0,170,0.0,1.0
2022-07-29,204.0,204.0,204.0,204.0,204.0,3234,0.0,1.0
2022-07-22,204.0,204.0,204.0,204.0,204.0,0,0.0,1.0
2022-07-21,208.0,209.96,203.85,204.0,204.0,791092,0.0,1.0
2022-07-20,209.37,211.89,208.22,209.25,209.25,252438,0.0,1.0
2022-07-19,208.5,209.6,208.205,209.2,209.2,227499,0.0,1.0
2022-07-18,212.56,213.83,203.09,209.14,209.14,574611,0.0,1.0
2022-07-15,212.84,213.5,210.8,212.72,212.72,166895,0.0,1.0
2022-07-14,211.13,213.51,210.636,211.94,211.94,205381,0.0,1.0
2022-07-13,214.0,216.715,206.0,211.53,211.53,559434,0.0,1.0
2022-07-12,213.41,216.07,213.41,214.04,214.04,184337,0.0,1.0
2022-07-11,215.1,216.01,214.0,214.16,214.16,184493,0.0,1.0
2022-07-08,213.63,216.8652,213.53,216.14,216.14,124300,0.0,1.0
2022-07-07,214.0,216.25,213.42,213.95,213.95,145511,0.0,1.0
2022-07-06,216.38,217.2516,213.05,213.99,213.99,492987,0.0,1.0
2022-07-05,216.0,217.08,215.01,216.17,216.17,266584,0.0,1.0
2022-07-01,216.24,217.86,215.22,216.46,216.46,297511,0.0,1.0
2022-06-30,217.96,218.355,214.445,215.53,215.53,544162,0.0,1.0
2022-06-29,218.37,220.94,217.84,218.61,218.61,619960,0.0,1.0
2022-06-28,218.8,221.63,218.25,219.9,219.9,476723,0.0,1.0
2022-06-27,214.75,218.85,214.75,217.21,217.21,379545,0.0,1.0
2022-06-24,215.93,216.01,213.705,214.62,214.62,710767,0.0,1.0
2022-06-23,209.3,215.92,209.03,215.6,215.6,514716,0.0,1.0
2022-06-22,207.745,211.99,205.5015,208.52,208.52,961838,0.0,1.0
2022-06-21,209.93,214.8299,207.46,212.77,212.77,519918,0.0,1.0
2022-06-17,207.99,209.81,205.08,208.31,208.31,393472,0.0,1.0
2022-06-16,204.89,207.625,204.89,206.45,206.45,352080,0.0,1.0
2022-06-15,208.5,210.22,205.66,209.78,209.78,520110,0.0,1.0
2022-06-14,202.9,208.38,202.5,207.41,207.41,527569,0.0,1.0
2022-06-13,202.95,203.0,199.6825,202.35,202.35,284825,0.0,1.0
2022-06-10,201.82,203.035,201.0,202.91,202.91,192820,0.0,1.0
2022-06-09,202.43,203.51,200.57,202.74,202.74,263975,0.0,1.0
2022-06-08,202.1,202.44,201.44,202.19,202.19,292140,0.0,1.0
2022-06-07,200.89,202.13,200.1725,202.13,202.13,130694,0.0,1.0
2022-06-06,201.12,201.95,200.71,201.35,201.35,173124,0.0,1.0
2022-06-03,201.19,201.84,200.365,200.71,200.71,196568,0.0,1.0
2022-06-02,200.0,201.39,199.25,201.2,201.2,179552,0.0,1.0
2022-06-01,199.8,200.74,199.25,199.7,199.7,356653,0.0,1.0
2022-05-31,201.09,201.5,198.5,199.5,199.5,389329,0.0,1.0
2022-05-27,199.0,201.5,198.55,200.0,200.0,1204530,0.0,1.0
2022-05-26,194.72,197.635,193.28,194.49,194.49,199683,0.0,1.0
2022-05-25,190.78,194.335,190.78,193.75,193.75,200009,0.0,1.0
2022-05-24,190.81,193.68,189.641,191.36,191.36,193546,0.0,1.0
2022-05-23,188.8,191.02,188.34,190.96,190.96,238382,0.0,1.0
2022-05-20,187.7,188.97,185.39,188.64,188.64,200988,0.0,1.0
2022-05-19,184.32,188.0,183.77,187.74,187.74,262223,0.0,1.0
2022-05-18,187.36,187.79,185.01,185.23,185.23,161157,0.0,1.0
2022-05-17,186.96,189.0,185.71,188.18,188.18,231425,0.0,1.0
2022-05-16,187.59,188.275,186.07,186.58,186.58,126349,0.0,1.0
2022-05-13,187.68,190.28,187.31,188.04,188.04,141616,0.0,1.0
2022-05-12,187.06,187.65,185.73,187.54,187.54,153495,0.0,1.0
2022-05-11,186.64,188.89,185.06,186.62,186.62,133482,0.0,1.0
2022-05-10,184.52,187.85,183.33,187.13,187.13,250688,0.0,1.0
2022-05-09,186.84,188.18,183.13,183.84,183.84,375474,0.0,1.0
2022-05-06,190.25,190.78,186.88,188.5,188.5,249340,0.0,1.0
2022-05-05,192.28,192.45,189.145,190.25,190.25,171369,0.0,1.0
2022-05-04,190.87,192.5,190.33,192.28,192.28,200923,0.0,1.0
2022-05-03,189.37,191.36,188.79,190.84,190.84,143065,0.0,1.0
2022-05-02,189.59,190.45,187.77,189.93,189.93,146440,0.44,1.0
2022-04-29,191.5,192.0,188.825,189.37,188.932311288543,253110,0.0,1.0
2022-04-28,189.2,192.0,188.9462,191.41,190.967596259915,201440,0.0,1.0
2022-04-27,187.8,190.15,186.54,189.25,188.812588643169,279617,0.0,1.0
2022-04-26,189.04,190.0,187.57,187.65,187.216286704838,161467,0.0,1.0
2022-04-25,189.36,189.61,187.22,189.16,188.722796659137,259162,0.0,1.0
2022-04-22,188.5,190.0,187.85,189.03,188.593097126648,250533,0.0,1.0
2022-04-21,191.67,191.6999,188.155,188.5,188.064322109576,219064,0.0,1.0
2022-04-20,192.52,192.6224,190.575,190.83,190.38893680727,181169,0.0,1.0
