,SATS_Open,SATS_High,SATS_Low,SATS_Close,SATS_Adj Close,SATS_Volume,SATS_Dividend Amount,SATS_Split Coefficient
2024-10-01,24.16,24.46,22.9,24.09,24.09,3921685,0.0,1.0
2024-09-30,27.87,28.0,22.43,24.82,24.82,7182119,0.0,1.0
2024-09-27,27.0,30.077175,26.78,28.04,28.04,3401558,0.0,1.0
2024-09-26,25.95,26.01,25.46,25.76,25.76,676424,0.0,1.0
2024-09-25,25.25,26.44,25.08,25.7,25.7,1135315,0.0,1.0
2024-09-24,26.21,26.65,24.664,25.33,25.33,1408161,0.0,1.0
2024-09-23,27.0,27.0,25.33,26.17,26.17,1969929,0.0,1.0
2024-09-20,25.73,27.09,25.63,26.04,26.04,3604188,0.0,1.0
2024-09-19,26.42,26.46,25.635,25.91,25.91,1092325,0.0,1.0
2024-09-18,26.12,26.58,25.19,25.71,25.71,1327916,0.0,1.0
2024-09-17,26.43,27.15,25.39,25.91,25.91,1436561,0.0,1.0
2024-09-16,25.26,27.05,25.17,26.44,26.44,3169298,0.0,1.0
2024-09-13,22.77,24.3981,22.345,24.27,24.27,1914739,0.0,1.0
2024-09-12,21.95,22.65,21.8362,22.27,22.27,1022824,0.0,1.0
2024-09-11,21.5,22.985,21.16,21.89,21.89,1783062,0.0,1.0
2024-09-10,21.69,21.775,20.76,21.5,21.5,1562779,0.0,1.0
2024-09-09,22.34,22.42,21.2408,21.66,21.66,2009465,0.0,1.0
2024-09-06,22.1,23.049,22.1,22.4,22.4,2980277,0.0,1.0
2024-09-05,18.51,22.37,18.49,22.28,22.28,3806416,0.0,1.0
2024-09-04,18.32,18.44,18.0,18.405,18.405,666235,0.0,1.0
2024-09-03,18.35,18.53,17.73,18.09,18.09,885123,0.0,1.0
2024-08-30,18.46,18.6,18.125,18.54,18.54,864067,0.0,1.0
2024-08-29,19.38,19.38,18.36,18.36,18.36,867243,0.0,1.0
2024-08-28,19.3,19.865,19.04,19.13,19.13,742925,0.0,1.0
2024-08-27,19.87,20.2,19.45,19.57,19.57,1236408,0.0,1.0
2024-08-26,19.6,19.97,19.5057,19.88,19.88,909339,0.0,1.0
2024-08-23,18.98,19.71,18.81,19.52,19.52,1100250,0.0,1.0
2024-08-22,18.55,18.74,18.23,18.67,18.67,685682,0.0,1.0
2024-08-21,18.07,18.54,17.74,18.48,18.48,979248,0.0,1.0
2024-08-20,17.61,18.085,17.45,17.86,17.86,609856,0.0,1.0
2024-08-19,17.95,18.11,17.51,17.72,17.72,858843,0.0,1.0
2024-08-16,17.79,18.11,17.52,17.95,17.95,743732,0.0,1.0
2024-08-15,17.78,18.06,17.68,17.81,17.81,890665,0.0,1.0
2024-08-14,17.59,17.64,16.79,17.39,17.39,938237,0.0,1.0
2024-08-13,15.47,17.47,15.31,17.455,17.455,2024800,0.0,1.0
2024-08-12,16.01,16.13,14.79,15.5,15.5,2787847,0.0,1.0
2024-08-09,18.63,19.4,16.7,16.755,16.755,3285155,0.0,1.0
2024-08-08,19.4,20.13,19.38,20.08,20.08,1111146,0.0,1.0
2024-08-07,19.37,20.01,19.05,19.46,19.46,1328079,0.0,1.0
2024-08-06,18.19,19.16,18.16,18.94,18.94,1331546,0.0,1.0
2024-08-05,18.14,18.485,17.22,18.08,18.08,2101228,0.0,1.0
2024-08-02,19.29,20.27,19.09,19.5,19.5,914158,0.0,1.0
2024-08-01,20.19,20.21,19.28,19.95,19.95,859203,0.0,1.0
2024-07-31,19.8,20.53,19.46,20.08,20.08,1019973,0.0,1.0
2024-07-30,19.57,20.02,19.45,19.64,19.64,751380,0.0,1.0
2024-07-29,20.34,20.545,19.45,19.63,19.63,548991,0.0,1.0
2024-07-26,20.18,20.65,20.0,20.31,20.31,874319,0.0,1.0
2024-07-25,19.29,20.38,19.29,19.66,19.66,1418734,0.0,1.0
2024-07-24,19.7,20.1,19.3,19.47,19.47,579856,0.0,1.0
2024-07-23,19.41,19.83,19.24,19.8,19.8,1223335,0.0,1.0
2024-07-22,19.33,19.67,19.1,19.44,19.44,1121420,0.0,1.0
2024-07-19,19.96,20.085,19.28,19.3,19.3,928141,0.0,1.0
2024-07-18,20.45,20.8625,19.84,19.93,19.93,817905,0.0,1.0
2024-07-17,20.02,20.735,19.98,20.33,20.33,1033041,0.0,1.0
2024-07-16,20.32,20.49,20.08,20.27,20.27,1019840,0.0,1.0
2024-07-15,19.73,20.39,19.55,19.93,19.93,1282996,0.0,1.0
2024-07-12,18.83,19.705,18.83,19.6,19.6,961493,0.0,1.0
2024-07-11,18.27,18.97,17.91,18.94,18.94,1187059,0.0,1.0
2024-07-10,17.84,17.91,17.5,17.84,17.84,570882,0.0,1.0
2024-07-09,18.52,18.67,17.705,17.75,17.75,939315,0.0,1.0
2024-07-08,18.6,18.8693,18.42,18.55,18.55,846360,0.0,1.0
2024-07-05,18.48,18.86,18.35,18.53,18.53,761431,0.0,1.0
2024-07-03,18.34,18.53,18.19,18.39,18.39,469177,0.0,1.0
2024-07-02,17.74,18.295,17.73,18.13,18.13,741870,0.0,1.0
2024-07-01,17.78,17.87,17.43,17.71,17.71,706859,0.0,1.0
2024-06-28,17.88,18.25,17.55,17.81,17.81,1396779,0.0,1.0
2024-06-27,17.35,17.89,17.25,17.78,17.78,767268,0.0,1.0
2024-06-26,17.0,17.79,16.97,17.58,17.58,1099533,0.0,1.0
2024-06-25,17.47,17.47,17.115,17.16,17.16,655814,0.0,1.0
2024-06-24,17.36,17.7,17.17,17.54,17.54,895476,0.0,1.0
2024-06-21,17.15,17.34,17.005,17.2,17.2,3701975,0.0,1.0
2024-06-20,16.9,17.32,16.82,17.21,17.21,1123936,0.0,1.0
2024-06-18,17.51,17.81,16.99,17.04,17.04,1255779,0.0,1.0
2024-06-17,17.3,17.85,16.98,17.57,17.57,874334,0.0,1.0
2024-06-14,17.9,18.01,17.39,17.44,17.44,901523,0.0,1.0
2024-06-13,18.53,18.72,18.22,18.22,18.22,701999,0.0,1.0
2024-06-12,18.53,19.03,18.49,18.68,18.68,962945,0.0,1.0
2024-06-11,17.65,18.185,17.44,17.86,17.86,1363010,0.0,1.0
2024-06-10,18.55,18.6525,17.35,17.83,17.83,1393777,0.0,1.0
2024-06-07,18.92,19.13,18.66,18.81,18.81,926598,0.0,1.0
2024-06-06,19.62,19.95,19.15,19.3,19.3,965630,0.0,1.0
2024-06-05,19.47,19.99,19.19,19.84,19.84,1244194,0.0,1.0
2024-06-04,19.0,19.47,18.74,19.34,19.34,1019816,0.0,1.0
2024-06-03,19.44,19.67,19.15,19.19,19.19,1631517,0.0,1.0
2024-05-31,18.69,19.48,18.66,19.2,19.2,1882508,0.0,1.0
2024-05-30,17.85,18.64,17.66,18.5,18.5,1075037,0.0,1.0
2024-05-29,18.35,18.48,17.87,18.1,18.1,1428938,0.0,1.0
2024-05-28,18.56,18.76,18.35,18.46,18.46,1199835,0.0,1.0
2024-05-24,18.34,18.76,18.04,18.49,18.49,1191598,0.0,1.0
2024-05-23,18.26,18.46,17.93,18.19,18.19,1339683,0.0,1.0
2024-05-22,17.8,18.39,17.68,18.25,18.25,983375,0.0,1.0
2024-05-21,18.6,18.7,17.96,18.05,18.05,1175876,0.0,1.0
2024-05-20,17.56,18.7,17.5203,18.64,18.64,2204069,0.0,1.0
2024-05-17,17.23,17.59,16.94,17.59,17.59,1100217,0.0,1.0
2024-05-16,17.19,17.51,17.11,17.11,17.11,1040694,0.0,1.0
2024-05-15,17.0,17.6,16.76,17.45,17.45,1152665,0.0,1.0
2024-05-14,16.23,16.81,15.83,16.75,16.75,1361174,0.0,1.0
2024-05-13,15.47,16.01,15.36,15.87,15.87,983832,0.0,1.0
2024-05-10,15.59,15.59,14.81,15.31,15.31,1549628,0.0,1.0
2024-05-09,15.42,15.61,14.4,15.61,15.61,2386854,0.0,1.0
2024-05-08,15.28,16.18,14.69,15.445,15.445,3861509,0.0,1.0
2024-05-07,17.56,17.74,16.98,17.35,17.35,1473841,0.0,1.0
2024-05-06,17.43,17.77,17.39,17.56,17.56,1093450,0.0,1.0
2024-05-03,17.43,17.74,17.26,17.445,17.445,1744762,0.0,1.0
2024-05-02,16.19,17.07,16.0,16.99,16.99,1301857,0.0,1.0
2024-05-01,16.03,16.6,15.8,16.12,16.12,1606665,0.0,1.0
2024-04-30,15.82,16.06,15.61,15.99,15.99,1127186,0.0,1.0
2024-04-29,15.9,16.16,15.43,16.0,16.0,1437986,0.0,1.0
2024-04-26,16.07,16.54,15.98,16.0,16.0,1203800,0.0,1.0
2024-04-25,15.54,16.11,15.49,16.02,16.02,1608811,0.0,1.0
2024-04-24,15.2,15.965,15.06,15.88,15.88,1018886,0.0,1.0
2024-04-23,14.9,15.46,14.89,15.3,15.3,1496976,0.0,1.0
2024-04-22,14.63,15.27,14.47,15.06,15.06,1262047,0.0,1.0
2024-04-19,14.56,14.83,13.52,14.55,14.55,1330351,0.0,1.0
2024-04-18,14.02,14.67,14.02,14.56,14.56,1829767,0.0,1.0
2024-04-17,13.88,14.445,13.88,14.01,14.01,1128959,0.0,1.0
2024-04-16,13.99,14.04,13.49,13.88,13.88,1186263,0.0,1.0
2024-04-15,14.37,14.5528,13.96,14.17,14.17,1060118,0.0,1.0
2024-04-12,14.25,14.29,13.88,14.2,14.2,1376121,0.0,1.0
2024-04-11,13.45,14.5,13.32,14.45,14.45,1460691,0.0,1.0
2024-04-10,13.12,13.515,13.0,13.43,13.43,2018733,0.0,1.0
2024-04-09,13.67,13.91,13.57,13.66,13.66,904115,0.0,1.0
2024-04-08,13.59,13.81,13.49,13.64,13.64,811617,0.0,1.0
2024-04-05,13.19,13.7,13.19,13.3,13.3,1175829,0.0,1.0
2024-04-04,13.89,13.96,13.32,13.51,13.51,1493918,0.0,1.0
2024-04-03,12.7,13.68,12.66,13.59,13.59,1656324,0.0,1.0
2024-04-02,13.74,13.83,13.0,13.04,13.04,1835172,0.0,1.0
2024-04-01,14.25,14.5,13.98,14.04,14.04,1376946,0.0,1.0
2024-03-28,14.07,14.46,13.92,14.25,14.25,1347521,0.0,1.0
2024-03-27,13.0,14.065,12.74,14.01,14.01,1144522,0.0,1.0
2024-03-26,13.74,13.7899,12.95,12.95,12.95,1303795,0.0,1.0
2024-03-25,13.72,13.99,13.55,13.65,13.65,858216,0.0,1.0
2024-03-22,14.16,14.21,13.48,13.83,13.83,859065,0.0,1.0
2024-03-21,13.97,14.27,13.52,14.14,14.14,1072746,0.0,1.0
2024-03-20,12.69,13.89,12.36,13.84,13.84,2150413,0.0,1.0
2024-03-19,12.6,12.97,12.45,12.73,12.73,1937888,0.0,1.0
2024-03-18,13.68,13.68,12.66,12.7,12.7,1798149,0.0,1.0
2024-03-15,14.11,14.25,13.44,13.57,13.57,4577846,0.0,1.0
2024-03-14,15.31,15.4,13.87,14.13,14.13,2405190,0.0,1.0
2024-03-13,15.49,15.64,15.2,15.46,15.46,1325273,0.0,1.0
2024-03-12,15.03,15.43,14.58,15.24,15.24,1507652,0.0,1.0
2024-03-11,13.94,15.42,13.91,15.25,15.25,2334652,0.0,1.0
2024-03-08,13.95,14.0,13.21,13.78,13.78,2101738,0.0,1.0
2024-03-07,13.54,13.95,13.4,13.92,13.92,1427333,0.0,1.0
2024-03-06,13.09,13.61,13.02,13.56,13.56,1650881,0.0,1.0
2024-03-05,13.0,13.89,12.81,13.0,13.0,2238227,0.0,1.0
2024-03-04,12.87,13.17,12.6301,13.05,13.05,2680115,0.0,1.0
2024-03-01,11.93,13.7,11.8301,13.22,13.22,4170931,0.0,1.0
2024-02-29,13.45,13.63,13.0,13.11,13.11,1954218,0.0,1.0
2024-02-28,12.92,13.26,12.7,13.23,13.23,1290960,0.0,1.0
2024-02-27,12.22,13.175,12.22,13.06,13.06,2291365,0.0,1.0
2024-02-26,12.52,12.97,12.06,12.14,12.14,2300275,0.0,1.0
2024-02-23,13.25,13.41,12.535,12.67,12.67,1543531,0.0,1.0
2024-02-22,13.14,13.53,12.9,13.32,13.32,1358747,0.0,1.0
2024-02-21,13.8,13.8,13.33,13.51,13.51,1898297,0.0,1.0
2024-02-20,13.33,14.05,13.33,13.78,13.78,2161149,0.0,1.0
2024-02-16,12.67,13.85,12.4,13.77,13.77,2184549,0.0,1.0
2024-02-15,12.7,12.95,12.3707,12.77,12.77,1391348,0.0,1.0
2024-02-14,12.79,12.9699,12.54,12.66,12.66,1676629,0.0,1.0
2024-02-13,12.55,13.1,12.26,12.55,12.55,2238884,0.0,1.0
2024-02-12,13.61,13.76,12.98,13.0,13.0,1376337,0.0,1.0
2024-02-09,13.32,14.21,13.22,13.52,13.52,1340438,0.0,1.0
2024-02-08,13.05,13.57,13.05,13.51,13.51,971440,0.0,1.0
2024-02-07,13.41,13.62,13.1,13.25,13.25,1252739,0.0,1.0
2024-02-06,13.07,13.46,13.06,13.3,13.3,742561,0.0,1.0
2024-02-05,13.18,13.2,12.66,13.11,13.11,1123167,0.0,1.0
2024-02-02,13.19,13.64,12.99,13.41,13.41,874921,0.0,1.0
2024-02-01,13.46,13.77,13.25,13.45,13.45,1067927,0.0,1.0
2024-01-31,13.51,14.0,13.345,13.39,13.39,1315545,0.0,1.0
2024-01-30,13.81,13.81,13.3,13.65,13.65,1409931,0.0,1.0
2024-01-29,13.69,13.86,13.48,13.8,13.8,1366398,0.0,1.0
2024-01-26,14.01,14.2851,13.74,13.85,13.85,1328730,0.0,1.0
2024-01-25,14.72,14.865,13.96,13.97,13.97,1567940,0.0,1.0
2024-01-24,15.25,15.26,14.165,14.72,14.72,4157444,0.0,1.0
2024-01-23,14.78,15.365,14.345,15.11,15.11,3057245,0.0,1.0
2024-01-22,15.46,15.475,14.12,14.57,14.57,2811000,0.0,1.0
2024-01-19,17.22,17.23,15.3,15.38,15.38,4667343,0.0,1.0
2024-01-18,17.62,17.64,16.54,17.22,17.22,2715464,0.0,1.0
2024-01-17,16.89,17.7,16.88,17.5,17.5,4096609,0.0,1.0
2024-01-16,16.1,18.2,16.01,17.45,17.45,5962055,0.0,1.0
2024-01-12,16.02,16.53,15.77,16.06,16.06,6291934,0.0,1.0
2024-01-11,16.4,16.8262,15.8601,16.08,16.08,5922792,0.0,1.0
2024-01-10,12.85,17.9,12.85,16.65,16.65,18133765,0.0,1.0
2024-01-09,12.25,12.78,11.9,12.66,12.66,2686630,0.0,1.0
2024-01-08,12.64,13.12,12.49,12.77,12.77,2669806,0.0,1.0
2024-01-05,13.37,13.87,12.57,12.64,12.64,3430349,0.0,1.0
2024-01-04,14.4,14.44,12.57,13.5,13.5,5324976,0.0,1.0
2024-01-03,15.53,15.83,14.0703,14.32,14.32,6829484,0.0,1.0
2024-01-02,16.16,16.83,15.65,15.71,15.71,8542354,0.0,1.0
2023-12-29,16.0,16.9599,15.88,16.57,16.57,17427709,0.0,1.0
2023-12-28,15.12,16.4,14.9001,16.08,16.08,2761644,0.0,1.0
2023-12-27,14.8,15.65,14.73,15.08,15.08,1911690,0.0,1.0
2023-12-26,14.3,14.91,14.3,14.76,14.76,712008,0.0,1.0
2023-12-22,14.32,14.32,13.9287,14.25,14.25,588713,0.0,1.0
2023-12-21,13.85,14.07,13.66,14.06,14.06,473741,0.0,1.0
2023-12-20,13.89,14.2,13.41,13.67,13.67,605248,0.0,1.0
2023-12-19,13.5,14.02,13.45,13.96,13.96,566290,0.0,1.0
2023-12-18,13.4,13.74,13.05,13.31,13.31,555745,0.0,1.0
2023-12-15,13.83,14.09,13.045,13.31,13.31,1557800,0.0,1.0
2023-12-14,13.07,14.04,13.07,13.71,13.71,975440,0.0,1.0
2023-12-13,12.29,12.76,11.71,12.74,12.74,770985,0.0,1.0
2023-12-12,12.7,12.7,12.09,12.23,12.23,693031,0.0,1.0
2023-12-11,13.0,13.23,12.31,12.69,12.69,1002809,0.0,1.0
2023-12-08,12.42,13.16,12.35,13.04,13.04,1376489,0.0,1.0
2023-12-07,11.4,12.49,11.32,12.45,12.45,1435601,0.0,1.0
2023-12-06,11.21,11.66,11.12,11.4,11.4,1687651,0.0,1.0
2023-12-05,11.19,11.195,10.91,11.03,11.03,786838,0.0,1.0
2023-12-04,11.16,11.6,11.12,11.28,11.28,1101028,0.0,1.0
2023-12-01,10.61,11.27,10.26,11.26,11.26,1497978,0.0,1.0
2023-11-30,10.53,10.64,10.21,10.47,10.47,993881,0.0,1.0
2023-11-29,10.4,10.8022,10.38,10.63,10.63,1721461,0.0,1.0
2023-11-28,10.67,10.67,10.18,10.25,10.25,678654,0.0,1.0
2023-11-27,10.55,10.81,10.43,10.74,10.74,730921,0.0,1.0
2023-11-24,10.58,10.7,10.47,10.61,10.61,201319,0.0,1.0
2023-11-22,10.65,10.81,10.5,10.58,10.58,720766,0.0,1.0
2023-11-21,10.52,10.85,10.33,10.56,10.56,746597,0.0,1.0
2023-11-20,10.43,10.64,10.15,10.61,10.61,915070,0.0,1.0
2023-11-17,9.88,10.46,9.535,10.43,10.43,1745876,0.0,1.0
2023-11-16,10.04,10.11,9.53,9.68,9.68,1452392,0.0,1.0
2023-11-15,10.2,10.58,10.0,10.01,10.01,1440919,0.0,1.0
2023-11-14,10.12,10.56,9.84,10.17,10.17,1328509,0.0,1.0
2023-11-13,10.0,10.25,9.64,9.74,9.74,1065003,0.0,1.0
2023-11-10,10.18,10.32,9.71,9.98,9.98,1388872,0.0,1.0
2023-11-09,10.74,10.75,9.71,10.09,10.09,2250058,0.0,1.0
2023-11-08,10.63,10.91,10.16,10.65,10.65,3654423,0.0,1.0
2023-11-07,10.28,11.1646,9.81,10.615,10.615,3848510,0.0,1.0
2023-11-06,13.12,13.7,10.4,10.61,10.61,3294724,0.0,1.0
2023-11-03,15.05,15.76,14.95,15.44,15.44,740711,0.0,1.0
2023-11-02,14.09,14.87,14.09,14.81,14.81,497408,0.0,1.0
