,SBUX_Open,SBUX_High,SBUX_Low,SBUX_Close,SBUX_Adj Close,SBUX_Volume,SBUX_Dividend Amount,SBUX_Split Coefficient
2024-10-01,97.49,98.143,96.35,97.43,97.43,7171570,0.0,1.0
2024-09-30,97.39,97.69,96.41,97.49,97.49,6439104,0.0,1.0
2024-09-27,97.65,98.1468,97.19,97.36,97.36,6320017,0.0,1.0
2024-09-26,98.5,99.15,97.0,97.47,97.47,9876771,0.0,1.0
2024-09-25,94.26,95.96,94.2168,95.62,95.62,8632888,0.0,1.0
2024-09-24,95.47,95.82,94.185,94.45,94.45,8606798,0.0,1.0
2024-09-23,96.05,96.05,94.3505,95.48,95.48,8382840,0.0,1.0
2024-09-20,96.85,97.06,95.32,96.05,96.05,19541043,0.0,1.0
2024-09-19,97.97,98.7,96.325,96.9,96.9,8752645,0.0,1.0
2024-09-18,95.55,97.6,95.33,96.12,96.12,8793825,0.0,1.0
2024-09-17,96.49,96.54,95.2,96.44,96.44,6281724,0.0,1.0
2024-09-16,98.52,98.6,95.98,96.31,96.31,9263409,0.0,1.0
2024-09-13,99.13,99.51,98.5,98.57,98.57,9899865,0.0,1.0
2024-09-12,98.46,99.31,97.34,99.28,99.28,14658704,0.0,1.0
2024-09-11,94.08,98.35,93.66,98.2,98.2,19302885,0.0,1.0
2024-09-10,92.12,93.52,91.14,93.34,93.34,7327008,0.0,1.0
2024-09-09,91.22,92.355,90.41,92.21,92.21,10089686,0.0,1.0
2024-09-06,91.5,92.16,90.18,91.15,91.15,9257004,0.0,1.0
2024-09-05,92.17,93.02,91.2,91.56,91.56,8370064,0.0,1.0
2024-09-04,93.37,93.98,91.97,92.33,92.33,7142167,0.0,1.0
2024-09-03,94.13,94.81,93.04,93.18,93.18,11234031,0.0,1.0
2024-08-30,94.99,95.93,94.435,94.57,94.57,7117159,0.0,1.0
2024-08-29,95.47,95.83,94.275,94.86,94.86,8781338,0.0,1.0
2024-08-28,98.22,98.71,94.38,95.3,95.3,14866276,0.0,1.0
2024-08-27,95.4,98.72,95.25,98.6,98.6,17456301,0.0,1.0
2024-08-26,94.2,95.93,94.18,95.63,95.63,13882774,0.0,1.0
2024-08-23,92.85,94.42,92.825,94.02,94.02,11483711,0.0,1.0
2024-08-22,92.67,92.8292,91.77,92.43,92.43,10010284,0.0,1.0
2024-08-21,92.49,93.38,92.22,92.78,92.78,6769155,0.0,1.0
2024-08-20,92.29,93.8198,92.13,93.01,93.01,11536234,0.0,1.0
2024-08-19,94.35,94.89,92.13,92.3,92.3,14479022,0.0,1.0
2024-08-16,93.355,95.65,93.3,94.81,94.81,16336331,0.57,1.0
2024-08-15,94.115,94.96,92.98,94.88,94.3129880478088,21109805,0.0,1.0
2024-08-14,95.39,95.8621,91.43,93.9,93.338844621514,45737849,0.0,1.0
2024-08-13,91.02,96.01,90.29,95.9,95.3268924302789,157215463,0.0,1.0
2024-08-12,76.53,78.43,76.2913,77.03,76.5696613545817,13123036,0.0,1.0
2024-08-09,75.65,75.86,74.75,75.09,74.6412549800797,4683590,0.0,1.0
2024-08-08,75.07,76.15,74.8,75.75,75.2973107569721,8988259,0.0,1.0
2024-08-07,75.3,76.83,75.16,75.29,74.8400597609562,7297044,0.0,1.0
2024-08-06,73.92,75.99,73.84,75.37,74.9195816733068,10525494,0.0,1.0
