,SCSC_Open,SCSC_High,SCSC_Low,SCSC_Close,SCSC_Adj Close,SCSC_Volume,SCSC_Dividend Amount,SCSC_Split Coefficient
2024-10-07,47.07,47.62,46.64,47.35,47.35,303657,0.0,1.0
2024-10-04,46.61,47.53,46.24,47.41,47.41,137993,0.0,1.0
2024-10-03,46.3,46.755,45.55,45.69,45.69,104545,0.0,1.0
2024-10-02,46.48,47.095,46.16,46.43,46.43,91455,0.0,1.0
2024-10-01,48.1,48.1,46.53,46.8,46.8,173851,0.0,1.0
2024-09-30,47.14,48.09,44.13,48.03,48.03,164982,0.0,1.0
2024-09-27,48.7,48.865,47.36,47.49,47.49,150418,0.0,1.0
2024-09-26,48.21,48.9,47.375,48.15,48.15,186471,0.0,1.0
2024-09-25,47.5,47.96,47.3,47.58,47.58,210913,0.0,1.0
2024-09-24,47.71,47.99,47.195,47.5,47.5,218854,0.0,1.0
2024-09-23,48.4,48.71,47.22,47.57,47.57,212062,0.0,1.0
2024-09-20,48.59,49.95,48.15,48.19,48.19,1558591,0.0,1.0
2024-09-19,49.15,49.35,48.41,48.86,48.86,223135,0.0,1.0
2024-09-18,47.98,49.2,47.59,47.79,47.79,259244,0.0,1.0
2024-09-17,47.6,48.51,47.32,47.92,47.92,220604,0.0,1.0
2024-09-16,46.74,47.175,46.24,47.08,47.08,184851,0.0,1.0
2024-09-13,45.97,46.91,45.75,46.55,46.55,144098,0.0,1.0
2024-09-12,44.46,45.67,43.85,45.47,45.47,242169,0.0,1.0
2024-09-11,44.6,44.805,43.14,44.09,44.09,240520,0.0,1.0
2024-09-10,45.24,45.45,44.34,44.59,44.59,177361,0.0,1.0
2024-09-09,46.5,46.55,45.205,45.23,45.23,241996,0.0,1.0
2024-09-06,48.0,48.28,46.22,46.5,46.5,191420,0.0,1.0
2024-09-05,48.35,48.37,47.41,47.83,47.83,207601,0.0,1.0
2024-09-04,48.56,49.0,47.92,48.35,48.35,268513,0.0,1.0
2024-09-03,50.26,51.24,48.62,48.62,48.62,276856,0.0,1.0
2024-08-30,51.67,52.1129,50.055,50.94,50.94,427701,0.0,1.0
2024-08-29,51.9,52.54,51.2,52.3,52.3,382189,0.0,1.0
2024-08-28,48.07,52.68,48.07,51.9,51.9,483342,0.0,1.0
2024-08-27,46.3,48.49,44.88,47.9,47.9,469567,0.0,1.0
2024-08-26,49.83,49.9,48.81,48.91,48.91,222987,0.0,1.0
2024-08-23,48.21,49.85,46.92,49.19,49.19,249096,0.0,1.0
2024-08-22,48.53,48.53,47.75,48.03,48.03,147000,0.0,1.0
2024-08-21,48.44,48.845,48.06,48.42,48.42,185799,0.0,1.0
2024-08-20,49.04,49.04,48.16,48.23,48.23,114172,0.0,1.0
2024-08-19,48.85,49.195,48.61,49.04,49.04,138687,0.0,1.0
2024-08-16,48.22,48.9,48.13,48.61,48.61,192371,0.0,1.0
2024-08-15,46.69,48.9,46.69,48.28,48.28,128393,0.0,1.0
2024-08-14,48.58,48.78,47.715,48.02,48.02,101302,0.0,1.0
2024-08-13,47.75,48.36,47.48,48.31,48.31,136468,0.0,1.0
2024-08-12,48.41,48.41,46.9,47.24,47.24,131924,0.0,1.0
2024-08-09,47.75,48.66,47.27,48.5,48.5,181369,0.0,1.0
2024-08-08,46.89,47.45,46.51,47.36,47.36,101597,0.0,1.0
2024-08-07,47.19,48.05,45.74,46.17,46.17,134251,0.0,1.0
2024-08-06,45.7,46.895,45.7,46.44,46.44,125721,0.0,1.0
2024-08-05,44.96,46.315,44.325,45.75,45.75,156742,0.0,1.0
2024-08-02,47.33,47.52,46.51,47.46,47.46,204091,0.0,1.0
2024-08-01,52.22,52.79,49.085,49.22,49.22,231102,0.0,1.0
2024-07-31,51.33,53.285,50.935,52.05,52.05,175391,0.0,1.0
2024-07-30,50.55,51.87,49.99,50.88,50.88,196768,0.0,1.0
2024-07-29,50.64,50.86,49.76,50.19,50.19,162734,0.0,1.0
2024-07-26,49.88,50.47,49.25,50.38,50.38,157079,0.0,1.0
2024-07-25,48.14,49.79,48.12,49.0,49.0,135910,0.0,1.0
2024-07-24,48.96,50.0,47.93,47.99,47.99,127228,0.0,1.0
2024-07-23,47.68,49.935,47.49,49.44,49.44,178461,0.0,1.0
2024-07-22,46.56,48.05,46.25,47.95,47.95,185337,0.0,1.0
2024-07-19,46.93,47.53,46.25,46.4,46.4,154108,0.0,1.0
2024-07-18,47.02,48.25,46.45,46.88,46.88,145249,0.0,1.0
2024-07-17,47.13,48.0,46.99,47.33,47.33,201221,0.0,1.0
2024-07-16,46.55,47.61,46.27,47.56,47.56,208636,0.0,1.0
2024-07-15,45.05,46.69,45.05,45.94,45.94,169461,0.0,1.0
2024-07-12,44.71,45.83,44.525,45.03,45.03,215470,0.0,1.0
2024-07-11,43.17,44.5,42.9,44.12,44.12,152418,0.0,1.0
2024-07-10,41.73,42.8,41.73,42.48,42.48,155092,0.0,1.0
2024-07-09,42.75,42.75,41.68,41.83,41.83,156180,0.0,1.0
2024-07-08,42.4,43.12,42.22,42.47,42.47,206026,0.0,1.0
2024-07-05,43.45,43.8,41.805,41.93,41.93,173494,0.0,1.0
