,SEM_Open,SEM_High,SEM_Low,SEM_Close,SEM_Adj Close,SEM_Volume,SEM_Dividend Amount,SEM_Split Coefficient
2024-10-07,33.32,33.38,32.925,33.16,33.16,533850,0.0,1.0
2024-10-04,33.91,33.96,33.4,33.66,33.66,295829,0.0,1.0
2024-10-03,33.69,33.83,33.33,33.47,33.47,272731,0.0,1.0
2024-10-02,33.71,34.075,33.61,33.91,33.91,294983,0.0,1.0
2024-10-01,34.66,34.68,33.79,34.06,34.06,438656,0.0,1.0
2024-09-30,34.59,34.89,34.23,34.87,34.87,666640,0.0,1.0
2024-09-27,34.99,34.99,34.1,34.67,34.67,526593,0.0,1.0
2024-09-26,35.24,35.24,34.43,34.45,34.45,509380,0.0,1.0
2024-09-25,35.5,35.5,34.82,35.03,35.03,479794,0.0,1.0
2024-09-24,35.02,35.53,34.9912,35.38,35.38,357997,0.0,1.0
2024-09-23,35.14,35.335,34.77,35.06,35.06,253448,0.0,1.0
2024-09-20,35.35,35.51,34.7,35.0,35.0,1858749,0.0,1.0
2024-09-19,36.15,36.15,35.235,35.36,35.36,402237,0.0,1.0
2024-09-18,34.81,36.24,34.663,35.3,35.3,462403,0.0,1.0
2024-09-17,35.65,35.86,34.87,34.91,34.91,466758,0.0,1.0
2024-09-16,35.58,35.7674,35.09,35.3,35.3,379190,0.0,1.0
2024-09-13,34.94,35.33,34.84,35.23,35.23,471731,0.0,1.0
2024-09-12,34.1,34.76,33.77,34.66,34.66,389009,0.0,1.0
2024-09-11,33.42,33.98,32.97,33.91,33.91,366521,0.0,1.0
2024-09-10,33.71,33.79,33.3,33.63,33.63,418635,0.0,1.0
2024-09-09,33.75,33.93,33.125,33.74,33.74,628833,0.0,1.0
2024-09-06,35.18,35.48,33.65,33.74,33.74,771902,0.0,1.0
2024-09-05,35.49,35.6,35.15,35.17,35.17,611135,0.0,1.0
2024-09-04,35.08,35.53,34.82,35.44,35.44,330668,0.0,1.0
2024-09-03,35.69,36.22,35.06,35.27,35.27,500353,0.0,1.0
2024-08-30,35.87,36.21,35.5,36.07,36.07,435088,0.0,1.0
2024-08-29,35.88,36.21,35.33,35.99,35.99,515087,0.0,1.0
2024-08-28,35.4,35.91,35.376,35.75,35.75,606523,0.0,1.0
2024-08-27,35.49,35.89,35.35,35.38,35.38,424298,0.0,1.0
2024-08-26,36.06,36.39,35.75,35.75,35.75,608712,0.0,1.0
2024-08-23,34.69,35.675,34.27,35.58,35.58,478464,0.0,1.0
2024-08-22,34.25,34.64,34.14,34.33,34.33,391357,0.0,1.0
2024-08-21,33.17,34.43,32.985,34.1,34.1,704756,0.0,1.0
2024-08-20,33.46,33.54,32.82,32.97,32.97,576467,0.0,1.0
2024-08-19,33.01,33.61,33.01,33.51,33.51,447517,0.0,1.0
2024-08-16,33.29,33.56,32.74,33.02,33.02,475977,0.0,1.0
2024-08-15,33.08,33.52,32.41,33.22,33.22,733547,0.0,1.0
2024-08-14,33.12,33.12,31.98,32.0,32.0,640756,0.125,1.0
2024-08-13,33.01,33.14,32.49,33.04,32.911439688716,601254,0.0,1.0
2024-08-12,32.83,32.91,32.19,32.69,32.5628015564202,415215,0.0,1.0
2024-08-09,32.46,32.72,31.94,32.68,32.5528404669261,610673,0.0,1.0
2024-08-08,32.51,33.19,32.31,32.61,32.4831128404669,1038247,0.0,1.0
2024-08-07,33.28,33.6,32.05,32.11,31.9850583657588,836096,0.0,1.0
2024-08-06,32.41,33.135,31.88,32.91,32.7819455252918,923260,0.0,1.0
2024-08-05,32.51,32.6,30.98,32.56,32.4333073929961,1334969,0.0,1.0
