,SFNC_Open,SFNC_High,SFNC_Low,SFNC_Close,SFNC_Adj Close,SFNC_Volume,SFNC_Dividend Amount,SFNC_Split Coefficient
2024-10-07,21.42,21.51,21.29,21.4,21.4,431900,0.0,1.0
2024-10-04,21.53,21.73,21.34,21.51,21.51,468044,0.0,1.0
2024-10-03,20.87,21.21,20.78,21.15,21.15,576119,0.0,1.0
2024-10-02,21.26,21.56,20.91,21.0,21.0,390543,0.0,1.0
2024-10-01,21.42,21.51,20.87,21.22,21.22,675923,0.0,1.0
2024-09-30,21.12,21.67,21.075,21.54,21.54,421105,0.0,1.0
2024-09-27,21.54,21.61,21.16,21.16,21.16,512488,0.0,1.0
2024-09-26,21.58,21.68,21.29,21.32,21.32,803341,0.0,1.0
2024-09-25,21.54,21.55,21.1,21.16,21.16,604296,0.0,1.0
2024-09-24,21.51,21.68,21.39,21.51,21.51,886744,0.0,1.0
2024-09-23,21.76,21.8,21.5,21.56,21.56,496946,0.0,1.0
2024-09-20,21.93,22.06,21.56,21.6,21.6,2507432,0.0,1.0
2024-09-19,22.07,22.18,21.595,22.07,22.07,588903,0.0,1.0
2024-09-18,21.39,22.45,21.01,21.5,21.5,637292,0.0,1.0
2024-09-17,21.38,21.92,21.23,21.35,21.35,598961,0.0,1.0
2024-09-16,20.94,21.27,20.62,21.14,21.14,427304,0.0,1.0
2024-09-13,20.52,20.95,20.375,20.93,20.93,422281,0.21,1.0
2024-09-12,20.49,20.52,20.19,20.44,20.2369536423841,339263,0.0,1.0
2024-09-11,20.2,20.41,19.75,20.33,20.1280463576159,537648,0.0,1.0
2024-09-10,20.64,20.66,19.93,20.48,20.2765562913907,612941,0.0,1.0
2024-09-09,20.43,20.7,20.11,20.54,20.3359602649007,530737,0.0,1.0
2024-09-06,20.86,20.89,20.27,20.41,20.2072516556291,340672,0.0,1.0
2024-09-05,21.12,21.16,20.53,20.71,20.5042715231788,265808,0.0,1.0
2024-09-04,21.05,21.36,20.74,20.88,20.672582781457,384285,0.0,1.0
2024-09-03,21.18,21.48,21.01,21.16,20.9498013245033,423053,0.0,1.0
2024-08-30,21.23,21.45,21.065,21.42,21.2072185430464,489295,0.0,1.0
2024-08-29,21.33,21.35,20.88,21.11,20.900298013245,354505,0.0,1.0
2024-08-28,20.65,21.22,20.575,21.12,20.9101986754967,306881,0.0,1.0
2024-08-27,21.0,21.02,20.7,20.82,20.613178807947,310550,0.0,1.0
2024-08-26,21.67,21.67,21.09,21.1,20.8903973509934,425029,0.0,1.0
2024-08-23,20.35,21.62,20.175,21.3,21.0884105960265,795174,0.0,1.0
2024-08-22,20.12,20.325,19.78,20.19,19.9894370860927,237315,0.0,1.0
2024-08-21,20.02,20.16,19.805,20.1,19.9003311258278,264567,0.0,1.0
2024-08-20,20.38,20.38,19.92,19.93,19.7320198675497,307045,0.0,1.0
2024-08-19,20.18,20.43,20.1,20.4,20.1973509933775,339323,0.0,1.0
2024-08-16,19.78,20.38,19.68,20.14,19.9399337748344,459573,0.0,1.0
2024-08-15,19.285,20.24,19.285,19.84,19.6429139072848,426401,0.0,1.0
2024-08-14,19.45,19.45,19.09,19.41,19.2171854304636,282556,0.0,1.0
2024-08-13,19.42,19.47,19.0,19.39,19.1973841059603,544568,0.0,1.0
2024-08-12,19.61,19.82,19.04,19.13,18.9399668874172,363322,0.0,1.0
2024-08-09,19.37,19.49,19.19,19.45,19.2567880794702,434272,0.0,1.0
2024-08-08,19.58,19.67,19.2,19.45,19.2567880794702,555608,0.0,1.0
2024-08-07,19.65,19.77,19.24,19.34,19.147880794702,649450,0.0,1.0
2024-08-06,19.19,19.58,18.95,19.38,19.1874834437086,587258,0.0,1.0
2024-08-05,18.85,19.36,18.425,19.26,19.0686754966887,818276,0.0,1.0
2024-08-02,19.7,20.03,19.52,19.87,19.6726158940397,626354,0.0,1.0
2024-08-01,21.53,21.53,20.28,20.53,20.326059602649,665294,0.0,1.0
2024-07-31,21.36,22.14,21.2,21.53,21.3161258278146,853914,0.0,1.0
2024-07-30,21.43,21.71,21.15,21.45,21.2369205298013,513696,0.0,1.0
2024-07-29,21.74,21.9,21.251,21.27,21.0587086092715,673397,0.0,1.0
2024-07-26,21.94,22.29,21.56,21.9,21.6824503311258,719457,0.0,1.0
2024-07-25,21.26,22.11,21.08,21.81,21.5933443708609,834687,0.0,1.0
2024-07-24,21.49,21.81,21.06,21.1,20.8903973509934,722324,0.0,1.0
2024-07-23,20.91,21.79,20.895,21.5,21.2864238410596,1134046,0.0,1.0
2024-07-22,20.57,21.25,20.45,21.21,20.9993046357616,446243,0.0,1.0
2024-07-19,20.77,21.22,20.64,20.75,20.5438741721854,573417,0.0,1.0
2024-07-18,21.12,21.575,20.63,20.73,20.5240728476821,675541,0.0,1.0
2024-07-17,20.14,21.305,20.14,21.28,21.0686092715232,965339,0.0,1.0
2024-07-16,19.87,20.615,19.715,20.51,20.3062582781457,1145040,0.0,1.0
2024-07-15,19.08,19.73,19.07,19.65,19.4548013245033,1232824,0.0,1.0
2024-07-12,19.0,19.11,18.75,18.81,18.6231456953642,718890,0.0,1.0
2024-07-11,18.11,18.945,18.05,18.87,18.6825496688742,744643,0.0,1.0
2024-07-10,17.56,17.96,17.5,17.9,17.7221854304636,384080,0.0,1.0
2024-07-09,17.1,17.51,17.01,17.5,17.3261589403974,405710,0.0,1.0
2024-07-08,17.24,17.35,17.05,17.13,16.9598344370861,356891,0.0,1.0
2024-07-05,17.3,17.34,17.025,17.05,16.8806291390728,298005,0.0,1.0
2024-07-03,17.66,17.66,17.29,17.3,17.1281456953642,248312,0.0,1.0
2024-07-02,17.38,17.7,17.38,17.63,17.4548675496689,510461,0.0,1.0
2024-07-01,17.51,17.81,17.34,17.47,17.2964569536424,525589,0.0,1.0
2024-06-28,17.29,17.7,17.28,17.58,17.4053642384106,1089744,0.0,1.0
2024-06-27,16.89,17.105,16.625,17.08,16.9103311258278,356584,0.0,1.0
2024-06-26,16.56,16.87,16.51,16.84,16.6727152317881,370603,0.0,1.0
2024-06-25,16.83,16.94,16.65,16.69,16.5242052980132,346656,0.0,1.0
2024-06-24,16.59,17.078,16.52,16.96,16.7915231788079,486473,0.0,1.0
2024-06-21,16.49,16.49,16.2901,16.43,16.2667880794702,1660616,0.0,1.0
2024-06-20,16.45,16.61,16.36,16.49,16.3261920529801,390675,0.0,1.0
2024-06-18,16.47,16.715,16.43,16.51,16.3459933774834,337090,0.0,1.0
2024-06-17,16.23,16.41,16.03,16.41,16.2469867549669,344355,0.0,1.0
2024-06-14,16.17,16.38,16.17,16.26,16.0984768211921,329856,0.21,1.0
2024-06-13,16.83,16.98,16.49,16.66,16.2841908828816,390100,0.0,1.0
2024-06-12,16.9,17.21,16.64,16.85,16.4699049445711,432559,0.0,1.0
2024-06-11,16.35,16.47,16.2,16.35,15.9811837295987,447804,0.0,1.0
2024-06-10,16.61,16.62,16.33,16.48,16.1082512454915,487627,0.0,1.0
2024-06-07,16.63,16.82,16.63,16.74,16.3623862772772,403378,0.0,1.0
2024-06-06,16.84,16.95,16.68,16.86,16.4796793688706,414747,0.0,1.0
2024-06-05,16.87,17.225,16.51,16.81,16.4308072473733,482814,0.0,1.0
2024-06-04,16.85,17.01,16.715,16.73,16.3526118529777,364446,0.0,1.0
2024-06-03,17.56,17.57,16.95,17.03,16.6458445819612,297658,0.0,1.0
2024-05-31,17.29,17.6,17.255,17.38,16.9879494324419,464068,0.0,1.0
2024-05-30,17.15,17.35,17.07,17.26,16.8706563408485,401597,0.0,1.0
2024-05-29,16.9,17.07,16.65,16.97,16.5871980361645,332412,0.0,1.0
2024-05-28,17.64,17.73,17.17,17.21,16.8217842193513,423458,0.0,1.0
2024-05-24,17.66,17.81,17.41,17.65,17.251858888527,283187,0.0,1.0
2024-05-23,18.03,18.03,17.38,17.52,17.1247913726342,411648,0.0,1.0
2024-05-22,18.14,18.2,17.82,18.0,17.5939637390077,465166,0.0,1.0
2024-05-21,18.14,18.36,18.06,18.18,17.7699033763978,271380,0.0,1.0
2024-05-20,18.42,18.53,18.15,18.17,17.7601289520983,460790,0.0,1.0
2024-05-17,18.5,18.56,18.36,18.43,18.014263983884,331632,0.0,1.0
2024-05-16,18.22,18.45,18.13,18.38,17.9653918623868,486230,0.0,1.0
2024-05-15,18.32,18.3986,18.04,18.31,17.8969708922906,337279,0.0,1.0
2024-05-14,18.18,18.255,17.9,18.11,17.7014824063016,263658,0.0,1.0
2024-05-13,18.03,18.1,17.9,17.93,17.5255427689116,315806,0.0,1.0
2024-05-10,18.05,18.05,17.75,17.94,17.535317193211,337012,0.0,1.0
2024-05-09,17.98,18.11,17.8,18.08,17.6721591334033,362153,0.0,1.0
2024-05-08,17.62,17.965,17.62,17.91,17.5059939203127,235623,0.0,1.0
2024-05-07,18.01,18.12,17.81,17.83,17.4277985259171,228744,0.0,1.0
2024-05-06,18.06,18.2,17.92,17.96,17.5548660418099,274220,0.0,1.0
2024-05-03,18.07,18.18,17.76,17.98,17.5744148904088,315358,0.0,1.0
2024-05-02,17.52,17.78,17.46,17.7,17.3007310100242,318260,0.0,1.0
2024-05-01,17.25,17.68,17.15,17.33,16.9390773109446,363686,0.0,1.0
