,SHOO_Open,SHOO_High,SHOO_Low,SHOO_Close,SHOO_Adj Close,SHOO_Volume,SHOO_Dividend Amount,SHOO_Split Coefficient
2024-10-07,49.03,49.1,46.4,47.12,47.12,714100,0.0,1.0
2024-10-04,48.53,49.38,48.43,49.35,49.35,527515,0.0,1.0
2024-10-03,48.62,48.825,47.747824,47.98,47.98,684307,0.0,1.0
2024-10-02,49.1,49.265,48.79,49.09,49.09,433293,0.0,1.0
2024-10-01,48.91,50.01,48.26,49.7,49.7,818758,0.0,1.0
2024-09-30,48.61,49.11,48.33,48.99,48.99,570751,0.0,1.0
2024-09-27,48.55,49.045,48.355,48.69,48.69,524625,0.0,1.0
2024-09-26,48.45,49.02,48.06,48.38,48.38,675970,0.0,1.0
2024-09-25,48.83,49.29,47.69,47.81,47.81,720408,0.0,1.0
2024-09-24,48.23,49.11,48.23,49.01,49.01,611421,0.0,1.0
2024-09-23,48.1,48.165,47.44,48.11,48.11,557306,0.0,1.0
2024-09-20,47.98,48.065,47.25,47.47,47.47,1436676,0.0,1.0
2024-09-19,48.67,48.76,47.41,47.89,47.89,1009153,0.0,1.0
2024-09-18,47.14,48.59,47.08,47.46,47.46,830733,0.0,1.0
2024-09-17,46.18,47.23,46.1,47.1,47.1,867165,0.0,1.0
2024-09-16,45.61,46.26,45.15,45.76,45.76,642830,0.0,1.0
2024-09-13,44.43,45.93,44.17,45.61,45.61,564249,0.21,1.0
2024-09-12,43.77,44.14,43.33,44.11,43.9078371890004,492611,0.0,1.0
2024-09-11,43.3,43.62,42.55,43.55,43.3504037538193,510479,0.0,1.0
2024-09-10,43.73,43.82,43.0,43.31,43.1115037101702,329309,0.0,1.0
2024-09-09,43.11,43.875,42.73,43.51,43.3105870798778,552509,0.0,1.0
2024-09-06,43.61,44.14,43.03,43.11,42.9124203404627,513915,0.0,1.0
2024-09-05,44.09,44.2,43.43,43.84,43.6390746398952,651282,0.0,1.0
2024-09-04,44.36,44.36,43.65,43.97,43.7684788302052,431720,0.0,1.0
2024-09-03,44.75,45.27,44.38,44.52,44.3159580969009,608522,0.0,1.0
2024-08-30,44.89,45.15,44.3,45.1,44.8932998690528,557922,0.0,1.0
2024-08-29,44.58,44.94,43.74,44.54,44.3358664338717,453461,0.0,1.0
2024-08-28,44.26,44.82,43.81,44.13,43.9277455259712,414693,0.0,1.0
2024-08-27,44.91,44.91,44.44,44.46,44.2562330859887,371613,0.0,1.0
2024-08-26,45.25,45.6,44.96,45.16,44.9530248799651,436873,0.0,1.0
2024-08-23,43.55,45.2,43.52,45.16,44.9530248799651,407102,0.0,1.0
2024-08-22,44.49,44.49,43.85,43.97,43.7684788302052,394915,0.0,1.0
2024-08-21,44.07,44.6,43.5727,44.59,44.3856372762986,385195,0.0,1.0
2024-08-20,44.11,44.305,43.3,43.47,43.2707704059363,402117,0.0,1.0
2024-08-19,44.34,44.54,44.11,44.2,43.9974247053688,490441,0.0,1.0
2024-08-16,43.87,44.26,43.395,44.17,43.9675621999127,452791,0.0,1.0
2024-08-15,43.83,44.41,43.555,43.93,43.7286621562636,505452,0.0,1.0
2024-08-14,43.32,43.33,42.34,42.55,42.3549869052815,462120,0.0,1.0
2024-08-13,42.68,43.43,42.68,43.28,43.0816412047141,532428,0.0,1.0
2024-08-12,43.15,43.32,42.29,42.36,42.1658577040594,448521,0.0,1.0
2024-08-09,42.82,43.33,42.3,43.08,42.8825578350065,524416,0.0,1.0
2024-08-08,42.77,43.11,42.35,43.02,42.8228328240943,674722,0.0,1.0
2024-08-07,43.44,43.73,41.965,42.18,41.9866826713226,590827,0.0,1.0
2024-08-06,41.63,43.27,41.09,42.63,42.4346202531646,921135,0.0,1.0
2024-08-05,40.26,41.69,39.861,41.59,41.3993867306853,888967,0.0,1.0
2024-08-02,41.78,42.11,41.02,41.61,41.419295067656,766874,0.0,1.0
2024-08-01,44.65,45.055,43.14,43.51,43.3105870798778,1013469,0.0,1.0
2024-07-31,44.79,47.24,43.77,45.34,45.1321999127019,1297423,0.0,1.0
2024-07-30,44.19,44.805,43.78,44.46,44.2562330859887,928401,0.0,1.0
2024-07-29,43.99,44.39,43.68,44.19,43.9874705368835,724791,0.0,1.0
2024-07-26,43.33,44.03,43.045,44.02,43.818249672632,633349,0.0,1.0
2024-07-25,43.21,43.455,41.88,42.67,42.4744369271061,1014273,0.0,1.0
2024-07-24,44.83,45.21,43.09,43.14,42.9422828459188,945944,0.0,1.0
2024-07-23,44.17,44.91,43.94,44.91,44.7041706678306,702592,0.0,1.0
2024-07-22,43.95,44.47,43.56,44.24,44.0372413793104,673078,0.0,1.0
2024-07-19,43.51,44.04,43.37,43.8,43.5992579659537,735220,0.0,1.0
2024-07-18,44.21,45.255,42.24,43.71,43.5096704495853,705076,0.0,1.0
2024-07-17,44.95,45.405,44.2,44.25,44.0471955477957,903999,0.0,1.0
2024-07-16,44.5,45.25,44.255,45.01,44.8037123526844,871033,0.0,1.0
2024-07-15,44.49,44.83,43.87,43.99,43.7883871671759,793374,0.0,1.0
2024-07-12,44.86,45.17,44.49,44.54,44.3358664338717,733902,0.0,1.0
2024-07-11,43.73,44.35,43.04,44.29,44.0870122217372,947942,0.0,1.0
2024-07-10,42.86,43.245,42.23,42.78,42.5839327804452,477857,0.0,1.0
2024-07-09,43.17,43.51,42.63,42.67,42.4744369271061,498747,0.0,1.0
2024-07-08,42.19,43.4,41.96,43.27,43.0716870362287,664341,0.0,1.0
2024-07-05,42.1,42.33,41.7,41.96,41.7676909646443,501626,0.0,1.0
2024-07-03,42.15,42.425,41.7431,41.99,41.7975534701004,232084,0.0,1.0
2024-07-02,41.74,42.21,41.525,42.03,41.8373701440419,823660,0.0,1.0
2024-07-01,42.37,42.55,41.25,41.58,41.3894325621999,687295,0.0,1.0
2024-06-28,42.5,42.8,41.7,42.3,42.1061326931471,1700893,0.0,1.0
2024-06-27,42.78,43.1,42.1706,42.34,42.1459493670886,528117,0.0,1.0
2024-06-26,43.44,43.7075,42.88,43.04,42.842741161065,473016,0.0,1.0
2024-06-25,44.3,44.34,43.43,43.53,43.3304954168485,660280,0.0,1.0
2024-06-24,43.68,44.59,43.55,44.41,44.2064622435618,456319,0.0,1.0
2024-06-21,43.75,43.8,43.22,43.57,43.3703120907901,1879331,0.0,1.0
2024-06-20,43.76,44.615,43.5375,43.77,43.5693954604976,528458,0.0,1.0
2024-06-18,43.49,44.04,43.45,43.86,43.658982976866,466610,0.0,1.0
2024-06-17,43.67,43.915,42.895,43.68,43.4798079441292,501472,0.0,1.0
2024-06-14,43.01,44.02,42.7,43.71,43.5096704495853,754524,0.0,1.0
2024-06-13,43.25,43.38,42.54,42.96,42.763107813182,744163,0.0,1.0
2024-06-12,44.48,44.7,43.45,43.53,43.3304954168485,597240,0.0,1.0
2024-06-11,43.95,44.08,43.54,43.67,43.4698537756438,572613,0.0,1.0
2024-06-10,43.92,44.31,42.87,44.05,43.8481121780882,468493,0.21,1.0
2024-06-07,44.83,45.35,44.42,44.53,44.1155995320892,572515,0.0,1.0
2024-06-06,44.57,45.55,44.52,45.31,44.8883407769809,520587,0.0,1.0
2024-06-05,44.08,44.63,43.96,44.34,43.9273676903848,368040,0.0,1.0
2024-06-04,44.57,45.28,44.03,44.1,43.689601153495,774924,0.0,1.0
2024-06-03,44.92,45.91,44.63,44.7,44.2840174957194,738520,0.0,1.0
2024-05-31,44.2,44.61,43.7,44.45,44.0363440197926,644258,0.0,1.0
2024-05-30,43.34,44.57,43.21,44.06,43.6499733973467,530094,0.0,1.0
2024-05-29,42.82,43.46,42.82,43.11,42.7088141888247,557619,0.0,1.0
2024-05-28,43.24,43.8,42.94,43.5,43.0951848112706,523956,0.0,1.0
2024-05-24,41.99,42.94,41.99,42.84,42.4413268348237,514342,0.0,1.0
2024-05-23,41.34,42.18,40.91,41.45,41.0642623086705,461422,0.0,1.0
2024-05-22,41.88,41.9,41.05,41.3,40.9156582231144,482531,0.0,1.0
2024-05-21,41.63,42.27,41.63,42.11,41.7181202851173,475297,0.0,1.0
2024-05-20,41.73,41.99,41.55,41.84,41.4506329311163,348458,0.0,1.0
2024-05-17,41.83,41.875,41.49,41.66,41.272308028449,400452,0.0,1.0
2024-05-16,42.55,42.605,41.73,41.77,41.3812843578568,404012,0.0,1.0
2024-05-15,42.59,42.78,42.11,42.49,42.0945839685261,513775,0.0,1.0
2024-05-14,42.07,42.81,42.06,42.45,42.0549562123778,569259,0.0,1.0
2024-05-13,41.84,42.54,41.61,41.96,41.5695161995612,603823,0.0,1.0
2024-05-10,41.52,41.69,41.18,41.37,40.9850067963739,407515,0.0,1.0
2024-05-09,40.92,41.64,40.835,41.62,41.2326802723007,493423,0.0,1.0
2024-05-08,40.37,40.87,40.23,40.76,40.3806835151124,383475,0.0,1.0
2024-05-07,40.57,41.14,40.54,40.61,40.2320794295563,491216,0.0,1.0
2024-05-06,39.7,40.745,39.7,40.49,40.1131961611114,564035,0.0,1.0
2024-05-03,40.98,40.98,39.33,39.59,39.2215716477748,671859,0.0,1.0
2024-05-02,40.01,40.64,39.79,40.11,39.7367324777026,908569,0.0,1.0
2024-05-01,40.3,40.37,37.99,39.42,39.0531536841445,1399322,0.0,1.0
2024-04-30,40.6,40.89,40.3,40.41,40.0339406488148,1118656,0.0,1.0
2024-04-29,40.61,41.23,40.5,40.99,40.6085431129651,797625,0.0,1.0
2024-04-26,40.03,41.2,39.98,40.48,40.1032892220743,585677,0.0,1.0
2024-04-25,39.84,40.13,39.45,39.72,39.3503618552567,784016,0.0,1.0
2024-04-24,40.51,40.78,40.44,40.46,40.0834753440002,426407,0.0,1.0
2024-04-23,39.48,40.69,39.425,40.44,40.063661465926,511976,0.0,1.0
2024-04-22,39.48,40.06,39.25,39.71,39.3404549162196,446235,0.0,1.0
2024-04-19,38.44,39.31,38.44,39.12,38.7559455130323,657607,0.0,1.0
2024-04-18,39.07,39.21,38.505,38.55,38.1912499879191,666295,0.0,1.0
2024-04-17,39.27,39.42,38.75,38.81,38.448830402883,450001,0.0,1.0
2024-04-16,38.97,39.23,38.635,39.05,38.6865969397728,423034,0.0,1.0
2024-04-15,39.28,39.5,38.76,39.11,38.7460385739952,559151,0.0,1.0
2024-04-12,38.9,39.24,38.62,39.09,38.7262246959211,552966,0.0,1.0
2024-04-11,39.67,39.935,39.2,39.22,38.855014903403,869876,0.0,1.0
2024-04-10,39.6,39.91,39.15,39.63,39.2611994039231,748148,0.0,1.0
2024-04-09,41.03,41.29,40.28,40.77,40.3905904541495,618165,0.0,1.0
2024-04-08,41.0,41.18,40.485,40.76,40.3806835151124,625273,0.0,1.0
2024-04-05,40.94,41.155,40.675,40.96,40.5788222958539,497126,0.0,1.0
2024-04-04,41.59,41.91,40.68,40.9,40.5193806616314,518761,0.0,1.0
2024-04-03,41.32,41.94,41.04,41.15,40.7670541375583,487145,0.0,1.0
2024-04-02,42.01,42.01,40.98,41.53,41.1435178209671,822631,0.0,1.0
2024-04-01,42.21,42.71,41.58,42.42,42.0252353952666,650474,0.0,1.0
2024-03-28,41.87,42.47,41.735,42.28,41.8865382487476,946796,0.0,1.0
2024-03-27,41.02,41.89,40.92,41.87,41.4803537482276,697295,0.0,1.0
2024-03-26,41.08,41.08,40.365,40.54,40.1627308562968,818144,0.0,1.0
2024-03-25,41.47,41.6,40.69,40.81,40.4302182102978,696829,0.0,1.0
2024-03-22,41.43,41.7,40.91,41.14,40.7571471985212,924404,0.0,1.0
2024-03-21,40.96,41.85,40.675,41.78,41.3911912968939,799169,0.0,1.0
2024-03-20,40.91,41.035,40.16,40.73,40.3509626980012,913330,0.0,1.0
2024-03-19,40.64,41.28,40.64,41.08,40.6977055642987,841292,0.0,1.0
2024-03-18,41.91,42.09,40.86,40.86,40.4797529054831,1053319,0.0,1.0
2024-03-15,41.13,41.96,41.03,41.63,41.2425872113378,7153857,0.0,1.0
2024-03-14,42.18,42.18,41.13,41.62,41.2326802723007,1018774,0.0,1.0
2024-03-13,41.75,42.48,41.75,42.21,41.8171896754881,851802,0.0,1.0
2024-03-12,41.13,41.74,41.04,41.73,41.3416566017085,832460,0.0,1.0
2024-03-11,41.8,42.05,40.98,41.31,40.9255651621514,787923,0.0,1.0
2024-03-08,42.61,42.99,41.82,41.99,41.5992370166724,883875,0.0,1.0
2024-03-07,42.28,42.56,41.98,42.33,41.9360729439329,855620,0.21,1.0
2024-03-06,42.93,42.93,41.66,42.02,41.423455221064,922267,0.0,1.0
2024-03-05,42.69,43.4,42.395,43.0,42.3895424680093,954102,0.0,1.0
2024-03-04,42.55,43.32,42.55,42.78,42.1726657391032,865385,0.0,1.0
2024-03-01,42.91,43.2325,42.52,42.71,42.1036595071786,851544,0.0,1.0
2024-02-29,43.99,43.99,42.44,42.82,42.2120978716316,1058521,0.0,1.0
2024-02-28,42.72,43.65,40.76,43.27,42.6557093625759,1310658,0.0,1.0
2024-02-27,44.09,44.1,43.41,43.63,43.0105985553313,1583164,0.0,1.0
2024-02-26,44.11,44.61,43.49,43.68,43.0598887209918,1113217,0.0,1.0
2024-02-23,43.74,45.63,43.68,44.4,43.7696671065027,1394917,0.0,1.0
2024-02-22,43.48,43.82,43.205,43.68,43.0598887209918,636975,0.0,1.0
2024-02-21,42.8,43.69,42.71,43.62,43.0007405221992,633103,0.0,1.0
2024-02-20,43.43,43.71,42.88,43.57,42.9514503565388,586269,0.0,1.0
2024-02-16,43.52,44.15,43.47,43.86,43.2373333173695,678381,0.0,1.0
2024-02-15,43.33,43.93,43.04,43.75,43.1288949529165,616123,0.0,1.0
2024-02-14,42.19,43.2,42.035,42.68,42.0740854077823,837983,0.0,1.0
2024-02-13,41.79,42.42,41.535,41.99,41.3938811216677,721462,0.0,1.0
2024-02-12,42.09,43.22,41.78,43.16,42.5472709981228,591177,0.0,1.0
2024-02-09,41.09,41.79,41.065,41.75,41.1572883264974,540926,0.0,1.0
2024-02-08,40.1,41.045,40.1,40.96,40.3785037090619,648543,0.0,1.0
2024-02-07,40.78,40.89,39.445,40.23,39.658867290419,892177,0.0,1.0
2024-02-06,41.7,42.33,41.67,41.83,41.2361525915542,539004,0.0,1.0
2024-02-05,41.8,42.23,41.3642,41.79,41.1967204590258,471382,0.0,1.0
2024-02-02,42.13,42.58,41.82,42.39,41.7882024469515,540756,0.0,1.0
2024-02-01,42.02,43.05,41.41,42.86,42.25153000416,943566,0.0,1.0
2024-01-31,43.01,43.58,41.88,41.88,41.2854427572147,624463,0.0,1.0
2024-01-30,43.04,43.55,42.92,43.24,42.6261352631796,535176,0.0,1.0
2024-01-29,42.77,43.49,42.37,43.49,42.872586091482,474830,0.0,1.0
2024-01-26,42.98,43.11,41.77,42.87,42.2613880372921,502891,0.0,1.0
2024-01-25,42.49,42.749,42.12,42.68,42.0740854077823,447109,0.0,1.0
2024-01-24,42.6,42.6,41.785,42.02,41.423455221064,368432,0.0,1.0
2024-01-23,42.6,42.96,42.1,42.2,41.6008998174417,589176,0.0,1.0
2024-01-22,41.85,42.47,41.52,42.45,41.8473506457441,920594,0.0,1.0
2024-01-19,42.15,42.17,41.29,41.5,40.9108374981951,917255,0.0,1.0
2024-01-18,41.76,42.01,41.075,42.0,41.4037391547998,424312,0.0,1.0
2024-01-17,41.53,41.81,41.215,41.58,40.9897017632518,355275,0.0,1.0
2024-01-16,41.45,42.05,41.28,42.04,41.4431712873282,383474,0.0,1.0
2024-01-12,42.43,42.695,41.4,41.96,41.3643070222714,399797,0.0,1.0
2024-01-11,41.45,42.03,40.78,42.01,41.4135971879319,620723,0.0,1.0
