,SLAB_Open,SLAB_High,SLAB_Low,SLAB_Close,SLAB_Adj Close,SLAB_Volume,SLAB_Dividend Amount,SLAB_Split Coefficient
2024-10-07,115.3,116.2658,113.14,114.52,114.52,104722,0.0,1.0
2024-10-04,117.78,118.7,116.0,116.58,116.58,203856,0.0,1.0
2024-10-03,113.73,115.59,112.44,113.8,113.8,216352,0.0,1.0
2024-10-02,112.7,117.13,111.44,115.19,115.19,142695,0.0,1.0
2024-10-01,114.87,115.19,111.55,112.7,112.7,190372,0.0,1.0
2024-09-30,114.69,116.59,113.695,115.57,115.57,276946,0.0,1.0
2024-09-27,119.72,119.72,116.15,116.53,116.53,157390,0.0,1.0
2024-09-26,113.26,118.22,111.53,117.88,117.88,467001,0.0,1.0
2024-09-25,112.41,115.02,111.4793,114.09,114.09,262615,0.0,1.0
2024-09-24,113.41,114.59,110.88,113.15,113.15,248468,0.0,1.0
2024-09-23,112.6,112.6,109.95,111.36,111.36,209632,0.0,1.0
2024-09-20,113.64,113.65,110.51,111.76,111.76,588220,0.0,1.0
2024-09-19,116.35,116.84,113.705,114.37,114.37,219564,0.0,1.0
2024-09-18,111.68,115.3324,110.075,110.79,110.79,216602,0.0,1.0
2024-09-17,112.36,113.69,110.84,111.68,111.68,146466,0.0,1.0
2024-09-16,109.51,110.69,107.47,110.06,110.06,159538,0.0,1.0
2024-09-13,108.81,111.92,108.36,110.75,110.75,239393,0.0,1.0
2024-09-12,107.86,108.195,104.7,106.83,106.83,225891,0.0,1.0
2024-09-11,106.79,108.04,103.65,107.86,107.86,388553,0.0,1.0
2024-09-10,105.71,106.98,103.62,106.44,106.44,161828,0.0,1.0
2024-09-09,105.69,108.8,104.465,105.54,105.54,212770,0.0,1.0
2024-09-06,107.9,108.41,104.85,105.53,105.53,171910,0.0,1.0
2024-09-05,106.06,111.21,105.3,108.89,108.89,252037,0.0,1.0
2024-09-04,105.84,108.63,104.88,106.72,106.72,153809,0.0,1.0
2024-09-03,115.0,115.035,106.05,106.34,106.34,376262,0.0,1.0
2024-08-30,120.87,120.89,117.955,118.37,118.37,604262,0.0,1.0
2024-08-29,115.38,120.5699,114.79,118.66,118.66,202646,0.0,1.0
2024-08-28,118.26,119.0,114.0,114.11,114.11,285749,0.0,1.0
2024-08-27,117.11,118.43,115.5,118.25,118.25,292706,0.0,1.0
2024-08-26,119.32,121.31,118.2,118.66,118.66,352171,0.0,1.0
2024-08-23,114.39,120.245,113.65,118.32,118.32,327409,0.0,1.0
2024-08-22,113.69,114.45,111.3084,113.1,113.1,353179,0.0,1.0
2024-08-21,109.33,113.72,108.72,113.65,113.65,211751,0.0,1.0
2024-08-20,107.55,108.92,105.94,108.52,108.52,307216,0.0,1.0
2024-08-19,104.22,107.67,103.2425,107.55,107.55,182722,0.0,1.0
2024-08-16,103.25,106.39,103.25,104.3,104.3,176908,0.0,1.0
2024-08-15,101.46,105.2008,101.1956,104.42,104.42,248199,0.0,1.0
2024-08-14,102.24,102.94,97.49,97.86,97.86,267189,0.0,1.0
2024-08-13,99.76,101.97,98.8,101.18,101.18,186225,0.0,1.0
2024-08-12,100.35,102.45,97.37,98.55,98.55,262464,0.0,1.0
2024-08-09,100.0,100.075,97.58,99.45,99.45,340915,0.0,1.0
2024-08-08,96.92,100.825,95.415,100.67,100.67,217434,0.0,1.0
2024-08-07,103.53,103.53,94.0,94.31,94.31,321600,0.0,1.0
2024-08-06,101.82,103.26,100.02,100.27,100.27,244428,0.0,1.0
2024-08-05,98.63,103.245,98.21,101.07,101.07,299031,0.0,1.0
2024-08-02,107.16,107.22,102.67,104.16,104.16,349998,0.0,1.0
2024-08-01,118.23,119.85,110.0,111.79,111.79,292452,0.0,1.0
2024-07-31,118.38,122.3,117.15,120.13,120.13,299959,0.0,1.0
2024-07-30,120.53,121.18,115.73,115.93,115.93,274807,0.0,1.0
2024-07-29,121.16,123.37,119.615,119.82,119.82,246909,0.0,1.0
2024-07-26,120.42,121.31,116.11,120.32,120.32,383452,0.0,1.0
2024-07-25,115.24,120.0,111.43,116.61,116.61,667557,0.0,1.0
2024-07-24,121.3,124.04,113.055,115.43,115.43,621105,0.0,1.0
2024-07-23,115.47,117.58,114.63,116.24,116.24,637179,0.0,1.0
2024-07-22,112.59,117.93,112.34,116.86,116.86,561758,0.0,1.0
2024-07-19,114.2,114.2,108.95,110.33,110.33,357743,0.0,1.0
2024-07-18,119.54,121.17,112.185,114.16,114.16,334748,0.0,1.0
2024-07-17,122.83,124.065,118.645,119.15,119.15,435468,0.0,1.0
2024-07-16,124.11,126.27,123.09,125.1,125.1,246072,0.0,1.0
2024-07-15,121.03,124.65,119.27,122.42,122.42,478523,0.0,1.0
2024-07-12,121.01,124.91,120.645,121.2,121.2,190681,0.0,1.0
2024-07-11,120.6,122.0,118.66,118.74,118.74,237082,0.0,1.0
2024-07-10,115.67,118.415,115.43,117.6,117.6,304612,0.0,1.0
2024-07-09,115.02,116.16,111.94,114.84,114.84,275682,0.0,1.0
2024-07-08,113.83,117.56,113.83,115.15,115.15,257321,0.0,1.0
2024-07-05,111.62,112.94,110.2,112.22,112.22,166529,0.0,1.0
2024-07-03,111.71,112.59,110.56,111.42,111.42,144926,0.0,1.0
2024-07-02,109.81,111.65,109.3,110.91,110.91,228261,0.0,1.0
2024-07-01,110.62,111.12,107.57,109.43,109.43,314023,0.0,1.0
2024-06-28,110.62,112.6,109.1,110.63,110.63,532335,0.0,1.0
2024-06-27,109.11,109.375,107.04,109.33,109.33,301150,0.0,1.0
2024-06-26,109.27,111.01,108.26,109.34,109.34,215776,0.0,1.0
2024-06-25,111.59,111.59,108.69,109.8,109.8,225857,0.0,1.0
2024-06-24,112.01,113.2206,110.41,111.31,111.31,314914,0.0,1.0
2024-06-21,113.19,113.39,111.94,112.34,112.34,691495,0.0,1.0
2024-06-20,117.21,117.505,113.33,113.48,113.48,249050,0.0,1.0
2024-06-18,119.26,120.15,117.28,118.49,118.49,356629,0.0,1.0
2024-06-17,117.11,119.865,115.6,119.45,119.45,273978,0.0,1.0
2024-06-14,118.55,119.3825,117.18,117.47,117.47,288045,0.0,1.0
2024-06-13,121.37,121.63,118.27,121.12,121.12,387154,0.0,1.0
2024-06-12,121.91,125.265,120.23,121.82,121.82,677580,0.0,1.0
2024-06-11,117.6,117.79,115.31,117.25,117.25,468294,0.0,1.0
2024-06-10,117.05,119.82,117.01,118.57,118.57,222559,0.0,1.0
2024-06-07,120.76,122.62,118.48,119.15,119.15,177543,0.0,1.0
2024-06-06,123.01,123.01,120.95,122.21,122.21,153261,0.0,1.0
2024-06-05,123.94,124.31,122.5,123.48,123.48,305164,0.0,1.0
2024-06-04,123.24,123.47,120.91,121.75,121.75,208934,0.0,1.0
2024-06-03,126.57,128.0,122.06,123.64,123.64,264944,0.0,1.0
2024-05-31,124.26,126.29,121.765,126.17,126.17,335300,0.0,1.0
2024-05-30,122.93,125.0,122.23,123.3,123.3,194777,0.0,1.0
2024-05-29,124.02,125.2,121.43,122.02,122.02,293596,0.0,1.0
2024-05-28,128.96,130.33,125.635,127.61,127.61,167315,0.0,1.0
2024-05-24,126.19,129.14,125.51,127.8,127.8,183615,0.0,1.0
2024-05-23,128.83,128.83,121.68,124.22,124.22,345242,0.0,1.0
2024-05-22,128.45,130.31,126.335,127.58,127.58,276916,0.0,1.0
2024-05-21,129.26,130.42,127.38,128.24,128.24,227579,0.0,1.0
2024-05-20,130.63,132.74,129.88,131.62,131.62,173235,0.0,1.0
2024-05-17,131.07,131.55,129.21,130.19,130.19,117194,0.0,1.0
2024-05-16,130.26,132.4237,128.935,130.19,130.19,186895,0.0,1.0
2024-05-15,133.34,133.34,128.83,131.57,131.57,163112,0.0,1.0
2024-05-14,128.67,130.93,127.4,130.66,130.66,210801,0.0,1.0
2024-05-13,126.0,129.2136,126.0,127.09,127.09,197372,0.0,1.0
2024-05-10,129.31,129.31,124.59,124.6,124.6,172882,0.0,1.0
2024-05-09,127.13,128.82,124.64,127.96,127.96,188427,0.0,1.0
2024-05-08,124.05,127.46,123.17,126.9,126.9,218787,0.0,1.0
2024-05-07,124.99,127.57,123.91,126.12,126.12,317972,0.0,1.0
2024-05-06,123.89,125.0,121.96,124.76,124.76,215579,0.0,1.0
2024-05-03,125.1,126.1199,121.91,122.37,122.37,188896,0.0,1.0
2024-05-02,121.12,121.33,118.49,121.02,121.02,218186,0.0,1.0
2024-05-01,119.77,123.0,117.19,118.8,118.8,261858,0.0,1.0
2024-04-30,122.35,125.25,121.22,121.49,121.49,399909,0.0,1.0
2024-04-29,121.39,123.83,120.8,123.75,123.75,284150,0.0,1.0
2024-04-26,119.03,123.08,118.505,122.13,122.13,484446,0.0,1.0
2024-04-25,114.91,121.89,114.72,118.93,118.93,645996,0.0,1.0
2024-04-24,122.02,125.0945,112.13,114.26,114.26,1425885,0.0,1.0
2024-04-23,118.88,126.4,118.88,125.41,125.41,730406,0.0,1.0
2024-04-22,116.19,119.81,115.14,119.12,119.12,591647,0.0,1.0
2024-04-19,116.49,117.665,113.1,115.19,115.19,516523,0.0,1.0
2024-04-18,120.5,121.07,117.06,117.5,117.5,501793,0.0,1.0
2024-04-17,125.48,125.54,121.045,121.53,121.53,267229,0.0,1.0
2024-04-16,123.47,126.59,122.8,124.73,124.73,235395,0.0,1.0
2024-04-15,127.57,128.52,123.7,124.37,124.37,434585,0.0,1.0
2024-04-12,128.12,130.36,125.87,126.32,126.32,192233,0.0,1.0
2024-04-11,130.86,131.66,128.86,131.19,131.19,304182,0.0,1.0
2024-04-10,131.68,132.13,127.515,129.84,129.84,303707,0.0,1.0
2024-04-09,134.21,136.28,133.27,135.74,135.74,285058,0.0,1.0
2024-04-08,132.82,136.01,132.39,132.65,132.65,178901,0.0,1.0
2024-04-05,131.85,132.835,130.64,131.22,131.22,299110,0.0,1.0
2024-04-04,137.53,139.645,131.44,131.84,131.84,239110,0.0,1.0
2024-04-03,132.69,137.015,132.12,134.85,134.85,253686,0.0,1.0
2024-04-02,139.54,139.54,134.045,135.33,135.33,223996,0.0,1.0
2024-04-01,143.55,146.435,140.9,141.98,141.98,148800,0.0,1.0
2024-03-28,140.62,144.22,140.05,143.72,143.72,258013,0.0,1.0
2024-03-27,134.18,140.3,133.6,140.25,140.25,225234,0.0,1.0
2024-03-26,134.14,134.28,132.1,132.82,132.82,147643,0.0,1.0
2024-03-25,132.32,134.1,130.38,132.6,132.6,141048,0.0,1.0
2024-03-22,134.28,136.96,134.19,134.75,134.75,165237,0.0,1.0
2024-03-21,134.67,138.485,134.67,135.06,135.06,213697,0.0,1.0
2024-03-20,128.6,132.7,127.47,131.6,131.6,176046,0.0,1.0
2024-03-19,127.52,130.41,127.14,129.03,129.03,178644,0.0,1.0
2024-03-18,132.59,132.59,129.3825,129.81,129.81,227430,0.0,1.0
2024-03-15,131.84,134.47,130.49,130.9,130.9,490097,0.0,1.0
