,SNA_Open,SNA_High,SNA_Low,SNA_Close,SNA_Adj Close,SNA_Volume,SNA_Dividend Amount,SNA_Split Coefficient
2024-11-01,330.48,332.96,328.87,330.29,330.29,235915,0.0,1.0
2024-10-31,332.94,334.21,330.01,330.13,330.13,545190,0.0,1.0
2024-10-30,333.54,337.72,332.68,333.05,333.05,422049,0.0,1.0
2024-10-29,329.96,335.5,328.3201,333.48,333.48,375996,0.0,1.0
2024-10-28,330.63,334.387,329.42,332.59,332.59,379501,0.0,1.0
2024-10-25,328.0,328.425,324.63,326.58,326.58,222112,0.0,1.0
2024-10-24,325.0,327.8,323.22,325.65,325.65,563546,0.0,1.0
2024-10-23,323.68,325.5,321.27,325.24,325.24,388986,0.0,1.0
2024-10-22,325.57,325.57,322.05,323.31,323.31,334961,0.0,1.0
2024-10-21,325.16,327.86,323.325,325.99,325.99,505757,0.0,1.0
2024-10-18,330.0,330.505,322.53,326.09,326.09,1420084,0.0,1.0
2024-10-17,305.5,328.45,304.47,327.79,327.79,927811,0.0,1.0
2024-10-16,296.3,299.75,296.3,298.08,298.08,543189,0.0,1.0
2024-10-15,297.82,302.635,295.44,295.68,295.68,693240,0.0,1.0
2024-10-14,291.19,296.85,291.149,296.6,296.6,430835,0.0,1.0
2024-10-11,287.44,292.12,287.44,291.81,291.81,401397,0.0,1.0
2024-10-10,287.68,289.4,285.0,286.31,286.31,326356,0.0,1.0
2024-10-09,285.49,289.66,285.49,287.45,287.45,210023,0.0,1.0
2024-10-08,286.8,287.21,284.38,285.44,285.44,185439,0.0,1.0
2024-10-07,284.64,286.5,284.4071,286.02,286.02,187619,0.0,1.0
2024-10-04,291.6,291.6,286.08,286.74,286.74,276583,0.0,1.0
2024-10-03,290.27,290.27,286.0439,288.71,288.71,200982,0.0,1.0
2024-10-02,287.75,291.38,287.14,291.02,291.02,335144,0.0,1.0
2024-10-01,289.47,290.71,285.04,287.99,287.99,259523,0.0,1.0
2024-09-30,288.0,289.98,285.49,289.71,289.71,216382,0.0,1.0
2024-09-27,290.0,292.62,288.0,288.51,288.51,293732,0.0,1.0
2024-09-26,286.17,289.83,285.25,289.5,289.5,227072,0.0,1.0
2024-09-25,285.42,286.17,282.8,283.62,283.62,288716,0.0,1.0
2024-09-24,285.13,285.88,283.905,284.41,284.41,330416,0.0,1.0
