,SNX_Open,SNX_High,SNX_Low,SNX_Close,SNX_Adj Close,SNX_Volume,SNX_Dividend Amount,SNX_Split Coefficient
2024-10-07,116.41,119.04,116.2612,118.94,118.94,666342,0.0,1.0
2024-10-04,117.06,117.43,115.44,117.31,117.31,432607,0.0,1.0
2024-10-03,116.22,116.41,115.11,115.35,115.35,345824,0.0,1.0
2024-10-02,116.42,117.58,115.69,116.63,116.63,515908,0.0,1.0
2024-10-01,119.8,121.0,115.92,116.55,116.55,505055,0.0,1.0
2024-09-30,119.13,120.245,118.4,120.08,120.08,533027,0.0,1.0
2024-09-27,119.78,120.305,118.815,119.67,119.67,830626,0.0,1.0
2024-09-26,117.3,120.92,116.55,118.71,118.71,1182196,0.0,1.0
2024-09-25,119.44,119.44,116.9,117.29,117.29,703677,0.0,1.0
2024-09-24,118.87,119.21,118.4,118.88,118.88,444996,0.0,1.0
2024-09-23,118.67,119.39,118.09,118.58,118.58,466891,0.0,1.0
2024-09-20,117.57,118.425,116.84,118.03,118.03,3054923,0.0,1.0
2024-09-19,117.83,119.38,117.395,118.83,118.83,491601,0.0,1.0
2024-09-18,116.57,117.7,115.355,115.58,115.58,442386,0.0,1.0
2024-09-17,114.83,116.32,113.99,116.16,116.16,483806,0.0,1.0
2024-09-16,112.98,114.29,112.46,114.1,114.1,404688,0.0,1.0
2024-09-13,112.07,113.15,111.523,112.89,112.89,378390,0.0,1.0
2024-09-12,110.56,111.89,109.91,110.97,110.97,389907,0.0,1.0
2024-09-11,110.02,110.8,107.835,110.56,110.56,701346,0.0,1.0
2024-09-10,110.71,110.71,108.62,110.19,110.19,501597,0.0,1.0
2024-09-09,111.41,112.07,110.16,110.78,110.78,422003,0.0,1.0
2024-09-06,113.0,113.67,110.68,110.97,110.97,515112,0.0,1.0
2024-09-05,115.43,115.9,113.12,113.31,113.31,439798,0.0,1.0
2024-09-04,115.16,117.52,114.91,115.46,115.46,505579,0.0,1.0
