,SPSC_Open,SPSC_High,SPSC_Low,SPSC_Close,SPSC_Adj Close,SPSC_Volume,SPSC_Dividend Amount,SPSC_Split Coefficient
2024-10-07,188.64,189.86,187.8232,189.69,189.69,142320,0.0,1.0
2024-10-04,188.46,190.5847,186.76,190.32,190.32,166341,0.0,1.0
2024-10-03,188.77,188.9,184.6806,185.36,185.36,217478,0.0,1.0
2024-10-02,190.07,193.21,189.54,189.61,189.61,131719,0.0,1.0
2024-10-01,193.29,193.7496,189.37,191.57,191.57,130232,0.0,1.0
2024-09-30,190.82,194.9663,190.82,194.17,194.17,180259,0.0,1.0
2024-09-27,193.18,195.19,191.02,192.25,192.25,165173,0.0,1.0
2024-09-26,192.08,192.27,188.96,191.34,191.34,314907,0.0,1.0
2024-09-25,195.05,195.05,189.75,189.76,189.76,130442,0.0,1.0
2024-09-24,195.0,196.36,193.22,195.1,195.1,128756,0.0,1.0
2024-09-23,196.9,197.1,193.635,195.31,195.31,169861,0.0,1.0
2024-09-20,196.74,197.48,194.61,195.33,195.33,781815,0.0,1.0
2024-09-19,198.78,198.78,194.065,195.65,195.65,204818,0.0,1.0
2024-09-18,192.18,200.0,190.54,192.81,192.81,209118,0.0,1.0
2024-09-17,195.17,195.17,191.65,192.18,192.18,134731,0.0,1.0
2024-09-16,193.87,194.43,191.48,193.28,193.28,154544,0.0,1.0
2024-09-13,190.6,195.0,189.15,192.85,192.85,127040,0.0,1.0
2024-09-12,188.43,188.945,186.34,188.13,188.13,113112,0.0,1.0
2024-09-11,185.58,187.575,183.81,186.89,186.89,210921,0.0,1.0
2024-09-10,187.08,187.73,183.45,185.88,185.88,104434,0.0,1.0
2024-09-09,185.32,188.15,184.62,186.07,186.07,167385,0.0,1.0
2024-09-06,189.35,191.32,184.4105,185.85,185.85,171000,0.0,1.0
2024-09-05,189.82,191.65,187.96,188.6,188.6,104703,0.0,1.0
2024-09-04,189.34,191.4,188.0,190.05,190.05,91624,0.0,1.0
2024-09-03,198.58,200.5263,190.28,191.18,191.18,139020,0.0,1.0
2024-08-30,198.87,201.1,197.11,199.74,199.74,279119,0.0,1.0
2024-08-29,198.74,203.86,196.52,198.36,198.36,156031,0.0,1.0
2024-08-28,196.16,198.135,195.42,196.33,196.33,79525,0.0,1.0
2024-08-27,197.11,199.38,196.12,196.99,196.99,135620,0.0,1.0
2024-08-26,200.0,200.775,197.935,198.4,198.4,87166,0.0,1.0
2024-08-23,195.98,198.93,195.71,198.36,198.36,115424,0.0,1.0
2024-08-22,196.0,197.395,193.575,194.38,194.38,103423,0.0,1.0
2024-08-21,194.97,196.59,194.535,196.0,196.0,113202,0.0,1.0
2024-08-20,197.86,198.705,193.51,194.3,194.3,106947,0.0,1.0
2024-08-19,196.37,198.12,194.12,197.11,197.11,127729,0.0,1.0
2024-08-16,197.2,198.86,196.28,196.8,196.8,128421,0.0,1.0
2024-08-15,198.07,199.92,196.84,197.95,197.95,129774,0.0,1.0
2024-08-14,196.33,196.7,191.27,192.98,192.98,121117,0.0,1.0
2024-08-13,196.69,197.92,195.82,196.27,196.27,125638,0.0,1.0
2024-08-12,200.13,200.5074,193.19,193.91,193.91,126939,0.0,1.0
2024-08-09,197.93,204.2,197.86,200.95,200.95,189283,0.0,1.0
2024-08-08,192.24,198.63,190.845,198.51,198.51,123114,0.0,1.0
2024-08-07,196.25,198.44,188.57,188.99,188.99,174746,0.0,1.0
2024-08-06,192.96,197.91,191.67,192.47,192.47,190222,0.0,1.0
2024-08-05,188.53,194.37,188.53,191.23,191.23,165267,0.0,1.0
2024-08-02,200.52,204.215,197.615,200.56,200.56,158673,0.0,1.0
2024-08-01,215.38,217.86,208.1,208.96,208.96,206368,0.0,1.0
2024-07-31,209.85,218.61,206.4,215.42,215.42,306899,0.0,1.0
2024-07-30,207.37,209.14,204.92,207.72,207.72,201369,0.0,1.0
2024-07-29,208.39,209.375,205.33,205.8,205.8,197889,0.0,1.0
2024-07-26,210.85,216.005,208.144,209.0,209.0,282430,0.0,1.0
2024-07-25,206.65,209.315,202.7,205.62,205.62,294729,0.0,1.0
2024-07-24,206.93,211.25,204.94,205.36,205.36,194816,0.0,1.0
2024-07-23,206.19,211.87,206.19,208.65,208.65,209222,0.0,1.0
2024-07-22,204.16,207.03,201.51,206.68,206.68,147815,0.0,1.0
2024-07-19,205.65,207.18,201.91,202.24,202.24,346456,0.0,1.0
2024-07-18,206.83,208.28,203.2,205.45,205.45,235456,0.0,1.0
2024-07-17,207.24,210.95,205.13,206.97,206.97,363027,0.0,1.0
2024-07-16,205.27,210.05,203.68,209.42,209.42,245801,0.0,1.0
2024-07-15,201.09,205.22,200.63,202.72,202.72,234707,0.0,1.0
2024-07-12,195.45,200.58,194.955,200.55,200.55,195953,0.0,1.0
2024-07-11,192.66,195.5943,188.91,193.19,193.19,173655,0.0,1.0
2024-07-10,186.81,189.33,184.83,188.75,188.75,156167,0.0,1.0
2024-07-09,189.3,190.15,185.18,185.94,185.94,124791,0.0,1.0
2024-07-08,192.18,192.83,189.82,189.85,189.85,145086,0.0,1.0
2024-07-05,189.79,191.29,187.585,190.44,190.44,95387,0.0,1.0
2024-07-03,192.02,192.73,189.93,190.37,190.37,94135,0.0,1.0
2024-07-02,190.35,195.0,189.26,192.68,192.68,185727,0.0,1.0
2024-07-01,188.19,190.09,184.63,189.1,189.1,205087,0.0,1.0
2024-06-28,189.71,191.335,185.903,188.16,188.16,493983,0.0,1.0
2024-06-27,185.98,188.955,185.72,187.85,187.85,173637,0.0,1.0
2024-06-26,184.26,186.535,184.26,184.64,184.64,169789,0.0,1.0
2024-06-25,185.66,186.56,184.35,184.99,184.99,157766,0.0,1.0
2024-06-24,185.58,187.35,183.915,185.62,185.62,128350,0.0,1.0
2024-06-21,182.39,186.5,180.225,186.13,186.13,455403,0.0,1.0
2024-06-20,180.78,182.735,180.1,181.89,181.89,163614,0.0,1.0
2024-06-18,185.11,185.11,181.86,182.08,182.08,172459,0.0,1.0
2024-06-17,182.72,186.78,181.85,185.8,185.8,139247,0.0,1.0
2024-06-14,181.71,186.085,181.18,184.13,184.13,152494,0.0,1.0
2024-06-13,187.83,187.83,183.55,183.77,183.77,122705,0.0,1.0
2024-06-12,188.35,190.48,186.92,187.87,187.87,139737,0.0,1.0
2024-06-11,181.68,184.95,181.1,183.7,183.7,176913,0.0,1.0
2024-06-10,181.83,185.495,181.78,183.46,183.46,163420,0.0,1.0
2024-06-07,186.02,187.75,182.88,183.63,183.63,214152,0.0,1.0
2024-06-06,189.62,192.69,187.71,187.96,187.96,148067,0.0,1.0
2024-06-05,187.35,192.28,187.35,190.26,190.26,105198,0.0,1.0
2024-06-04,185.01,186.875,184.83,186.135,186.135,125232,0.0,1.0
2024-06-03,189.9,189.9,185.73,185.92,185.92,161158,0.0,1.0
2024-05-31,189.11,189.7,184.92,188.09,188.09,169591,0.0,1.0
2024-05-30,191.66,191.735,187.49,188.45,188.45,129061,0.0,1.0
2024-05-29,189.59,194.35,189.58,191.68,191.68,147870,0.0,1.0
2024-05-28,194.62,195.85,190.71,191.94,191.94,163565,0.0,1.0
2024-05-24,193.86,194.57,191.11,193.86,193.86,173808,0.0,1.0
2024-05-23,193.92,195.58,191.86,193.36,193.36,127859,0.0,1.0
2024-05-22,194.38,196.31,189.28,192.76,192.76,137472,0.0,1.0
2024-05-21,198.03,198.43,194.16,194.64,194.64,138067,0.0,1.0
2024-05-20,195.09,200.4422,195.09,199.42,199.42,152631,0.0,1.0
2024-05-17,196.82,198.31,195.505,196.09,196.09,134370,0.0,1.0
2024-05-16,198.17,198.665,194.695,196.05,196.05,144082,0.0,1.0
2024-05-15,198.0,199.345,196.465,198.67,198.67,148614,0.0,1.0
2024-05-14,195.73,197.3,193.42,195.64,195.64,114357,0.0,1.0
2024-05-13,194.35,195.14,191.54,192.6,192.6,110974,0.0,1.0
2024-05-10,194.67,195.0,191.87,192.45,192.45,164396,0.0,1.0
2024-05-09,188.87,194.616,188.87,193.52,193.52,167604,0.0,1.0
2024-05-08,190.48,192.7,187.1,188.13,188.13,169672,0.0,1.0
2024-05-07,189.0,193.61,187.14,192.68,192.68,199466,0.0,1.0
2024-05-06,183.8,189.21,183.8,188.97,188.97,184319,0.0,1.0
2024-05-03,185.0,185.0,179.475,182.41,182.41,186854,0.0,1.0
2024-05-02,180.07,182.2,177.12,182.07,182.07,223381,0.0,1.0
2024-05-01,175.7,183.06,174.28,178.97,178.97,233719,0.0,1.0
2024-04-30,180.36,182.4994,173.57,173.87,173.87,381052,0.0,1.0
2024-04-29,179.22,182.89,178.2,182.47,182.47,238084,0.0,1.0
2024-04-26,180.0,183.33,174.64,178.96,178.96,369697,0.0,1.0
2024-04-25,168.03,171.6,167.02,169.43,169.43,225462,0.0,1.0
2024-04-24,169.57,173.755,169.57,171.12,171.12,193871,0.0,1.0
2024-04-23,168.79,173.59,168.79,170.6,170.6,207842,0.0,1.0
2024-04-22,166.15,171.36,165.69,168.64,168.64,223762,0.0,1.0
2024-04-19,162.59,166.37,162.54,165.49,165.49,268037,0.0,1.0
2024-04-18,161.99,165.26,160.58,163.13,163.13,243514,0.0,1.0
2024-04-17,164.27,164.565,161.44,161.7,161.7,196013,0.0,1.0
2024-04-16,165.44,166.135,162.94,163.35,163.35,170274,0.0,1.0
2024-04-15,169.95,170.08,164.63,165.93,165.93,168377,0.0,1.0
2024-04-12,168.71,170.07,166.77,169.65,169.65,205244,0.0,1.0
2024-04-11,171.1,171.1,169.41,169.9,169.9,226622,0.0,1.0
2024-04-10,174.88,175.419,169.61,170.54,170.54,204012,0.0,1.0
2024-04-09,177.21,181.3,177.21,179.57,179.57,136931,0.0,1.0
2024-04-08,179.99,180.435,176.21,177.11,177.11,149164,0.0,1.0
2024-04-05,174.21,179.815,174.21,179.33,179.33,164689,0.0,1.0
2024-04-04,177.13,179.115,174.44,174.76,174.76,131446,0.0,1.0
2024-04-03,173.92,177.445,173.71,174.89,174.89,169291,0.0,1.0
2024-04-02,181.24,182.9,174.64,176.06,176.06,181495,0.0,1.0
2024-04-01,184.7,187.22,184.105,184.24,184.24,149148,0.0,1.0
2024-03-28,184.48,186.575,182.73,184.9,184.9,297912,0.0,1.0
2024-03-27,182.66,184.02,180.135,183.89,183.89,170954,0.0,1.0
2024-03-26,183.44,184.015,180.19,180.7,180.7,136240,0.0,1.0
2024-03-25,181.71,182.88,180.05,181.68,181.68,105890,0.0,1.0
2024-03-22,182.01,183.99,179.99,182.07,182.07,118328,0.0,1.0
2024-03-21,185.71,187.31,183.27,183.49,183.49,161860,0.0,1.0
2024-03-20,181.07,186.245,180.7,184.02,184.02,153825,0.0,1.0
2024-03-19,177.44,183.19,177.33,180.91,180.91,126621,0.0,1.0
2024-03-18,181.04,182.18,178.47,178.76,178.76,168063,0.0,1.0
2024-03-15,178.98,180.27,175.76,180.02,180.02,462927,0.0,1.0
2024-03-14,182.59,183.645,179.46,180.62,180.62,169087,0.0,1.0
2024-03-13,182.99,185.36,181.27,183.48,183.48,174153,0.0,1.0
2024-03-12,184.02,185.98,181.655,182.33,182.33,124855,0.0,1.0
2024-03-11,182.95,185.0,181.04,184.09,184.09,132217,0.0,1.0
2024-03-08,186.53,188.73,183.71,184.59,184.59,125320,0.0,1.0
2024-03-07,185.1,187.9293,183.89,185.16,185.16,145461,0.0,1.0
2024-03-06,180.14,183.385,175.4,182.93,182.93,231187,0.0,1.0
2024-03-05,187.63,189.2,177.41,177.51,177.51,176695,0.0,1.0
2024-03-04,188.46,191.74,188.0,189.51,189.51,193919,0.0,1.0
2024-03-01,186.88,189.44,185.41,189.04,189.04,165640,0.0,1.0
2024-02-29,187.01,188.6523,182.51,185.16,185.16,350191,0.0,1.0
2024-02-28,185.08,187.87,183.845,184.25,184.25,138690,0.0,1.0
2024-02-27,185.95,187.73,183.85,187.04,187.04,190238,0.0,1.0
2024-02-26,183.26,186.23,183.26,184.14,184.14,127203,0.0,1.0
2024-02-23,184.24,187.19,182.49,184.1,184.1,164498,0.0,1.0
2024-02-22,182.6,187.5,180.85,182.95,182.95,258789,0.0,1.0
2024-02-21,183.47,184.28,179.75,182.3,182.3,166941,0.0,1.0
2024-02-20,190.41,192.4,185.63,186.68,186.68,168268,0.0,1.0
2024-02-16,196.32,197.34,192.09,192.91,192.91,138328,0.0,1.0
2024-02-15,196.69,199.59,193.44,196.67,196.67,140795,0.0,1.0
2024-02-14,196.18,198.06,190.35,196.14,196.14,186615,0.0,1.0
2024-02-13,194.3,197.96,190.8,193.11,193.11,270318,0.0,1.0
2024-02-12,213.43,215.32,200.5773,201.14,201.14,282227,0.0,1.0
2024-02-09,198.77,218.74,192.05,210.99,210.99,674579,0.0,1.0
2024-02-08,182.24,186.71,181.31,183.77,183.77,143658,0.0,1.0
2024-02-07,181.56,185.08,179.77,182.58,182.58,101850,0.0,1.0
2024-02-06,179.58,181.46,178.86,180.3,180.3,104031,0.0,1.0
2024-02-05,178.49,181.64,175.9,178.61,178.61,189631,0.0,1.0
