,STX_Open,STX_High,STX_Low,STX_Close,STX_Adj Close,STX_Volume,STX_Dividend Amount,STX_Split Coefficient
2024-11-01,99.59,100.9833,98.66,99.11,99.11,1988582,0.0,1.0
2024-10-31,99.42,101.21,98.91,100.37,100.37,2708766,0.0,1.0
2024-10-30,100.97,101.2999,98.94,99.79,99.79,2862322,0.0,1.0
2024-10-29,101.36,101.71,100.19,101.33,101.33,2014688,0.0,1.0
2024-10-28,103.77,103.89,101.03,101.32,101.32,2767040,0.0,1.0
2024-10-25,104.22,105.65,102.92,103.01,103.01,2485898,0.0,1.0
2024-10-24,104.53,105.08,102.35,103.98,103.98,2746563,0.0,1.0
2024-10-23,105.74,107.8,102.46,103.52,103.52,8773992,0.0,1.0
2024-10-22,111.9,112.75,110.33,112.64,112.64,3166095,0.0,1.0
2024-10-21,111.61,112.58,109.32,112.41,112.41,2419327,0.0,1.0
2024-10-18,112.65,114.67,111.7,112.12,112.12,1951046,0.0,1.0
2024-10-17,112.38,113.31,111.99,112.45,112.45,1728329,0.0,1.0
2024-10-16,111.23,112.87,110.62,111.73,111.73,1238063,0.0,1.0
2024-10-15,112.04,115.32,111.37,111.79,111.79,2511158,0.0,1.0
2024-10-14,110.0,111.42,108.8366,111.06,111.06,1619147,0.0,1.0
2024-10-11,107.98,109.89,107.94,109.81,109.81,1055127,0.0,1.0
2024-10-10,107.75,108.73,106.51,108.12,108.12,1255925,0.0,1.0
2024-10-09,109.1,109.39,105.55,109.29,109.29,3410582,0.0,1.0
2024-10-08,106.97,108.95,106.5,108.65,108.65,1551425,0.0,1.0
2024-10-07,106.09,106.6153,104.52,106.13,106.13,1871304,0.0,1.0
2024-10-04,109.88,109.88,106.36,107.24,107.24,1447823,0.0,1.0
2024-10-03,108.04,109.42,107.82,108.8,108.8,1135091,0.0,1.0
2024-10-02,108.06,110.0,107.2,108.56,108.56,1476941,0.0,1.0
2024-10-01,109.27,109.27,106.5011,107.82,107.82,2154984,0.0,1.0
2024-09-30,108.75,109.61,107.81,109.53,109.53,1600722,0.0,1.0
2024-09-27,110.68,110.715,108.15,108.74,108.74,1320015,0.0,1.0
2024-09-26,110.01,110.93,107.8212,110.76,110.76,2661027,0.0,1.0
2024-09-25,106.25,107.76,106.06,107.76,107.76,1695322,0.0,1.0
2024-09-24,106.03,106.785,104.837552,106.63,106.63,1626083,0.0,1.0
2024-09-23,105.11,106.75,104.9,105.88,105.88,1477353,0.7,1.0
2024-09-20,103.83,105.8,103.83,104.74,104.052084818915,5499919,0.0,1.0
2024-09-19,103.49,104.465,102.59,104.12,103.436156877463,1507132,0.0,1.0
2024-09-18,102.18,103.48,100.72,100.93,100.267108275474,1833432,0.0,1.0
2024-09-17,102.32,102.53,101.09,102.07,101.399620942015,1499348,0.0,1.0
2024-09-16,101.83,102.095,100.99,101.44,100.773758678927,1593487,0.0,1.0
2024-09-13,100.84,102.773,100.0,102.13,101.459226871833,1795132,0.0,1.0
2024-09-12,101.96,102.28,100.08,100.62,99.9591443047476,2002744,0.0,1.0
2024-09-11,102.32,102.735,100.0601,102.53,101.856599737287,2373648,0.0,1.0
2024-09-10,101.27,102.75,99.94,102.26,101.588373053106,1878900,0.0,1.0
2024-09-09,99.35,101.38,97.98,101.34,100.674415462563,2318676,0.0,1.0
2024-09-06,100.3,100.712,97.33,97.98,97.3364833927566,2612521,0.0,1.0
2024-09-05,100.08,102.14,99.86,100.81,100.147896415838,1736407,0.0,1.0
2024-09-04,96.1,101.04,94.7,100.73,100.068421842747,3867125,0.0,1.0
2024-09-03,99.55,99.55,96.26,96.78,96.1443647963971,1670290,0.0,1.0
2024-08-30,98.82,99.59,97.93,99.55,98.8961718896603,1975748,0.0,1.0
2024-08-29,99.06,100.34,97.16,97.54,96.8993732407581,2042834,0.0,1.0
2024-08-28,100.0,100.02,97.435,99.25,98.5981422405705,2058161,0.0,1.0
2024-08-27,102.96,102.98,100.525,100.71,100.048553199475,2423619,0.0,1.0
2024-08-26,103.75,105.23,102.95,104.76,104.071953462188,1404692,0.0,1.0
2024-08-23,104.34,104.67,103.48,104.41,103.724252204916,949247,0.0,1.0
2024-08-22,104.82,105.21,102.91,103.23,102.55200225183,989115,0.0,1.0
2024-08-21,104.2,104.9,103.43,104.44,103.754055169825,1150123,0.0,1.0
2024-08-20,103.83,105.02,102.825,103.55,102.869900544192,1703348,0.0,1.0
2024-08-19,101.56,103.99,100.75,103.96,103.277207731282,2934411,0.0,1.0
2024-08-16,100.2,102.57,99.36,101.73,101.06185400638,2494388,0.0,1.0
2024-08-15,98.86,100.16,98.22,99.61,98.9557778194783,2196997,0.0,1.0
2024-08-14,98.82,98.9942,96.69,97.06,96.4225258022143,2176128,0.0,1.0
2024-08-13,97.19,98.23,96.71,98.2,97.5550384687559,1637470,0.0,1.0
2024-08-12,96.01,97.09,95.1,95.83,95.2006042409458,1284629,0.0,1.0
2024-08-09,95.21,96.99,94.28,96.28,95.6476487145806,1483576,0.0,1.0
2024-08-08,92.3,95.62,91.2,95.45,94.8231000187652,2332538,0.0,1.0
2024-08-07,94.67,95.32,92.04,92.1,91.4951022705948,3288439,0.0,1.0
2024-08-06,93.39,95.88,93.1074,93.68,93.0647250891349,3209089,0.0,1.0
