,SXC_Open,SXC_High,SXC_Low,SXC_Close,SXC_Adj Close,SXC_Volume,SXC_Dividend Amount,SXC_Split Coefficient
2024-10-07,8.41,8.565,8.39,8.55,8.55,903601,0.0,1.0
2024-10-04,8.64,8.66,8.41,8.43,8.43,433468,0.0,1.0
2024-10-03,8.5,8.59,8.445,8.48,8.48,552705,0.0,1.0
2024-10-02,8.71,8.7891,8.54,8.59,8.59,521125,0.0,1.0
2024-10-01,8.66,8.7,8.5202,8.69,8.69,556918,0.0,1.0
2024-09-30,8.66,8.74,8.61,8.68,8.68,667835,0.0,1.0
2024-09-27,8.55,8.73,8.49,8.68,8.68,695553,0.0,1.0
2024-09-26,8.5,8.74,8.435,8.47,8.47,865813,0.0,1.0
2024-09-25,8.31,8.33,8.165,8.31,8.31,1033523,0.0,1.0
2024-09-24,8.27,8.505,8.27,8.33,8.33,1532065,0.0,1.0
2024-09-23,8.24,8.37,8.09,8.11,8.11,939948,0.0,1.0
2024-09-20,8.09,8.38,8.045,8.16,8.16,14751011,0.0,1.0
2024-09-19,8.29,8.33,8.1,8.24,8.24,1444048,0.0,1.0
2024-09-18,8.11,8.34,7.985,8.01,8.01,1296602,0.0,1.0
2024-09-17,8.05,8.095,7.93,8.07,8.07,1778745,0.0,1.0
2024-09-16,7.98,8.005,7.84,7.98,7.98,1773445,0.0,1.0
2024-09-13,7.87,8.06,7.82,7.96,7.96,1017863,0.0,1.0
2024-09-12,7.79,7.8889,7.72,7.76,7.76,1307376,0.0,1.0
2024-09-11,7.72,7.72,7.47,7.71,7.71,841141,0.0,1.0
2024-09-10,7.89,7.89,7.66,7.75,7.75,1085518,0.0,1.0
2024-09-09,8.17,8.175,7.88,7.89,7.89,1010784,0.0,1.0
2024-09-06,8.3,8.32,8.04,8.17,8.17,864605,0.0,1.0
2024-09-05,8.44,8.495,8.27,8.33,8.33,873145,0.0,1.0
2024-09-04,8.41,8.53,8.36,8.4,8.4,686049,0.0,1.0
2024-09-03,8.91,8.91,8.395,8.42,8.42,1008024,0.0,1.0
2024-08-30,8.98,9.01,8.84,8.96,8.96,812755,0.0,1.0
2024-08-29,8.94,9.11,8.88,8.95,8.95,726134,0.0,1.0
2024-08-28,8.71,8.895,8.67,8.84,8.84,611453,0.0,1.0
