,T_Open,T_High,T_Low,T_Close,T_Adj Close,T_Volume,T_Dividend Amount,T_Split Coefficient
2024-10-07,21.91,21.91,21.67,21.78,21.78,23116341,0.0,1.0
2024-10-04,21.7,21.98,21.48,21.91,21.91,24545359,0.0,1.0
2024-10-03,22.13,22.225,21.97,22.05,22.05,28894730,0.0,1.0
2024-10-02,22.05,22.24,22.0,22.19,22.19,29820074,0.0,1.0
2024-10-01,21.93,22.15,21.835,22.13,22.13,32705539,0.0,1.0
2024-09-30,22.003,22.065,21.665,22.0,22.0,26272691,0.0,1.0
2024-09-27,21.72,21.935,21.6831,21.9,21.9,23577660,0.0,1.0
2024-09-26,21.49,21.76,21.43,21.65,21.65,25497511,0.0,1.0
2024-09-25,21.62,21.74,21.52,21.56,21.56,28334844,0.0,1.0
2024-09-24,21.38,21.66,21.31,21.59,21.59,25905467,0.0,1.0
2024-09-23,21.54,21.595,21.36,21.49,21.49,25550282,0.0,1.0
2024-09-20,21.3,21.62,21.23,21.54,21.54,94156523,0.0,1.0
2024-09-19,21.65,21.7,21.18,21.36,21.36,40942189,0.0,1.0
2024-09-18,21.84,21.995,21.64,21.73,21.73,27825576,0.0,1.0
2024-09-17,22.07,22.1,21.71,21.78,21.78,29304421,0.0,1.0
2024-09-16,21.84,22.34,21.79,22.27,22.27,53733360,0.0,1.0
2024-09-13,21.57,21.67,21.435,21.64,21.64,31451268,0.0,1.0
2024-09-12,21.33,21.64,21.17,21.59,21.59,34568175,0.0,1.0
2024-09-11,21.615,21.615,21.24,21.45,21.45,37328455,0.0,1.0
2024-09-10,21.45,21.86,21.3306,21.71,21.71,60944519,0.0,1.0
2024-09-09,20.96,21.6,20.925,21.5,21.5,58958375,0.0,1.0
2024-09-06,20.65,21.0,20.65,20.97,20.97,53079539,0.0,1.0
2024-09-05,20.71,20.83,20.52,20.65,20.65,44199090,0.0,1.0
2024-09-04,20.49,20.87,20.25,20.57,20.57,57480217,0.0,1.0
2024-09-03,19.93,20.45,19.92,20.43,20.43,50352595,0.0,1.0
2024-08-30,19.76,19.91,19.7,19.9,19.9,29362657,0.0,1.0
2024-08-29,19.8,19.85,19.62,19.76,19.76,20775554,0.0,1.0
2024-08-28,19.68,19.91,19.67,19.82,19.82,20435528,0.0,1.0
2024-08-27,19.74,19.795,19.595,19.65,19.65,20321899,0.0,1.0
2024-08-26,19.76,19.94,19.7035,19.76,19.76,22599676,0.0,1.0
2024-08-23,19.54,19.76,19.51,19.73,19.73,21519295,0.0,1.0
2024-08-22,19.56,19.58,19.4,19.51,19.51,17596666,0.0,1.0
2024-08-21,19.52,19.59,19.4211,19.54,19.54,20055497,0.0,1.0
