,TDC_Open,TDC_High,TDC_Low,TDC_Close,TDC_Adj Close,TDC_Volume,TDC_Dividend Amount,TDC_Split Coefficient
2024-10-07,30.19,30.39,30.1,30.21,30.21,450964,0.0,1.0
2024-10-04,30.09,30.36,29.975,30.35,30.35,401098,0.0,1.0
2024-10-03,29.63,29.78,29.4709,29.74,29.74,410024,0.0,1.0
2024-10-02,29.58,30.115,29.42,29.97,29.97,444297,0.0,1.0
2024-10-01,30.32,30.33,29.45,29.62,29.62,613321,0.0,1.0
2024-09-30,30.24,30.46,30.07,30.34,30.34,668020,0.0,1.0
2024-09-27,30.37,30.78,30.135,30.35,30.35,601821,0.0,1.0
2024-09-26,29.52,30.17,29.52,30.16,30.16,987309,0.0,1.0
2024-09-25,29.17,29.545,29.07,29.24,29.24,742903,0.0,1.0
2024-09-24,29.5,29.5,29.08,29.25,29.25,443336,0.0,1.0
2024-09-23,29.1,29.47,28.92,29.32,29.32,467499,0.0,1.0
2024-09-20,29.06,29.58,28.91,29.07,29.07,1748028,0.0,1.0
2024-09-19,29.38,29.38,28.91,29.09,29.09,588337,0.0,1.0
2024-09-18,28.77,29.3812,28.54,28.64,28.64,700910,0.0,1.0
2024-09-17,29.14,29.14,28.525,28.83,28.83,715070,0.0,1.0
2024-09-16,28.69,29.0216,28.44,28.83,28.83,657454,0.0,1.0
2024-09-13,28.01,28.72,27.78,28.51,28.51,637349,0.0,1.0
2024-09-12,27.77,27.95,27.385,27.78,27.78,617591,0.0,1.0
2024-09-11,27.4,27.73,27.03,27.67,27.67,636672,0.0,1.0
2024-09-10,27.51,27.705,27.38,27.58,27.58,575224,0.0,1.0
2024-09-09,27.48,27.68,27.25,27.36,27.36,586804,0.0,1.0
2024-09-06,27.62,27.8,27.29,27.4,27.4,614405,0.0,1.0
2024-09-05,27.87,27.91,27.46,27.66,27.66,637739,0.0,1.0
2024-09-04,27.47,27.96,27.21,27.92,27.92,765545,0.0,1.0
2024-09-03,28.07,28.42,27.7,27.75,27.75,723754,0.0,1.0
2024-08-30,28.45,28.515,27.92,28.24,28.24,1540287,0.0,1.0
2024-08-29,28.22,28.8,28.1,28.28,28.28,615901,0.0,1.0
2024-08-28,27.83,28.18,27.52,27.91,27.91,666667,0.0,1.0
2024-08-27,27.73,27.98,27.59,27.96,27.96,410891,0.0,1.0
2024-08-26,28.29,28.58,28.07,28.1,28.1,690896,0.0,1.0
2024-08-23,27.81,28.165,27.7871,28.13,28.13,635203,0.0,1.0
2024-08-22,28.07,28.135,27.55,27.6,27.6,592954,0.0,1.0
2024-08-21,27.67,28.09,27.65,28.07,28.07,827332,0.0,1.0
2024-08-20,27.74,28.06,27.46,27.48,27.48,597490,0.0,1.0
2024-08-19,27.61,27.92,27.54,27.89,27.89,572946,0.0,1.0
2024-08-16,27.28,27.68,27.27,27.6,27.6,654975,0.0,1.0
2024-08-15,27.2,27.55,27.04,27.38,27.38,792048,0.0,1.0
2024-08-14,26.98,27.16,26.46,26.67,26.67,579686,0.0,1.0
2024-08-13,25.94,27.03,25.94,26.94,26.94,1136064,0.0,1.0
2024-08-12,25.99,26.24,25.7692,25.82,25.82,981700,0.0,1.0
2024-08-09,25.17,25.975,25.14,25.95,25.95,1252934,0.0,1.0
2024-08-08,24.94,25.258,24.45,25.12,25.12,1971779,0.0,1.0
2024-08-07,25.38,25.7,24.5,24.51,24.51,2503914,0.0,1.0
2024-08-06,25.0,25.79,24.02,25.05,25.05,3440632,0.0,1.0
2024-08-05,29.03,29.64,29.0,29.15,29.15,977481,0.0,1.0
2024-08-02,30.55,30.67,29.95,30.46,30.46,794282,0.0,1.0
2024-08-01,32.36,32.62,31.02,31.35,31.35,692914,0.0,1.0
2024-07-31,32.54,32.72,32.01,32.42,32.42,702968,0.0,1.0
2024-07-30,32.27,32.6,32.08,32.13,32.13,481164,0.0,1.0
2024-07-29,32.21,32.395,32.0,32.22,32.22,458553,0.0,1.0
2024-07-26,32.06,32.3,31.62,32.14,32.14,814444,0.0,1.0
2024-07-25,31.46,32.04,31.05,31.71,31.71,658772,0.0,1.0
2024-07-24,32.19,32.56,31.29,31.33,31.33,969437,0.0,1.0
2024-07-23,31.68,32.78,31.68,32.3,32.3,727101,0.0,1.0
2024-07-22,31.05,31.68,30.515,31.55,31.55,2578067,0.0,1.0
2024-07-19,33.46,33.65,30.6,30.87,30.87,1292737,0.0,1.0
2024-07-18,34.99,35.595,34.33,34.39,34.39,597960,0.0,1.0
2024-07-17,34.75,35.135,34.67,34.97,34.97,515859,0.0,1.0
2024-07-16,34.15,35.065,34.06,34.9,34.9,643736,0.0,1.0
2024-07-15,34.23,34.3,33.79,33.99,33.99,706875,0.0,1.0
2024-07-12,34.49,34.49,33.9733,34.12,34.12,637297,0.0,1.0
2024-07-11,33.62,34.38,33.42,34.35,34.35,816988,0.0,1.0
2024-07-10,33.2,33.38,32.86,33.16,33.16,635586,0.0,1.0
2024-07-09,33.94,33.94,33.11,33.2,33.2,686841,0.0,1.0
2024-07-08,34.08,34.28,33.81,33.93,33.93,718048,0.0,1.0
2024-07-05,34.3,34.33,33.72,34.07,34.07,1199962,0.0,1.0
2024-07-03,34.45,34.74,34.36,34.56,34.56,248996,0.0,1.0
2024-07-02,34.81,34.92,34.19,34.45,34.45,660641,0.0,1.0
2024-07-01,34.54,34.91,34.43,34.7,34.7,482692,0.0,1.0
2024-06-28,34.79,35.03,34.395,34.56,34.56,1030432,0.0,1.0
2024-06-27,34.07,34.7,33.925,34.64,34.64,528810,0.0,1.0
2024-06-26,33.99,34.11,33.68,33.92,33.92,551580,0.0,1.0
2024-06-25,34.35,34.35,33.89,34.09,34.09,536528,0.0,1.0
2024-06-24,34.12,34.7,34.06,34.3,34.3,615940,0.0,1.0
2024-06-21,33.81,34.42,33.81,34.37,34.37,1952048,0.0,1.0
2024-06-20,33.0,33.79,32.835,33.73,33.73,748360,0.0,1.0
2024-06-18,33.25,33.38,32.84,32.93,32.93,521285,0.0,1.0
2024-06-17,33.28,33.43,32.795,33.32,33.32,483199,0.0,1.0
2024-06-14,33.27,33.51,32.84,33.44,33.44,737825,0.0,1.0
2024-06-13,33.68,33.845,33.36,33.48,33.48,843576,0.0,1.0
2024-06-12,33.7,34.0,33.47,33.71,33.71,819529,0.0,1.0
2024-06-11,32.66,33.32,32.4351,33.27,33.27,662997,0.0,1.0
2024-06-10,32.0,32.83,31.86,32.78,32.78,691345,0.0,1.0
2024-06-07,32.03,32.41,31.85,32.31,32.31,538312,0.0,1.0
2024-06-06,32.18,32.25,31.955,32.16,32.16,636627,0.0,1.0
2024-06-05,32.22,32.29,31.58,32.14,32.14,733617,0.0,1.0
2024-06-04,31.98,32.24,31.62,31.9,31.9,660133,0.0,1.0
2024-06-03,33.05,33.06,32.08,32.16,32.16,801436,0.0,1.0
2024-05-31,31.71,32.695,31.48,32.61,32.61,1788002,0.0,1.0
2024-05-30,31.67,31.88,31.54,31.67,31.67,924147,0.0,1.0
2024-05-29,31.53,31.93,31.51,31.76,31.76,754703,0.0,1.0
2024-05-28,32.15,32.28,31.69,31.87,31.87,762731,0.0,1.0
2024-05-24,32.66,32.74,31.66,31.85,31.85,964034,0.0,1.0
2024-05-23,33.18,33.18,32.365,32.66,32.66,886946,0.0,1.0
2024-05-22,32.9,33.295,32.845,33.0,33.0,690849,0.0,1.0
2024-05-21,33.31,33.5,32.695,32.88,32.88,644624,0.0,1.0
2024-05-20,33.53,33.56,33.25,33.53,33.53,601980,0.0,1.0
2024-05-17,33.95,34.1,33.55,33.57,33.57,478628,0.0,1.0
2024-05-16,34.26,34.26,33.9,33.96,33.96,569150,0.0,1.0
2024-05-15,34.33,34.48,33.91,34.28,34.28,808735,0.0,1.0
2024-05-14,34.41,34.46,33.52,33.93,33.93,1116329,0.0,1.0
2024-05-13,33.11,34.195,32.97,34.14,34.14,1166076,0.0,1.0
2024-05-10,33.07,33.465,32.69,33.02,33.02,775816,0.0,1.0
2024-05-09,32.75,33.31,32.63,32.88,32.88,1178258,0.0,1.0
2024-05-08,32.76,33.09,32.495,32.7,32.7,1748520,0.0,1.0
2024-05-07,32.07,34.31,31.61,32.72,32.72,4526771,0.0,1.0
2024-05-06,37.63,38.45,37.63,37.96,37.96,1826726,0.0,1.0
2024-05-03,37.76,37.95,36.87,37.24,37.24,869774,0.0,1.0
2024-05-02,37.8,37.8,37.16,37.26,37.26,899494,0.0,1.0
2024-05-01,37.03,38.2,37.0186,37.37,37.37,861473,0.0,1.0
2024-04-30,37.6,38.04,37.09,37.1,37.1,1346778,0.0,1.0
2024-04-29,37.78,38.07,37.69,37.86,37.86,820335,0.0,1.0
2024-04-26,37.62,38.28,37.53,37.67,37.67,886257,0.0,1.0
2024-04-25,36.51,37.65,36.51,37.61,37.61,1010802,0.0,1.0
2024-04-24,36.95,37.22,36.7,37.15,37.15,933829,0.0,1.0
2024-04-23,36.73,37.37,36.7,36.8,36.8,681847,0.0,1.0
2024-04-22,36.64,36.94,36.435,36.7,36.7,880011,0.0,1.0
2024-04-19,36.65,36.91,36.18,36.33,36.33,928285,0.0,1.0
2024-04-18,36.51,37.02,36.2,36.75,36.75,784097,0.0,1.0
2024-04-17,36.43,36.585,36.23,36.31,36.31,1134745,0.0,1.0
2024-04-16,35.66,36.5,35.36,36.25,36.25,830704,0.0,1.0
2024-04-15,36.25,36.51,35.685,35.77,35.77,981427,0.0,1.0
2024-04-12,37.25,37.3,36.23,36.31,36.31,977771,0.0,1.0
2024-04-11,37.98,38.32,37.48,37.5,37.5,865805,0.0,1.0
2024-04-10,37.87,38.22,37.56,37.75,37.75,676101,0.0,1.0
2024-04-09,38.38,38.82,38.36,38.59,38.59,598867,0.0,1.0
2024-04-08,38.45,38.515,38.045,38.21,38.21,585087,0.0,1.0
2024-04-05,38.27,38.65,38.13,38.21,38.21,938033,0.0,1.0
2024-04-04,38.76,38.99,38.44,38.62,38.62,702403,0.0,1.0
2024-04-03,37.94,38.61,37.94,38.44,38.44,807682,0.0,1.0
2024-04-02,37.95,38.38,37.68,38.18,38.18,729941,0.0,1.0
2024-04-01,38.81,39.12,38.2,38.41,38.41,825192,0.0,1.0
2024-03-28,39.42,39.7,38.625,38.67,38.67,1199815,0.0,1.0
2024-03-27,39.0,39.44,38.73,39.37,39.37,1168777,0.0,1.0
2024-03-26,38.46,38.8,38.425,38.71,38.71,972024,0.0,1.0
2024-03-25,37.92,38.58,37.92,38.24,38.24,932874,0.0,1.0
2024-03-22,38.25,38.36,37.98,38.08,38.08,648058,0.0,1.0
2024-03-21,38.43,38.97,38.03,38.24,38.24,825976,0.0,1.0
2024-03-20,38.15,38.155,37.35,38.1,38.1,1034253,0.0,1.0
2024-03-19,37.51,38.22,37.51,38.17,38.17,833223,0.0,1.0
2024-03-18,38.01,38.29,37.61,37.68,37.68,1309090,0.0,1.0
2024-03-15,37.46,38.33,37.46,37.94,37.94,5145683,0.0,1.0
2024-03-14,38.08,38.08,37.53,37.75,37.75,1194161,0.0,1.0
2024-03-13,38.04,38.3236,37.93,38.06,38.06,898536,0.0,1.0
2024-03-12,38.1,38.425,37.8706,38.1,38.1,805949,0.0,1.0
2024-03-11,37.83,38.48,37.83,38.02,38.02,899753,0.0,1.0
2024-03-08,38.63,38.82,37.925,38.06,38.06,893397,0.0,1.0
2024-03-07,38.99,39.19,38.22,38.41,38.41,1132648,0.0,1.0
2024-03-06,38.28,38.89,38.01,38.82,38.82,1371884,0.0,1.0
2024-03-05,37.7,37.9,37.235,37.71,37.71,1168734,0.0,1.0
2024-03-04,38.48,38.74,37.93,38.06,38.06,1358453,0.0,1.0
2024-03-01,37.45,38.62,37.27,38.56,38.56,1124166,0.0,1.0
2024-02-29,37.11,37.75,37.11,37.62,37.62,1862537,0.0,1.0
2024-02-28,37.0,37.48,36.84,36.89,36.89,1627765,0.0,1.0
2024-02-27,37.59,37.945,37.21,37.27,37.27,1274756,0.0,1.0
2024-02-26,37.81,38.43,37.59,37.6,37.6,913107,0.0,1.0
2024-02-23,39.0,39.0,37.73,37.81,37.81,1165871,0.0,1.0
2024-02-22,38.29,38.535,37.5397,38.41,38.41,1273375,0.0,1.0
2024-02-21,37.44,38.1299,37.44,37.69,37.69,978931,0.0,1.0
2024-02-20,37.25,38.14,37.215,38.13,38.13,1464971,0.0,1.0
2024-02-16,37.8,38.3,37.35,37.39,37.39,1535690,0.0,1.0
2024-02-15,38.83,38.93,37.79,37.96,37.96,2855721,0.0,1.0
2024-02-14,38.27,39.085,37.75,38.82,38.82,2676982,0.0,1.0
2024-02-13,38.99,39.12,36.72,38.22,38.22,7190652,0.0,1.0
2024-02-12,49.0,49.44,48.52,48.79,48.79,1479346,0.0,1.0
2024-02-09,48.98,49.2979,48.81,48.99,48.99,740899,0.0,1.0
2024-02-08,48.11,49.15,48.11,48.67,48.67,526824,0.0,1.0
2024-02-07,47.71,48.4,47.385,48.24,48.24,726946,0.0,1.0
2024-02-06,47.67,47.95,47.25,47.39,47.39,463715,0.0,1.0
2024-02-05,47.86,47.97,47.22,47.54,47.54,448802,0.0,1.0
2024-02-02,47.7,48.23,47.275,47.93,47.93,524632,0.0,1.0
2024-02-01,46.27,47.84,46.21,47.71,47.71,859915,0.0,1.0
2024-01-31,47.27,47.27,46.095,46.18,46.18,760536,0.0,1.0
2024-01-30,47.54,47.99,47.19,47.54,47.54,521397,0.0,1.0
2024-01-29,47.63,48.03,47.29,47.63,47.63,753925,0.0,1.0
2024-01-26,47.73,48.14,47.5,47.62,47.62,1372403,0.0,1.0
2024-01-25,48.32,48.45,47.4,47.76,47.76,561561,0.0,1.0
2024-01-24,48.19,48.34,47.585,47.85,47.85,538563,0.0,1.0
