,TEX_Open,TEX_High,TEX_Low,TEX_Close,TEX_Adj Close,TEX_Volume,TEX_Dividend Amount,TEX_Split Coefficient
2024-10-07,51.09,52.16,50.76,52.15,52.15,713385,0.0,1.0
2024-10-04,52.49,52.49,50.84,51.51,51.51,622625,0.0,1.0
2024-10-03,51.04,51.455,50.37,50.89,50.89,511332,0.0,1.0
2024-10-02,51.76,52.37,50.89,51.61,51.61,774549,0.0,1.0
2024-10-01,52.34,52.79,51.25,51.76,51.76,533547,0.0,1.0
2024-09-30,52.28,53.27,51.92,52.91,52.91,553984,0.0,1.0
2024-09-27,52.77,53.79,52.14,52.74,52.74,826296,0.0,1.0
2024-09-26,53.41,53.7,51.8,52.07,52.07,1248840,0.0,1.0
2024-09-25,53.41,53.67,51.59,51.82,51.82,773619,0.0,1.0
2024-09-24,53.22,54.18,52.8,53.28,53.28,864277,0.0,1.0
2024-09-23,51.9,52.51,51.21,52.49,52.49,961751,0.0,1.0
2024-09-20,53.21,53.22,51.6,51.86,51.86,1776694,0.0,1.0
2024-09-19,54.8,55.13,52.11,53.83,53.83,1885252,0.0,1.0
2024-09-18,55.59,58.22,54.805,55.85,55.85,1664072,0.0,1.0
2024-09-17,54.01,55.49,53.865,55.49,55.49,932317,0.0,1.0
2024-09-16,51.71,53.41,51.71,53.13,53.13,822365,0.0,1.0
2024-09-13,51.65,52.13,51.1,51.42,51.42,460315,0.0,1.0
2024-09-12,50.6,51.1,49.72,50.7,50.7,566566,0.0,1.0
2024-09-11,49.73,50.55,48.11,50.21,50.21,680050,0.0,1.0
2024-09-10,50.61,51.03,49.58,49.91,49.91,656058,0.0,1.0
2024-09-09,50.07,51.46,49.93,50.47,50.47,818540,0.0,1.0
2024-09-06,50.47,51.29,49.43,49.81,49.81,870737,0.0,1.0
2024-09-05,51.76,52.07,50.16,50.45,50.45,777683,0.0,1.0
2024-09-04,52.74,53.47,51.42,51.88,51.88,974228,0.0,1.0
2024-09-03,55.87,56.07,52.995,53.11,53.11,651443,0.0,1.0
2024-08-30,56.45,56.87,55.16,56.77,56.77,491484,0.0,1.0
2024-08-29,56.41,56.96,55.16,56.29,56.29,440140,0.0,1.0
2024-08-28,54.99,55.91,54.85,55.41,55.41,533500,0.0,1.0
2024-08-27,55.7,55.9,54.345,55.09,55.09,434889,0.0,1.0
2024-08-26,56.06,56.84,55.6,56.34,56.34,653132,0.0,1.0
2024-08-23,54.0,56.14,53.995,55.54,55.54,603073,0.0,1.0
2024-08-22,54.04,54.46,53.53,53.66,53.66,428075,0.0,1.0
2024-08-21,54.16,54.67,53.7003,54.2,54.2,717931,0.0,1.0
2024-08-20,54.43,54.62,53.54,53.72,53.72,610458,0.0,1.0
2024-08-19,54.4,55.13,54.06,54.62,54.62,528520,0.0,1.0
2024-08-16,54.47,55.44,54.02,54.15,54.15,513474,0.0,1.0
2024-08-15,54.86,55.5,53.76,54.54,54.54,730050,0.0,1.0
2024-08-14,53.54,53.54,52.35,52.69,52.69,485615,0.0,1.0
2024-08-13,53.74,54.04,52.51,53.29,53.29,880219,0.0,1.0
2024-08-12,54.36,54.36,53.0,53.23,53.23,493955,0.0,1.0
2024-08-09,54.82,54.82,53.42,54.04,54.04,512644,0.17,1.0
2024-08-08,54.32,55.34,53.51,55.04,54.8673971591957,507803,0.0,1.0
2024-08-07,56.22,56.64,53.1301,53.33,53.1627596384431,713171,0.0,1.0
2024-08-06,54.49,56.0,53.845,55.09,54.9172403615569,954825,0.0,1.0
2024-08-05,50.86,54.23,50.13,54.07,53.9004390333887,1880178,0.0,1.0
2024-08-02,56.29,56.6,54.22,54.39,54.2194355285003,1620522,0.0,1.0
2024-08-01,63.27,63.81,57.95,58.73,58.5458254934514,1189331,0.0,1.0
2024-07-31,62.65,64.47,59.79,63.26,63.061619627375,2440702,0.0,1.0
2024-07-30,66.33,67.08,64.921,65.7,65.493967902601,1525489,0.0,1.0
2024-07-29,66.95,67.15,65.56,66.26,66.0522117690463,941654,0.0,1.0
2024-07-26,67.0,68.0849,66.455,66.76,66.5506437926582,1437480,0.0,1.0
2024-07-25,63.22,67.4,63.21,65.69,65.4839992621287,1448372,0.0,1.0
2024-07-24,65.5,66.48,62.94,63.08,62.8821840988747,1371403,0.0,1.0
2024-07-23,62.65,66.85,62.2,65.82,65.6135915882678,2486129,0.0,1.0
2024-07-22,58.1,63.52,57.66,62.65,62.4535325585685,2776376,0.0,1.0
2024-07-19,57.57,57.57,56.11,56.46,56.2829441062535,838756,0.0,1.0
2024-07-18,58.74,61.25,57.63,57.71,57.5290241652832,1164348,0.0,1.0
2024-07-17,59.83,60.64,58.78,59.19,59.0043829551743,1050867,0.0,1.0
2024-07-16,56.02,60.99,55.74,60.43,60.2404943737318,1915550,0.0,1.0
2024-07-15,55.05,56.61,53.9,55.69,55.5153587898912,1618282,0.0,1.0
2024-07-12,55.36,55.615,54.48,54.62,54.4487142593617,870014,0.0,1.0
2024-07-11,52.83,54.66,52.83,54.31,54.1396864047224,959978,0.0,1.0
2024-07-10,51.9,52.45,51.36,52.11,51.9465855008301,956986,0.0,1.0
2024-07-09,52.85,53.05,51.65,51.68,51.5179339605239,732675,0.0,1.0
2024-07-08,53.97,54.68,53.09,53.19,53.0231986718318,604109,0.0,1.0
2024-07-05,54.0,54.4,53.115,53.47,53.3023206050544,614740,0.0,1.0
2024-07-03,53.69,54.52,53.3,54.2,54.0300313595278,408449,0.0,1.0
2024-07-02,53.5,54.15,53.31,53.38,53.2126028408043,669530,0.0,1.0
2024-07-01,55.0,55.31,53.27,53.58,53.411975650249,862450,0.0,1.0
2024-06-28,53.59,54.97,53.355,54.84,54.668024349751,3060602,0.0,1.0
2024-06-27,52.68,53.6,52.56,53.18,53.0132300313595,637445,0.0,1.0
2024-06-26,53.32,53.9,52.64,53.22,53.0531045932485,1153819,0.0,1.0
2024-06-25,53.6,54.14,53.2801,53.72,53.5515366168604,529707,0.0,1.0
2024-06-24,53.83,55.445,53.73,53.93,53.7608780667773,770599,0.0,1.0
2024-06-21,53.09,53.87,52.345,53.5,53.3322265264711,1226000,0.0,1.0
2024-06-20,53.23,54.1,52.88,53.13,52.9633868289983,874450,0.0,1.0
2024-06-18,53.85,54.7,53.02,53.44,53.2724146836377,856435,0.0,1.0
2024-06-17,52.72,53.83,52.01,53.76,53.5914111787493,809800,0.0,1.0
2024-06-14,53.71,53.735,51.65,52.89,52.7241394576646,1218447,0.0,1.0
2024-06-13,54.86,55.09,54.0,54.76,54.5882752259731,692848,0.0,1.0
2024-06-12,57.49,58.55,55.17,55.24,55.0667699686405,761347,0.0,1.0
2024-06-11,55.96,56.46,55.15,55.75,55.5751706327246,712103,0.0,1.0
2024-06-10,56.0,57.515,55.965,56.52,56.3427559490869,378868,0.0,1.0
2024-06-07,56.58,57.38,56.24,56.66,56.4823169156982,412515,0.0,1.0
2024-06-06,57.02,57.78,56.64,57.05,56.8710938941155,592378,0.17,1.0
2024-06-05,56.42,58.1,55.8,57.47,57.1195694878507,807035,0.0,1.0
2024-06-04,56.7,57.295,55.58,56.04,55.6982890916853,1100123,0.0,1.0
2024-06-03,60.27,60.4,55.655,57.29,56.9406670603613,1400698,0.0,1.0
2024-05-31,59.71,59.81,58.4,59.67,59.3061547127206,759579,0.0,1.0
2024-05-30,58.46,60.04,58.24,59.28,58.9185327864936,705854,0.0,1.0
2024-05-29,59.1,59.37,57.65,58.15,57.7954231028105,718406,0.0,1.0
2024-05-28,61.19,61.44,59.57,59.84,59.4751181164605,625725,0.0,1.0
2024-05-24,60.94,61.21,60.28,60.97,60.5982278001437,477441,0.0,1.0
2024-05-23,62.2,62.2,59.92,60.53,60.1609107551697,608310,0.0,1.0
2024-05-22,61.74,62.26,61.4,61.86,61.482800913841,352239,0.0,1.0
2024-05-21,61.82,62.23,61.38,62.15,61.7710326025739,351121,0.0,1.0
2024-05-20,61.11,62.0,60.615,61.95,61.5722521275857,373489,0.0,1.0
2024-05-17,60.38,61.35,60.12,61.16,60.7870692513824,466155,0.0,1.0
2024-05-16,62.56,62.56,60.26,60.33,59.9621302801815,591524,0.0,1.0
2024-05-15,64.5,64.5,62.85,63.08,62.6953618112689,806397,0.0,1.0
2024-05-14,62.89,63.805,62.645,63.43,63.0432276424982,554841,0.0,1.0
2024-05-13,62.54,63.045,61.85,62.01,61.6318862700821,481004,0.0,1.0
2024-05-10,61.38,62.37,61.24,62.37,61.9896911250609,522593,0.0,1.0
2024-05-09,59.71,61.06,58.97,61.01,60.6379838951413,448258,0.0,1.0
2024-05-08,59.77,60.24,59.385,59.43,59.0676181427348,809258,0.0,1.0
2024-05-07,59.93,60.86,59.75,60.49,60.1211546601721,786706,0.0,1.0
2024-05-06,59.23,59.91,58.67,59.7,59.3359717839688,738735,0.0,1.0
2024-05-03,58.3,59.27,57.45,58.35,57.9942035777986,610597,0.0,1.0
2024-05-02,56.0,57.47,55.25,57.46,57.1096304641013,776150,0.0,1.0
