,TSN_Open,TSN_High,TSN_Low,TSN_Close,TSN_Adj Close,TSN_Volume,TSN_Dividend Amount,TSN_Split Coefficient
2024-10-07,58.47,58.5,57.9,58.23,58.23,1276346,0.0,1.0
2024-10-04,58.09,58.71,58.09,58.55,58.55,1040013,0.0,1.0
2024-10-03,58.93,59.3,57.82,58.07,58.07,1612430,0.0,1.0
2024-10-02,59.43,59.95,58.93,59.21,59.21,1754071,0.0,1.0
2024-10-01,59.34,60.38,59.26,59.76,59.76,1890647,0.0,1.0
2024-09-30,59.89,60.0,59.22,59.56,59.56,1582438,0.0,1.0
2024-09-27,59.5,60.2,59.37,59.69,59.69,1759561,0.0,1.0
2024-09-26,57.95,59.42,57.81,59.32,59.32,1957067,0.0,1.0
2024-09-25,58.65,59.2,57.6,57.96,57.96,3450885,0.0,1.0
2024-09-24,60.42,61.15,60.22,60.52,60.52,1707762,0.0,1.0
2024-09-23,59.62,60.43,59.53,60.42,60.42,1953980,0.0,1.0
2024-09-20,61.88,61.88,59.45,60.14,60.14,6068278,0.0,1.0
2024-09-19,61.61,61.88,61.18,61.67,61.67,1532907,0.0,1.0
2024-09-18,61.59,62.33,61.37,61.81,61.81,1399019,0.0,1.0
2024-09-17,61.8,62.565,61.58,61.8,61.8,1429044,0.0,1.0
2024-09-16,61.78,62.4,61.78,61.85,61.85,1421284,0.0,1.0
2024-09-13,61.64,62.12,60.86,61.4,61.4,2146521,0.0,1.0
2024-09-12,61.5,61.97,61.13,61.68,61.68,2149250,0.0,1.0
2024-09-11,62.87,63.27,61.3,61.65,61.65,2287419,0.0,1.0
2024-09-10,65.78,65.86,63.14,63.18,63.18,2414733,0.0,1.0
2024-09-09,66.17,66.88,65.715,65.78,65.78,2036966,0.0,1.0
2024-09-06,65.23,66.27,65.23,65.87,65.87,3443335,0.0,1.0
2024-09-05,66.0,66.14,65.0,65.13,65.13,2798613,0.0,1.0
2024-09-04,64.69,65.96,64.67,65.72,65.72,1755142,0.0,1.0
2024-09-03,64.06,65.105,64.06,64.81,64.81,2584323,0.0,1.0
2024-08-30,63.94,64.42,63.75,64.31,64.31,2055758,0.49,1.0
2024-08-29,65.61,65.61,64.44,64.65,64.1611342592593,1371238,0.0,1.0
2024-08-28,63.94,65.71,63.81,65.69,65.1932700617284,3043653,0.0,1.0
2024-08-27,64.16,64.35,63.81,63.93,63.4465787037037,1557086,0.0,1.0
2024-08-26,63.63,64.32,63.5901,64.13,63.6450663580247,1950364,0.0,1.0
2024-08-23,63.24,63.51,62.78,63.46,62.9801327160494,2184449,0.0,1.0
2024-08-22,63.41,63.56,62.64,63.01,62.5335354938272,2412380,0.0,1.0
2024-08-21,62.5,63.34,62.35,63.31,62.8312669753087,2730821,0.0,1.0
2024-08-20,62.37,62.47,61.57,62.41,61.9380725308642,3590745,0.0,1.0
