,TXT_Open,TXT_High,TXT_Low,TXT_Close,TXT_Adj Close,TXT_Volume,TXT_Dividend Amount,TXT_Split Coefficient
2024-10-07,86.24,86.35,85.42,85.78,85.78,994235,0.0,1.0
2024-10-04,87.13,87.5,86.13,86.74,86.74,683445,0.0,1.0
2024-10-03,86.78,86.83,85.54,86.11,86.11,825075,0.0,1.0
2024-10-02,87.46,87.87,86.755,86.98,86.98,776662,0.0,1.0
2024-10-01,87.8,88.205,86.46,87.45,87.45,929211,0.0,1.0
2024-09-30,87.49,88.62,87.03,88.58,88.58,1094128,0.0,1.0
2024-09-27,87.0,87.87,86.8115,87.75,87.75,1203681,0.0,1.0
2024-09-26,86.28,87.05,85.82,86.56,86.56,1011334,0.0,1.0
2024-09-25,85.0,86.41,84.98,85.49,85.49,1199551,0.0,1.0
2024-09-24,87.09,87.45,85.8,86.68,86.68,1098656,0.0,1.0
2024-09-23,87.2,87.4399,86.45,86.89,86.89,953948,0.0,1.0
2024-09-20,88.58,88.62,87.3973,87.91,87.91,2529952,0.0,1.0
2024-09-19,89.02,89.3,88.35,88.94,88.94,1167267,0.0,1.0
2024-09-18,89.04,89.195,87.21,87.49,87.49,1299259,0.0,1.0
2024-09-17,88.5,89.37,88.0402,88.69,88.69,820276,0.0,1.0
2024-09-16,88.46,89.33,87.83,88.33,88.33,760583,0.0,1.0
2024-09-13,87.19,88.09,86.92,87.7,87.7,792322,0.02,1.0
2024-09-12,86.18,86.98,85.71,86.95,86.9301755585955,677994,0.0,1.0
2024-09-11,86.34,86.66,84.2,86.44,86.4202918376653,881901,0.0,1.0
2024-09-10,87.0,87.06,85.6,86.53,86.5102713178294,732808,0.0,1.0
2024-09-09,86.26,87.65,86.09,86.88,86.8601915184678,921092,0.0,1.0
2024-09-06,87.2,88.32,85.55,85.71,85.6904582763338,900955,0.0,1.0
2024-09-05,88.34,88.34,86.57,87.23,87.2101117191063,812380,0.0,1.0
2024-09-04,88.75,89.66,88.18,88.55,88.5298107615139,928223,0.0,1.0
2024-09-03,90.41,90.76,88.5,88.94,88.9197218422253,971850,0.0,1.0
2024-08-30,90.37,91.48,89.43,91.2,91.1792065663475,1057413,0.0,1.0
2024-08-29,90.75,91.11,89.8937,90.2,90.1794345645235,652613,0.0,1.0
2024-08-28,89.68,90.685,89.54,90.1,90.0794573643411,464051,0.0,1.0
2024-08-27,89.99,89.99,89.4,89.53,89.5095873233014,423744,0.0,1.0
2024-08-26,90.27,90.93,89.95,90.06,90.0394664842681,429333,0.0,1.0
2024-08-23,89.24,90.38,88.802,89.91,89.8895006839945,788717,0.0,1.0
2024-08-22,88.67,88.98,88.13,88.77,88.7497606019152,518663,0.0,1.0
2024-08-21,88.34,88.68,87.79,88.64,88.6197902416781,814691,0.0,1.0
2024-08-20,88.39,88.61,87.5,87.94,87.9199498404013,579550,0.0,1.0
2024-08-19,88.0,88.64,87.61,88.62,88.5997948016416,661345,0.0,1.0
2024-08-16,87.85,88.1,87.535,87.94,87.9199498404013,683360,0.0,1.0
2024-08-15,87.26,88.11,86.55,87.81,87.7899794801642,794428,0.0,1.0
2024-08-14,86.25,86.88,85.63,85.99,85.9703944368445,566383,0.0,1.0
2024-08-13,85.36,86.235,84.54,86.2,86.1803465572275,662119,0.0,1.0
2024-08-12,85.27,85.605,84.45,84.83,84.8106589147287,1009292,0.0,1.0
2024-08-09,84.94,85.42,84.44,85.13,85.1105905152759,796142,0.0,1.0
2024-08-08,83.29,85.18,83.25,84.78,84.7606703146375,1610656,0.0,1.0
2024-08-07,85.45,85.67,83.36,83.46,83.4409712722298,1107108,0.0,1.0
2024-08-06,84.99,86.19,84.355,84.57,84.5507181942544,923930,0.0,1.0
2024-08-05,85.16,85.825,83.52,84.88,84.8606475148199,1166453,0.0,1.0
2024-08-02,89.43,89.43,86.67,87.23,87.2101117191063,1126988,0.0,1.0
2024-08-01,92.84,93.66,89.78,90.6,90.5793433652531,995696,0.0,1.0
2024-07-31,92.6,93.98,92.03,92.9,92.8788189694482,818966,0.0,1.0
2024-07-30,92.14,92.96,91.73,92.06,92.0390104879161,591818,0.0,1.0
2024-07-29,92.11,92.42,91.11,91.51,91.4891358869129,772843,0.0,1.0
2024-07-26,92.12,92.75,91.62,92.06,92.0390104879161,743273,0.0,1.0
2024-07-25,90.08,92.3042,90.08,91.29,91.2691860465116,896465,0.0,1.0
