,UTHR_Open,UTHR_High,UTHR_Low,UTHR_Close,UTHR_Adj Close,UTHR_Volume,UTHR_Dividend Amount,UTHR_Split Coefficient
2024-10-07,355.54,358.97,346.31,349.85,349.85,361662,0.0,1.0
2024-10-04,350.07,355.95,350.07,355.93,355.93,153736,0.0,1.0
2024-10-03,352.35,357.31,348.625,350.07,350.07,229073,0.0,1.0
2024-10-02,354.04,354.04,343.23,352.47,352.47,258363,0.0,1.0
2024-10-01,359.34,359.34,354.245,357.83,357.83,202414,0.0,1.0
2024-09-30,358.62,360.63,352.93,358.35,358.35,271650,0.0,1.0
2024-09-27,359.82,360.79,355.05,358.53,358.53,254729,0.0,1.0
2024-09-26,359.85,362.52,356.79,357.72,357.72,269733,0.0,1.0
2024-09-25,358.4,361.88,355.13,359.51,359.51,430759,0.0,1.0
2024-09-24,355.59,358.6513,347.0,357.87,357.87,681492,0.0,1.0
2024-09-23,354.04,360.0,354.0,355.59,355.59,410043,0.0,1.0
2024-09-20,349.11,354.7,349.11,353.0,353.0,900847,0.0,1.0
2024-09-19,345.46,353.04,344.47,351.33,351.33,454427,0.0,1.0
2024-09-18,344.57,347.5722,342.03,342.59,342.59,288134,0.0,1.0
2024-09-17,341.92,353.6299,341.92,345.02,345.02,427236,0.0,1.0
2024-09-16,339.12,345.465,338.405,344.98,344.98,393757,0.0,1.0
2024-09-13,341.69,347.2909,337.52,339.12,339.12,455672,0.0,1.0
2024-09-12,345.77,345.77,340.65,341.11,341.11,384818,0.0,1.0
2024-09-11,343.0,347.21,340.0,346.19,346.19,417593,0.0,1.0
2024-09-10,348.1,348.1,340.46,342.46,342.46,358148,0.0,1.0
2024-09-09,345.41,349.35,344.02,348.71,348.71,352325,0.0,1.0
2024-09-06,349.76,351.64,345.33,345.63,345.63,275774,0.0,1.0
2024-09-05,351.29,353.005,347.62,350.01,350.01,351812,0.0,1.0
2024-09-04,352.65,354.95,349.57,353.37,353.37,370118,0.0,1.0
2024-09-03,362.37,366.08,352.06,352.4,352.4,509068,0.0,1.0
2024-08-30,360.22,364.45,359.29,363.55,363.55,464834,0.0,1.0
2024-08-29,359.84,365.48,358.45,360.22,360.22,304283,0.0,1.0
2024-08-28,353.0,365.98,351.14,359.84,359.84,455687,0.0,1.0
