,VAR_Open,VAR_High,VAR_Low,VAR_Close,VAR_Adj Close,VAR_Volume,VAR_Dividend Amount,VAR_Split Coefficient
2021-04-16,177.07,177.07,177.07,177.07,177.07,0,0.0,1.0
2021-04-15,177.07,177.07,177.07,177.07,177.07,0,0.0,1.0
2021-04-14,177.06,177.2,177.03,177.07,177.07,536276,0.0,1.0
2021-04-13,177.1,177.26,177.1,177.11,177.11,319875,0.0,1.0
2021-04-12,177.25,177.3,176.99,177.12,177.12,713531,0.0,1.0
2021-04-09,177.36,177.36,177.21,177.21,177.21,457014,0.0,1.0
2021-04-08,177.24,177.36,177.2,177.22,177.22,633041,0.0,1.0
2021-04-07,177.32,177.38,177.195,177.29,177.29,1058974,0.0,1.0
2021-04-06,176.9,176.99,176.73,176.98,176.98,420893,0.0,1.0
2021-04-05,176.86,176.92,176.68,176.85,176.85,1152919,0.0,1.0
2021-04-01,176.58,176.81,176.46,176.8,176.8,727302,0.0,1.0
2021-03-31,176.64,176.95,176.53,176.53,176.53,1273401,0.0,1.0
2021-03-30,176.56,176.93,176.41,176.93,176.93,932154,0.0,1.0
2021-03-29,176.6,176.74,176.44,176.7,176.7,1051246,0.0,1.0
2021-03-26,176.65,176.7,176.42,176.6,176.6,466691,0.0,1.0
2021-03-25,176.57,176.8,176.32,176.59,176.59,776562,0.0,1.0
2021-03-24,176.29,176.57,176.26,176.44,176.44,753494,0.0,1.0
2021-03-23,176.32,176.4,176.18,176.23,176.23,562915,0.0,1.0
2021-03-22,176.36,176.65,176.15,176.3,176.3,869292,0.0,1.0
2021-03-19,176.55,176.6,176.25,176.45,176.45,1024291,0.0,1.0
2021-03-18,176.12,176.65,176.0,176.55,176.55,849108,0.0,1.0
2021-03-17,176.29,176.43,176.11,176.11,176.11,674970,0.0,1.0
2021-03-16,176.21,176.4,176.19,176.2,176.2,670979,0.0,1.0
2021-03-15,176.3,176.5,176.29,176.32,176.32,863806,0.0,1.0
2021-03-12,176.21,176.44,176.16,176.22,176.22,478873,0.0,1.0
2021-03-11,176.05,176.47,175.99,176.3,176.3,750964,0.0,1.0
2021-03-10,175.97,176.2598,175.895,176.01,176.01,753175,0.0,1.0
2021-03-09,175.82,176.1,175.8,175.81,175.81,526387,0.0,1.0
2021-03-08,175.61,175.9,175.575,175.81,175.81,993405,0.0,1.0
2021-03-05,175.9,175.99,175.4,175.85,175.85,769594,0.0,1.0
2021-03-04,175.9,176.04,175.55,175.7,175.7,1323925,0.0,1.0
2021-03-03,175.86,176.15,175.85,175.96,175.96,604306,0.0,1.0
2021-03-02,175.76,176.18,175.76,176.06,176.06,627689,0.0,1.0
2021-03-01,175.54,175.95,175.3,175.91,175.91,1127547,0.0,1.0
2021-02-26,175.72,176.0,174.89,175.27,175.27,1213853,0.0,1.0
2021-02-25,175.8,176.16,175.32,175.75,175.75,669186,0.0,1.0
2021-02-24,175.75,175.91,175.71,175.8,175.8,618763,0.0,1.0
2021-02-23,176.19,176.2,175.72,175.73,175.73,693267,0.0,1.0
2021-02-22,176.15,176.35,175.895,176.03,176.03,771212,0.0,1.0
2021-02-19,176.3,176.35,176.22,176.35,176.35,793441,0.0,1.0
2021-02-18,176.28,176.3,175.95,176.15,176.15,790734,0.0,1.0
2021-02-17,176.05,176.38,176.01,176.18,176.18,403384,0.0,1.0
2021-02-16,176.5,176.5,176.08,176.15,176.15,701830,0.0,1.0
2021-02-12,176.32,176.35,176.01,176.12,176.12,322590,0.0,1.0
2021-02-11,176.32,176.33,175.95,176.09,176.09,984042,0.0,1.0
2021-02-10,176.36,176.41,176.06,176.21,176.21,430365,0.0,1.0
2021-02-09,176.31,176.43,176.19,176.21,176.21,215381,0.0,1.0
2021-02-08,176.38,176.44,176.2,176.36,176.36,383068,0.0,1.0
2021-02-05,176.42,176.42,176.07,176.4,176.4,383195,0.0,1.0
2021-02-04,175.9,176.315,175.85,176.07,176.07,663112,0.0,1.0
2021-02-03,176.03,176.2,175.76,175.76,175.76,771330,0.0,1.0
2021-02-02,176.24,176.35,176.01,176.02,176.02,472938,0.0,1.0
2021-02-01,175.84,176.39,175.57,176.09,176.09,832789,0.0,1.0
2021-01-29,175.15,175.705,175.0,175.57,175.57,1042028,0.0,1.0
2021-01-28,175.2,175.85,175.12,175.39,175.39,608298,0.0,1.0
2021-01-27,175.12,175.35,174.65,175.15,175.15,1765367,0.0,1.0
2021-01-26,175.32,175.45,175.07,175.35,175.35,551977,0.0,1.0
2021-01-25,175.5,175.6,175.25,175.33,175.33,577925,0.0,1.0
2021-01-22,175.65,175.71,175.47,175.47,175.47,665316,0.0,1.0
2021-01-21,175.7,175.92,175.6,175.6,175.6,670737,0.0,1.0
2021-01-20,175.73,175.94,175.65,175.86,175.86,514342,0.0,1.0
2021-01-19,175.65,175.77,175.47,175.75,175.75,541564,0.0,1.0
2021-01-15,175.27,175.745,175.25,175.47,175.47,678595,0.0,1.0
2021-01-14,175.55,175.6,175.15,175.27,175.27,496207,0.0,1.0
2021-01-13,175.61,175.7,175.28,175.48,175.48,883092,0.0,1.0
2021-01-12,175.56,175.8,175.31,175.68,175.68,679368,0.0,1.0
2021-01-11,175.7,175.77,175.54,175.75,175.75,694162,0.0,1.0
2021-01-08,175.69,175.9,175.5,175.7,175.7,765217,0.0,1.0
2021-01-07,175.39,175.79,175.39,175.78,175.78,894709,0.0,1.0
2021-01-06,175.1,175.53,175.1,175.49,175.49,718841,0.0,1.0
2021-01-05,175.1,175.5,174.95,175.44,175.44,999921,0.0,1.0
2021-01-04,175.27,175.64,174.84,175.13,175.13,1475298,0.0,1.0
2020-12-31,174.98,175.12,174.77,175.01,175.01,551379,0.0,1.0
2020-12-30,175.0,175.32,174.73,174.73,174.73,579547,0.0,1.0
2020-12-29,174.86,174.98,174.75,174.96,174.96,399014,0.0,1.0
2020-12-28,174.88,174.94,174.75,174.75,174.75,369355,0.0,1.0
2020-12-24,174.73,175.0,174.7,174.77,174.77,133114,0.0,1.0
2020-12-23,174.6,174.88,174.55,174.73,174.73,447295,0.0,1.0
2020-12-22,174.41,174.6,174.29,174.52,174.52,910415,0.0,1.0
2020-12-21,174.53,174.66,174.22,174.61,174.61,678972,0.0,1.0
2020-12-18,174.64,174.85,174.325,174.8,174.8,981620,0.0,1.0
2020-12-17,174.52,174.81,174.32,174.41,174.41,663556,0.0,1.0
2020-12-16,174.74,174.75,174.38,174.48,174.48,922128,0.0,1.0
2020-12-15,174.47,174.96,174.19,174.83,174.83,729130,0.0,1.0
2020-12-14,174.66,175.05,174.0206,174.13,174.13,1049119,0.0,1.0
2020-12-11,174.84,174.9,174.5,174.58,174.58,668084,0.0,1.0
2020-12-10,174.75,175.22,174.47,174.88,174.88,657451,0.0,1.0
2020-12-09,174.61,174.69,174.43,174.64,174.64,388081,0.0,1.0
2020-12-08,174.39,174.69,174.36,174.61,174.61,598960,0.0,1.0
2020-12-07,174.39,174.68,174.17,174.68,174.68,783378,0.0,1.0
2020-12-04,174.36,174.68,174.27,174.66,174.66,587290,0.0,1.0
2020-12-03,174.25,174.48,174.21,174.41,174.41,547723,0.0,1.0
2020-12-02,174.25,174.45,174.25,174.26,174.26,472535,0.0,1.0
2020-12-01,174.09,174.5,174.02,174.19,174.19,1344983,0.0,1.0
2020-11-30,174.13,174.22,173.77,173.98,173.98,1359755,0.0,1.0
2020-11-27,174.12,174.17,173.9,173.9,173.9,557184,0.0,1.0
2020-11-25,174.1,174.23,174.06,174.11,174.11,854403,0.0,1.0
2020-11-24,174.25,174.27,174.0,174.12,174.12,1729316,0.0,1.0
2020-11-23,173.66,173.67,173.46,173.5,173.5,630744,0.0,1.0
2020-11-20,173.65,173.655,173.33,173.51,173.51,746745,0.0,1.0
2020-11-19,173.4,173.72,173.4,173.68,173.68,581478,0.0,1.0
2020-11-18,173.62,173.69,173.18,173.26,173.26,1046922,0.0,1.0
2020-11-17,173.75,173.75,173.51,173.62,173.62,744144,0.0,1.0
2020-11-16,173.98,173.98,173.55,173.7,173.7,631156,0.0,1.0
2020-11-13,173.51,173.86,173.485,173.84,173.84,991453,0.0,1.0
2020-11-12,173.55,173.67,173.42,173.5,173.5,803453,0.0,1.0
2020-11-11,173.31,173.67,173.3,173.43,173.43,934773,0.0,1.0
2020-11-10,173.26,173.55,173.17,173.3,173.3,1026981,0.0,1.0
2020-11-09,174.31,174.6,172.93,172.98,172.98,1139234,0.0,1.0
2020-11-06,173.5,173.9,173.33,173.72,173.72,668437,0.0,1.0
2020-11-05,173.5,174.04,173.38,173.38,173.38,545319,0.0,1.0
2020-11-04,173.05,173.73,172.87,173.38,173.38,760600,0.0,1.0
2020-11-03,172.8,172.98,172.53,172.87,172.87,712902,0.0,1.0
2020-11-02,172.78,173.11,172.43,172.54,172.54,776536,0.0,1.0
2020-10-30,172.35,172.8,172.18,172.8,172.8,568715,0.0,1.0
2020-10-29,172.5,172.85,172.12,172.28,172.28,857912,0.0,1.0
2020-10-28,172.58,172.98,172.15,172.41,172.41,1379014,0.0,1.0
2020-10-27,172.36,173.08,172.3,172.96,172.96,850643,0.0,1.0
2020-10-26,172.49,173.08,172.26,172.46,172.46,964876,0.0,1.0
2020-10-23,173.29,173.5,172.35,172.56,172.56,1687810,0.0,1.0
2020-10-22,172.0,172.1,171.52,171.73,171.73,760272,0.0,1.0
2020-10-21,171.93,172.07,171.72,171.86,171.86,739307,0.0,1.0
