,VSTO_Open,VSTO_High,VSTO_Low,VSTO_Close,VSTO_Adj Close,VSTO_Volume,VSTO_Dividend Amount,VSTO_Split Coefficient
2024-10-07,43.755,44.06,43.59,44.01,44.01,4279016,0.0,1.0
2024-10-04,39.87,39.95,39.285,39.84,39.84,299519,0.0,1.0
2024-10-03,38.8,39.47,38.75,39.4,39.4,406840,0.0,1.0
2024-10-02,38.82,39.02,38.635,38.97,38.97,469499,0.0,1.0
2024-10-01,39.06,39.26,38.64,38.85,38.85,535991,0.0,1.0
2024-09-30,39.21,39.39,39.13,39.18,39.18,436755,0.0,1.0
2024-09-27,39.31,39.7,39.1,39.33,39.33,862437,0.0,1.0
2024-09-26,39.49,39.62,39.0,39.15,39.15,645350,0.0,1.0
2024-09-25,39.99,39.99,39.23,39.24,39.24,876844,0.0,1.0
2024-09-24,39.4,40.18,39.1,39.98,39.98,628765,0.0,1.0
2024-09-23,39.45,39.56,39.1,39.25,39.25,390211,0.0,1.0
2024-09-20,39.42,39.97,38.925,39.45,39.45,1997487,0.0,1.0
2024-09-19,39.46,40.1,39.39,39.42,39.42,910971,0.0,1.0
2024-09-18,40.05,40.08,39.5175,39.6,39.6,683175,0.0,1.0
2024-09-17,40.35,40.35,39.81,40.15,40.15,450475,0.0,1.0
2024-09-16,40.15,40.21,39.7,40.1,40.1,379164,0.0,1.0
2024-09-13,39.79,40.212454,39.73,39.87,39.87,693240,0.0,1.0
2024-09-12,39.7,40.15,39.5,40.15,40.15,519638,0.0,1.0
2024-09-11,38.42,39.379,38.15,39.25,39.25,537495,0.0,1.0
2024-09-10,38.75,38.95,38.35,38.77,38.77,714011,0.0,1.0
2024-09-09,38.97,38.97,37.45,37.55,37.55,775369,0.0,1.0
2024-09-06,38.71,38.92,38.251,38.29,38.29,353787,0.0,1.0
2024-09-05,39.11,39.11,38.675,38.84,38.84,316280,0.0,1.0
2024-09-04,39.06,39.13,38.64,38.99,38.99,439133,0.0,1.0
2024-09-03,39.76,39.98,39.025,39.05,39.05,699336,0.0,1.0
2024-08-30,39.54,40.09,39.5,40.04,40.04,629228,0.0,1.0
2024-08-29,39.41,39.91,39.25,39.53,39.53,301930,0.0,1.0
2024-08-28,39.45,39.71,39.04,39.15,39.15,342781,0.0,1.0
2024-08-27,39.07,39.7,39.06,39.56,39.56,265808,0.0,1.0
2024-08-26,39.82,39.82,39.18,39.28,39.28,374241,0.0,1.0
2024-08-23,39.23,39.88,39.145,39.6,39.6,322936,0.0,1.0
2024-08-22,39.16,39.41,38.8701,39.02,39.02,276871,0.0,1.0
2024-08-21,39.47,39.54,38.54,39.07,39.07,304841,0.0,1.0
2024-08-20,39.36,39.44,39.02,39.15,39.15,296830,0.0,1.0
2024-08-19,39.2,39.32,39.13,39.23,39.23,353666,0.0,1.0
2024-08-16,38.96,39.26,38.7083,39.2,39.2,456396,0.0,1.0
2024-08-15,39.26,39.29,38.77,39.01,39.01,435226,0.0,1.0
2024-08-14,38.5,38.85,38.2,38.66,38.66,463913,0.0,1.0
2024-08-13,38.53,38.64,38.185,38.53,38.53,420175,0.0,1.0
2024-08-12,38.36,38.515,38.0,38.29,38.29,510085,0.0,1.0
2024-08-09,38.47,38.85,38.33,38.65,38.65,1011504,0.0,1.0
2024-08-08,38.07,38.74,37.96,38.61,38.61,1643584,0.0,1.0
2024-08-07,38.56,39.04,37.47,37.96,37.96,923070,0.0,1.0
