,VVI_Open,VVI_High,VVI_Low,VVI_Close,VVI_Adj Close,VVI_Volume,VVI_Dividend Amount,VVI_Split Coefficient
2024-10-07,37.03,37.2,35.6,35.83,35.83,66021,0.0,1.0
2024-10-04,36.0,37.49,35.863,37.36,37.36,93987,0.0,1.0
2024-10-03,35.24,35.57,35.055,35.39,35.39,71326,0.0,1.0
2024-10-02,35.43,35.77,35.09,35.54,35.54,63896,0.0,1.0
2024-10-01,35.58,35.69,34.56,35.64,35.64,96508,0.0,1.0
2024-09-30,35.27,35.89,35.01,35.83,35.83,126136,0.0,1.0
2024-09-27,34.89,35.455,34.66,35.31,35.31,58173,0.0,1.0
2024-09-26,35.48,35.48,34.34,34.5,34.5,71062,0.0,1.0
2024-09-25,35.6,35.6,34.97,35.0,35.0,84627,0.0,1.0
2024-09-24,35.47,35.71,34.905,35.71,35.71,75219,0.0,1.0
2024-09-23,35.08,35.3,34.82,35.3,35.3,52871,0.0,1.0
2024-09-20,35.29,35.39,34.97,35.0,35.0,314014,0.0,1.0
2024-09-19,35.68,35.68,35.1,35.18,35.18,52994,0.0,1.0
2024-09-18,34.35,35.87,34.311,34.75,34.75,86751,0.0,1.0
2024-09-17,34.01,34.74,33.8,34.63,34.63,76759,0.0,1.0
2024-09-16,33.25,33.74,32.9,33.4,33.4,94340,0.0,1.0
2024-09-13,33.06,33.86,33.06,33.25,33.25,80916,0.0,1.0
2024-09-12,31.82,32.81,31.82,32.58,32.58,62354,0.0,1.0
2024-09-11,31.28,31.735,30.6,31.58,31.58,60383,0.0,1.0
2024-09-10,31.48,31.64,30.85,31.63,31.63,97414,0.0,1.0
2024-09-09,32.35,32.35,31.36,31.4,31.4,72344,0.0,1.0
2024-09-06,33.23,33.23,32.11,32.36,32.36,43876,0.0,1.0
2024-09-05,33.47,33.47,32.69,33.27,33.27,51736,0.0,1.0
2024-09-04,33.17,33.76,33.02,33.23,33.23,48197,0.0,1.0
2024-09-03,34.16,34.285,33.25,33.43,33.43,76056,0.0,1.0
2024-08-30,34.54,34.68,33.81,34.41,34.41,88269,0.0,1.0
2024-08-29,34.48,34.48,34.14,34.3,34.3,50707,0.0,1.0
2024-08-28,34.93,35.07,33.69,34.16,34.16,72258,0.0,1.0
2024-08-27,34.91,35.21,34.83,35.02,35.02,48611,0.0,1.0
2024-08-26,34.93,35.38,34.84,35.0,35.0,84942,0.0,1.0
2024-08-23,32.99,34.73,32.945,34.69,34.69,91155,0.0,1.0
2024-08-22,33.16,33.16,32.79,32.82,32.82,42909,0.0,1.0
2024-08-21,32.95,33.06,32.38,33.01,33.01,68564,0.0,1.0
2024-08-20,32.7,32.8,32.23,32.54,32.54,64714,0.0,1.0
2024-08-19,32.99,33.24,32.8,32.95,32.95,74082,0.0,1.0
2024-08-16,32.41,32.71,32.15,32.68,32.68,150666,0.0,1.0
2024-08-15,32.71,32.97,32.39,32.53,32.53,82807,0.0,1.0
2024-08-14,31.8,32.055,31.25,31.98,31.98,86238,0.0,1.0
2024-08-13,32.51,32.56,31.63,31.68,31.68,105349,0.0,1.0
2024-08-12,32.3,32.635,31.83,32.3,32.3,162248,0.0,1.0
2024-08-09,32.75,33.045,32.25,32.48,32.48,103665,0.0,1.0
2024-08-08,32.7,32.91,31.935,32.83,32.83,181803,0.0,1.0
2024-08-07,30.95,33.81,30.95,32.46,32.46,185385,0.0,1.0
2024-08-06,30.36,31.19,30.29,30.86,30.86,163743,0.0,1.0
2024-08-05,30.5,30.5,29.46,30.45,30.45,170797,0.0,1.0
2024-08-02,30.68,31.4283,30.24,31.0,31.0,87252,0.0,1.0
2024-08-01,33.0,33.1,30.8,31.98,31.98,195925,0.0,1.0
2024-07-31,33.34,34.04,32.63,33.25,33.25,124335,0.0,1.0
2024-07-30,34.19,34.445,32.915,32.98,32.98,94072,0.0,1.0
2024-07-29,34.72,35.07,34.1,34.19,34.19,76909,0.0,1.0
2024-07-26,34.67,34.89,33.35,34.7,34.7,323272,0.0,1.0
2024-07-25,37.88,38.085,34.03,34.29,34.29,553617,0.0,1.0
2024-07-24,39.53,39.98,37.58,37.73,37.73,100030,0.0,1.0
2024-07-23,38.51,40.27,38.51,39.69,39.69,107633,0.0,1.0
2024-07-22,38.74,38.91,37.82,38.87,38.87,73311,0.0,1.0
2024-07-19,38.03,38.68,37.72,38.38,38.38,70472,0.0,1.0
2024-07-18,38.35,39.25,37.77,38.02,38.02,54932,0.0,1.0
2024-07-17,38.34,39.895,38.34,38.73,38.73,95433,0.0,1.0
2024-07-16,36.72,39.06,36.72,38.8,38.8,126986,0.0,1.0
2024-07-15,35.17,36.66,34.97,36.23,36.23,78929,0.0,1.0
2024-07-12,35.13,35.13,34.52,34.76,34.76,220158,0.0,1.0
2024-07-11,34.09,34.61,33.5,34.5,34.5,91847,0.0,1.0
2024-07-10,33.25,33.25,32.78,33.12,33.12,56815,0.0,1.0
2024-07-09,33.75,33.96,32.975,33.01,33.01,44778,0.0,1.0
2024-07-08,33.49,34.15,33.49,33.99,33.99,58604,0.0,1.0
2024-07-05,33.69,34.0491,33.0,33.07,33.07,64307,0.0,1.0
2024-07-03,33.63,34.1,33.355,33.88,33.88,49790,0.0,1.0
2024-07-02,33.05,33.41,32.54,33.35,33.35,70543,0.0,1.0
2024-07-01,34.06,34.06,32.67,32.88,32.88,75226,0.0,1.0
2024-06-28,34.14,34.205,33.695,34.0,34.0,284135,0.0,1.0
2024-06-27,34.18,34.18,32.78,33.72,33.72,102879,0.0,1.0
2024-06-26,33.76,33.88,33.19,33.67,33.67,84789,0.0,1.0
2024-06-25,33.41,34.05,33.09,33.95,33.95,59925,0.0,1.0
2024-06-24,34.17,34.35,33.515,33.66,33.66,110695,0.0,1.0
2024-06-21,34.35,34.62,33.915,34.17,34.17,294116,0.0,1.0
2024-06-20,34.22,34.74,34.12,34.28,34.28,52949,0.0,1.0
2024-06-18,34.77,34.95,34.49,34.49,34.49,34036,0.0,1.0
2024-06-17,34.18,35.01,34.09,34.64,34.64,50320,0.0,1.0
2024-06-14,34.48,34.57,33.945,34.36,34.36,58054,0.0,1.0
2024-06-13,35.18,35.6,34.415,35.05,35.05,53840,0.0,1.0
2024-06-12,35.27,35.76,34.875,34.96,34.96,57810,0.0,1.0
2024-06-11,33.4,34.29,33.1301,34.26,34.26,85058,0.0,1.0
2024-06-10,33.63,33.71,33.15,33.65,33.65,69804,0.0,1.0
2024-06-07,33.92,34.48,33.92,34.03,34.03,63859,0.0,1.0
2024-06-06,34.4,34.73,34.29,34.36,34.36,72582,0.0,1.0
2024-06-05,33.93,34.6,33.12,34.52,34.52,39587,0.0,1.0
2024-06-04,34.09,34.09,33.54,33.61,33.61,32172,0.0,1.0
2024-06-03,35.49,35.49,34.29,34.3,34.3,45938,0.0,1.0
2024-05-31,34.21,35.02,34.175,34.95,34.95,59593,0.0,1.0
2024-05-30,34.08,34.51,33.87,33.98,33.98,45083,0.0,1.0
2024-05-29,33.06,34.08,32.97,33.74,33.74,91349,0.0,1.0
2024-05-28,34.31,34.37,33.38,33.59,33.59,54629,0.0,1.0
2024-05-24,34.43,34.5,33.85,34.05,34.05,48553,0.0,1.0
2024-05-23,35.42,35.5,33.92,34.24,34.24,79589,0.0,1.0
2024-05-22,35.36,35.505,34.94,35.25,35.25,57611,0.0,1.0
2024-05-21,35.09,35.45,34.81,35.45,35.45,45806,0.0,1.0
2024-05-20,35.08,35.87,35.08,35.19,35.19,51924,0.0,1.0
2024-05-17,35.69,35.9201,35.23,35.26,35.26,106181,0.0,1.0
2024-05-16,36.8,36.8,35.252,35.49,35.49,109959,0.0,1.0
2024-05-15,36.21,37.16,36.21,36.88,36.88,74034,0.0,1.0
2024-05-14,36.02,36.08,35.465,35.87,35.87,86879,0.0,1.0
2024-05-13,35.05,35.86,34.85,35.47,35.47,87754,0.0,1.0
2024-05-10,35.22,35.22,34.49,34.77,34.77,67674,0.0,1.0
2024-05-09,34.25,35.27,34.25,35.25,35.25,75478,0.0,1.0
2024-05-08,34.36,34.665,34.0,34.37,34.37,76098,0.0,1.0
2024-05-07,33.23,34.92,33.23,34.6,34.6,119520,0.0,1.0
2024-05-06,34.73,34.81,33.09,33.23,33.23,177779,0.0,1.0
2024-05-03,34.08,34.815,32.17,34.2,34.2,316197,0.0,1.0
2024-05-02,34.7,35.345,34.23,35.29,35.29,80802,0.0,1.0
2024-05-01,34.5,35.12,34.178,34.26,34.26,61257,0.0,1.0
2024-04-30,35.4,35.47,34.38,34.48,34.48,81567,0.0,1.0
2024-04-29,35.15,35.78,35.12,35.69,35.69,68047,0.0,1.0
2024-04-26,34.63,35.24,34.63,35.13,35.13,48367,0.0,1.0
2024-04-25,34.95,34.95,34.15,34.62,34.62,83246,0.0,1.0
2024-04-24,35.45,35.7698,35.09,35.46,35.46,60566,0.0,1.0
2024-04-23,35.33,36.11,34.49,35.67,35.67,79379,0.0,1.0
2024-04-22,34.97,35.64,34.675,35.26,35.26,119537,0.0,1.0
2024-04-19,33.86,34.83,33.86,34.72,34.72,98523,0.0,1.0
2024-04-18,34.42,34.855,33.84,33.9,33.9,92708,0.0,1.0
2024-04-17,35.31,35.3899,34.27,34.36,34.36,70135,0.0,1.0
2024-04-16,35.0,35.18,34.5714,34.85,34.85,43861,0.0,1.0
