,WDR_Open,WDR_High,WDR_Low,WDR_Close,WDR_Adj Close,WDR_Volume,WDR_Dividend Amount,WDR_Split Coefficient
2021-04-30,24.99,25.0,24.98,24.98,24.98,5534095,0.0,1.0
2021-04-29,25.0,25.0,24.99,24.99,24.99,220024,0.0,1.0
2021-04-28,24.99,25.0,24.99,24.99,24.99,196142,0.0,1.0
2021-04-27,24.98,25.0,24.98,24.99,24.99,409499,0.0,1.0
2021-04-26,24.98,25.0,24.98,24.99,24.99,551162,0.0,1.0
2021-04-23,24.98,25.0,24.98,25.0,25.0,294190,0.0,1.0
2021-04-22,24.97,24.99,24.97,24.97,24.97,333351,0.0,1.0
2021-04-21,24.96,24.99,24.96,24.99,24.99,193278,0.0,1.0
2021-04-20,24.95,24.97,24.94,24.96,24.96,454556,0.0,1.0
2021-04-19,24.93,24.97,24.93,24.95,24.95,308181,0.0,1.0
2021-04-16,24.98,24.98,24.95,24.96,24.96,395501,0.0,1.0
2021-04-15,24.95,24.98,24.95,24.95,24.95,223377,0.0,1.0
2021-04-14,24.95,24.96,24.94,24.95,24.95,275159,0.0,1.0
2021-04-13,24.95,24.96,24.93,24.95,24.95,497364,0.0,1.0
2021-04-12,24.93,24.96,24.93,24.95,24.95,566454,0.0,1.0
2021-04-09,24.95,24.99,24.92,24.94,24.94,485105,0.0,1.0
2021-04-08,25.0,25.13,24.92,24.93,24.93,546668,0.25,1.0
2021-04-07,25.18,25.2,25.15,25.19,24.9399007148531,328124,0.0,1.0
2021-04-06,25.17,25.21,25.16,25.18,24.93,479503,0.0,1.0
2021-04-05,25.17,25.19,25.16,25.17,24.9200992851469,415456,0.0,1.0
2021-04-01,25.09,25.16,25.05,25.15,24.9002978554408,792644,0.0,1.0
2021-03-31,25.06,25.1,25.05,25.05,24.8012907069102,521122,0.0,1.0
2021-03-30,25.04,25.14,25.02,25.06,24.8111914217633,376517,0.0,1.0
2021-03-29,25.05,25.125,24.97,24.97,24.7220849880858,648342,0.0,1.0
2021-03-26,25.09,25.1,25.04,25.09,24.8408935663225,559683,0.0,1.0
2021-03-25,25.03,25.1,25.03,25.06,24.8111914217633,1857187,0.0,1.0
2021-03-24,25.04,25.08,25.01,25.03,24.7814892772041,755892,0.0,1.0
2021-03-23,25.05,25.08,25.0,25.0,24.751787132645,842776,0.0,1.0
2021-03-22,25.08,25.13,25.04,25.04,24.7913899920572,495335,0.0,1.0
2021-03-19,25.05,25.07,24.99,25.02,24.7715885623511,2925646,0.0,1.0
2021-03-18,25.09,25.09,25.04,25.05,24.8012907069102,543822,0.0,1.0
2021-03-17,25.05,25.09,25.0,25.07,24.8210921366164,381430,0.0,1.0
2021-03-16,25.07,25.07,25.05,25.05,24.8012907069102,270661,0.0,1.0
2021-03-15,25.07,25.09,25.04,25.06,24.8111914217633,367316,0.0,1.0
2021-03-12,25.17,25.24,25.09,25.1,24.8507942811755,432147,0.0,1.0
2021-03-11,25.11,25.2,25.07,25.2,24.9498014297061,267701,0.0,1.0
2021-03-10,25.08,25.21,25.06,25.16,24.9101985702939,350304,0.0,1.0
2021-03-09,25.15,25.19,25.01,25.02,24.7715885623511,792942,0.0,1.0
2021-03-08,25.17,25.24,25.06,25.09,24.8408935663225,538859,0.0,1.0
2021-03-05,25.08,25.21,24.98,25.18,24.93,956578,0.0,1.0
2021-03-04,25.06,25.1,24.99,25.0,24.751787132645,1115471,0.0,1.0
2021-03-03,25.1,25.18,25.08,25.09,24.8408935663225,371055,0.0,1.0
2021-03-02,25.1,25.15,25.05,25.1,24.8507942811755,571886,0.0,1.0
2021-03-01,25.1,25.18,25.08,25.1,24.8507942811755,357872,0.0,1.0
2021-02-26,25.08,25.22,25.05,25.09,24.8408935663225,804920,0.0,1.0
2021-02-25,25.19,25.19,25.03,25.06,24.8111914217633,686834,0.0,1.0
2021-02-24,25.15,25.28,25.095,25.17,24.9200992851469,643249,0.0,1.0
2021-02-23,25.13,25.27,25.01,25.15,24.9002978554408,438488,0.0,1.0
2021-02-22,25.09,25.2,25.06,25.17,24.9200992851469,670168,0.0,1.0
2021-02-19,25.18,25.2,25.025,25.07,24.8210921366164,1109769,0.0,1.0
2021-02-18,25.06,25.17,25.06,25.17,24.9200992851469,417921,0.0,1.0
2021-02-17,25.07,25.2,25.01,25.16,24.9101985702939,602957,0.0,1.0
2021-02-16,25.08,25.17,25.07,25.09,24.8408935663225,383927,0.0,1.0
2021-02-12,25.14,25.18,25.08,25.08,24.8309928514694,322713,0.0,1.0
2021-02-11,25.14,25.18,25.05,25.18,24.93,425271,0.0,1.0
2021-02-10,25.15,25.21,25.12,25.13,24.8804964257347,596563,0.0,1.0
2021-02-09,25.1,25.2,25.09,25.2,24.9498014297061,434753,0.0,1.0
2021-02-08,25.09,25.17,25.06,25.15,24.9002978554408,369010,0.0,1.0
2021-02-05,25.09,25.1,25.0,25.01,24.761687847498,402684,0.0,1.0
2021-02-04,25.02,25.1,24.96,25.1,24.8507942811755,945559,0.0,1.0
2021-02-03,25.07,25.15,24.96,25.07,24.8210921366164,1182177,0.0,1.0
2021-02-02,25.15,25.18,25.03,25.05,24.8012907069102,769069,0.0,1.0
2021-02-01,25.24,25.3,25.05,25.25,24.9993050039714,640660,0.0,1.0
2021-01-29,25.04,25.3,25.03,25.29,25.0389078633836,1673603,0.0,1.0
2021-01-28,25.15,25.155,24.995,25.05,24.8012907069102,1042140,0.0,1.0
2021-01-27,25.1,25.4,24.97,25.03,24.7814892772041,1044685,0.0,1.0
2021-01-26,25.15,25.245,25.13,25.22,24.9696028594122,579698,0.0,1.0
2021-01-25,25.1,25.18,25.1,25.15,24.9002978554408,1020935,0.0,1.0
2021-01-22,25.07,25.13,25.07,25.08,24.8309928514694,671685,0.0,1.0
2021-01-21,25.08,25.165,25.07,25.07,24.8210921366164,884102,0.0,1.0
2021-01-20,25.06,25.11,25.02,25.08,24.8309928514694,635925,0.0,1.0
2021-01-19,25.03,25.14,25.0,25.05,24.8012907069102,645305,0.0,1.0
2021-01-15,25.0,25.08,24.98,25.03,24.7814892772041,918141,0.0,1.0
2021-01-14,25.09,25.09,25.0,25.04,24.7913899920572,737689,0.0,1.0
2021-01-13,25.15,25.15,25.0,25.04,24.7913899920572,1795058,0.0,1.0
2021-01-12,25.05,25.16,25.01,25.15,24.9002978554408,1202035,0.0,1.0
2021-01-11,25.03,25.11,24.97,25.03,24.7814892772041,863400,0.0,1.0
2021-01-08,25.19,25.27,25.025,25.03,24.7814892772041,1188389,0.25,1.0
2021-01-07,25.4,25.4,25.2,25.28,24.7814892772041,1277434,0.0,1.0
2021-01-06,25.42,25.49,25.21,25.39,24.8893201245337,1225107,0.0,1.0
2021-01-05,25.32,25.46,25.26,25.3,24.8010948858095,1028771,0.0,1.0
2021-01-04,25.5,25.56,25.26,25.32,24.8207004944149,1202877,0.0,1.0
2020-12-31,25.48,25.54,25.4,25.47,24.9677425589553,369526,0.0,1.0
2020-12-30,25.48,25.56,25.3,25.47,24.9677425589553,502663,0.0,1.0
2020-12-29,25.3,25.52,25.3,25.45,24.9481369503499,840468,0.0,1.0
2020-12-28,25.23,25.37,25.19,25.34,24.8403061030203,806034,0.0,1.0
2020-12-24,25.22,25.22,25.15,25.15,24.6540528212691,298948,0.0,1.0
2020-12-23,25.2,25.245,25.16,25.16,24.6638556255718,488633,0.0,1.0
2020-12-22,25.26,25.26,25.125,25.17,24.6736584298745,1180629,0.0,1.0
2020-12-21,25.15,25.45,25.1,25.2,24.7030668427826,1598618,0.0,1.0
2020-12-18,25.15,25.22,25.1,25.17,24.6736584298745,3995110,0.0,1.0
2020-12-17,25.19,25.2,25.15,25.15,24.6540528212691,1113368,0.0,1.0
2020-12-16,25.19,25.22,25.16,25.17,24.6736584298745,3900151,0.0,1.0
2020-12-15,25.2,25.22,25.16,25.19,24.6932640384799,1839886,0.0,1.0
2020-12-14,25.32,25.35,25.17,25.19,24.6932640384799,2237953,0.0,1.0
2020-12-11,25.2,25.37,25.16,25.24,24.7422780599934,1433408,0.0,1.0
2020-12-10,25.42,25.58,25.25,25.26,24.7618836685988,1471432,0.0,1.0
2020-12-09,25.54,25.9,25.34,25.34,24.8403061030203,2829288,0.0,1.0
2020-12-08,25.43,25.56,25.43,25.56,25.0559677976795,1853540,0.0,1.0
2020-12-07,25.46,25.56,25.4,25.44,24.9383341460472,3185496,0.0,1.0
2020-12-04,25.49,25.58,25.4,25.55,25.0461649933768,5930416,0.0,1.0
2020-12-03,25.32,25.63,25.265,25.59,25.0853762105876,30920419,0.0,1.0
2020-12-02,16.87,17.05,16.77,17.01,16.6745701188783,465065,0.0,1.0
2020-12-01,16.65,16.93,16.64,16.87,16.5373308586406,700800,0.0,1.0
2020-11-30,16.8,16.9,16.375,16.46,16.1354158822302,1019103,0.0,1.0
2020-11-27,16.95,16.97,16.585,16.96,16.6255560973648,436951,0.0,1.0
2020-11-25,16.65,16.97,16.41,16.92,16.586344880154,818615,0.0,1.0
2020-11-24,16.49,16.86,16.35,16.82,16.4883168371271,988550,0.0,1.0
2020-11-23,16.08,16.37,16.02,16.2,15.8805429703602,698806,0.0,1.0
2020-11-20,16.09,16.1,15.82,15.95,15.635472862793,613372,0.0,1.0
2020-11-19,16.44,16.51,16.15,16.2,15.8805429703602,528540,0.0,1.0
2020-11-18,17.06,17.06,16.53,16.53,16.2040355123491,683356,0.0,1.0
2020-11-17,16.9,17.08,16.73,16.98,16.6451617059702,757806,0.0,1.0
2020-11-16,17.3,17.36,17.065,17.14,16.8020065748132,896626,0.0,1.0
2020-11-13,16.69,16.89,16.61,16.81,16.4785140328244,423187,0.0,1.0
2020-11-12,16.76,16.84,16.41,16.55,16.2236411209544,898858,0.0,1.0
2020-11-11,17.12,17.31,16.75,16.94,16.6059504887594,672345,0.0,1.0
2020-11-10,16.99,17.305,16.94,17.0,16.6647673145756,875652,0.0,1.0
2020-11-09,17.18,17.71,16.83,16.85,16.5177252500352,942137,0.0,1.0
2020-11-06,16.59,16.67,15.9,15.94,15.6256700584903,646762,0.0,1.0
2020-11-05,16.3,16.56,16.14,16.51,16.1844299037437,893620,0.0,1.0
2020-11-04,15.68,16.44,15.59,16.29,15.9687682090845,1079315,0.0,1.0
2020-11-03,15.93,16.15,15.77,16.05,15.7335009058199,1107500,0.0,1.0
2020-11-02,15.61,15.765,15.08,15.58,15.2727691035934,1032613,0.0,1.0
2020-10-30,15.41,15.55,15.05,15.35,15.0473046046315,1282707,0.0,1.0
2020-10-29,15.55,15.6,15.24,15.46,15.1551354519611,709564,0.0,1.0
2020-10-28,16.0,16.1,15.26,15.5,15.1943466691718,1445659,0.0,1.0
2020-10-27,16.5,17.17,16.27,16.32,15.9981766219925,1647432,0.0,1.0
2020-10-26,16.68,16.81,16.25,16.56,16.2334439252571,1110645,0.0,1.0
2020-10-23,17.13,17.33,16.85,16.87,16.5373308586406,931656,0.0,1.0
2020-10-22,16.97,17.09,16.75,16.95,16.6157532930621,562783,0.0,1.0
2020-10-21,17.3,17.42,16.89,16.89,16.556936467246,665040,0.0,1.0
2020-10-20,17.49,17.51,17.22,17.29,16.9490486393536,803756,0.0,1.0
2020-10-19,17.75,17.8,17.29,17.3,16.9588514436563,594003,0.0,1.0
2020-10-16,17.89,18.02,17.57,17.64,17.2921467899478,1147714,0.0,1.0
2020-10-15,17.49,17.92,17.3,17.89,17.5372168975151,2253342,0.0,1.0
2020-10-14,16.71,18.0,16.675,17.78,17.4293860501855,3241846,0.0,1.0
2020-10-13,16.66,16.85,16.63,16.7,16.3706831854948,469011,0.0,1.0
2020-10-12,17.03,17.23,16.57,16.7,16.3706831854948,830990,0.0,1.0
2020-10-09,17.03,17.14,16.78,17.0,16.6647673145756,1211383,0.0,1.0
2020-10-08,16.16,17.03,16.16,16.93,16.5961476844567,1969180,0.25,1.0
2020-10-07,15.58,16.02,15.56,15.97,15.4272688312441,791996,0.0,1.0
2020-10-06,15.6,15.8,15.37,15.45,14.924940729037,1036479,0.0,1.0
2020-10-05,15.2,15.44,15.185,15.4,14.8766399499787,530452,0.0,1.0
2020-10-02,14.37,15.2,14.365,15.05,14.5385344965701,1050296,0.0,1.0
2020-10-01,14.85,14.925,14.4,14.55,14.0555267059863,694220,0.0,1.0
2020-09-30,14.73,15.04,14.73,14.85,14.3453313803366,883883,0.0,1.0
2020-09-29,14.86,14.9,14.53,14.67,14.1714485757264,694379,0.0,1.0
2020-09-28,14.43,15.025,14.43,14.95,14.4419329384533,852005,0.0,1.0
2020-09-25,13.96,14.26,13.925,14.26,13.7753821874478,828745,0.0,1.0
2020-09-24,14.02,14.455,13.94,14.09,13.6111595386493,773165,0.0,1.0
2020-09-23,14.69,14.79,13.99,14.0,13.5242181363442,1605925,0.0,1.0
2020-09-22,14.78,14.94,14.63,14.68,14.1811087315381,695605,0.0,1.0
2020-09-21,15.16,15.37,14.64,14.75,14.2487298222198,1026012,0.0,1.0
2020-09-18,15.54,15.73,15.39,15.5,14.9732415080954,1657990,0.0,1.0
2020-09-17,15.5,15.715,15.45,15.53,15.0022219755304,670306,0.0,1.0
2020-09-16,15.41,15.81,15.34,15.66,15.1278040010822,759094,0.0,1.0
2020-09-15,15.35,15.48,15.285,15.37,14.8476594825436,714243,0.0,1.0
2020-09-14,15.25,15.375,15.065,15.29,14.7703782360503,1142306,0.0,1.0
2020-09-11,15.25,15.37,15.01,15.05,14.5385344965701,1038465,0.0,1.0
2020-09-10,15.68,15.7,15.19,15.19,14.6737766779335,774443,0.0,1.0
2020-09-09,15.61,15.86,15.48,15.66,15.1278040010822,946841,0.0,1.0
2020-09-08,15.7,15.7,15.11,15.48,14.9539211964721,1012684,0.0,1.0
2020-09-04,16.06,16.15,15.735,15.78,15.2437258708223,881419,0.0,1.0
2020-09-03,16.07,16.31,15.72,15.85,15.311346961504,840290,0.0,1.0
2020-09-02,15.65,16.13,15.62,16.09,15.5431907009842,870054,0.0,1.0
2020-09-01,15.66,15.745,15.52,15.69,15.1567844685172,747139,0.0,1.0
2020-08-31,15.7,15.98,15.64,15.75,15.2147454033873,846477,0.0,1.0
2020-08-28,15.81,15.81,15.51,15.75,15.2147454033873,568139,0.0,1.0
2020-08-27,15.63,15.99,15.63,15.69,15.1567844685172,794681,0.0,1.0
2020-08-26,15.76,15.83,15.61,15.66,15.1278040010822,505865,0.0,1.0
2020-08-25,15.93,16.02,15.78,15.82,15.282366494069,666655,0.0,1.0
2020-08-24,15.37,15.8,15.33,15.74,15.2050852475756,643683,0.0,1.0
2020-08-21,15.3,15.54,15.15,15.28,14.7607180802386,547036,0.0,1.0
2020-08-20,15.55,15.69,15.38,15.38,14.8573196383553,565345,0.0,1.0
2020-08-19,15.65,16.009,15.65,15.74,15.2050852475756,825033,0.0,1.0
2020-08-18,15.54,15.74,15.48,15.67,15.1374641568939,560349,0.0,1.0
2020-08-17,15.52,15.68,15.41,15.6,15.0698430662122,431433,0.0,1.0
2020-08-14,15.28,15.66,15.28,15.5,14.9732415080954,483768,0.0,1.0
2020-08-13,15.49,15.6822,15.335,15.42,14.895960261602,511891,0.0,1.0
2020-08-12,15.81,16.05,15.48,15.65,15.1181438452705,669990,0.0,1.0
2020-08-11,15.8,16.04,15.545,15.6,15.0698430662122,780665,0.0,1.0
2020-08-10,15.46,15.715,15.37,15.58,15.0505227545888,855894,0.0,1.0
2020-08-07,14.79,15.35,14.79,15.34,14.8186790151086,556419,0.0,1.0
2020-08-06,14.97,14.985,14.69,14.87,14.3646516919599,711841,0.0,1.0
2020-08-05,14.58,15.055,14.49,15.03,14.5192141849467,769501,0.0,1.0
2020-08-04,14.39,14.53,14.27,14.43,13.9396048362462,879005,0.0,1.0
2020-08-03,14.54,14.64,14.41,14.45,13.9589251478696,870108,0.0,1.0
2020-07-31,14.53,14.6817,14.44,14.59,14.094167329233,1009635,0.0,1.0
2020-07-30,14.64,14.66,14.36,14.55,14.0555267059863,684485,0.0,1.0
2020-07-29,14.75,15.29,14.53,14.85,14.3453313803366,1150952,0.0,1.0
2020-07-28,14.85,15.13,14.22,14.66,14.1617884199148,1687211,0.0,1.0
2020-07-27,14.76,15.32,14.72,15.23,14.7124173011802,923712,0.0,1.0
2020-07-24,15.22,15.4,14.835,14.89,14.3839720035833,635961,0.0,1.0
2020-07-23,14.73,15.305,14.73,15.23,14.7124173011802,999076,0.0,1.0
2020-07-22,15.33,15.42,14.91,14.96,14.451593094265,603774,0.0,1.0
2020-07-21,15.05,15.55,15.02,15.46,14.9346008848487,909264,0.0,1.0
2020-07-20,15.1,15.17,14.94,14.96,14.451593094265,617481,0.0,1.0
2020-07-17,15.59,15.66,15.26,15.28,14.7607180802386,599360,0.0,1.0
2020-07-16,15.41,15.71,15.37,15.58,15.0505227545888,498172,0.0,1.0
2020-07-15,15.26,15.7,15.07,15.57,15.0408625987771,1052254,0.0,1.0
2020-07-14,15.1,15.26,14.89,14.99,14.4805735617,1016939,0.0,1.0
2020-07-13,15.6,15.61,14.44,15.02,14.509554029135,1345526,0.0,1.0
2020-07-10,14.87,15.45,14.87,15.41,14.8863001057903,835346,0.25,1.0
2020-07-09,15.71,15.87,14.99,15.04,14.2969319023682,1386272,0.0,1.0
2020-07-08,15.58,15.89,15.5,15.74,14.9623476159093,699579,0.0,1.0
2020-07-07,15.43,15.76,15.34,15.53,14.762722901847,1125541,0.0,1.0
2020-07-06,15.87,15.9,15.43,15.55,14.7817347793767,698765,0.0,1.0
2020-07-02,15.72,16.37,15.35,15.49,14.7246991467875,1375246,0.0,1.0
2020-07-01,15.48,15.59,15.12,15.34,14.5821100653144,1407436,0.0,1.0
2020-06-30,15.0,15.58,15.0,15.51,14.7437110243173,1114542,0.0,1.0
2020-06-29,14.97,15.25,14.885,15.1,14.3539675349575,857133,0.0,1.0
2020-06-26,15.03,15.06,14.5,14.72,13.9927418618923,1536122,0.0,1.0
2020-06-25,14.9,15.21,14.85,15.17,14.4205091063116,1079344,0.0,1.0
2020-06-24,15.2,15.33,14.92,14.97,14.2303903310141,1195084,0.0,1.0
2020-06-23,15.67,15.69,15.31,15.39,14.6296397591388,708346,0.0,1.0
2020-06-22,15.46,15.58,15.33,15.43,14.6676635141983,667288,0.0,1.0
2020-06-19,15.67,15.75,15.32,15.58,14.8102525956714,2364418,0.0,1.0
2020-06-18,15.07,15.52,15.03,15.46,14.6961813304929,683485,0.0,1.0
2020-06-17,15.22,15.54,15.13,15.31,14.5535922490198,1024331,0.0,1.0
2020-06-16,15.73,15.73,15.04,15.23,14.4775447389008,805546,0.0,1.0
2020-06-15,14.34,15.29,14.34,15.1,14.3539675349575,1186991,0.0,1.0
2020-06-12,15.0,15.0,14.41,14.8,14.0687893720113,1244788,0.0,1.0
2020-06-11,14.99,15.28,14.38,14.46,13.7455874540056,1237068,0.0,1.0
2020-06-10,15.93,15.99,15.5,15.59,14.8197585344362,1399930,0.0,1.0
2020-06-09,15.64,16.03,15.43,15.9,15.1144426361473,875052,0.0,1.0
2020-06-08,15.62,15.98,15.34,15.96,15.1714782687365,1381279,0.0,1.0
2020-06-05,15.12,15.86,15.01,15.38,14.6201338203739,1833972,0.0,1.0
2020-06-04,14.23,14.56,14.09,14.54,13.8216349641246,909725,0.0,1.0
2020-06-03,13.95,14.52,13.95,14.36,13.6505280663569,1186606,0.0,1.0
2020-06-02,13.44,13.8,13.34,13.73,13.05165392417,961860,0.0,1.0
2020-06-01,13.13,13.39,12.95,13.3,12.6428985572804,1151048,0.0,1.0
2020-05-29,13.18,13.44,12.82,13.04,12.3957441493937,1268932,0.0,1.0
2020-05-28,14.17,14.17,13.37,13.37,12.7094401286345,792240,0.0,1.0
2020-05-27,13.95,14.09,13.7,14.03,13.3368320871161,1050759,0.0,1.0
2020-05-26,13.61,13.86,13.39,13.58,12.9090648426969,1727054,0.0,1.0
2020-05-22,13.55,13.55,12.96,13.21,12.5573451083966,722092,0.0,1.0
2020-05-21,13.43,13.68,13.4,13.41,12.747463883694,1192007,0.0,1.0
2020-05-20,13.35,13.6,13.32,13.46,12.7949935775184,984291,0.0,1.0
2020-05-19,13.62,13.64,13.11,13.11,12.4622857207479,1146937,0.0,1.0
2020-05-18,13.16,13.93,13.16,13.73,13.05165392417,1309242,0.0,1.0
2020-05-15,12.85,13.29,12.74,12.85,12.2151313128612,2295236,0.0,1.0
2020-05-14,12.73,13.02,12.46,12.97,12.3292025780396,1408960,0.0,1.0
2020-05-13,13.73,13.73,12.75,12.96,12.3196966392748,958026,0.0,1.0
2020-05-12,14.3,14.44,13.81,13.83,13.1467133118187,1350868,0.0,1.0
2020-05-11,13.91,14.3,13.78,14.22,13.5174449236487,1049060,0.0,1.0
2020-05-08,13.76,14.1,13.72,14.05,13.3558439646459,616697,0.0,1.0
2020-05-07,13.61,13.7,13.45,13.55,12.8805470264022,601738,0.0,1.0
2020-05-06,13.78,13.8,13.22,13.39,12.7284520061643,731359,0.0,1.0
2020-05-05,14.33,14.44,13.64,13.67,12.9946182915807,1055120,0.0,1.0
2020-05-04,13.81,14.21,13.75,14.1,13.4033736584702,714008,0.0,1.0
2020-05-01,14.18,14.37,13.96,14.09,13.3938677197054,657336,0.0,1.0
2020-04-30,14.19,14.63,14.09,14.55,13.8311409028895,1081163,0.0,1.0
2020-04-29,14.51,14.65,13.78,14.45,13.7360815152408,1243641,0.0,1.0
2020-04-28,13.63,14.67,13.3,14.07,13.3748558421756,2418619,0.0,1.0
2020-04-27,12.43,13.09,12.33,13.05,12.4052500881586,1974800,0.0,1.0
2020-04-24,12.24,12.5,12.12,12.2,11.5972452931445,894871,0.0,1.0
2020-04-23,12.57,12.74,12.14,12.2,11.5972452931445,1360083,0.0,1.0
2020-04-22,12.75,12.86,12.55,12.65,12.0250125375637,599778,0.0,1.0
2020-04-21,12.37,12.71,12.28,12.56,11.9394590886799,603155,0.0,1.0
2020-04-20,12.46,12.85,12.32,12.72,12.0915541089178,616313,0.0,1.0
2020-04-17,12.59,12.79,12.36,12.67,12.0440244150935,936043,0.0,1.0
2020-04-16,12.51,12.71,11.87,12.25,11.6447749869688,1154305,0.0,1.0
2020-04-15,12.39,12.65,12.17,12.46,11.8443997010311,1168232,0.0,1.0
