,WFC_Open,WFC_High,WFC_Low,WFC_Close,WFC_Adj Close,WFC_Volume,WFC_Dividend Amount,WFC_Split Coefficient
2024-10-07,57.225,57.63,56.8,57.16,57.16,11177802,0.0,1.0
2024-10-04,55.99,57.125,55.98,56.96,56.96,14594449,0.0,1.0
2024-10-03,55.08,55.21,54.405,54.98,54.98,8135347,0.0,1.0
2024-10-02,55.33,55.814,54.92,55.3,55.3,9007156,0.0,1.0
2024-10-01,56.0,56.03,55.2,55.39,55.39,11069395,0.0,1.0
2024-09-30,55.66,56.515,55.48,56.49,56.49,16286042,0.0,1.0
2024-09-27,56.62,56.62,55.8,55.9,55.9,13530435,0.0,1.0
2024-09-26,54.035,57.11,53.315,56.39,56.39,34463426,0.0,1.0
2024-09-25,54.28,54.33,53.41,53.61,53.61,10555705,0.0,1.0
2024-09-24,55.12,55.19,53.79,54.16,54.16,16365645,0.0,1.0
2024-09-23,56.26,56.52,54.9,55.11,55.11,14759257,0.0,1.0
2024-09-20,55.35,56.29,54.875,56.29,56.29,45276002,0.0,1.0
2024-09-19,55.01,56.005,54.65,55.8,55.8,21399027,0.0,1.0
2024-09-18,54.46,55.19,54.1,54.26,54.26,20108994,0.0,1.0
2024-09-17,53.97,55.065,53.97,54.51,54.51,15885201,0.0,1.0
2024-09-16,52.81,53.93,52.81,53.79,53.79,18066190,0.0,1.0
2024-09-13,51.86,53.035,51.75,52.78,52.78,24762027,0.0,1.0
2024-09-12,53.73,54.34,50.22,51.57,51.57,42605419,0.0,1.0
2024-09-11,53.72,53.86,52.425,53.73,53.73,17322037,0.0,1.0
2024-09-10,56.0,56.1,53.38,53.95,53.95,24649976,0.0,1.0
2024-09-09,54.73,55.08,54.43,54.59,54.59,17134809,0.0,1.0
2024-09-06,56.68,56.78,53.69,54.0,54.0,21853782,0.0,1.0
2024-09-05,58.62,58.68,56.54,56.86,56.86,18301040,0.0,1.0
2024-09-04,58.49,59.0,57.72,58.12,58.12,10975761,0.0,1.0
2024-09-03,58.62,58.945,57.9,58.37,58.37,15933591,0.0,1.0
2024-08-30,57.45,58.58,57.38,58.47,58.47,20377255,0.0,1.0
2024-08-29,57.31,57.77,56.51,57.35,57.35,9283465,0.0,1.0
2024-08-28,56.06,57.36,56.03,57.07,57.07,11905210,0.0,1.0
2024-08-27,56.71,56.92,56.155,56.26,56.26,7638523,0.0,1.0
2024-08-26,57.02,57.15,56.535,56.72,56.72,9478780,0.0,1.0
2024-08-23,56.42,57.395,56.32,56.7,56.7,17074409,0.0,1.0
2024-08-22,55.7,56.37,55.66,55.96,55.96,15683045,0.0,1.0
2024-08-21,56.44,56.45,55.2,55.46,55.46,13691706,0.0,1.0
2024-08-20,56.03,56.72,55.92,56.15,56.15,12533548,0.0,1.0
2024-08-19,55.345,56.46,55.26,56.45,56.45,12792854,0.0,1.0
2024-08-16,54.78,55.43,54.61,55.33,55.33,19173886,0.0,1.0
2024-08-15,54.5,55.17,54.43,54.57,54.57,16549362,0.0,1.0
2024-08-14,53.03,53.775,52.72,53.66,53.66,13217178,0.0,1.0
2024-08-13,52.36,52.96,51.81,52.87,52.87,12268566,0.0,1.0
2024-08-12,52.91,53.47,51.675,52.06,52.06,18090061,0.0,1.0
2024-08-09,52.3,52.83,52.07,52.76,52.76,11668975,0.4,1.0
2024-08-08,52.97,53.3182,52.65,52.76,52.3630097817908,16176021,0.0,1.0
2024-08-07,53.15,53.49,52.15,52.29,51.896546275395,18407499,0.0,1.0
2024-08-06,52.28,52.96,52.05,52.36,51.9660195635816,18723461,0.0,1.0
2024-08-05,51.3,52.4,50.15,52.12,51.7278254326561,28594008,0.0,1.0
2024-08-02,55.18,55.57,52.8,53.26,52.8592475545523,27642566,0.0,1.0
2024-08-01,59.26,59.34,56.515,56.88,56.4520090293454,17752743,0.0,1.0
2024-07-31,59.82,60.12,59.2,59.34,58.8934988713318,11535807,0.0,1.0
2024-07-30,60.46,60.73,59.885,60.01,59.5584574868322,11503929,0.0,1.0
2024-07-29,60.74,60.83,59.345,59.59,59.1416177577126,8986171,0.0,1.0
2024-07-26,59.85,60.45,59.57,60.39,59.9355981941309,12538935,0.0,1.0
2024-07-25,59.56,60.73,59.45,59.7,59.2507900677201,14119567,0.0,1.0
2024-07-24,59.77,60.21,59.37,59.44,58.9927464258841,10777076,0.0,1.0
2024-07-23,59.2,59.905,59.04,59.67,59.2210158013544,10927821,0.0,1.0
2024-07-22,59.26,59.39,58.54,59.14,58.6950037622272,13638599,0.0,1.0
2024-07-19,59.3,59.77,59.11,59.23,58.7843265613243,12362828,0.0,1.0
2024-07-18,60.62,60.82,58.99,59.24,58.7942513167795,17739015,0.0,1.0
2024-07-17,60.16,61.0,59.885,60.91,60.4516854778029,17371094,0.0,1.0
2024-07-16,58.04,60.62,57.525,60.24,59.7867268623025,25577337,0.0,1.0
2024-07-15,57.05,58.24,57.04,57.73,57.2956132430399,27277286,0.0,1.0
2024-07-12,56.2,56.92,55.6,56.54,56.1145673438676,53042761,0.0,1.0
2024-07-11,59.4,60.705,59.28,60.16,59.7073288186606,16852839,0.0,1.0
2024-07-10,59.54,59.99,59.375,59.72,59.2706395786306,12097212,0.0,1.0
2024-07-09,59.075,60.42,58.915,59.88,59.4294356659142,12238284,0.0,1.0
2024-07-08,59.97,60.405,58.66,59.01,58.5659819413093,12479998,0.0,1.0
2024-07-05,60.5,60.66,59.11,59.62,59.1713920240783,11436349,0.0,1.0
2024-07-03,61.0,61.14,60.16,60.66,60.2035665914221,6698813,0.0,1.0
