,WIRE_Open,WIRE_High,WIRE_Low,WIRE_Close,WIRE_Adj Close,WIRE_Volume,WIRE_Dividend Amount,WIRE_Split Coefficient
2024-07-03,289.84,289.84,289.84,289.84,289.84,266,0.0,1.0
2024-07-02,289.84,289.84,289.84,289.84,289.84,200,0.0,1.0
2024-07-01,289.95,289.99,289.65,289.84,289.84,1392153,0.0,1.0
2024-06-28,289.77,289.94,289.75,289.83,289.83,1234273,0.0,1.0
2024-06-27,289.87,289.88,289.65,289.75,289.75,516628,0.0,1.0
2024-06-26,289.64,289.78,289.55,289.62,289.62,719124,0.0,1.0
2024-06-25,289.62,289.72,289.56,289.64,289.64,583993,0.0,1.0
2024-06-24,289.5,289.7,289.41,289.58,289.58,537170,0.0,1.0
2024-06-21,289.48,289.6,289.21,289.4,289.4,1248116,0.0,1.0
2024-06-20,289.38,289.67,289.23,289.23,289.23,450249,0.0,1.0
2024-06-18,289.25,289.4,289.2,289.3,289.3,424970,0.0,1.0
2024-06-17,289.1,289.35,289.04,289.21,289.21,537715,0.0,1.0
2024-06-14,289.0,289.3,288.92,289.07,289.07,437686,0.0,1.0
2024-06-13,289.01,289.25,288.91,288.96,288.96,542590,0.0,1.0
2024-06-12,289.43,289.57,288.9,288.94,288.94,519216,0.0,1.0
2024-06-11,288.83,289.1,288.78,289.0,289.0,493132,0.0,1.0
2024-06-10,288.7,289.1,288.65,288.9,288.9,510085,0.0,1.0
2024-06-07,288.7,288.94,288.61,288.7,288.7,394783,0.0,1.0
2024-06-06,288.63,288.81,288.6,288.65,288.65,331039,0.0,1.0
2024-06-05,288.68,288.97,288.52,288.62,288.62,571835,0.0,1.0
2024-06-04,288.52,288.92,288.5,288.78,288.78,410255,0.0,1.0
2024-06-03,289.0,289.0,288.4,288.55,288.55,341274,0.0,1.0
2024-05-31,288.53,289.35,288.4,288.73,288.73,335551,0.0,1.0
2024-05-30,288.35,288.9,288.3,288.52,288.52,412636,0.0,1.0
2024-05-29,288.0,288.53,287.995,288.35,288.35,685899,0.0,1.0
2024-05-28,279.15,281.595,276.85,277.87,277.87,357932,0.0,1.0
2024-05-24,278.3,279.61,277.8401,278.69,278.69,196702,0.0,1.0
2024-05-23,277.55,279.975,276.68,276.94,276.94,300655,0.0,1.0
2024-05-22,279.51,279.905,276.0,277.14,277.14,360223,0.0,1.0
2024-05-21,279.65,281.49,279.0,279.31,279.31,292117,0.0,1.0
2024-05-20,281.13,281.4,277.24,280.5,280.5,417773,0.0,1.0
2024-05-17,282.69,282.69,280.0575,280.57,280.57,254820,0.0,1.0
2024-05-16,282.03,282.69,280.85,282.0,282.0,209903,0.0,1.0
2024-05-15,281.6,283.0,281.25,282.0,282.0,260289,0.0,1.0
2024-05-14,281.98,282.2499,280.97,281.25,281.25,85845,0.0,1.0
2024-05-13,282.5,282.5,280.5,280.5,280.5,234095,0.0,1.0
2024-05-10,280.62,281.9,280.0,280.9,280.9,151144,0.0,1.0
2024-05-09,281.27,282.23,279.91,280.36,280.36,137555,0.0,1.0
2024-05-08,280.7,282.34,280.45,281.02,281.02,111289,0.0,1.0
2024-05-07,282.0,282.83,280.1,281.2,281.2,121241,0.0,1.0
2024-05-06,283.37,284.0,280.0,280.94,280.94,194777,0.0,1.0
2024-05-03,282.14,284.63,280.85,283.04,283.04,170093,0.0,1.0
2024-05-02,281.83,283.0,280.81,280.82,280.82,165878,0.0,1.0
2024-05-01,281.29,284.2,279.77,281.0,281.0,198449,0.0,1.0
2024-04-30,283.82,284.6,279.11,279.36,279.36,329521,0.0,1.0
2024-04-29,285.15,286.3,283.0,283.03,283.03,208334,0.0,1.0
2024-04-26,284.06,287.4,284.02,284.89,284.89,288631,0.0,1.0
2024-04-25,282.68,285.78,281.71,284.06,284.06,233532,0.0,1.0
2024-04-24,284.8,287.0,282.41,282.41,282.41,495773,0.0,1.0
2024-04-23,284.89,286.13,283.25,283.6,283.6,339564,0.0,1.0
2024-04-22,286.71,288.49,283.09,283.09,283.09,541968,0.0,1.0
2024-04-19,285.17,288.0,283.23,284.4,284.4,623621,0.0,1.0
2024-04-18,287.74,289.09,284.99,287.0,287.0,863645,0.0,1.0
2024-04-17,289.88,290.0,286.3275,287.23,287.23,960032,0.0,1.0
2024-04-16,290.0,290.615,288.38,289.7,289.7,1189992,0.0,1.0
2024-04-15,288.96,295.9,287.99,291.23,291.23,3098304,0.0,1.0
2024-04-12,259.4,261.335,256.73,260.98,260.98,135959,0.0,1.0
2024-04-11,257.88,261.32,254.865,260.45,260.45,110509,0.0,1.0
2024-04-10,256.39,259.78,250.9934,258.3,258.3,129158,0.0,1.0
2024-04-09,268.88,269.69,260.51,261.11,261.11,157339,0.0,1.0
2024-04-08,271.9,271.9,268.48,269.27,269.27,112616,0.0,1.0
2024-04-05,264.67,271.09,264.11,268.65,268.65,173293,0.0,1.0
2024-04-04,269.34,271.36,263.5728,263.95,263.95,199798,0.02,1.0
2024-04-03,262.42,269.06,257.2,267.3,267.279747698602,152889,0.0,1.0
2024-04-02,263.9,263.9,257.62,262.42,262.400117437588,217013,0.0,1.0
2024-04-01,263.99,267.64,261.4852,267.4,267.379740121984,200672,0.0,1.0
2024-03-28,254.82,264.01,253.935,262.78,262.760090161761,220869,0.0,1.0
2024-03-27,251.53,256.3513,251.465,253.19,253.17081675948,167099,0.0,1.0
2024-03-26,246.86,250.5,244.01,249.05,249.031130431488,178320,0.0,1.0
2024-03-25,247.52,247.95,242.59,245.03,245.011435011554,146673,0.0,1.0
2024-03-22,247.91,248.09,244.4,246.65,246.631312270334,113107,0.0,1.0
2024-03-21,240.73,249.28,240.73,248.63,248.611162253286,165743,0.0,1.0
2024-03-20,230.26,238.375,229.71,237.35,237.332016895859,115473,0.0,1.0
2024-03-19,228.65,230.25,224.985,229.71,229.692595749517,114065,0.0,1.0
2024-03-18,225.7,233.815,222.39,229.68,229.662598022503,164279,0.0,1.0
2024-03-15,220.03,228.18,220.03,225.64,225.622904117892,838193,0.0,1.0
2024-03-14,226.69,226.69,218.85,221.86,221.843190514074,197555,0.0,1.0
2024-03-13,220.14,227.465,218.6733,225.54,225.522911694511,323759,0.0,1.0
2024-03-12,221.38,221.5,217.8,218.42,218.403451149752,113117,0.0,1.0
2024-03-11,222.5,222.5,218.25,220.68,220.663279918173,146387,0.0,1.0
2024-03-08,225.92,229.895,222.001,223.32,223.303079895443,140048,0.0,1.0
2024-03-07,221.7,225.02,218.89,224.63,224.61298064174,166619,0.0,1.0
2024-03-06,225.44,226.15,221.395,221.52,221.503216274577,123313,0.0,1.0
2024-03-05,233.41,235.64,220.465,221.95,221.933183695117,170218,0.0,1.0
2024-03-04,241.13,242.66,234.06,234.59,234.572226010531,188935,0.0,1.0
2024-03-01,240.52,242.94,237.03,241.57,241.551697162556,182419,0.0,1.0
2024-02-29,238.78,241.195,235.5,241.0,240.981740349282,208351,0.0,1.0
2024-02-28,231.41,236.85,229.96,235.0,234.982194946395,158931,0.0,1.0
2024-02-27,225.72,232.34,224.77,231.38,231.362469219987,158532,0.0,1.0
2024-02-26,220.25,226.775,220.25,224.53,224.512988218358,158878,0.0,1.0
