,WM_Open,WM_High,WM_Low,WM_Close,WM_Adj Close,WM_Volume,WM_Dividend Amount,WM_Split Coefficient
2024-11-01,216.91,217.325,213.78,213.99,213.99,1257714,0.0,1.0
2024-10-31,214.32,216.695,214.2,215.85,215.85,1785587,0.0,1.0
2024-10-30,217.51,218.86,214.5,214.82,214.82,1720757,0.0,1.0
2024-10-29,213.38,219.88,212.16,219.11,219.11,3231346,0.0,1.0
2024-10-28,208.0,208.869,207.0,208.26,208.26,2127223,0.0,1.0
2024-10-25,209.22,209.78,206.46,206.8,206.8,1069935,0.0,1.0
2024-10-24,210.94,210.94,208.45,208.91,208.91,1113060,0.0,1.0
2024-10-23,210.29,212.38,209.81,211.8,211.8,1240014,0.0,1.0
2024-10-22,210.59,211.65,209.49,211.05,211.05,896280,0.0,1.0
2024-10-21,212.56,212.93,210.37,211.82,211.82,1033029,0.0,1.0
2024-10-18,213.39,213.5,212.0,212.75,212.75,816092,0.0,1.0
2024-10-17,214.13,214.49,212.14,213.08,213.08,847090,0.0,1.0
2024-10-16,213.22,214.2024,212.515,213.14,213.14,718619,0.0,1.0
2024-10-15,214.54,216.01,213.43,213.79,213.79,1180409,0.0,1.0
2024-10-14,212.35,214.25,211.8,213.5,213.5,982148,0.0,1.0
2024-10-11,211.91,212.345,210.77,211.81,211.81,956431,0.0,1.0
2024-10-10,212.6,213.57,210.9101,211.24,211.24,893519,0.0,1.0
2024-10-09,209.02,212.56,208.31,212.23,212.23,1263677,0.0,1.0
2024-10-08,206.7,208.97,206.1601,208.68,208.68,1172959,0.0,1.0
2024-10-07,205.56,206.73,204.53,205.41,205.41,2007467,0.0,1.0
2024-10-04,208.19,209.15,207.04,208.09,208.09,985160,0.0,1.0
2024-10-03,207.39,209.24,206.2129,209.09,209.09,1019976,0.0,1.0
2024-10-02,208.5,208.96,206.17,207.32,207.32,909371,0.0,1.0
2024-10-01,207.46,208.06,205.8416,207.93,207.93,951934,0.0,1.0
2024-09-30,205.32,207.81,205.32,207.6,207.6,1530589,0.0,1.0
2024-09-27,205.0,207.0999,205.0,205.51,205.51,1489906,0.0,1.0
2024-09-26,207.03,209.0,205.205,205.34,205.34,1628961,0.0,1.0
2024-09-25,208.05,208.63,206.88,207.69,207.69,1272336,0.0,1.0
2024-09-24,206.51,208.17,206.1201,207.52,207.52,1269695,0.0,1.0
2024-09-23,204.41,207.2299,203.8841,207.1,207.1,1482581,0.0,1.0
2024-09-20,203.44,204.97,202.435,204.1,204.1,2240898,0.0,1.0
2024-09-19,203.12,204.775,201.7701,204.64,204.64,1300587,0.0,1.0
2024-09-18,204.0,204.28,200.29,201.88,201.88,1507584,0.0,1.0
2024-09-17,207.79,208.26,203.04,203.12,203.12,1936046,0.0,1.0
2024-09-16,208.56,211.04,208.14,208.32,208.32,946570,0.0,1.0
2024-09-13,207.36,208.69,206.6,208.05,208.05,1397128,0.75,1.0
2024-09-12,207.24,208.29,205.13,207.86,207.113376436782,1583017,0.0,1.0
2024-09-11,207.61,208.35,204.11,207.64,206.894166666667,1372694,0.0,1.0
2024-09-10,208.95,209.99,206.71,208.25,207.501975574713,2150598,0.0,1.0
2024-09-09,205.68,209.1319,205.04,208.46,207.711221264368,2290034,0.0,1.0
2024-09-06,208.48,209.6,204.63,204.73,203.994619252874,2349656,0.0,1.0
2024-09-05,209.7,210.42,207.17,208.4,207.651436781609,1507886,0.0,1.0
2024-09-04,209.47,210.72,207.9613,209.32,208.568132183908,1096812,0.0,1.0
2024-09-03,212.08,212.52,208.22,209.4,208.647844827586,2197759,0.0,1.0
2024-08-30,209.55,212.09,208.67,212.04,211.278362068966,1786797,0.0,1.0
2024-08-29,209.73,210.945,208.27,209.88,209.126120689655,826548,0.0,1.0
2024-08-28,209.88,210.37,208.35,209.31,208.558168103448,866277,0.0,1.0
2024-08-27,210.14,210.625,208.635,209.2,208.448563218391,760017,0.0,1.0
2024-08-26,211.03,211.3099,208.5,208.82,208.06992816092,813391,0.0,1.0
2024-08-23,210.41,210.7,208.5,209.98,209.225761494253,810828,0.0,1.0
2024-08-22,210.3,210.83,208.82,210.12,209.36525862069,975951,0.0,1.0
2024-08-21,208.07,209.47,208.07,209.38,208.627916666667,916856,0.0,1.0
2024-08-20,206.75,208.18,206.73,208.1,207.352514367816,1121611,0.0,1.0
2024-08-19,205.7,206.85,205.48,206.59,205.847938218391,1886760,0.0,1.0
2024-08-16,207.29,207.86,205.365,205.4,204.662212643678,1536923,0.0,1.0
2024-08-15,206.91,207.25,205.65,206.91,206.166788793103,1093523,0.0,1.0
2024-08-14,203.35,207.33,203.11,206.35,205.608800287356,1538318,0.0,1.0
2024-08-13,203.02,204.52,203.02,203.92,203.187528735632,2330025,0.0,1.0
2024-08-12,205.74,206.03,202.665,203.11,202.380438218391,2433948,0.0,1.0
2024-08-09,205.84,206.61,203.04,205.26,204.522715517241,1002048,0.0,1.0
2024-08-08,205.0,206.81,204.5,205.9,205.160416666667,1259936,0.0,1.0
2024-08-07,203.93,207.66,203.2,204.85,204.114188218391,1963608,0.0,1.0
2024-08-06,202.56,206.94,202.22,203.14,202.41033045977,1988403,0.0,1.0
2024-08-05,207.1,208.53,200.25,201.54,200.816077586207,2033093,0.0,1.0
2024-08-02,206.43,208.91,204.415,207.76,207.013735632184,1793144,0.0,1.0
2024-08-01,203.22,206.172,202.58,206.07,205.329806034483,1637868,0.0,1.0
2024-07-31,201.79,203.32,201.38,202.66,201.932054597701,1698637,0.0,1.0
2024-07-30,200.66,202.61,200.64,201.1,200.377658045977,1883641,0.0,1.0
2024-07-29,198.28,200.91,197.43,200.54,199.81966954023,1911530,0.0,1.0
2024-07-26,200.07,200.79,196.5901,196.96,196.252528735632,2500282,0.0,1.0
