,XRAY_Open,XRAY_High,XRAY_Low,XRAY_Close,XRAY_Adj Close,XRAY_Volume,XRAY_Dividend Amount,XRAY_Split Coefficient
2024-10-07,25.07,25.22,24.38,24.48,24.48,1810339,0.0,1.0
2024-10-04,25.0,25.23,24.86,25.22,25.22,1394741,0.0,1.0
2024-10-03,24.81,24.99,24.56,24.71,24.71,1900233,0.0,1.0
2024-10-02,25.73,25.76,24.62,25.0,25.0,2944689,0.0,1.0
2024-10-01,27.13,27.16,25.9,26.12,26.12,1949440,0.0,1.0
2024-09-30,26.94,27.075,26.63,27.06,27.06,1648305,0.0,1.0
2024-09-27,26.72,27.444,26.46,27.05,27.05,2027562,0.16,1.0
2024-09-26,26.08,26.52,26.04,26.51,26.3541161337744,1318745,0.0,1.0
2024-09-25,26.24,26.24,25.645,25.73,25.5787026828372,1150023,0.0,1.0
2024-09-24,26.23,26.5859,26.02,26.09,25.936585814039,1073045,0.0,1.0
2024-09-23,26.4,26.57,26.12,26.17,26.0161153987505,1134860,0.0,1.0
2024-09-20,26.76,26.76,26.26,26.29,26.1354097758177,4540868,0.0,1.0
2024-09-19,27.25,27.43,26.705,26.9,26.7418228592429,2968047,0.0,1.0
2024-09-18,26.59,27.48,26.515,26.71,26.5529400955531,3120634,0.0,1.0
2024-09-17,26.25,26.92,26.16,26.69,26.5330576993752,1929808,0.0,1.0
2024-09-16,26.46,26.98,25.727,26.08,25.92664461595,3622370,0.0,1.0
2024-09-13,25.56,26.65,25.44,26.28,26.1254685777288,2118644,0.0,1.0
2024-09-12,24.76,25.41,24.47,25.39,25.2407019478133,1480854,0.0,1.0
2024-09-11,24.89,25.0,24.09,24.73,24.5845828739434,1955025,0.0,1.0
2024-09-10,25.41,25.5,24.69,25.075,24.9275542080118,1902155,0.0,1.0
2024-09-09,25.52,25.905,25.16,25.36,25.2108783535465,2710723,0.0,1.0
2024-09-06,25.14,25.97,25.14,25.55,25.3997611172363,3243955,0.0,1.0
2024-09-05,25.75,25.75,24.99,25.08,24.9325248070562,3398581,0.0,1.0
2024-09-04,24.83,25.755,24.76,25.55,25.3997611172363,2783252,0.0,1.0
2024-09-03,25.06,25.47,24.95,25.0,24.8529952223447,1716617,0.0,1.0
2024-08-30,25.49,25.625,25.07,25.29,25.1412899669239,1958312,0.0,1.0
2024-08-29,25.05,25.5,24.72,25.34,25.1909959573686,5893560,0.0,1.0
2024-08-28,25.21,25.21,24.33,24.73,24.5845828739434,2184374,0.0,1.0
2024-08-27,25.24,25.42,24.865,25.39,25.2407019478133,1714704,0.0,1.0
2024-08-26,25.48,25.83,25.215,25.28,25.131348768835,1876172,0.0,1.0
