,ZTS_Open,ZTS_High,ZTS_Low,ZTS_Close,ZTS_Adj Close,ZTS_Volume,ZTS_Dividend Amount,ZTS_Split Coefficient
2024-10-07,190.08,190.115,186.64,187.28,187.28,1847354,0.0,1.0
2024-10-04,190.99,191.87,189.0,190.03,190.03,1697760,0.0,1.0
2024-10-03,191.89,192.33,190.0,190.99,190.99,1325078,0.0,1.0
2024-10-02,193.52,194.39,191.26,192.46,192.46,1233329,0.0,1.0
2024-10-01,195.45,196.0,191.08,194.42,194.42,1951177,0.0,1.0
2024-09-30,195.01,195.995,193.58,195.38,195.38,1838191,0.0,1.0
2024-09-27,195.65,197.51,194.415,194.81,194.81,1343665,0.0,1.0
2024-09-26,192.12,195.16,191.87,194.87,194.87,1556138,0.0,1.0
2024-09-25,193.84,195.78,190.8,191.53,191.53,1906297,0.0,1.0
2024-09-24,194.96,195.71,192.89,193.69,193.69,2045051,0.0,1.0
2024-09-23,192.81,193.66,191.0817,193.59,193.59,1315690,0.0,1.0
2024-09-20,192.94,194.55,191.0701,192.64,192.64,3520725,0.0,1.0
2024-09-19,198.23,200.33,191.31,193.24,193.24,2463092,0.0,1.0
2024-09-18,196.8,198.39,194.365,196.48,196.48,1993814,0.0,1.0
2024-09-17,194.48,196.31,194.0,195.71,195.71,1962925,0.0,1.0
2024-09-16,192.25,194.45,191.21,194.25,194.25,1263430,0.0,1.0
2024-09-13,190.57,192.62,190.135,191.09,191.09,1725180,0.0,1.0
2024-09-12,189.98,190.8712,187.14,190.71,190.71,1046032,0.0,1.0
2024-09-11,190.71,191.15,186.44,189.99,189.99,1387932,0.0,1.0
2024-09-10,191.73,192.77,187.82,191.36,191.36,2675674,0.0,1.0
2024-09-09,190.55,193.61,190.09,191.73,191.73,2652656,0.0,1.0
2024-09-06,187.46,190.44,187.06,189.23,189.23,2710102,0.0,1.0
2024-09-05,187.66,188.05,185.84,186.59,186.59,1465678,0.0,1.0
2024-09-04,183.19,187.51,181.56,187.33,187.33,1829289,0.0,1.0
2024-09-03,182.71,184.745,182.46,183.57,183.57,1680951,0.0,1.0
2024-08-30,183.09,184.2238,180.98,183.49,183.49,2328501,0.0,1.0
2024-08-29,183.91,184.705,182.48,182.89,182.89,1359892,0.0,1.0
2024-08-28,182.1,184.61,182.095,182.91,182.91,1485359,0.0,1.0
2024-08-27,181.98,183.0899,181.42,182.1,182.1,1423910,0.0,1.0
2024-08-26,181.04,182.59,180.52,181.56,181.56,1015905,0.0,1.0
2024-08-23,182.86,182.9381,180.18,180.9,180.9,1262412,0.0,1.0
2024-08-22,183.41,184.3475,181.51,182.17,182.17,1135849,0.0,1.0
2024-08-21,184.27,184.525,181.82,182.9,182.9,1246773,0.0,1.0
2024-08-20,184.48,184.76,182.9001,183.6,183.6,1186378,0.0,1.0
2024-08-19,183.8,184.52,182.56,184.48,184.48,1637032,0.0,1.0
2024-08-16,183.72,184.61,182.25,183.71,183.71,1588375,0.0,1.0
2024-08-15,184.52,186.17,182.71,184.08,184.08,1891866,0.0,1.0
2024-08-14,188.05,188.5,182.49,183.38,183.38,2153206,0.0,1.0
2024-08-13,184.62,189.04,184.62,188.38,188.38,1732715,0.0,1.0
2024-08-12,184.86,185.25,182.34,183.81,183.81,1638146,0.0,1.0
2024-08-09,188.37,189.63,185.17,185.25,185.25,1881668,0.0,1.0
2024-08-08,185.51,188.84,185.5,188.3,188.3,1734092,0.0,1.0
2024-08-07,186.0,190.22,184.5,184.77,184.77,2097118,0.0,1.0
2024-08-06,185.0,189.815,184.0,185.29,185.29,3832497,0.0,1.0
2024-08-05,176.18,178.29,172.24,174.82,174.82,3197374,0.0,1.0
2024-08-02,181.6,183.53,178.53,180.59,180.59,2699619,0.0,1.0
2024-08-01,181.05,183.93,180.6,182.42,182.42,1987872,0.0,1.0
2024-07-31,182.5,183.26,179.83,180.04,180.04,1740116,0.0,1.0
2024-07-30,181.97,184.79,180.04,181.83,181.83,2271267,0.0,1.0
2024-07-29,180.63,183.08,179.15,181.83,181.83,1302920,0.0,1.0
2024-07-26,182.26,183.85,179.26,179.84,179.84,2437326,0.0,1.0
2024-07-25,181.0,186.45,179.76,180.76,180.76,2473707,0.0,1.0
2024-07-24,179.33,180.835,178.39,179.66,179.66,1309281,0.0,1.0
2024-07-23,181.13,182.175,179.25,179.38,179.38,1329402,0.0,1.0
2024-07-22,180.8,182.17,178.78,180.76,180.76,1532942,0.0,1.0
2024-07-19,180.04,180.51,176.17,178.58,178.58,2131427,0.0,1.0
2024-07-18,180.56,184.24,179.17,179.23,179.23,2171095,0.432,1.0
2024-07-17,182.0,184.84,180.56,182.05,181.612258017833,2190800,0.0,1.0
2024-07-16,178.1,183.22,177.78,182.91,182.470190134809,1939933,0.0,1.0
2024-07-15,178.58,180.85,177.82,177.98,177.552044394474,2216577,0.0,1.0
2024-07-12,179.0,179.71,177.81,179.04,178.60949560842,1672774,0.0,1.0
2024-07-11,174.81,178.55,174.01,177.74,177.312621478109,1989873,0.0,1.0
2024-07-10,174.67,174.67,171.51,173.49,173.072840667476,1970984,0.0,1.0
2024-07-09,175.69,175.73,173.32,174.24,173.821037281117,1777496,0.0,1.0
2024-07-08,175.41,177.14,174.72,175.43,175.008175908094,1704738,0.0,1.0
2024-07-05,175.2,175.96,174.25,174.96,174.539306030212,1812072,0.0,1.0
2024-07-03,175.44,177.67,175.255,175.6,175.177767140519,1251823,0.0,1.0
2024-07-02,172.49,175.99,172.49,174.81,174.389666707484,2454220,0.0,1.0
2024-07-01,173.26,175.46,172.0,172.58,172.165028776258,1589860,0.0,1.0
2024-06-28,176.46,177.07,173.03,173.36,172.943153254444,4189580,0.0,1.0
2024-06-27,174.49,181.66,174.26,176.46,176.035699257495,4164828,0.0,1.0
2024-06-26,167.21,171.51,166.45,170.9,170.489068361701,2053785,0.0,1.0
2024-06-25,171.79,172.42,167.72,167.98,167.576089545925,2293437,0.0,1.0
2024-06-24,171.71,174.29,170.3,171.84,171.426808117465,1885907,0.0,1.0
2024-06-21,169.38,171.79,169.35,171.09,170.678611503824,4899668,0.0,1.0
2024-06-20,169.82,171.1,167.1,168.18,167.775608642896,3233677,0.0,1.0
2024-06-18,170.4,171.59,168.77,169.66,169.252049960481,2273653,0.0,1.0
2024-06-17,168.3,171.62,167.32,170.9,170.489068361701,1798667,0.0,1.0
2024-06-14,170.45,171.5945,168.89,170.55,170.139909942002,2225314,0.0,1.0
2024-06-13,175.87,176.5,170.808,171.32,170.90805846534,2298781,0.0,1.0
