Ticker,Date,3_day,3_day_single,7_day,7_day_single,15_day,15_day_single,30_day,30_day_single
TFX,2015-10-29,-6.571294725882451,-7.195117447185667,-6.319740014645499,-7.416017466175545,-4.794426925267755,-5.84595293841957,-4.501622120111779,-5.038065347064941
NAVG,2016-08-05,-6.4439784282293235,-6.23778189191984,-6.212343016800158,-5.991573196849257,-5.847504637917544,-7.343641661450427,-4.724362275452681,-4.809184555130049
MMM,2016-07-26,-5.941482756475199,-6.149256244180867,-6.1128116679582085,-5.746068026547893,-5.429200968253809,-4.926014750326737,-5.452635972720156,-5.537963773450673
TFX,2016-07-28,-6.778390223986879,-6.162413356448251,-6.045777667175932,-5.224756858056413,-5.118803958287127,-4.474760003111661,-4.615437785360388,-3.1803375243946532
FULT,2016-10-19,-6.237923076238241,-5.690340874053505,-5.97266223483936,-5.697100844651922,-4.014549391449074,-2.8167341357398947,-4.0955386442723425,-4.262675642976975
K,2016-08-04,-6.558339776546517,-7.231315305708834,-5.96438699259566,-6.391411345658581,-5.39712201906025,-5.144786702659174,-4.54786500419368,-5.787077853556588
CVG,2016-05-10,-5.499481095580339,-23.025850929940457,-5.92313002577394,-23.025850929940457,-6.173871688389457,-23.025850929940457,-5.435386002596139,-23.025850929940457
TRV,2015-07-21,-5.37831800707597,-8.1633774038616,-5.837123657467078,-7.326619415915753,-5.478720126513091,-7.320602271234242,-4.401247472523011,-3.8779421911042498
AET,2017-05-02,-5.5280330365719905,-5.32799384039602,-5.8318628671815125,-4.663030011486783,-4.802753525247914,-5.0653537302568665,-4.822663968490042,-4.694905930052661
KMB,2015-07-23,-5.742258627753388,-4.794286219885336,-5.810459277817449,-5.073160388138336,-5.126749363393746,-6.79101383365284,-4.243363074471637,-4.814462898072582
NJR,2016-08-02,-6.698268185224677,-5.0481982947128055,-5.809582093718108,-4.733352665601028,-4.495843563739152,-5.254293480138773,-4.376180289880834,-4.881270572254466
AVA,2018-05-02,-6.062763060168262,-23.025850929940457,-5.787241335480489,-7.178997118394819,-6.008905105725113,-5.431662077922816,-6.050527444636094,-5.860521236921955
SPG,2015-07-24,-5.900105560985649,-7.434905490281333,-5.74802055430675,-7.0712806497593945,-5.140589866563068,-5.3235339170621065,-4.208759288237351,-4.082724952684368
KHC,2017-05-03,-5.435568674503809,-6.392799729490978,-5.692826342749442,-5.600404357260346,-5.2570253423754245,-4.848870585179643,-5.032018609244365,-6.176634964689171
NEU,2017-04-27,-6.189346587617973,-5.810819727889305,-5.691455132783289,-5.900538027682607,-5.161096272571934,-6.27627780975642,-4.962789781655576,-4.118886220747132
KMB,2016-10-24,-6.4858695463049365,-6.56589807887704,-5.64813022371005,-5.534705563920689,-4.599231416292345,-6.441466842950455,-4.723436267182423,-5.007370982357148
PRA,2017-11-07,-6.179855425942593,-23.025850929940457,-5.596515683943154,-4.526800173840197,-4.889092446311422,-3.7934138569229043,-4.675479060866731,-5.4284801527639
MAA,2017-02-02,-5.52695169750752,-5.3816888036988475,-5.596315057494051,-6.892609482316246,-5.187784889852716,-5.334036608581354,-4.80997787935321,-5.19708641118064
ETR,2016-08-02,-5.979387095601581,-5.249652541120798,-5.595318080817876,-5.121959390475324,-4.672287706357521,-7.587938129190873,-4.353537276619847,-7.337934744896414
MRK,2017-07-28,-5.504441082252777,-4.8916128692947245,-5.572576288902594,-4.794545408115034,-5.247406665466639,-5.174360442103141,-5.065253513202601,-4.31391190066879
NWN,2016-08-02,-5.8557364832797685,-4.877227480001288,-5.5725165223108,-5.981105312002728,-4.551649635177866,-23.025850929940457,-4.404555937671543,-5.038298820157237
CVS,2016-08-02,-5.17372023912213,-5.490716041582818,-5.560146140438236,-6.783179982823691,-5.37038886182616,-4.899705316349396,-4.751715756099146,-4.11131535798928
LMT,2017-04-25,-5.324657698036656,-5.077844404082053,-5.554381955352414,-5.691149651412466,-5.378958343458646,-5.963827997800468,-4.959907946005164,-6.31672501723176
AVY,2017-04-26,-5.334408268671275,-5.362897440229813,-5.553464596543783,-5.182199927009597,-4.91598609161783,-3.921680438311151,-4.937102769352639,-5.597097588496714
AFG,2018-05-03,-5.47928170545365,-6.092154935151226,-5.551259821951842,-7.518362543671377,-5.474561041163801,-6.546389062219881,-4.936666519181356,-5.192712493114678
OGS,2016-08-02,-5.345438252733255,-4.935136314616474,-5.53727211832934,-4.921722440114402,-4.646460844281422,-6.5401195739711815,-4.3084602955519715,-4.891995786700148
CPB,2017-02-17,-5.305943394222802,-6.28762155229245,-5.5364018865357485,-6.049474748106956,-5.343513971023815,-6.046844911112384,-4.840809123597791,-5.097075406098756
HMST,2016-04-26,-5.576264239164705,-4.9744241677777605,-5.536008257061981,-5.578321903542742,-4.686890742295621,-4.227333897195394,-4.44145893176422,-4.763122275432
RNR,2016-07-27,-5.452774903594783,-5.364482558443323,-5.523328318328049,-5.259756703109155,-5.31977141006475,-5.342890492144268,-5.208912638917305,-5.346044976887335
WBA,2017-04-05,-5.793287161551996,-6.1254457514612,-5.521937849610403,-4.843366979639738,-5.128278374179132,-7.961047069653456,-4.79866628254522,-5.6763910149531585
D,2017-08-02,-5.1391687427294155,-6.190298662025348,-5.516070956116812,-5.19829198650426,-5.584145298160737,-5.755360207188548,-5.007103931997442,-4.262290553571921
GS,2016-10-18,-5.109278327838897,-6.9946559181456625,-5.506733368209979,-5.562134229915582,-4.69649629694195,-6.022064508388672,-4.105745509292337,-3.3351803957186643
CMO,2017-07-27,-5.6415190658222025,-5.7868973487670035,-5.504143117646772,-5.484796909390498,-5.427054528567569,-5.0834726019150045,-4.870870594397354,-5.471219677650321
DE,2017-05-19,-6.418713411273006,-5.235867175145069,-5.5035961638345485,-6.415685051273524,-5.234296136047725,-7.832142364908266,-4.851657299783725,-4.5094759036437635
ACN,2017-12-21,-5.520549481745877,-6.139094518294023,-5.501780626328256,-5.378493808573063,-5.047436349753261,-4.310389979123718,-4.572807584143832,-3.9719302341125258
FIS,2017-08-02,-5.145073361192654,-6.218704616068354,-5.496649978587214,-7.710638878606299,-4.7370904659503426,-5.944395061228648,-4.953197476045519,-8.43405175661428
