Ticker,Date,3_day,3_day_single,7_day,7_day_single,15_day,15_day_single,30_day,30_day_single,3_day_alpha,3_day_single_alpha,7_day_alpha,7_day_single_alpha,15_day_alpha,15_day_single_alpha,30_day_alpha,30_day_single_alpha,3_day_diff,7_day_diff,15_day_diff,30_day_diff,3_day_pct_change,7_day_pct_change,15_day_pct_change,30_day_pct_change,3_day_single_diff,7_day_single_diff,15_day_single_diff,30_day_single_diff,3_day_single_pct_change,7_day_single_pct_change,15_day_single_pct_change,30_day_single_pct_change
UCBI,2016-10-26,-6.332414915110994,-6.971610311057685,-4.584912740346592,-3.96289524982217,-3.917247291058085,-3.246920255266036,-4.0707210584591484,-5.7103950461093715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.332414915110994,4.584912740346592,3.917247291058085,4.0707210584591484,inf,inf,inf,inf,6.971610311057685,3.96289524982217,3.246920255266036,5.7103950461093715,inf,inf,inf,inf
UCBI,2018-04-25,-5.065108717274172,-5.444279322186272,-4.719581514545534,-6.46444008945233,-4.602529142345545,-4.633846290119067,-4.745071776319791,-5.3994373202740364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.065108717274172,4.719581514545534,4.602529142345545,4.745071776319791,inf,inf,inf,inf,5.444279322186272,6.46444008945233,4.633846290119067,5.3994373202740364,inf,inf,inf,inf
MCF,2016-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.432844352480731,-4.301983919615721,-4.067207675450071,-4.069026748387814,-3.9549339401652803,-4.69541705289143,0.0,-4.432844352480731,-4.067207675450071,-3.9549339401652803,,100.0,100.0,100.0,0.0,-4.301983919615721,-4.069026748387814,-4.69541705289143,,100.0,100.0,100.0
SJI,2016-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.925411554436633,-8.045267404701164,-4.440360456931712,-4.1831864076126015,-4.487074853247422,-3.9414114592784992,0.0,-5.925411554436633,-4.440360456931712,-4.487074853247422,,100.0,100.0,100.0,0.0,-8.045267404701164,-4.1831864076126015,-3.9414114592784992,,100.0,100.0,100.0
NAVG,2016-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6926499105882495,-6.822306225339611,-5.912401760876372,-6.355782029288106,-5.399817309700107,-4.560869917524917,0.0,-6.6926499105882495,-5.912401760876372,-5.399817309700107,,100.0,100.0,100.0,0.0,-6.822306225339611,-6.355782029288106,-4.560869917524917,,100.0,100.0,100.0
BRS,2016-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5700716507346084,-5.455321091957913,-2.8614624576492576,-3.719846592967642,-2.9259498826366914,-3.3682273595218395,0.0,-2.5700716507346084,-2.8614624576492576,-2.9259498826366914,,100.0,100.0,100.0,0.0,-5.455321091957913,-3.719846592967642,-3.3682273595218395,,100.0,100.0,100.0
NP,2016-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.193611365938811,-4.758485340378658,-4.2380652608725935,-4.592098094550536,-4.410480373328566,-5.47412261652751,0.0,-4.193611365938811,-4.2380652608725935,-4.410480373328566,,100.0,100.0,100.0,0.0,-4.758485340378658,-4.592098094550536,-5.47412261652751,,100.0,100.0,100.0
UTX,2015-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.80094280984014,-4.789397544064847,-4.156202725121875,-4.307362945161946,-4.507808590854355,-5.713832780206177,-4.48791005170045,-5.109636633477328,-4.80094280984014,-4.156202725121875,-4.507808590854355,-4.48791005170045,100.0,100.0,100.0,100.0,-4.789397544064847,-4.307362945161946,-5.713832780206177,-5.109636633477328,100.0,100.0,100.0,100.0
MNTA,2016-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8006353777064126,-4.2005380575116,-3.2040981344330337,-4.156412923393389,-3.1680777347657973,-4.394449146572434,0.0,-2.8006353777064126,-3.2040981344330337,-3.1680777347657973,,100.0,100.0,100.0,0.0,-4.2005380575116,-4.156412923393389,-4.394449146572434,,100.0,100.0,100.0
BKS,2018-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.125983144074642,-2.7163490024044252,-3.03741642002432,-2.2057352660964376,-3.2828274013472813,-23.025850929940457,0.0,-3.125983144074642,-3.03741642002432,-3.2828274013472813,,100.0,100.0,100.0,0.0,-2.7163490024044252,-2.2057352660964376,-23.025850929940457,,100.0,100.0,100.0
